Order	N_families
Alismatales	14
Amborellales	1
Apiales	7
Aquifoliales	5
Arecales	2
Asparagales	14
Asterales	11
Austrobaileyales	3
Boraginales	1
Brassicales	17
Buxales	1
Canellales	2
Caryophyllales	38
Celastrales	2
Ceratophyllales	1
Chloranthales	1
Commelinales	5
Cornales	7
Crossosomatales	7
Cucurbitales	8
Dilleniales	1
Dioscoreales	3
Dipsacales	2
Ericales	22
Fabales	4
Fagales	7
Garryales	2
Gentianales	5
Geraniales	2
Huerteales	4
Icacinales	2
Lamiales	24
Laurales	7
Liliales	10
Magnoliales	6
Malpighiales	36
Malvales	10
Myrtales	9
Nymphaeales	3
Oxalidales	7
Pandanales	5
Paracryphiales	1
Piperales	3
Poales	14
Proteales	4
Ranunculales	7
Rosales	9
Santalales	7
Sapindales	9
Saxifragales	15
Solanales	5
Trochodendrales	1
Vitales	1
Zingiberales	8
Zygophyllales	2
