time	Alismatales	Amborellales	Apiales	Aquifoliales	Arecales	Asparagales	Asterales	Austrobaileyales	Boraginales	Brassicales	Buxales	Canellales	Caryophyllales	Celastrales	Ceratophyllales	Chloranthales	Commelinales	Cornales	Crossosomatales	Cucurbitales	Dilleniales	Dioscoreales	Dipsacales	Ericales	Fabales	Fagales	Garryales	Gentianales	Geraniales	Huerteales	Icacinales	Lamiales	Laurales	Liliales	Magnoliales	Malpighiales	Malvales	Myrtales	Nymphaeales	Oxalidales	Pandanales	Paracryphiales	Piperales	Poales	Proteales	Ranunculales	Rosales	Santalales	Sapindales	Saxifragales	Solanales	Trochodendrales	Vitales	Zingiberales	Zygophyllales
2.5	6	0	0	1	1	0	2	0	1	1	1	0	3	1	0	0	1	1	0	0	0	0	2	5	1	5	0	4	1	0	0	5	2	0	2	7	3	3	2	2	0	1	0	4	3	2	7	1	4	3	1	0	1	0	1
5	5	0	3	1	1	0	2	1	1	1	1	0	5	1	1	0	1	1	2	1	0	1	2	10	1	5	1	3	0	0	1	6	1	1	1	8	3	5	2	3	1	0	1	4	4	4	6	1	6	6	1	0	1	1	1
7.5	5	0	3	1	1	1	2	1	1	1	1	0	3	1	1	0	1	2	1	2	0	1	2	12	1	6	1	2	0	0	0	6	2	1	2	10	3	5	2	1	0	0	1	4	4	3	7	3	6	4	1	0	1	1	0
10	4	0	2	1	1	0	1	1	1	2	1	0	4	1	1	0	1	2	1	2	1	0	2	9	1	5	1	3	0	0	0	4	2	1	2	11	3	4	2	2	1	0	1	3	3	4	6	1	5	5	1	0	1	2	1
12.5	6	0	2	1	1	1	2	1	1	1	1	0	5	1	1	0	1	2	3	2	0	1	2	11	1	5	1	3	0	0	1	7	3	1	2	12	3	5	2	2	0	1	1	4	4	4	6	2	6	5	1	1	1	1	0
15	6	0	3	1	1	0	3	1	0	2	1	0	3	1	1	0	2	2	1	2	1	0	2	11	2	6	2	3	0	0	1	6	4	1	2	12	3	6	2	2	0	0	1	4	3	4	7	3	6	6	1	0	1	2	0
17.5	6	0	2	1	1	0	2	1	0	2	1	0	2	1	1	0	1	2	1	0	0	1	2	10	2	4	1	2	0	0	0	5	2	1	3	12	4	4	2	0	0	1	1	4	3	4	7	1	5	5	1	0	1	2	0
20	6	0	2	1	1	1	1	1	1	1	0	1	3	1	1	0	1	2	1	2	0	1	1	9	1	5	1	2	0	0	0	5	1	1	2	10	3	5	2	2	0	0	2	3	3	4	6	1	6	5	0	0	1	2	0
22.5	6	0	2	1	1	2	1	1	1	2	1	0	2	1	1	0	1	2	1	2	0	0	2	9	1	6	1	2	0	0	0	4	1	0	2	10	3	4	2	1	0	0	1	3	3	2	5	1	5	4	1	0	1	4	0
25	5	0	2	1	1	2	0	1	1	1	0	0	2	1	0	0	1	2	1	0	0	0	1	9	1	5	1	2	0	0	0	5	3	2	2	7	1	4	1	1	0	0	1	3	4	3	6	2	6	4	1	0	1	2	0
27.5	3	0	2	1	1	0	2	1	1	1	0	0	1	0	1	0	0	2	1	1	1	0	2	10	1	6	1	2	0	0	1	5	1	1	2	5	1	5	2	1	0	0	1	2	4	5	7	2	5	5	1	1	1	2	0
30	4	0	0	1	1	0	1	1	1	0	0	0	2	0	1	0	0	2	0	0	0	0	2	9	1	6	0	2	0	0	1	5	1	1	3	4	1	2	1	1	0	0	1	3	3	1	4	1	5	4	0	1	1	1	0
32.5	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	2	0	1	1	0	2	7	1	5	1	2	0	0	1	2	1	1	2	4	1	2	2	2	1	0	1	2	3	2	6	0	5	5	1	1	1	1	0
35	3	0	1	1	1	1	2	0	0	0	0	0	2	1	0	0	0	2	2	1	1	1	2	7	2	6	1	1	0	0	1	4	2	1	2	4	2	4	2	2	0	0	1	4	3	4	5	0	6	4	1	0	1	1	0
37.5	3	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	3	1	4	0	0	0	1	1	2	1	0	0	4	2	2	1	1	0	0	0	1	2	0	4	0	4	3	0	0	1	1	0
40	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	6	1	6	0	2	0	0	1	0	1	1	2	3	2	3	1	2	0	0	0	2	2	1	4	1	6	2	1	0	1	1	0
42.5	3	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	2	1	4	0	0	0	0	1	2	1	0	1	2	2	1	1	1	0	1	0	3	4	1	4	1	5	4	0	0	1	0	0
45	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	5	2	4	0	0	0	0	1	0	1	1	2	2	1	2	0	2	1	0	0	1	3	2	5	1	5	4	1	1	1	0	0
47.5	2	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	5	1	6	0	1	0	0	1	1	1	1	2	3	1	1	1	1	0	0	1	3	3	0	6	0	6	3	0	1	1	2	0
50	2	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	4	1	4	0	1	0	0	1	2	1	1	2	1	1	3	2	2	0	0	0	0	3	1	4	0	4	2	0	0	1	1	0
52.5	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	2	1	6	0	1	0	0	1	0	1	0	2	3	0	3	0	2	1	0	0	2	3	1	4	0	3	2	0	0	1	1	0
55	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	1	2	0	1	0	0	1	0	1	1	1	2	2	4	1	1	0	0	0	2	4	1	5	1	3	4	1	1	1	1	0
57.5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	1	3	1	2	0	0	1	0	1	0	1	3	1	3	1	2	0	0	0	2	3	2	4	1	5	4	0	1	1	2	0
60	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	1	3	1	0	0	0	1	0	1	0	3	1	1	3	1	0	0	0	0	2	3	1	2	0	3	2	0	1	1	0	0
62.5	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	1	0	0	1	2	0	0	1	3	0	2	1	2	0	0	0	1	1	0	4	0	3	2	0	1	1	0	0
65	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	2	1	1	1	1	0	1	0	2	1	0	1	3	1	3	1	2	0	0	1	1	1	1	5	0	4	2	0	1	1	3	0
67.5	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	3	1	4	0	0	0	0	1	1	1	0	2	3	2	1	0	0	1	0	0	2	2	0	2	0	2	1	0	0	0	1	0
