time	angiosperms_1	angiosperms_2	angiosperms_3	angiosperms_4	angiosperms_5	angiosperms_6	angiosperms_7	angiosperms_8	angiosperms_9	angiosperms_10
2.5	38	38	40	37	38	37	39	37	39	39
5	47	47	45	44	46	47	46	47	47	46
7.5	44	44	38	44	44	43	40	43	42	45
10	38	41	44	43	39	41	43	43	46	45
12.5	47	47	48	48	49	49	48	45	47	44
15	45	45	47	47	47	45	47	47	47	48
17.5	44	43	43	43	43	40	45	44	43	43
20	43	41	42	44	42	41	42	44	40	43
22.5	44	42	44	43	41	44	42	43	41	41
25	43	43	38	39	41	41	39	39	40	38
27.5	37	38	40	38	41	38	41	40	40	39
30	38	39	36	41	35	35	38	40	40	39
32.5	38	38	40	40	36	38	36	40	37	40
35	39	40	40	41	41	41	41	38	39	42
37.5	28	31	27	27	29	30	32	30	31	27
40	31	25	30	30	32	26	30	28	25	30
42.5	26	34	31	32	32	30	32	33	31	31
45	33	31	30	32	32	32	32	35	30	30
47.5	31	29	30	32	31	34	32	30	38	32
50	29	31	33	28	29	30	28	32	28	31
52.5	27	30	26	33	31	30	30	29	30	28
55	31	33	27	31	27	31	31	27	29	30
57.5	33	28	26	29	31	30	28	30	31	29
60	27	24	25	24	23	23	26	24	24	24
62.5	27	22	20	20	21	18	21	20	23	24
65	29	34	30	35	31	30	32	27	28	28
67.5	24	26	22	26	27	27	27	27	30	27
70	23	24	32	27	29	24	22	26	28	25
72.5	30	29	29	27	26	34	29	30	27	26
75	7	5	9	11	10	7	9	9	13	11
77.5	7	12	8	8	11	8	10	7	7	6
80	12	14	10	8	10	7	9	13	7	10
82.5	8	8	12	11	7	10	12	7	11	10
85	21	19	24	21	20	22	19	20	19	19
87.5	17	13	14	12	18	15	19	13	16	15
90	20	21	22	20	19	20	16	21	21	20
92.5	12	15	16	11	14	14	15	14	15	13
95	13	14	13	14	14	10	14	14	16	14
97.5	15	13	16	17	16	17	14	17	14	17
100	19	15	15	13	13	18	16	13	16	16
102.5	15	20	18	15	18	16	18	20	15	14
105	9	8	8	11	8	9	10	11	8	8
107.5	6	7	9	5	7	8	7	4	11	11
110	6	7	6	7	3	5	6	6	5	5
112.5	4	9	3	4	5	6	3	4	4	3
115	5	6	7	7	7	6	6	6	8	7
117.5	2	5	5	4	2	1	4	5	3	3
120	4	4	4	1	4	2	4	2	3	6
122.5	4	3	3	5	4	3	3	2	2	2
125	2	2	2	2	3	4	2	2	1	0
127.5	2	2	1	1	1	2	1	3	3	2
130	2	0	2	2	2	2	2	1	2	2
132.5	1	0	1	1	1	1	1	1	0	0
135	0	1	0	0	0	0	0	1	0	0
137.5	0	0	0	0	0	0	0	0	1	0
140	0	0	0	0	0	1	1	0	0	1
142.5	0	0	0	0	0	0	0	0	0	0
145	0	0	0	0	0	0	0	0	0	0
