iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-277.9411977164439	-268.22259653020143	-9.718601186242468	14	93.0	82.5	2.5	1000	98.11674156236471	0.0	0.0008402771803463047	0.0	5.707900741516231
100	-69.19651095103409	-60.13630266213808	-9.060208288896005	14	93.0	82.5	2.5	1000	100.2991732262129	0.0	0.0021355080031343066	4.323128033920191	5.3747574512507414
200	-66.50024614040709	-58.283255665773844	-8.21699047463325	14	93.0	82.5	2.5	1000	94.56945448408318	0.0	0.0022238072626057656	5.382448691042006	4.5737705779030104
300	-66.98133295108649	-58.96753719781269	-8.013795753273792	14	93.0	82.5	2.5	1000	87.35121180897741	0.0	0.0039050157818896446	5.003159273642565	4.339116192964935
400	-66.97814419896238	-59.088366713011226	-7.889777485951161	14	93.0	82.5	2.5	1000	99.31792845457677	0.0	0.0029037572765065545	5.625127672649863	3.9963466765006785
500	-70.37547173622742	-61.584527519903304	-8.790944216324117	14	93.0	82.5	2.5	1000	103.79314980959347	0.0	0.0025991485237256678	3.7407845512717	5.2023108243131
600	-67.75815031348179	-59.40346614790329	-8.35468416557851	14	93.0	82.5	2.5	1000	89.00465442405421	0.0	0.0041739320616806805	4.12518099970945	4.840147659842777
700	-66.96784270081173	-58.59850957745823	-8.369333123353492	14	93.0	82.5	2.5	1000	88.46263572389856	0.0	0.005870918215805193	3.894433225997066	4.893355774187199
800	-66.73213026257768	-58.72125594771495	-8.01087431486273	14	93.0	82.5	2.5	1000	103.06734621793734	0.0	0.003822553396674067	4.772470434671429	4.334233491795045
900	-64.23414508552777	-56.47335596799486	-7.760789117532909	14	93.0	82.5	2.5	1000	95.73683607496591	0.0	0.003000071367519086	5.199378770441525	3.6211376769180923
1000	-64.94804899791616	-57.32002407020763	-7.628024927708536	14	93.0	82.5	2.5	1000	96.02794145079395	0.0	0.0029086728161858227	5.88169774826521	2.857474543876857
1100	-65.48329327907476	-57.942642861859596	-7.5406504172151685	14	93.0	82.5	2.5	1000	90.34094659349851	0.0	0.004118988845705108	5.734095743764705	2.311842376591042
1200	-63.01350214779613	-55.55055519473126	-7.46294695306487	14	93.0	82.5	2.5	1000	112.4662693072746	0.0	0.0073264485100364195	3.84782633765538	2.2479826405755916
1300	-63.729002266557444	-56.2485843900656	-7.480417876491838	14	93.0	82.5	2.5	1000	111.2788252344701	0.0	0.005355820935829338	3.7879901058545595	2.0653307473435243
1400	-62.74338158281004	-55.29186873212939	-7.451512850680653	14	93.0	82.5	2.5	1000	98.77321655209735	0.0	0.009289683896747686	4.364372571204126	2.3217614387330143
1500	-63.50736980079695	-56.00372302205005	-7.503646778746898	14	93.0	82.5	2.5	1000	98.60638512265538	0.0	0.011018617268579242	3.48399531292164	3.038427064232794
1600	-62.8898535336033	-55.40303888274618	-7.4868146508571165	14	93.0	82.5	2.5	1000	87.52510994147686	0.0	0.010368921409081348	4.203436793531017	2.818326704117798
1700	-62.272930432782005	-54.88069435012576	-7.392236082656244	14	93.0	82.5	2.5	1000	87.40444062728496	0.0	0.02403062991596016	3.230981894645622	2.689467081419672
1800	-63.2826879895776	-55.95994031920699	-7.32274767037061	14	93.0	82.5	2.5	1000	90.06393139727837	0.0	0.04383662674958176	2.2722117263317956	2.4833098952027344
1900	-64.04090117633295	-56.69208674005484	-7.348814436278115	14	93.0	82.5	2.5	1000	89.40934704284919	0.0	0.051435381578800045	1.987636430371639	2.845070625094626
2000	-66.62033476964928	-59.17056886068617	-7.449765908963102	14	93.0	82.5	2.5	1000	89.95267028359052	0.0	0.05830273775409818	1.6561373102640016	3.48410267365151
2100	-66.60570637106738	-59.22820208806529	-7.377504283002095	14	93.0	82.5	2.5	1000	89.23703805675926	0.0	0.07606304284268035	1.9766225675627394	3.1469159538798066
2200	-64.0265993903384	-56.614755314731596	-7.411844075606814	14	93.0	82.5	2.5	1000	86.96812982493438	0.0	0.07915725118176074	1.7035458963214285	3.3526767140911513
2300	-65.92075159835048	-58.50725605144124	-7.413495546909233	14	93.0	82.5	2.5	1000	86.29926543540172	0.0	0.06564859619542676	1.5975843697378007	3.3403927108328104
2400	-67.12813031570478	-59.55201029102546	-7.576120024679314	14	93.0	82.5	2.5	1000	89.77303489744715	0.0	0.04447099847166881	1.8806426829856808	3.873563100718376
2500	-65.89963992996609	-58.203195877312396	-7.696444052653684	14	93.0	82.5	2.5	1000	85.86697558890576	0.0	0.021157172588943545	3.3037376870806963	4.022319687163349
2600	-66.91248227228931	-59.31693298377435	-7.595549288514964	14	93.0	82.5	2.5	1000	91.08737184077631	0.0	0.024978886667118182	2.8144634933476875	3.7882692388977905
2700	-64.09409821609584	-56.461195598935255	-7.632902617160594	14	93.0	82.5	2.5	1000	89.31579050429823	0.0	0.015437981584233658	3.526946915114385	3.7614508621061207
2800	-64.82531607230375	-56.967996705970805	-7.85731936633295	14	93.0	82.5	2.5	1000	91.69863066246432	0.0	0.010708086513061826	3.730540748731248	4.243979917705959
2900	-64.36538108992694	-56.696368644917996	-7.669012445008945	14	93.0	82.5	2.5	1000	89.68942666324361	0.0	0.01344894404825701	3.6280938282784874	3.8345369378785854
3000	-65.36048807147672	-57.586841925372404	-7.773646146104322	14	93.0	82.5	2.5	1000	87.12380235832948	0.0	0.015960027056256213	3.215770148578837	4.151717303085614
3100	-65.74839329042219	-57.75019962400589	-7.9981936664163005	14	93.0	82.5	2.5	1000	95.18895568724784	0.0	0.00518539083803815	4.176763878612603	4.374540571495884
3200	-65.33016736132403	-57.44794406095462	-7.882223300369412	14	93.0	82.5	2.5	1000	104.74953432975427	0.0	0.002975760551006461	4.566166467440097	4.01018088097544
3300	-70.12383404130084	-62.2293302779067	-7.8945037633941375	14	93.0	82.5	2.5	1000	98.14182838752464	0.0	0.00932444518762512	2.5062732638588763	4.315634440852801
3400	-65.36234359272203	-57.54305344128566	-7.819290151436377	14	93.0	82.5	2.5	1000	97.27629990627136	0.0	0.004145216926092557	4.277184028734309	3.9362752031380315
