iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-37.16603962771351	-27.45436581209056	-9.711673815622948	14	12.0	67.5	7.5	1000	77.18926507053445	0.0	0.000711944370266436	2.3097941190175617	5.686067154184955
100	-35.8856791382689	-25.11398302564609	-10.771696112622813	14	12.0	67.5	7.5	1000	95.15096789733231	0.0	0.00036569520761824196	4.057775955821364	6.067058520187793
200	-37.36075975721842	-25.497171909455602	-11.863587847762812	14	12.0	67.5	7.5	1000	83.71041313272416	0.0	0.0005576797087378118	2.512789632661605	6.3840445984898695
300	-35.31436435639269	-25.81197779805356	-9.502386558339126	14	12.0	67.5	7.5	1000	90.95441102955657	0.0	0.0007136585667999807	4.166629178293661	5.57164380746796
400	-33.21976795278403	-25.005538036613284	-8.214229916170748	14	12.0	67.5	7.5	1000	76.496445543197	0.0	0.002168175259945645	3.41562351216868	4.594402446401065
500	-34.41282395330472	-26.046641727910963	-8.366182225393764	14	12.0	67.5	7.5	1000	116.41284330114277	0.0	0.0010818915868809618	2.221769879225252	4.721114656192034
600	-33.7763966722264	-25.3395556814079	-8.4368409908185	14	12.0	67.5	7.5	1000	83.95648885696878	0.0	0.0010364707698394611	3.109251940936183	4.79039593175607
700	-33.25328111545075	-24.439508783368524	-8.813772332082223	14	12.0	67.5	7.5	1000	80.29149836248084	0.0	0.0024855967059199255	1.8559881044860171	5.230663421369535
800	-35.205289030367474	-26.911924652166725	-8.293364378200751	14	12.0	67.5	7.5	1000	96.0646201186969	0.0	0.0028649155708802753	2.5741055332176863	4.744841256086104
900	-33.48557004117727	-24.636584297600464	-8.848985743576801	14	12.0	67.5	7.5	1000	76.59505741356111	0.0	0.005681400259719454	1.0364716103526437	5.3187087655837075
1000	-34.92393915089511	-25.411272492366358	-9.51266665852875	14	12.0	67.5	7.5	1000	77.03628423234461	0.0	0.007862799693090124	0.28869455751853956	5.711506550371876
1100	-35.32976127673135	-26.477418756090852	-8.852342520640493	14	12.0	67.5	7.5	1000	74.88742700386217	0.0	0.013247230877895321	0.4913250113013846	5.375955742720038
1200	-34.443051309572056	-26.37772495372943	-8.065326355842624	14	12.0	67.5	7.5	1000	86.67836681097	0.0	0.008785327482509563	0.9499594985060089	4.607136166814049
1300	-33.02069915602194	-24.53272293824104	-8.4879762177809	14	12.0	67.5	7.5	1000	79.73123280385113	0.0	0.0057388864274109394	0.7750950632700323	5.037456597234189
1400	-33.70434743355706	-25.763008210169126	-7.941339223387931	14	12.0	67.5	7.5	1000	89.05582423962196	0.0	0.008178956604993038	0.29068360806099824	4.416973967243163
1500	-33.16101318331544	-25.3472332343121	-7.813779949003338	14	12.0	67.5	7.5	1000	81.49062020039162	0.0	0.011492532626058347	0.42132734206544614	4.235583292643228
1600	-32.48170936517796	-24.88150102487148	-7.6002083403064855	14	12.0	67.5	7.5	1000	75.49863947565014	0.0	0.013053078214505777	0.8692573750076471	3.6923469594484866
1700	-32.553543932586706	-24.337006280457587	-8.216537652129118	14	12.0	67.5	7.5	1000	71.14006810710856	0.0	0.00620899283594748	0.6693303808917908	4.7644001759157675
1800	-32.774240085998834	-24.427440434746117	-8.346799651252717	14	12.0	67.5	7.5	1000	72.81075306795401	0.0	0.007445225596060752	0.13494753386152558	4.931697011992301
1900	-37.4913612578419	-29.782369001263557	-7.708992256578345	14	12.0	67.5	7.5	1000	120.40574557399816	0.0	0.008171948152506658	0.32167199682449865	3.9172539770265775
2000	-32.40713171560037	-24.72530236708459	-7.68182934851578	14	12.0	67.5	7.5	1000	71.3594243050886	0.0	0.008437241536391277	1.1900641306780846	3.8210870631284095
