iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-71.04158055296963	-61.01223032586337	-10.02935022710627	11	22.0	42.5	2.5	1000	46.54312228593003	0.0	0.0009996054779792506	0.5264768895181071	5.606473469471604
100	-34.805577925608596	-24.814315072565055	-9.99126285304354	11	22.0	42.5	2.5	1000	52.58804168851332	0.0	0.0016528395718059482	9.094360042292962	5.5760563988758785
200	-34.05498229937757	-24.25871048341319	-9.79627181596438	11	22.0	42.5	2.5	1000	46.00643567522066	0.0	0.004211426189710656	8.21987787981299	5.535553832075734
300	-32.05072075122821	-23.506007376581067	-8.544713374647149	11	22.0	42.5	2.5	1000	50.20770304653895	0.0	0.003952128255763964	7.408582727828672	4.75444045405045
400	-34.47349687321485	-25.031921098952893	-9.441575774261956	11	22.0	42.5	2.5	1000	50.850771082852674	0.0	0.00264218017537344	9.413999113843238	5.338799420943105
500	-35.88217909717625	-26.482009335975157	-9.400169761201088	11	22.0	42.5	2.5	1000	50.2700059611136	0.0	0.004302232962458869	8.421481333231386	5.347011594773049
600	-33.223737772876774	-24.397104179043666	-8.826633593833105	11	22.0	42.5	2.5	1000	56.86772959735684	0.0	0.0018986877966940571	8.721212057007502	4.926005655531689
700	-33.455931840350274	-25.31867051054918	-8.137261329801095	11	22.0	42.5	2.5	1000	46.44386415950024	0.0	0.002535304072192098	10.727052745603388	4.141564191612513
800	-32.140425821558686	-24.230131395771767	-7.910294425786918	11	22.0	42.5	2.5	1000	53.04039275554052	0.0	0.0021250581381438735	9.822299575381477	3.6118221378338227
900	-32.900640424214885	-24.459508807852682	-8.441131616362199	11	22.0	42.5	2.5	1000	58.40016182104698	0.0	0.0013916075128174805	7.072477812059111	4.541956763634902
1000	-33.63077405236702	-24.781742386523547	-8.849031665843478	11	22.0	42.5	2.5	1000	45.26721411968989	0.0	0.003369514842649554	6.700924604668529	5.001674302745698
1100	-33.59985005214587	-24.255566054806813	-9.344283997339055	11	22.0	42.5	2.5	1000	50.736884754596964	0.0	0.0024060025210967764	8.62168701108966	5.285373640890596
1200	-34.60068333309381	-24.300552639965886	-10.30013069312793	11	22.0	42.5	2.5	1000	47.32999168724038	0.0	0.003624717695528817	8.278309594281303	5.727898130645825
1300	-33.125461078468774	-24.90463713566641	-8.220823942802369	11	22.0	42.5	2.5	1000	59.819857174385916	0.0	0.006731159141846148	3.9428860133018477	4.497972788432306
1400	-31.790210524232286	-23.652153602003693	-8.138056922228593	11	22.0	42.5	2.5	1000	45.21177252836965	0.0	0.016674462452646147	3.1257752290526044	4.505504087488027
1500	-33.15333920971723	-24.57003284019799	-8.58330636951924	11	22.0	42.5	2.5	1000	48.940864763356885	0.0	0.014216994199015572	2.611954483103995	4.931397835533801
1600	-33.792801578806305	-24.798338272729673	-8.99446330607663	11	22.0	42.5	2.5	1000	48.050864787096906	0.0	0.015272996548554293	2.466867018843753	5.218364166408514
1700	-34.96749064598752	-26.524980528054293	-8.442510117933224	11	22.0	42.5	2.5	1000	48.142078622222975	0.0	0.041478866052430084	0.28195516656636677	4.901027931178853
