iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-49.77718175245033	-39.67177306639911	-10.105408686051222	17	19.0	62.5	2.5	1000	74.33086481997327	0.0	0.0007321529580700209	1.2401084362317216	6.0570530286969575
100	-37.67180728975996	-25.588505343011594	-12.083301946748369	17	19.0	62.5	2.5	1000	70.19944991633778	0.0	0.0005236386337636166	5.196991251504072	6.621362103850627
200	-36.50887602340425	-25.313573936416045	-11.195302086988203	17	19.0	62.5	2.5	1000	75.34525712278482	0.0	0.0006651161156086256	5.08215143911222	6.403978443211112
300	-39.49231761481155	-28.643294349655754	-10.849023265155793	17	19.0	62.5	2.5	1000	115.27977863885279	0.0	0.00028085168237893486	4.2415828403580305	6.277047189086998
400	-34.26924473724814	-25.475429248885224	-8.793815488362913	17	19.0	62.5	2.5	1000	69.37538390707265	0.0	0.0007646091090542422	6.5587251615599715	5.2772686652024365
500	-34.25442760972636	-25.821723192825896	-8.432704416900469	17	19.0	62.5	2.5	1000	69.44602319015368	0.0	0.0007135122573673479	7.231982979493357	4.883814396964783
600	-34.92998465111861	-26.0295228944027	-8.900461756715911	17	19.0	62.5	2.5	1000	73.75821729127343	0.0	0.00037328606817596115	7.765294962263813	5.297267529525379
700	-35.47763266628906	-25.65770543079066	-9.819927235498403	17	19.0	62.5	2.5	1000	76.60664507188201	0.0	0.0011945794097236611	4.880970387467523	5.94184742748744
800	-37.684647709417845	-28.890541364001287	-8.794106345416559	17	19.0	62.5	2.5	1000	89.53291077094721	0.0	0.0015082393867300269	4.708578010024637	5.3492538175955255
900	-34.33314868385691	-25.204598703961263	-9.12854997989565	17	19.0	62.5	2.5	1000	81.39548083687018	0.0	0.0008782845876938184	4.444530680553418	5.555553990130311
1000	-34.18570489724142	-25.60152289828455	-8.58418199895687	17	19.0	62.5	2.5	1000	75.17935759922355	0.0	0.0015337279574701066	3.726252686948545	5.174535872903119
