iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-25.181537585418127	-15.420079256318518	-9.76145832909961	2	4.0	97.5	20.0	1000	106.82962313151796	0.0	0.0008402771803463047	0.0	3.781712632227105
100	-23.946449137693318	-15.705141415932257	-8.24130772176106	2	4.0	97.5	20.0	1000	102.9320838136586	0.0	0.0015937867826185713	2.2070635621486443	2.6610930564094186
200	-22.51145357609093	-14.937385034911081	-7.574068541179846	2	4.0	97.5	20.0	1000	121.60667324189004	0.0	0.00820610278283196	0.8031486786788322	1.4800597024416193
300	-21.690395331949105	-14.005037367850683	-7.685357964098422	2	4.0	97.5	20.0	1000	108.43952976975976	0.0	0.004942157784784616	0.5181791635609044	1.7452122714587315
400	-21.886098320036268	-14.246155997234224	-7.639942322802046	2	4.0	97.5	20.0	1000	130.1866779749155	0.0	0.002813067339025073	0.6708446825894724	1.3093592645110774
500	-22.510864433699247	-14.789751586104794	-7.721112847594453	2	4.0	97.5	20.0	1000	100.38140391417468	0.0	0.004015457341381768	0.8096112411246752	1.789617300192965
600	-22.34712671592677	-14.422174755961809	-7.924951959964959	2	4.0	97.5	20.0	1000	148.06320549319412	0.0	0.0026945769292988516	0.5436869843985841	2.234919058908932
700	-22.64445654237091	-14.69188523536831	-7.952571307002599	2	4.0	97.5	20.0	1000	177.47963960727182	0.0	0.000913454668217211	1.241568238219117	2.0321708076840097
800	-22.81691533073804	-14.650448845105368	-8.166466485632672	2	4.0	97.5	20.0	1000	167.45322013263151	0.0	0.0013625777409262331	0.5545856866820144	2.552312175501884
900	-22.969879886312764	-14.947332078856626	-8.022547807456139	2	4.0	97.5	20.0	1000	157.47375693874076	0.0	0.0020270877044343797	1.0100390436819833	2.365413359650194
1000	-23.27437280045554	-15.443629253529185	-7.8307435469263575	2	4.0	97.5	20.0	1000	207.05916481691315	0.0	0.0017013183836812476	0.5404690768286416	1.8813549243430652
1100	-22.23367019261734	-14.511004062073294	-7.722666130544043	2	4.0	97.5	20.0	1000	117.6697348755628	0.0	0.002112317654999962	1.1628569359075054	1.5477559106332617
1200	-24.514695953103008	-16.216383346212528	-8.29831260689048	2	4.0	97.5	20.0	1000	180.28919192211703	0.0	0.0021412309604897737	0.6843740765929383	2.79338026900644
1300	-24.10551990705364	-15.230775985642772	-8.874743921410868	2	4.0	97.5	20.0	1000	114.55555256615773	0.0	0.0014577434354541368	1.9772497441094816	3.290298803430975
1400	-22.84794632384292	-14.754891522422977	-8.09305480141994	2	4.0	97.5	20.0	1000	133.94997530633913	0.0	0.003047143613955612	0.9414108844768954	2.554674670911511
1500	-23.489028979906895	-15.550826361373826	-7.938202618533069	2	4.0	97.5	20.0	1000	132.9398108702503	0.0	0.005649977586134489	0.6426056447490238	2.399046204201556
1600	-21.43041467036617	-13.780092826611849	-7.65032184375432	2	4.0	97.5	20.0	1000	105.56855610666155	0.0	0.0074394524027530445	0.1018032237060611	1.7711679718161875
1700	-22.009971336028574	-14.378630423701576	-7.631340912326997	2	4.0	97.5	20.0	1000	134.16006795409146	0.0	0.006972222622632824	0.08278874665947596	1.682970276546136
1800	-22.186020499370755	-14.667373752318483	-7.518646747052275	2	4.0	97.5	20.0	1000	114.06043087701535	0.0	0.010662765807958576	0.5183813986221998	1.3392949181631721
1900	-25.202262925894964	-17.7252001277272	-7.477062798167767	2	4.0	97.5	20.0	1000	108.20868066177361	0.0	0.012910610010747536	1.612501700190412	1.1325224579359612
2000	-23.090243256923006	-15.554215255941692	-7.536028000981315	2	4.0	97.5	20.0	1000	109.77279845645721	0.0	0.00641982839782499	1.689457570481188	1.0985747550407647
2100	-21.659665326751053	-14.234161117896598	-7.425504208854454	2	4.0	97.5	20.0	1000	139.664493461069	0.0	0.006179517364047385	0.484028434750858	-0.041862979466887225
2200	-21.442301686401578	-14.06039113288508	-7.381910553516499	2	4.0	97.5	20.0	1000	118.56064625213229	0.0	0.011313991714631379	0.5496838063405021	0.16628320356131726
2300	-21.244985084422513	-13.880848751899908	-7.364136332522606	2	4.0	97.5	20.0	1000	106.59687809271986	0.0	0.012047265056198934	0.0917869361625615	0.027549002836514864
2400	-21.46901260976446	-14.115077588322805	-7.353935021441655	2	4.0	97.5	20.0	1000	133.2642831115295	0.0	0.010633805768538727	0.18713182116683152	-0.5386989397915831
2500	-22.678151757367758	-15.241956120118592	-7.436195637249167	2	4.0	97.5	20.0	1000	186.25999837256222	0.0	0.004976992632368339	0.17753804968882092	-0.1919482138461304
2600	-21.847647223630773	-14.43249494856152	-7.415152275069252	2	4.0	97.5	20.0	1000	126.84968854362866	0.0	0.005799997009184512	0.7920163914089954	-0.5600337702561853
2700	-22.734551238825766	-15.345715631770233	-7.388835607055533	2	4.0	97.5	20.0	1000	196.21782077038344	0.0	0.006159890741488946	1.0616497137894298	-2.2620656817213103
2800	-22.683435800381453	-15.170186906096564	-7.513248894284889	2	4.0	97.5	20.0	1000	157.5456133972803	0.0	0.0020348451040774814	1.4230617660932503	-0.9484505647119926
2900	-22.775853485578782	-15.262719362384747	-7.5131341231940345	2	4.0	97.5	20.0	1000	205.39890818833726	0.0	0.0028221880879971406	0.7881529654725522	0.14016690405226057
3000	-22.68027714322141	-15.144336690654972	-7.535940452566436	2	4.0	97.5	20.0	1000	136.76467263362483	0.0	0.002108236931144252	2.175768719517313	-0.27440092861602
3100	-23.149672066479987	-15.561699705250739	-7.58797236122925	2	4.0	97.5	20.0	1000	188.7677031437382	0.0	0.0009349705441324057	1.5425757393174988	-1.1252083106174602
3200	-22.97263539124562	-15.475389715852923	-7.497245675392699	2	4.0	97.5	20.0	1000	136.1298835385523	0.0	0.0023607355684183077	1.8483417729861817	-1.2989810402407096
3300	-23.346174432689814	-15.872606253699157	-7.473568178990655	2	4.0	97.5	20.0	1000	223.3574494558314	0.0	0.0025256881871137814	0.6338865816682742	-1.7490889219711008
3400	-23.181906404178548	-15.749311139488157	-7.432595264690393	2	4.0	97.5	20.0	1000	220.08113118212475	0.0	0.0041576880650605426	0.3059855666890766	-0.956317628126189
3500	-22.156801819224633	-14.759815703052652	-7.396986116171979	2	4.0	97.5	20.0	1000	167.10301105643694	0.0	0.006440944247297692	0.3323149309504606	-0.6999231997484171
3600	-22.33668938482519	-14.927014729143444	-7.409674655681745	2	4.0	97.5	20.0	1000	150.7131084993151	0.0	0.005514760839078287	1.47071617141621	-1.4664467434474804
3700	-22.05460455583649	-14.615684787393114	-7.438919768443378	2	4.0	97.5	20.0	1000	149.09544878688092	0.0	0.004715962293479174	1.2751165898720873	-0.5837701014878829
3800	-21.741595434498812	-14.363213000483286	-7.378382434015528	2	4.0	97.5	20.0	1000	133.86972213466765	0.0	0.010072343177276035	0.6105950879209774	-0.1159696788873805
3900	-21.494162005001172	-14.204786155753844	-7.289375849247328	2	4.0	97.5	20.0	1000	101.72976995769925	0.0	0.023985842974188258	0.19724431034532797	-0.4306113747484727
