iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-124.82565607930272	-115.07620757150602	-9.749448507796707	7	53.0	90.0	2.5	1000	107.0364453407615	0.0	0.000949027791285664	0.4245167563576372	5.032563085849315
100	-62.11686124175641	-50.197040263039526	-11.919820978716889	7	53.0	90.0	2.5	1000	119.0681174707213	0.0	0.0010238499482902355	3.0915989067685308	5.716733526735434
200	-60.40073684381363	-49.26411309621119	-11.136623747602446	7	53.0	90.0	2.5	1000	101.83657294670566	0.0	0.002322786411237719	2.9536217184700058	5.540584173329237
300	-60.96560642465033	-50.908856745294	-10.056749679356328	7	53.0	90.0	2.5	1000	98.75647706836085	0.0	0.0019026879765457597	3.048158324775762	5.180672631495397
400	-58.97576888722186	-48.98823667883554	-9.987532208386316	7	53.0	90.0	2.5	1000	103.03841317299626	0.0	0.002547947599188821	2.9352706559469652	5.164986756089522
500	-63.78698559448085	-53.71259380964354	-10.074391784837312	7	53.0	90.0	2.5	1000	94.87737309848933	0.0	0.0031427267393904566	4.4474580550886165	5.201166192485006
600	-59.57181937057037	-51.14361592286563	-8.428203447704737	7	53.0	90.0	2.5	1000	111.94034039212406	0.0	0.0028509375461101983	2.2938960159820128	4.206130364930386
700	-58.252325905411965	-49.50548770417056	-8.746838201241403	7	53.0	90.0	2.5	1000	105.83730578570756	0.0	0.005263613050374872	2.7680429553595194	4.534664341496206
800	-59.567688347982234	-50.86515274164944	-8.702535606332795	7	53.0	90.0	2.5	1000	118.00288133713394	0.0	0.006221088712517397	1.812798800558091	4.520293829587862
900	-56.902102386712194	-48.71900775856506	-8.183094628147131	7	53.0	90.0	2.5	1000	96.55069357111981	0.0	0.00584521105797657	3.1215104198813783	3.9922320112642065
1000	-56.53336904978927	-48.24060968353698	-8.292759366252293	7	53.0	90.0	2.5	1000	93.20712702221714	0.0	0.012563962046075556	1.5562235645411677	4.217064489595223
1100	-56.13098275819148	-48.42439710265453	-7.706585655536946	7	53.0	90.0	2.5	1000	94.06097056859328	0.0	0.029299557094912256	1.4386392519257718	3.4544190019026653
1200	-55.72061909015074	-48.16715285080486	-7.5534662393458785	7	53.0	90.0	2.5	1000	93.82098443633501	0.0	0.03443413233209505	0.7107416318212307	3.100181509904063
1300	-55.10600414445723	-47.58601763259008	-7.51998651186715	7	53.0	90.0	2.5	1000	94.34638561671478	0.0	0.019984780506014446	2.249859012713832	2.7715839274218403
1400	-55.699631546002976	-48.20500723586706	-7.494624310135922	7	53.0	90.0	2.5	1000	93.73010996833504	0.0	0.01741747214678666	2.77230820266974	2.5695613416877414
1500	-55.75379847778302	-48.16957903440425	-7.584219443378775	7	53.0	90.0	2.5	1000	97.6304394949826	0.0	0.010061679334932502	2.4691021338474632	2.7861047783339843
1600	-57.07984002978253	-49.50014985999726	-7.579690169785277	7	53.0	90.0	2.5	1000	95.79347430067412	0.0	0.007902217015027446	2.9854016538210253	2.639006858857261
1700	-55.766770007529125	-48.19157389256482	-7.575196114964308	7	53.0	90.0	2.5	1000	99.58811544924858	0.0	0.00928307173418249	3.0386003756888007	2.6863603105679426
1800	-57.672863264321734	-50.190870160104005	-7.481993104217729	7	53.0	90.0	2.5	1000	105.23470477703769	0.0	0.007076646486484368	4.00978797284676	1.7455088452331944
1900	-57.83072613212619	-50.210276639053056	-7.620449493073131	7	53.0	90.0	2.5	1000	129.7081347278519	0.0	0.003001534684352923	3.7160557792956452	2.293332265660668
2000	-58.42903766552121	-50.6097898257703	-7.819247839750908	7	53.0	90.0	2.5	1000	117.2583912108897	0.0	0.0018897490464324952	4.382585658719691	3.005498383424916
2100	-57.833816764054376	-49.48316888438791	-8.35064787966647	7	53.0	90.0	2.5	1000	114.7682771340311	0.0	0.0017034256331268812	3.4885785846084145	4.048414234935947
2200	-58.616593497982954	-50.847422081445295	-7.76917141653766	7	53.0	90.0	2.5	1000	108.25015465438018	0.0	0.0027599564290566917	4.507652944813581	2.954590634411815
2300	-58.66987904862522	-50.94410102527206	-7.72577802335316	7	53.0	90.0	2.5	1000	117.30325624165204	0.0	0.003973818283605616	3.9041422656157305	2.9468256599793867
2400	-58.96840644887867	-51.32319262811089	-7.645213820767778	7	53.0	90.0	2.5	1000	120.70357776822534	0.0	0.0061800735653883745	3.2500348897761007	2.8214124283568616
2500	-56.458987788941926	-48.844696878941875	-7.614290910000047	7	53.0	90.0	2.5	1000	114.58587662832802	0.0	0.005993954038253891	2.700393142571703	2.6959563801303825
2600	-57.32796072422775	-49.789633852539794	-7.538326871687957	7	53.0	90.0	2.5	1000	91.37887972582614	0.0	0.018062361060433577	2.2966896191850035	2.8131042297699755
2700	-55.79392823264643	-48.21948663783018	-7.574441594816252	7	53.0	90.0	2.5	1000	95.09563803281415	0.0	0.028352075890923548	1.6027016411452157	3.096083875853159
2800	-58.8833279591591	-51.41522862675999	-7.468099332399103	7	53.0	90.0	2.5	1000	92.09065799974708	0.0	0.044214998178318726	1.974443214447092	2.7977175780583563
2900	-59.239145670446675	-51.634849823177866	-7.604295847268805	7	53.0	90.0	2.5	1000	100.50288347717121	0.0	0.04372923901414604	1.0829263876476316	3.2779612771340845
