iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-59.32935438662309	-49.60361034323776	-9.725744043385326	7	16.0	60.0	5.0	1000	64.45292051241734	0.0	0.0008402771803463047	0.0	5.018067697140371
100	-31.695829078633253	-22.687109144000313	-9.008719934632941	7	16.0	60.0	5.0	1000	74.57865435203105	0.0	0.0010209064620507696	5.350818260966074	4.590382485332641
200	-34.366240607445725	-24.19495890630137	-10.171281701144355	7	16.0	60.0	5.0	1000	68.77443025244179	0.0	0.0005614412644349676	8.407576969817914	5.156859164844403
300	-33.27317784618532	-23.747934822492958	-9.525243023692362	7	16.0	60.0	5.0	1000	77.80547189766754	0.0	0.0012016478746696914	5.503519624409216	4.910521758430949
400	-33.304803239419044	-23.17308001359417	-10.131723225824874	7	16.0	60.0	5.0	1000	77.07109367945294	0.0	0.0012208980958761206	4.191703208301464	5.18845781330563
500	-35.452266981939694	-25.37702190765951	-10.075245074280183	7	16.0	60.0	5.0	1000	89.23056679332447	0.0	0.0016448436846327149	2.627162613631981	5.183974598780339
600	-32.884018999829074	-22.965202147466226	-9.918816852362848	7	16.0	60.0	5.0	1000	69.17303175751985	0.0	0.0025110025454585026	4.3222090054890865	5.13081280735187
700	-32.889981076868224	-23.184713798582482	-9.705267278285744	7	16.0	60.0	5.0	1000	71.34296646808497	0.0	0.002052935412109015	3.816006034897849	5.031630732092129
800	-33.69138693845023	-24.4380765351196	-9.253310403330628	7	16.0	60.0	5.0	1000	70.74245347299495	0.0	0.006067367412989451	2.023002106794947	4.868344115593674
900	-34.825009430382664	-24.24562540411827	-10.579384026264389	7	16.0	60.0	5.0	1000	65.41154279458068	0.0	0.005076935043714149	3.274022760896715	5.397603943862512
1000	-32.44465157375025	-24.143930455370555	-8.300721118379693	7	16.0	60.0	5.0	1000	75.9561938099286	0.0	0.004896847536133701	2.637759704838768	4.120261190260309
1100	-32.409674735567776	-24.24713319274402	-8.16254154282376	7	16.0	60.0	5.0	1000	68.84917386752177	0.0	0.0032619240863164182	5.981467612252916	3.8465812714436476
1200	-32.16838585928832	-23.669241724663188	-8.499144134625137	7	16.0	60.0	5.0	1000	63.976135639882955	0.0	0.0014537199242027803	5.504450251679291	4.1774289226522585
1300	-31.879006458964042	-23.748839834880116	-8.130166624083927	7	16.0	60.0	5.0	1000	89.46007955714909	0.0	0.0019780967041267707	3.8052074363465653	3.7536932179322346
1400	-31.024460477732397	-23.075588030522194	-7.948872447210205	7	16.0	60.0	5.0	1000	76.85309465035023	0.0	0.0007478935399467718	7.537465485505901	3.027857917556557
1500	-30.677741629221963	-22.446429741867505	-8.231311887354458	7	16.0	60.0	5.0	1000	74.89605849941879	0.0	0.0011919448159051908	6.078453202103107	3.7994475702349253
1600	-30.930429612901957	-22.65672638149735	-8.273703231404607	7	16.0	60.0	5.0	1000	82.3555657775681	0.0	0.0008500715210122597	5.614527594143804	3.820486994930407
1700	-33.99407493865739	-25.809080549868604	-8.184994388788791	7	16.0	60.0	5.0	1000	101.3802497921517	0.0	0.0013054674451707477	3.056299827328108	3.7882418042907364
1800	-32.39668807258931	-24.025869572375832	-8.370818500213478	7	16.0	60.0	5.0	1000	85.40926845667622	0.0	0.0020863548823845572	3.453920151937085	4.096597850803397
1900	-33.64111050287104	-25.084063851043503	-8.557046651827534	7	16.0	60.0	5.0	1000	70.62514795276044	0.0	0.006745056974438862	3.8024991842357743	4.392161925810522
2000	-31.63186010749499	-23.680285728357617	-7.951574379137373	7	16.0	60.0	5.0	1000	65.52814665196938	0.0	0.010146495360215117	2.807341241151318	3.7316665389048937
2100	-31.49810889270778	-23.72815169823013	-7.7699571944776515	7	16.0	60.0	5.0	1000	74.00480034213547	0.0	0.008865068750402253	3.017812397026249	3.333372591733079
2200	-31.238968260004867	-23.370322238802153	-7.868646021202713	7	16.0	60.0	5.0	1000	62.70182743119183	0.0	0.009573895620480548	3.5801444090770596	3.5563801980984127
2300	-33.821689027593294	-25.890784004068284	-7.930905023525014	7	16.0	60.0	5.0	1000	61.28891255487361	0.0	0.016620858994771677	2.0795511272189917	3.7799244016903852
2400	-34.234959318154914	-26.367471092732412	-7.867488225422499	7	16.0	60.0	5.0	1000	63.31394534074305	0.0	0.03474412151259117	1.003075468802358	3.7846422950941045
2500	-32.05813711811265	-24.526998614259313	-7.531138503853333	7	16.0	60.0	5.0	1000	63.414767962985685	0.0	0.02645001991737212	0.991219604837383	2.9525665418116285
2600	-34.100580023735944	-26.74574204217649	-7.354837981559452	7	16.0	60.0	5.0	1000	77.23387658227614	0.0	0.041005599314969735	0.6304993803665867	2.2101179855917246
2700	-31.54412605467021	-24.093521915240128	-7.450604139430082	7	16.0	60.0	5.0	1000	62.524946720164536	0.0	0.028143990895465088	1.2238172056308307	2.615261426061999
