iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-148.25129865424844	-138.48984032514883	-9.76145832909961	2	42.0	95.0	2.5	1000	112.98291452635937	0.0	0.0008402771803463047	0.0	3.781712632227105
100	-58.22708925591036	-49.090504296364735	-9.136584959545619	2	42.0	95.0	2.5	1000	139.97483408710698	0.0	0.0003962616717503496	4.130602377896	3.369814213852104
200	-57.637659228512604	-48.460316450182944	-9.177342778329656	2	42.0	95.0	2.5	1000	162.87120364294256	0.0	0.00020767015072976978	4.026167945182592	3.3541299778362488
300	-58.57557994365811	-48.73474886875548	-9.84083107490263	2	42.0	95.0	2.5	1000	162.8935510753695	0.0	0.00018734601085079841	4.162813523147523	3.729482587914686
400	-57.783200534614124	-48.27893383885102	-9.504266695763103	2	42.0	95.0	2.5	1000	164.7262348666629	0.0	0.00014794010415988788	4.511015377763361	3.5376235970493712
500	-58.06891646944763	-48.81970748801524	-9.249208981432393	2	42.0	95.0	2.5	1000	180.13376801360866	0.0	7.789827316520732e-05	4.756026378236758	3.3305440641033837
600	-57.448746062510224	-48.449464386891414	-8.999281675618807	2	42.0	95.0	2.5	1000	174.60446225887517	0.0	8.316961914822781e-05	4.88423474707584	3.13810860211752
700	-59.06102474442733	-50.18011956229645	-8.880905182130878	2	42.0	95.0	2.5	1000	204.3418977721585	0.0	0.0002294817128521328	3.129394848202912	3.138559246783457
800	-57.43021649902791	-48.22438085874299	-9.205835640284914	2	42.0	95.0	2.5	1000	142.86753534981364	0.0	0.00033357966397508853	4.393198707899104	3.4032781160688925
900	-58.43684848275459	-48.65861537197054	-9.77823311078405	2	42.0	95.0	2.5	1000	144.85361941984675	0.0	0.0004943376547774202	4.337441779601586	3.744906389268213
1000	-61.50627558170682	-51.895482214841074	-9.610793366865746	2	42.0	95.0	2.5	1000	103.1093878478634	0.0	0.0005285818305677749	6.519808631747991	3.6546257204721715
