iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-304.1054486866869	-294.12682677703674	-9.978621909650162	22	185.0	112.5	2.5	1000	133.79555667595187	0.0	0.0008008154474825076	1.325188333336911	6.266467151038216
100	-96.4435609340787	-86.20291020544101	-10.240650728637682	22	185.0	112.5	2.5	1000	151.64321376089248	0.0	0.0007933001922740614	3.5123116159124352	6.361721266531577
200	-92.93969463449974	-82.71680213305793	-10.222892501441823	22	185.0	112.5	2.5	1000	131.90025337126963	0.0	0.0004012078322335173	4.493837279234941	6.324833288436873
300	-94.09903786810051	-83.20271487903148	-10.896322989069034	22	185.0	112.5	2.5	1000	130.77652011470255	0.0	0.0007295706765617066	3.784747726560035	6.5807260792809625
400	-95.78549807806674	-83.5425302103745	-12.242967867692249	22	185.0	112.5	2.5	1000	123.2657717277378	0.0	0.0010445151405151878	3.735562082286849	6.9326997838314455
500	-95.96174581503911	-83.94135675164048	-12.020389063398632	22	185.0	112.5	2.5	1000	122.40083333356436	0.0	0.001161447843422631	3.92912085798465	6.885687416187849
600	-94.82425838642277	-84.16757786725337	-10.656680519169406	22	185.0	112.5	2.5	1000	132.275293449427	0.0	0.0007683768805958257	3.7087042584468946	6.506740602347402
700	-96.1541268688948	-84.4646293314886	-11.689497537406211	22	185.0	112.5	2.5	1000	133.04412732285434	0.0	0.0008226222422439725	4.127697978471456	6.799531808182919
800	-93.80396355671957	-82.43210915474617	-11.37185440197339	22	185.0	112.5	2.5	1000	119.43320145985328	0.0	0.000913717460677515	4.365400071109587	6.720597749284216
900	-92.95994560496237	-83.39960678039272	-9.560338824569659	22	185.0	112.5	2.5	1000	118.6538732269382	0.0	0.0011609278084693405	3.812910893364268	6.080410706543283
1000	-91.89723086559837	-83.08777836156308	-8.8094525040353	22	185.0	112.5	2.5	1000	118.52608933536054	0.0	0.0015142255806844269	4.604401345560809	5.620545018196929
1100	-93.29628610515958	-83.51786020076786	-9.77842590439172	22	185.0	112.5	2.5	1000	123.82838927103002	0.0	0.0011526542462596953	4.274412921356795	6.18212012774551
1200	-90.30184919894229	-81.53246004179076	-8.769389157151533	22	185.0	112.5	2.5	1000	116.16256766342686	0.0	0.0010951479677457842	4.701559623482271	5.560589238560066
1300	-90.51112626316814	-81.55584349879449	-8.955282764373647	22	185.0	112.5	2.5	1000	119.02075279237508	0.0	0.000946208419432544	4.613519074928216	5.6967008816603
1400	-93.51796715719314	-84.50314379856145	-9.014823358631684	22	185.0	112.5	2.5	1000	119.02214829131684	0.0	0.0005927380133220872	5.3282683889087465	5.701104373620736
1500	-90.81854849160923	-81.69487441250546	-9.123674079103782	22	185.0	112.5	2.5	1000	139.04237280977634	0.0	0.0004621703569706878	4.334424506499351	5.767964581601719
1600	-93.96256615737703	-83.34697969077688	-10.615586466600153	22	185.0	112.5	2.5	1000	129.72496414686228	0.0	0.0006975561303416306	4.024893695087869	6.4888890201076626
1700	-93.26876230975944	-83.5320882055733	-9.736674104186129	22	185.0	112.5	2.5	1000	145.1330642459466	0.0	0.0007250776465556554	3.690108391295343	6.144214009808292
1800	-92.18078751337083	-82.11145095868048	-10.06933655469036	22	185.0	112.5	2.5	1000	134.8420622597718	0.0	0.0008423652836329556	4.1915495120663415	6.29410030131652
1900	-89.90895272913444	-80.41520953106037	-9.493743198074075	22	185.0	112.5	2.5	1000	132.0279449453736	0.0	0.0008432045008528645	4.11346181343047	6.028113531598086
2000	-93.70646321699402	-84.70826102401269	-8.998202192981337	22	185.0	112.5	2.5	1000	140.77726494768493	0.0	0.0009889202903630241	3.3869859552632846	5.739746597358376
2100	-91.95304523787993	-83.27824305340955	-8.674802184470376	22	185.0	112.5	2.5	1000	137.506240186615	0.0	0.0011473334291667724	4.036145460614605	5.487463075829963
2200	-88.97638773555784	-80.6084646130296	-8.367923122528243	22	185.0	112.5	2.5	1000	123.29335011752163	0.0	0.0011403442538813174	4.257047554632356	5.156241749661587
2300	-90.11269763927153	-81.32057453335922	-8.792123105912312	22	185.0	112.5	2.5	1000	121.8259857436024	0.0	0.0010761113519557	4.210879457974399	5.582275075833386
2400	-89.89488076137516	-80.65501238932131	-9.239868372053841	22	185.0	112.5	2.5	1000	129.49923379126398	0.0	0.0006919643519732284	4.5949244872075905	5.868461188092134
2500	-90.817485802183	-81.9167926947912	-8.90069310739181	22	185.0	112.5	2.5	1000	130.61956937023962	0.0	0.0005756425084639949	4.647129040481463	5.616579849986803
2600	-92.72789976336833	-83.45734289825207	-9.270556865116255	22	185.0	112.5	2.5	1000	148.76125225097078	0.0	0.0005438182082648137	4.069195311278091	5.8758985612051555
2700	-92.98685079372962	-83.16950066056164	-9.81735013316798	22	185.0	112.5	2.5	1000	148.05690282400695	0.0	0.00033521038636422583	4.080595372245333	6.14421825247848
2800	-92.36428360454346	-82.96674327139964	-9.397540333143818	22	185.0	112.5	2.5	1000	150.34440460836217	0.0	0.00044965561551194006	4.004910898456205	5.940855997980333
2900	-89.69349700849484	-81.14318793369613	-8.550309074798719	22	185.0	112.5	2.5	1000	123.3101548896373	0.0	0.0007209461876837226	4.817543263950947	5.310284254435732
3000	-89.20403782089255	-80.84219624824365	-8.361841572648899	22	185.0	112.5	2.5	1000	132.35017457288927	0.0	0.0007578241567399621	4.357226561003092	5.094038502322243
3100	-89.43045194965765	-81.0950807906929	-8.335371158964751	22	185.0	112.5	2.5	1000	128.5109414307552	0.0	0.000805886259410306	4.630125768040653	5.062375795487206
3200	-90.97153904017131	-82.50821477295656	-8.463324267214741	22	185.0	112.5	2.5	1000	140.2111906357586	0.0	0.0011888118856493125	3.5267680011122144	5.2832599037003956
3300	-90.82328802829905	-82.24054516122139	-8.582742867077656	22	185.0	112.5	2.5	1000	139.1530970043813	0.0	0.0008229263393668782	4.356298785682835	5.363384530724029
3400	-90.86351832519009	-82.4743586736275	-8.389159651562572	22	185.0	112.5	2.5	1000	151.61143539160577	0.0	0.0008138184632521788	3.696175491206719	5.147885456960015
3500	-91.99035393508059	-83.21699604024349	-8.773357894837105	22	185.0	112.5	2.5	1000	135.18724746320316	0.0	0.0009730999137114192	4.322371964678807	5.557255340195057
3600	-90.08419701908238	-81.7366026751898	-8.347594343892581	22	185.0	112.5	2.5	1000	132.9492921404977	0.0	0.0013511071132351932	4.2704691683887965	5.151521097281979
3700	-88.40730717949418	-80.1089500543023	-8.29835712519188	22	185.0	112.5	2.5	1000	125.9669868066467	0.0	0.001168370056661608	4.6030673291716075	5.062426348973859
3800	-89.62756439620644	-81.52080728967391	-8.106757106532527	22	185.0	112.5	2.5	1000	148.9825574305084	0.0	0.0010452928519795511	3.739833435011437	4.747525813473484
3900	-89.41259238275818	-81.1702105845895	-8.242381798168681	22	185.0	112.5	2.5	1000	136.26406389217584	0.0	0.0006547538202454534	4.245377863010472	4.89648340942915
4000	-88.5607602552756	-80.18832731439691	-8.372432940878674	22	185.0	112.5	2.5	1000	140.17058417477529	0.0	0.0006501363989163141	4.1157266437040745	5.091048209377532
4100	-89.83299728551725	-81.64052618710942	-8.192471098407832	22	185.0	112.5	2.5	1000	147.22294254247532	0.0	0.0010146718066117526	3.7632258716469265	4.893778663729565
4200	-89.77246147652647	-81.23796200822889	-8.534499468297575	22	185.0	112.5	2.5	1000	122.87017232520064	0.0	0.0013491419366237144	4.462432219333631	5.362977101339574
4300	-86.3533034306791	-77.81315907500324	-8.540144355675867	22	185.0	112.5	2.5	1000	121.1641344671786	0.0	0.0016312708745992875	4.372562021656825	5.388680367049736
4400	-88.19889598557498	-79.96685299338175	-8.232042992193223	22	185.0	112.5	2.5	1000	127.5086974277319	0.0	0.0017584297601584617	4.027269023032923	5.03379853283489
4500	-89.23816182375501	-81.13634740287465	-8.101814420880363	22	185.0	112.5	2.5	1000	120.78047284226133	0.0	0.0027791330648315703	3.551158095887409	4.91086971807662
4600	-88.17928724301417	-80.14705835678899	-8.032228886225186	22	185.0	112.5	2.5	1000	127.34868276397363	0.0	0.002133240057422096	3.9388598171588245	4.7354862091204435
4700	-89.50840649838074	-81.37930507634631	-8.129101422034424	22	185.0	112.5	2.5	1000	115.72322163963732	0.0	0.001625952854702935	4.593949240010327	4.85146090505523
4800	-89.94947916357822	-81.24880896194755	-8.70067020163067	22	185.0	112.5	2.5	1000	119.28086543163957	0.0	0.0011709975317030473	4.641025214033587	5.50714923447425
4900	-89.14319105209023	-80.79082702126095	-8.352364030829278	22	185.0	112.5	2.5	1000	125.52288602777197	0.0	0.0017324920973416224	3.9329597859913803	5.192245076248109
5000	-88.89876165138332	-80.72339144190394	-8.17537020947938	22	185.0	112.5	2.5	1000	130.16996455804218	0.0	0.0015306301103214033	4.002454688460281	4.9279738274853635
5100	-89.64477770040345	-81.10135390313314	-8.54342379727031	22	185.0	112.5	2.5	1000	123.43666916419593	0.0	0.001390428235201811	4.32529531587724	5.3765660518002125
5200	-92.44758781915228	-84.21174571770479	-8.235842101447489	22	185.0	112.5	2.5	1000	138.67721000957937	0.0	0.0017311530673589392	3.9606822699500794	5.037987109985246
5300	-92.28538981167604	-84.01037030095185	-8.275019510724194	22	185.0	112.5	2.5	1000	146.0812728810319	0.0	0.0014546138103269308	3.5795638592126084	5.0742276561344655
5400	-90.98018088243764	-82.07938701226395	-8.900793870173686	22	185.0	112.5	2.5	1000	123.78779032947433	0.0	0.002450340454738688	3.8349607748044403	5.730784015941668
5500	-89.66449591712316	-80.89820276049177	-8.766293156631384	22	185.0	112.5	2.5	1000	116.56469194108037	0.0	0.0019894117962360796	3.9603816971996	5.612622876697726
5600	-89.18160733396927	-80.94529322528497	-8.236314108684294	22	185.0	112.5	2.5	1000	123.75550969766952	0.0	0.0021051219907190374	3.885791756424433	5.066691756404546
5700	-90.10501462407932	-82.02898452028845	-8.076030103790867	22	185.0	112.5	2.5	1000	144.55776277128462	0.0	0.0014232676489552016	3.6073137285633585	4.7495959477868075
5800	-88.67971278128898	-80.71121826686152	-7.968494514427468	22	185.0	112.5	2.5	1000	116.58515376621816	0.0	0.0035569404052224894	3.843055626817947	4.709913188491384
5900	-89.99576716903944	-81.98560762560513	-8.010159543434314	22	185.0	112.5	2.5	1000	130.5401838776178	0.0	0.002734916338170625	3.256955362461764	4.752706130964484
