iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-104.36568318067062	-94.62922485157101	-9.73645832909961	4	34.0	100.0	2.5	1000	113.54491217023188	0.0	0.0008402771803463047	0.0	4.4634026099824595
100	-50.81014566798842	-41.452337866429204	-9.357807801559218	4	34.0	100.0	2.5	1000	112.36672269322318	0.0	0.0025179918979767834	3.3383560424471987	4.312458984862296
200	-50.060074619863144	-40.84409120764304	-9.215983412220105	4	34.0	100.0	2.5	1000	107.5629769972132	0.0	0.0028632661768046804	3.007358077542752	4.242525745121084
300	-50.682008281723554	-40.97029872295793	-9.71170955876563	4	34.0	100.0	2.5	1000	110.3193078654433	0.0	0.0034028115370260117	2.3375172857253865	4.503683672244161
400	-49.54928457017801	-41.082582250029226	-8.466702320148784	4	34.0	100.0	2.5	1000	105.00612244232678	0.0	0.0024042439677292955	3.9063374961725454	3.652526505555771
500	-48.87085711751483	-40.716463867499584	-8.154393250015247	4	34.0	100.0	2.5	1000	107.55243693727587	0.0	0.003696152127597481	2.5712248723347573	3.3422336425110832
600	-47.80851111411219	-40.10437983741302	-7.704131276699169	4	34.0	100.0	2.5	1000	117.41025617290276	0.0	0.00455485346306806	2.648908860004899	2.401700043572398
700	-47.843387036710226	-40.01544906060617	-7.8279379761040495	4	34.0	100.0	2.5	1000	115.63511274517388	0.0	0.0028869987460182793	3.368603642031717	2.635417347051715
800	-49.14411422974307	-41.32799327181452	-7.816120957928549	4	34.0	100.0	2.5	1000	111.62542132046966	0.0	0.005686462417661807	1.9760313861045864	2.811387831114153
900	-48.22658701439246	-40.473439084976846	-7.75314792941561	4	34.0	100.0	2.5	1000	103.76968553426322	0.0	0.006813244250621124	3.3080019017771654	2.6574111227281683
1000	-46.74447855424624	-39.28469860292325	-7.459779951322992	4	34.0	100.0	2.5	1000	107.702590297613	0.0	0.013259697558538376	2.21830569798882	1.680095787760019
1100	-46.79064161520944	-39.30666111345595	-7.483980501753487	4	34.0	100.0	2.5	1000	112.13918880259598	0.0	0.007470112296578713	3.1993735215265224	1.355312252257662
1200	-47.35882685691084	-39.91981090321262	-7.439015953698214	4	34.0	100.0	2.5	1000	129.13531826688347	0.0	0.009664340021264164	2.174939321819081	1.2330049124813458
1300	-46.65304023952702	-39.21926256576157	-7.433777673765453	4	34.0	100.0	2.5	1000	106.71239062933903	0.0	0.010373353870782741	3.285901591449075	1.1093672779648622
1400	-46.365627408946345	-38.96928585172876	-7.396341557217583	4	34.0	100.0	2.5	1000	115.35960633746582	0.0	0.012243285151575608	2.461893877190633	0.8972095383558135
1500	-49.47323176598985	-42.09858100724852	-7.374650758741335	4	34.0	100.0	2.5	1000	145.19695027722923	0.0	0.012501351718865858	2.5121794381504263	0.4935474021129048
1600	-47.56878630306967	-40.1105242212203	-7.458262081849368	4	34.0	100.0	2.5	1000	107.15134686036977	0.0	0.007264261220218573	3.9025026087080854	0.9019660470043891
1700	-46.9807497278338	-39.537953247965895	-7.4427964798679085	4	34.0	100.0	2.5	1000	129.35929267788572	0.0	0.007551336402540641	2.9470849901193126	0.8635375664862789
1800	-48.240835905853146	-40.72230836125614	-7.518527544597005	4	34.0	100.0	2.5	1000	110.12742021657716	0.0	0.004128122202839047	4.364877627773679	0.9380450785830734
1900	-47.104276893531406	-39.55665443724609	-7.547622456285319	4	34.0	100.0	2.5	1000	109.13841618669217	0.0	0.008199590996080312	3.1594595345726875	1.9144391295547682
2000	-49.95822060165448	-42.38863000029902	-7.5695906013554675	4	34.0	100.0	2.5	1000	116.92361497838533	0.0	0.01974128853152533	1.8833834229769106	2.4181553486628586
2100	-47.534246872928165	-39.98776906562188	-7.546477807306282	4	34.0	100.0	2.5	1000	102.92080307016515	0.0	0.01941019286903667	1.8477831215728824	2.3282967022202485
2200	-47.582425640878604	-40.05621839178553	-7.526207249093078	4	34.0	100.0	2.5	1000	107.70659549055394	0.0	0.017520612033919362	1.8927456928578812	2.2080045588479003
2300	-48.91394496291223	-41.38992547528735	-7.524019487624882	4	34.0	100.0	2.5	1000	107.8673465014619	0.0	0.029786982567844157	1.0341607334635705	2.3965841563921626
2400	-49.06127613744776	-41.452849525060095	-7.608426612387667	4	34.0	100.0	2.5	1000	100.41557305255235	0.0	0.010393674779730858	2.8585341130507076	2.322030690066325
2500	-50.64603217803446	-42.61143808897173	-8.034594089062727	4	34.0	100.0	2.5	1000	100.09513154627022	0.0	0.010805694494900767	1.6900312979761685	3.326814355484867
2600	-47.97894185790765	-40.069821040201624	-7.909120817706024	4	34.0	100.0	2.5	1000	112.40546253961725	0.0	0.0044457546130502075	2.696759429746864	2.951245374179666
2700	-48.21294249070115	-40.425537083535204	-7.787405407165945	4	34.0	100.0	2.5	1000	110.75318033889926	0.0	0.004261557891641475	3.59916706469698	2.6201869488636818
2800	-49.403032036146	-41.69624674385746	-7.706785292288547	4	34.0	100.0	2.5	1000	116.87221340749177	0.0	0.004806166776608433	2.1301545713649723	2.4475826898102597
2900	-49.34571430186828	-41.820726519282175	-7.524987782586104	4	34.0	100.0	2.5	1000	127.32069540662945	0.0	0.013921571285565633	1.9030387579414025	2.1124962209988616
3000	-48.47527409259297	-40.96949724083828	-7.505776851754689	4	34.0	100.0	2.5	1000	103.89837911140151	0.0	0.017052979475500652	2.8532071387277917	2.0549742900611103
3100	-49.577961572975	-42.16754524150353	-7.410416331471467	4	34.0	100.0	2.5	1000	110.89654981720541	0.0	0.02497791130657703	2.4044330009767547	1.6829479181241964
3200	-47.5898859385566	-40.214339592193504	-7.375546346363092	4	34.0	100.0	2.5	1000	109.90949745313668	0.0	0.03250971314923739	1.0642355380419155	1.6630909255314652
3300	-47.412507899203135	-40.07897435356803	-7.333533545635108	4	34.0	100.0	2.5	1000	107.49225776170711	0.0	0.04707103833599642	0.8945751936593906	1.517534716814166
3400	-50.26248262147995	-42.87619309667309	-7.386289524806854	4	34.0	100.0	2.5	1000	125.07133763597488	0.0	0.028688575830346705	1.049065830328746	1.679723566636479
3500	-49.836111033604375	-42.54546451905658	-7.2906465145477934	4	34.0	100.0	2.5	1000	114.77562545185276	0.0	0.04378299815956462	2.3375341130482012	0.7467707279940387
3600	-46.99292028660355	-39.68830516923336	-7.304615117370192	4	34.0	100.0	2.5	1000	118.37667915694496	0.0	0.03101134774603391	1.6730047275823487	0.7256274608436799
3700	-46.51877998089766	-39.09465564576004	-7.424124335137619	4	34.0	100.0	2.5	1000	109.33053698834335	0.0	0.016219783947016	1.9934030157783602	1.551260583729444
3800	-47.06078406552518	-39.58862092136909	-7.472163144156094	4	34.0	100.0	2.5	1000	109.08062052314229	0.0	0.011663430960011927	2.1071522428858094	1.6968307523173416
3900	-46.850939810084036	-39.3786854884439	-7.472254321640134	4	34.0	100.0	2.5	1000	108.87124703693175	0.0	0.010757594476035031	2.947080711544823	1.576325714500572
4000	-47.056734037661606	-39.54361317963832	-7.513120858023285	4	34.0	100.0	2.5	1000	112.47106713783768	0.0	0.012419189540035212	2.285481492875267	1.9802440506719048
4100	-47.258735432753376	-39.811332419570945	-7.447403013182431	4	34.0	100.0	2.5	1000	117.92530936853966	0.0	0.014077942141188576	2.0429515594711454	1.6385935915398542
4200	-46.66388371516017	-39.256868356122396	-7.407015359037775	4	34.0	100.0	2.5	1000	103.95512655870037	0.0	0.017597016551137223	2.0776625745428516	1.4516727339289177
4300	-50.11890204324756	-42.60799761335823	-7.510904429889327	4	34.0	100.0	2.5	1000	125.95764804917252	0.0	0.016248765950584776	1.9267889464159633	2.106721561570061
4400	-48.34817660583251	-40.55560701850505	-7.792569587327462	4	34.0	100.0	2.5	1000	102.56663925088927	0.0	0.016719688770680946	1.3444189741484078	2.9865018893749733
4500	-49.96088878802368	-41.80801304492781	-8.152875743095866	4	34.0	100.0	2.5	1000	103.48671899172648	0.0	0.019413983042847336	0.8126634844195232	3.5533759670715197
4600	-51.635620256918315	-43.7822714655084	-7.853348791409912	4	34.0	100.0	2.5	1000	113.47033957329599	0.0	0.019416033826492526	0.4006021281246663	3.1404874537140226
4700	-49.105389161591596	-41.54632437501729	-7.559064786574304	4	34.0	100.0	2.5	1000	101.53349602785971	0.0	0.015383527606765266	2.3048212708872584	2.283624107240713
4800	-46.979654206044685	-39.524755658750585	-7.454898547294096	4	34.0	100.0	2.5	1000	121.20779007124804	0.0	0.009405943940419995	2.7127116586764077	1.3227292700329574
4900	-47.87730505421395	-40.36762087622125	-7.5096841779926935	4	34.0	100.0	2.5	1000	129.22025950001157	0.0	0.006350475496754466	3.0712972347544563	1.4707764341440763
5000	-48.71644312328697	-41.105220006034585	-7.611223117252388	4	34.0	100.0	2.5	1000	120.30186941359769	0.0	0.011171157907080497	2.146680407601938	2.384203112967815
5100	-49.30412746810539	-41.51056543763971	-7.793562030465682	4	34.0	100.0	2.5	1000	113.2542077351284	0.0	0.014210717180486544	1.5228541661863924	2.956708758921589
5200	-48.37275281226082	-40.38171476261584	-7.9910380496449775	4	34.0	100.0	2.5	1000	103.08256050781159	0.0	0.00911046606933114	2.0852344870512267	3.2321619877802426
5300	-49.300492968612204	-41.003551976575686	-8.296940992036522	4	34.0	100.0	2.5	1000	106.4994596968398	0.0	0.0102827019244087	1.6171515682492166	3.642704318179007
5400	-49.5749005233396	-41.494049332005105	-8.080851191334498	4	34.0	100.0	2.5	1000	109.67184668502603	0.0	0.012886535626161957	1.7368096830023365	3.4112222904537193
5500	-49.81909586241039	-41.54551060711141	-8.273585255298984	4	34.0	100.0	2.5	1000	107.12812999612942	0.0	0.012065935532388673	1.7475172172343294	3.6316998225364348
5600	-52.08547134484903	-43.27431928416462	-8.811152060684416	4	34.0	100.0	2.5	1000	104.65853828158531	0.0	0.018777584037056393	0.25037107991670715	4.117070221937781
5700	-51.784526192017374	-42.865425742860666	-8.919100449156709	4	34.0	100.0	2.5	1000	114.31880755290095	0.0	0.00906895526383673	1.6497260072241784	4.136996289988693
5800	-50.907261994892394	-42.211197089509355	-8.696064905383043	4	34.0	100.0	2.5	1000	109.57712106343683	0.0	0.011477607993212423	0.7674331653227346	4.005363538196568
5900	-53.252676834893975	-45.097388677566	-8.155288157327972	4	34.0	100.0	2.5	1000	107.59401491356775	0.0	0.017313877850451232	2.0420912507656754	3.5311090421056837
6000	-50.15680390261841	-41.99902110646332	-8.15778279615509	4	34.0	100.0	2.5	1000	106.8508826272287	0.0	0.016665439294933325	0.7353776710320226	3.5455157932903396
6100	-52.071848905350926	-44.280363146426815	-7.79148575892411	4	34.0	100.0	2.5	1000	100.15084546108517	0.0	0.034226897839578316	0.19518030791816837	3.1089714450933004
6200	-48.536193650453406	-41.149299639488994	-7.38689401096441	4	34.0	100.0	2.5	1000	103.54628741757271	0.0	0.047920324466460426	0.3662696268345845	1.937915978293908
6300	-50.2801010220968	-42.850972699940044	-7.429128322156755	4	34.0	100.0	2.5	1000	100.8347993101877	0.0	0.02955549441082772	0.5284760163269615	1.9974538967312765
6400	-49.844599764374586	-42.24010089557024	-7.60449886880435	4	34.0	100.0	2.5	1000	102.06765073457731	0.0	0.02262417408852409	1.7545719188255835	2.5728336052791327
6500	-47.212147806270096	-39.68175717664468	-7.530390629625413	4	34.0	100.0	2.5	1000	102.57984891550399	0.0	0.01554113500722447	2.2022376152062106	2.167991609014788
6600	-46.399595397447925	-39.00285555380088	-7.396739843647045	4	34.0	100.0	2.5	1000	103.36545294404382	0.0	0.020596679174075004	2.092635288042481	1.4731271797662808
6700	-50.431457915440696	-43.04192678585652	-7.389531129584176	4	34.0	100.0	2.5	1000	104.52419102606645	0.0	0.02331826940728396	3.2582006668334347	1.3852558489964564
6800	-47.917839492444685	-40.62358528624954	-7.294254206195141	4	34.0	100.0	2.5	1000	109.62714605550397	0.0	0.03556364101014582	0.8317473074329086	0.8560668333166835
6900	-47.930364481986665	-40.471640528682215	-7.458723953304451	4	34.0	100.0	2.5	1000	102.72899346460652	0.0	0.020958894879751406	2.4189543885165383	1.912048767242969
7000	-47.77730743867624	-40.33804849681435	-7.439258941861889	4	34.0	100.0	2.5	1000	119.50716038115414	0.0	0.016740047260339	1.9083123204496626	1.6978721038251758
7100	-46.56265845834873	-39.1339611529904	-7.4286973053583285	4	34.0	100.0	2.5	1000	105.48508653765026	0.0	0.013833601554038701	2.207588976226925	1.4524518947406413
7200	-46.822939303686915	-39.43001556242266	-7.392923741264255	4	34.0	100.0	2.5	1000	116.61745197721723	0.0	0.016747095664848756	1.9509163612214335	1.2790609969536197
