iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-452.57678434379176	-442.85104030040645	-9.725744043385326	7	144.0	100.0	2.5	1000	125.16959958703836	0.0	0.0008402771803463047	0.0	5.018067697140371
100	-89.80411312359323	-79.90573442732757	-9.89837869626566	7	144.0	100.0	2.5	1000	146.58418877600374	0.0	0.000639661062808839	4.403930399956954	5.064019194155083
200	-89.78561020668062	-80.29814980026904	-9.487460406411564	7	144.0	100.0	2.5	1000	145.7689803189613	0.0	0.0006370496986919427	4.106763043837419	4.8647649419824965
300	-89.12543418194659	-80.27209852637736	-8.853335655569229	7	144.0	100.0	2.5	1000	131.9536517806577	0.0	0.0011411956129761536	4.150549513588955	4.491628265017241
400	-91.62472998623988	-82.00825592296998	-9.616474063269909	7	144.0	100.0	2.5	1000	121.89940236787544	0.0	0.0015329630833088234	3.83013572873953	4.976382743154024
500	-90.59168325335305	-80.90000502062556	-9.691678232727497	7	144.0	100.0	2.5	1000	127.6434853084545	0.0	0.0033418075912526784	3.480796654991754	5.0484864127103775
600	-91.24847712287757	-80.73783421495888	-10.510642907918701	7	144.0	100.0	2.5	1000	108.23990482304121	0.0	0.0029625581474023795	3.850050381130049	5.356769633154924
700	-88.76052425513079	-78.02293170481255	-10.737592550318235	7	144.0	100.0	2.5	1000	120.62780047753779	0.0	0.0036645258076549777	3.4205244432551423	5.43662347411338
800	-91.93802941792562	-82.16538602904659	-9.772643388879034	7	144.0	100.0	2.5	1000	111.02611751024253	0.0	0.004950013807627426	4.06481362607465	5.0979304922149336
900	-90.4280013807538	-80.17856937625432	-10.249432004499482	7	144.0	100.0	2.5	1000	121.10010070740968	0.0	0.003866743529228752	3.315936638225392	5.277753450329948
1000	-90.06206112735268	-79.76558914808238	-10.296471979270294	7	144.0	100.0	2.5	1000	128.36382547952363	0.0	0.003894561231459729	3.12105257056382	5.295346277413106
1100	-88.5080789522703	-78.78540047934445	-9.722678472925855	7	144.0	100.0	2.5	1000	112.95940197924291	0.0	0.005291086139884951	3.233828387845568	5.082704863192311
1200	-89.14140330891553	-80.18100740203526	-8.960395906880272	7	144.0	100.0	2.5	1000	105.35503460758477	0.0	0.010046584148656897	3.6780731888761817	4.715766074558302
1300	-86.73461378670167	-78.06567242284486	-8.668941363856819	7	144.0	100.0	2.5	1000	115.61260164582559	0.0	0.008880377243705398	3.156542839479241	4.509490567214482
1400	-83.72648439941881	-75.7146012228731	-8.011883176545709	7	144.0	100.0	2.5	1000	114.448070929344	0.0	0.00991501013140332	3.124568632431447	3.8199699185209113
1500	-85.64303796848034	-77.55586169277015	-8.087176275710195	7	144.0	100.0	2.5	1000	120.6783598663605	0.0	0.006017079658683957	2.9788385958593286	3.8660227384062464
1600	-84.65196787048092	-76.9071210038202	-7.744846866660729	7	144.0	100.0	2.5	1000	127.62426489316164	0.0	0.002469080050555151	4.068227314135008	2.8355353387300046
1700	-84.03664282271723	-76.27300521023031	-7.76363761248692	7	144.0	100.0	2.5	1000	128.03472297766984	0.0	0.002746026514238482	4.402589722568653	2.936279324759998
1800	-82.66465088398043	-75.10209782408862	-7.56255305989181	7	144.0	100.0	2.5	1000	155.54429207287328	0.0	0.0035276406016486244	3.1975182639891657	1.989494379140964
1900	-80.50304390286077	-73.01675146419008	-7.486292438670682	7	144.0	100.0	2.5	1000	151.43973118800008	0.0	0.005550125081262547	3.377350546418383	1.5848325127830905
2000	-79.39969363053449	-71.93524915967195	-7.464444470862535	7	144.0	100.0	2.5	1000	130.21819767846006	0.0	0.00794000339565514	3.8940585481381276	1.672747315893239
2100	-79.51629767581385	-72.04195285674318	-7.474344819070672	7	144.0	100.0	2.5	1000	127.87889815555044	0.0	0.006616001654356966	4.098103955523693	1.546007536813345
2200	-80.14973845065974	-72.69756720759993	-7.452171243059807	7	144.0	100.0	2.5	1000	140.53920697906935	0.0	0.007620504589003629	3.638927116888465	1.47730330920425
2300	-78.55436640593246	-71.1454809200581	-7.408885485874352	7	144.0	100.0	2.5	1000	136.3242705318144	0.0	0.00839533805342956	3.7088684806508834	0.6553169170653381
2400	-77.54381196787347	-70.20623168386953	-7.337580284003941	7	144.0	100.0	2.5	1000	120.42811736507241	0.0	0.021086481777080442	3.525185244906505	0.9636612292293776
2500	-76.39578012390015	-69.10959119651693	-7.2861889273832245	7	144.0	100.0	2.5	1000	118.60287978613725	0.0	0.0347967061529134	3.2181082916735333	0.5796162719431411
2600	-73.20599019523353	-65.9766422761108	-7.229347919122727	7	144.0	100.0	2.5	1000	109.97776991191945	0.0	0.10498912887854832	2.546894395043655	0.08911038187511972
2700	-73.7120011234218	-66.47202313094502	-7.239977992476783	7	144.0	100.0	2.5	1000	102.08065120560104	0.0	0.157341629477549	2.0696176821810477	0.29167166527173305
2800	-70.3747984945885	-63.122958747724496	-7.251839746864015	7	144.0	100.0	2.5	1000	103.07350608422692	0.0	0.18749174334821034	2.222982298067485	0.16409878163339492
2900	-72.29131360579437	-65.03538388672082	-7.255929719073547	7	144.0	100.0	2.5	1000	100.84711479127934	0.0	0.21799563635759667	1.394138634771124	-0.035908591843411955
3000	-71.7134958766142	-64.39477989976314	-7.3187159768510694	7	144.0	100.0	2.5	1000	100.13509938666178	0.0	0.32628109778382347	1.0547768206953683	-0.1739640848513374
3100	-72.57251710095203	-65.25537302982298	-7.317144071129045	7	144.0	100.0	2.5	1000	100.13302860555419	0.0	0.30911006046990736	1.3487522598469808	0.2986593592871995
3200	-72.69096260048406	-65.39876907897721	-7.292193521506853	7	144.0	100.0	2.5	1000	104.00138252716992	0.0	0.2621643888691714	1.9965836477397811	0.2477560481763625
3300	-73.81156361243714	-66.47412320489522	-7.337440407541921	7	144.0	100.0	2.5	1000	103.93099769685766	0.0	0.3431739066700882	0.8478632669737655	0.3830330653975485
3400	-73.04913360946108	-65.67032754622664	-7.378806063234439	7	144.0	100.0	2.5	1000	100.79492271930175	0.0	0.39618027857631244	0.9192088559604614	0.4745922289961529
3500	-73.42974574919052	-66.08816164393292	-7.341584105257593	7	144.0	100.0	2.5	1000	101.07774843405574	0.0	0.34683193396487394	0.8720757780706351	0.4434001294773035
3600	-72.90280148151597	-65.6231759977569	-7.279625483759066	7	144.0	100.0	2.5	1000	106.4957584463234	0.0	0.24999352589596438	1.082322395219156	0.4450517338607049
3700	-74.88966916534282	-67.59372602109732	-7.2959431442455	7	144.0	100.0	2.5	1000	103.12989860930885	0.0	0.28631319104807484	0.6524006043443087	0.3442523955097231
3800	-69.23673305049165	-61.75274876440665	-7.4839842860850085	7	144.0	100.0	2.5	1000	104.99733404103644	0.0	0.5460889740340521	1.1255009773290034	-0.5478198908420964
3900	-67.1976684472915	-59.548143190283525	-7.649525257007976	7	144.0	100.0	2.5	1000	103.40674807720436	0.0	0.7512112127107301	0.9111799278791497	-1.6613654230218051
4000	-67.7845782365083	-59.94978681940609	-7.8347914171022035	7	144.0	100.0	2.5	1000	101.04285748849045	0.0	0.969240963088645	0.07644207696530403	-1.3298024879556025
4100	-67.30086499598401	-59.71936263534007	-7.581502360643951	7	144.0	100.0	2.5	1000	102.1525009724038	0.0	0.6748324628959308	0.5597884268844147	-1.3085686171036333
4200	-67.31819489474672	-59.803452337052626	-7.514742557694093	7	144.0	100.0	2.5	1000	104.6897698625063	0.0	0.5966323894722768	0.7019350416513449	-2.2129292518932315
4300	-67.41661092097999	-59.96203913081176	-7.454571790168233	7	144.0	100.0	2.5	1000	104.15668369580227	0.0	0.521732569701888	0.7945631715789755	-1.9910528216810726
4400	-68.09537495642003	-60.6102827671253	-7.485092189294731	7	144.0	100.0	2.5	1000	103.63040815146516	0.0	0.5611841339492052	0.6295890738470982	-1.9869756773018046
4500	-67.1708889568878	-59.53739635174018	-7.633492605147612	7	144.0	100.0	2.5	1000	100.75052926743727	0.0	0.7335621397612019	0.8910306885664694	-1.8923866908233966
4600	-66.96267026505365	-59.196314772236214	-7.766355492817439	7	144.0	100.0	2.5	1000	103.55687582053812	0.0	0.8924309213257392	0.3280124442415224	-2.3364575302786736
4700	-67.52960876963894	-60.11376995249094	-7.4158388171479945	7	144.0	100.0	2.5	1000	103.73211857001692	0.0	0.4680549208045844	1.1787413900739	-1.872312479358058
4800	-68.7053250845636	-61.27878078077224	-7.426544303791358	7	144.0	100.0	2.5	1000	103.32016939711778	0.0	0.4871825121309928	0.7131772635310546	-1.7690933803040547
4900	-67.95327351737944	-60.51642721770481	-7.436846299674634	7	144.0	100.0	2.5	1000	100.6700029128426	0.0	0.49841472374185525	0.7377256603083977	-1.3953580201487696
5000	-67.69812598885102	-60.19201895104912	-7.50610703780189	7	144.0	100.0	2.5	1000	104.2339248740797	0.0	0.5824920881717588	0.7673899904692272	-1.2694109050257323
5100	-67.41967786917638	-60.00214441320026	-7.417533455976123	7	144.0	100.0	2.5	1000	101.00237063732257	0.0	0.4708327811251886	1.0416082077634392	-1.5354585744861222
5200	-70.4821640228873	-62.865210296530456	-7.616953726356844	7	144.0	100.0	2.5	1000	103.7617012327569	0.0	0.7129328423292617	0.5977425152103166	-0.8149372412507215
5300	-68.91218173706083	-61.477170227713636	-7.435011509347198	7	144.0	100.0	2.5	1000	101.47184767386089	0.0	0.48572943682603176	1.2458470223440896	-0.7526236574108318
5400	-70.7722995643908	-63.466730338567416	-7.3055692258233975	7	144.0	100.0	2.5	1000	105.86668035899771	0.0	0.305280921027248	1.6113751083927377	-0.6259372249771369
5500	-68.20018985615167	-60.69508931791776	-7.505100538233903	7	144.0	100.0	2.5	1000	101.05223988090701	0.0	0.5841889786995562	0.47346578487660984	-1.1461153217633828
5600	-66.44355486656481	-58.67852504898953	-7.765029817575281	7	144.0	100.0	2.5	1000	101.25583792030167	0.0	0.8864532818287919	0.6367463785703955	-1.8379180801303303
5700	-65.91434630212252	-58.13062592265767	-7.783720379464855	7	144.0	100.0	2.5	1000	100.09241865211823	0.0	0.9116902936531552	0.3409542750499446	-2.2590006876528905
5800	-68.2737122264376	-60.55529091221899	-7.7184213142186	7	144.0	100.0	2.5	1000	101.94602496689853	0.0	0.8311682614180307	0.8642996149948295	-1.8550561559831145
5900	-70.3890351108484	-62.49166275925119	-7.897372351597202	7	144.0	100.0	2.5	1000	101.92802609380851	0.0	1.0342038211376148	0.701071677202788	-2.165684215091422
6000	-66.95032272737453	-59.30725558316826	-7.6430671442062605	7	144.0	100.0	2.5	1000	101.58654573888681	0.0	0.7526849864614464	0.2737291677279998	-2.3582817472410667
6100	-66.33356531828036	-58.47190879292815	-7.861656525352217	7	144.0	100.0	2.5	1000	101.06261401997608	0.0	0.9959685782285684	0.5782131419031995	-2.1774383935309847
6200	-67.78108514042376	-59.73155564500403	-8.049529495419733	7	144.0	100.0	2.5	1000	104.67141870939153	0.0	1.2073099447730382	0.16786162999436294	-2.2554185950557106
6300	-66.67474960778189	-59.076024690846076	-7.598724916935817	7	144.0	100.0	2.5	1000	100.11926076684452	0.0	0.6943253052835434	0.8590741155249508	-2.29145255680171
6400	-65.47404145444406	-57.37516947104763	-8.098871983396432	7	144.0	100.0	2.5	1000	101.09583331153114	0.0	1.2605328155499047	0.2063034448409739	-2.2231068084170116
6500	-68.31778755524537	-60.32067810230885	-7.997109452936525	7	144.0	100.0	2.5	1000	100.02202966865184	0.0	1.1477574527989984	0.23058240964931379	-1.579376008667242
6600	-67.21419749484966	-59.63606426401856	-7.578133230831096	7	144.0	100.0	2.5	1000	101.21729813264496	0.0	0.6679993050914451	0.9396112956688857	-1.739710425845312
6700	-67.87937755869436	-60.36211993662964	-7.517257622064726	7	144.0	100.0	2.5	1000	104.93692335501984	0.0	0.5897182676374614	1.028951284482289	-0.7788844097002493
6800	-68.53820223391423	-61.01741170119253	-7.520790532721703	7	144.0	100.0	2.5	1000	105.28454729795345	0.0	0.6020416625360596	0.7452289890323944	-1.6768521606246891
6900	-66.94845874238051	-59.37548298560764	-7.572975756772873	7	144.0	100.0	2.5	1000	101.06105396787937	0.0	0.6612943048851958	0.9101987153630198	-1.4529906583506533
7000	-71.41557138422324	-64.08437053484602	-7.331200849377224	7	144.0	100.0	2.5	1000	111.45450719113282	0.0	0.34966224501808757	1.4732138350452133	-1.3125208115457312
7100	-69.33263397107744	-61.9970621606211	-7.335571810456349	7	144.0	100.0	2.5	1000	108.56581943815772	0.0	0.35684820515874427	1.523921365926253	-1.7203957789614754
7200	-69.56308802867652	-62.239743608424966	-7.323344420251553	7	144.0	100.0	2.5	1000	101.29671888822122	0.0	0.3432784548118301	1.117442669474356	-1.2513590230604112
7300	-73.32804188437574	-66.09725296707335	-7.230788917302395	7	144.0	100.0	2.5	1000	107.9876255674816	0.0	0.1844670593238294	1.3698776314386365	-0.9167246407800088
7400	-71.84231439999903	-64.57921904299985	-7.263095356999172	7	144.0	100.0	2.5	1000	111.13025859729264	0.0	0.23680232966013462	1.9574294705383168	-1.0942043828964811
7500	-70.24767497968415	-62.824777644742866	-7.422897334941283	7	144.0	100.0	2.5	1000	101.45397802440793	0.0	0.48481018361516687	0.4620325972353235	-1.5010577737037127
7600	-71.03834321937306	-63.812780952013284	-7.2255622673597815	7	144.0	100.0	2.5	1000	111.37684465236585	0.0	0.15679631029950328	2.148312170457555	-1.2435944217839616
7700	-70.35068200118879	-63.084049134537075	-7.266632866651714	7	144.0	100.0	2.5	1000	102.41640499118927	0.0	0.24758079505976077	1.8938487000501598	-1.6926883238493593
7800	-72.7632426020399	-65.54762323894356	-7.215619363096337	7	144.0	100.0	2.5	1000	112.06553752083596	0.0	0.11925712747727059	2.1876032986097522	-1.284019866158884
7900	-72.77965181503238	-65.56321127573521	-7.216440539297169	7	144.0	100.0	2.5	1000	112.64569391843395	0.0	0.10358615624804772	2.3375053272074755	-1.0779472433978974
8000	-73.31522258139269	-66.09329986136592	-7.221922720026774	7	144.0	100.0	2.5	1000	117.34846875861167	0.0	0.08709025948901244	2.5500898260310083	-0.6621542814232093
8100	-71.80790698482765	-64.57726488784392	-7.2306420969837255	7	144.0	100.0	2.5	1000	106.40173904028701	0.0	0.10646801292138994	3.044609256831779	-0.18658749782914213
8200	-71.58206830461307	-64.34787962805943	-7.234188676553648	7	144.0	100.0	2.5	1000	110.49049695056752	0.0	0.17575824489372027	1.872377231679214	-0.5849267773259718
8300	-72.42564273188903	-65.1643550089578	-7.261287722931228	7	144.0	100.0	2.5	1000	107.69158641176182	0.0	0.22732393730861958	1.950187456740902	-0.5261415861583927
8400	-71.74523792047415	-64.39986971385642	-7.345368206617734	7	144.0	100.0	2.5	1000	110.95950324892677	0.0	0.3694943500457035	1.2593289519912243	-0.8952578654513701
8500	-68.32303253284793	-60.90016792114264	-7.42286461170529	7	144.0	100.0	2.5	1000	100.1411913062008	0.0	0.47472589492231404	0.9547838597584842	-0.833699968841652
8600	-71.63225155741473	-64.04843637146521	-7.583815185949513	7	144.0	100.0	2.5	1000	106.95194682990648	0.0	0.6711559339014257	0.9297554587068153	-0.9358718700235971
8700	-68.4968013646454	-61.042667709535	-7.454133655110403	7	144.0	100.0	2.5	1000	100.22779352224119	0.0	0.5124871306602612	1.3505315278230534	-1.4324294152643455
8800	-67.97548358047733	-60.504602838065566	-7.470880742411764	7	144.0	100.0	2.5	1000	101.36378352406496	0.0	0.5332240903074383	1.2224111846750076	-1.118454040933881
8900	-68.00366922178834	-60.332961655935264	-7.670707565853084	7	144.0	100.0	2.5	1000	105.67533365347037	0.0	0.7762046009288572	0.4703354612158518	-0.7747908367883652
