iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-63.22556707927472	-53.46410875017511	-9.76145832909961	2	16.0	65.0	5.0	1000	85.63886928706705	0.0	0.0008402771803463047	0.0	3.781712632227105
100	-33.88722598803017	-25.1233953379999	-8.763830650030268	2	16.0	65.0	5.0	1000	104.38820335081061	0.0	0.0016813646576745824	3.4202335372138517	3.2037615051261783
200	-34.509458928673155	-25.34935499557968	-9.160103933093477	2	16.0	65.0	5.0	1000	91.10478012196589	0.0	0.002335862475484809	4.428947071842661	3.496300481495243
300	-32.70296453194502	-24.33108965473233	-8.37187487721269	2	16.0	65.0	5.0	1000	88.8227371605992	0.0	0.0030654210173993043	3.690697713422393	2.8850940840322403
400	-35.761706955874665	-26.1443250086127	-9.617381947261965	2	16.0	65.0	5.0	1000	77.73439617639235	0.0	0.008344484743623048	3.435223767460737	3.8013984100319833
500	-34.32900899804076	-24.856519734873494	-9.472489263167272	2	16.0	65.0	5.0	1000	68.66653100264115	0.0	0.00496236357050698	3.127853349553404	3.712487681817983
600	-36.69461116889107	-27.925459594051333	-8.76915157483974	2	16.0	65.0	5.0	1000	68.81245461498077	0.0	0.009116606227863262	5.287874331006757	3.317458912498535
700	-36.79575309403292	-28.16135125971546	-8.634401834317458	2	16.0	65.0	5.0	1000	83.9949306925597	0.0	0.030692796891492406	0.023264449735520998	3.3302174137205753
800	-32.9907230689624	-24.98577105107768	-8.004952017884722	2	16.0	65.0	5.0	1000	73.95454409513182	0.0	0.023867037451527986	1.9450990552978313	2.6813303253403897
900	-33.949281595946296	-26.210222982770926	-7.739058613175373	2	16.0	65.0	5.0	1000	73.11058056678402	0.0	0.01567613203469434	4.319651386721685	2.0961549216614306
1000	-31.684781416868645	-24.10456363658257	-7.580217780286077	2	16.0	65.0	5.0	1000	74.76051266893249	0.0	0.013888983554001236	3.7707892066152935	1.5813352524121411
1100	-32.88641186864255	-25.463496664799372	-7.422915203843175	2	16.0	65.0	5.0	1000	67.49960056836122	0.0	0.023586593228135104	2.9842076969430855	1.0071986156378057
1200	-33.614820903598186	-25.935251910238435	-7.679568993359748	2	16.0	65.0	5.0	1000	88.97001000070418	0.0	0.01929892633557625	1.9238215139112023	2.0499572007984006
1300	-32.633507698746996	-25.198123658854342	-7.435384039892654	2	16.0	65.0	5.0	1000	87.27726347084656	0.0	0.02741449638964871	2.025369485732009	1.2247436504267886
1400	-31.414687042669534	-24.09324650046548	-7.321440542204055	2	16.0	65.0	5.0	1000	76.0772900847946	0.0	0.049655026294578505	1.719078403128627	0.6569636642278678
1500	-35.07399217909557	-27.75853463971739	-7.315457539378181	2	16.0	65.0	5.0	1000	75.86152992761821	0.0	0.18058820741688725	0.09437310646516639	0.7408812586164926
1600	-30.931958588747708	-23.68114595897313	-7.250812629774579	2	16.0	65.0	5.0	1000	69.22614999369952	0.0	0.12609643565546344	0.45627295514223787	0.0989362631159338
1700	-31.28043816451953	-24.01623047116538	-7.26420769335415	2	16.0	65.0	5.0	1000	72.51711139758588	0.0	0.08045040096972474	1.5675844659659663	0.15164184141598533
1800	-35.23598882323252	-27.98723237165916	-7.248756451573356	2	16.0	65.0	5.0	1000	80.42049601410967	0.0	0.14213697518657842	1.6050639186233637	-0.2852957953424968
1900	-32.87033595367005	-25.590965381866067	-7.2793705718039865	2	16.0	65.0	5.0	1000	76.95620012965378	0.0	0.11681214729761918	0.1994561141877641	0.5648842204969002
2000	-31.4061460573251	-24.10614697648043	-7.2999990808446675	2	16.0	65.0	5.0	1000	69.85778162669904	0.0	0.07407671295629313	1.559913358736488	0.6116658352129465
2100	-31.128790927125532	-23.84827736180515	-7.2805135653203825	2	16.0	65.0	5.0	1000	69.51505662874773	0.0	0.08034446176581803	1.3189727932514046	0.4311760812765763
2200	-31.21407322671479	-23.89741348530448	-7.316659741410309	2	16.0	65.0	5.0	1000	69.54368987596975	0.0	0.06067650495721151	2.0389162686098348	0.6677407905496614
2300	-31.288892276871255	-23.952407225957202	-7.336485050914054	2	16.0	65.0	5.0	1000	69.22557056234662	0.0	0.0720029033155064	0.5545081255129678	1.0148635465893054
2400	-32.48706738228008	-25.013551140256737	-7.473516242023343	2	16.0	65.0	5.0	1000	69.25285862245978	0.0	0.028456074659799234	3.700774089883391	1.3570211854735363
2500	-31.916221948686932	-24.312894302279595	-7.603327646407337	2	16.0	65.0	5.0	1000	69.02243609147467	0.0	0.02866125852310527	1.2877810064170947	1.9421454874903923
2600	-32.203118899506705	-24.43107769096475	-7.772041208541955	2	16.0	65.0	5.0	1000	68.23820048837435	0.0	0.011330923303980582	3.882074698190821	2.1186255450347224
2700	-32.110598563726434	-24.282925824297998	-7.827672739428435	2	16.0	65.0	5.0	1000	68.19712478489639	0.0	0.030906541114183037	1.5065207964860021	2.444326656422895
2800	-33.67069486077896	-26.02310986623961	-7.647584994539345	2	16.0	65.0	5.0	1000	66.93303593308312	0.0	0.030046016502530547	1.1885247818029767	2.0725890508674834
2900	-32.67672224869917	-25.19293106303374	-7.4837911856654316	2	16.0	65.0	5.0	1000	73.11517806664715	0.0	0.06101262431991388	0.47002860341044217	1.7246504991318667
3000	-34.24086858859972	-26.840346303098205	-7.400522285501511	2	16.0	65.0	5.0	1000	89.75887963516065	0.0	0.04316527969150177	0.5961641040861425	1.2767062845406916
3100	-31.341323990755434	-23.928771400315043	-7.412552590440391	2	16.0	65.0	5.0	1000	73.83733717551196	0.0	0.02384514748481918	3.3131502044190033	0.9088684465666685
3200	-31.52056309974959	-24.046261020385238	-7.474302079364353	2	16.0	65.0	5.0	1000	74.04833167424087	0.0	0.022080839776707533	3.279386485912302	1.2822664821800263
3300	-33.29255422890735	-25.87457508588132	-7.417979143026026	2	16.0	65.0	5.0	1000	80.59086992220807	0.0	0.04968770504653698	0.9132542194704195	1.3916613434558052
3400	-32.86226569573108	-25.523729241754637	-7.338536453976442	2	16.0	65.0	5.0	1000	69.0620231845408	0.0	0.05659721177064518	3.2072403671077803	0.7400731807644952
3500	-32.956784630475084	-25.62980617417308	-7.326978456302007	2	16.0	65.0	5.0	1000	73.34479669128997	0.0	0.10843899552389838	0.4278090054838395	0.9874705104465746
3600	-32.10091322627115	-24.828299569064015	-7.272613657207136	2	16.0	65.0	5.0	1000	70.2795236335234	0.0	0.06016425951449662	0.4705688746931055	0.3190817716592472
3700	-31.76792512567409	-24.509590103480576	-7.258335022193513	2	16.0	65.0	5.0	1000	78.93434808220461	0.0	0.05655953281570514	1.1210809466920804	-0.09572507600360565
3800	-33.24613319026516	-25.8731700326798	-7.372963157585363	2	16.0	65.0	5.0	1000	80.08835329877213	0.0	0.025496542412837497	1.2506707941629158	0.7898729646702707
3900	-31.23033464591303	-23.888572945972452	-7.341761699940577	2	16.0	65.0	5.0	1000	67.69498812979282	0.0	0.046306540605646436	1.3517222479644564	0.8485076390899521
4000	-32.27768277734802	-24.62116836320117	-7.656514414146845	2	16.0	65.0	5.0	1000	68.16302347711623	0.0	0.040442433119219245	0.5842265124392543	2.1553819374407386
4100	-32.5745819840494	-24.49584136134405	-8.078740622705357	2	16.0	65.0	5.0	1000	69.55443682748513	0.0	0.02518873365030634	1.405242154523103	2.7892992990801293
