iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-181.46778663026535	-171.79776860973223	-9.670018020533124	24	84.0	72.5	2.5	1000	86.22380319116898	0.0	0.0009015386912096064	1.2616747399636172	6.221373705743036
100	-64.63407079580483	-54.28867013482431	-10.345400660980518	24	84.0	72.5	2.5	1000	88.73794600110743	0.0	0.0009395337141820243	6.006184550625475	6.48475874260443
200	-63.20678148712792	-54.434584229255705	-8.772197257872216	24	84.0	72.5	2.5	1000	104.03924053615513	0.0	0.0015501844870159506	4.157080094633318	5.682971665413867
300	-60.83434912178855	-52.7937318571074	-8.040617264681147	24	84.0	72.5	2.5	1000	103.03009823922484	0.0	0.002305845058331594	4.136235180829591	4.849217734501667
400	-62.771829173788355	-54.45929782717238	-8.312531346615975	24	84.0	72.5	2.5	1000	98.35922948653888	0.0	0.002245425792829458	4.805927743292938	5.250543506664773
500	-60.40408435045758	-52.15676927498162	-8.24731507547596	24	84.0	72.5	2.5	1000	90.41053418270879	0.0	0.00209100560411392	5.141385005586459	5.150628672993582
600	-61.30716002207998	-53.081948467035815	-8.225211555044162	24	84.0	72.5	2.5	1000	98.92309784079235	0.0	0.0008821545799899928	5.491187899962732	4.983420891727601
700	-62.48013768999793	-54.13560624614881	-8.344531443849117	24	84.0	72.5	2.5	1000	96.92113017328344	0.0	0.0006876793846395509	6.489817013209283	5.113688470545801
800	-60.76421749639607	-52.83252842450451	-7.93168907189156	24	84.0	72.5	2.5	1000	111.46005069391782	0.0	0.0005547091802550687	5.481883737263779	4.166576027291627
900	-60.166770750743595	-52.31992956206521	-7.846841188678379	24	84.0	72.5	2.5	1000	116.17405270715508	0.0	0.0008639575994395374	5.222106441994194	4.013024489586453
1000	-60.90483687698196	-53.05925147577666	-7.845585401205295	24	84.0	72.5	2.5	1000	123.5129765772107	0.0	0.0004708400558782304	4.982001085496585	3.716373030085324
1100	-60.9384395124325	-53.0507654760048	-7.887674036427701	24	84.0	72.5	2.5	1000	124.48713935838954	0.0	0.0003332478972067519	5.306108302352427	3.741857846236022
1200	-60.34329398850485	-52.57747451187407	-7.765819476630774	24	84.0	72.5	2.5	1000	110.54874034508522	0.0	0.0006503705828950195	5.706317441964038	3.3301418492560275
1300	-61.70334668623406	-54.01312368559938	-7.690223000634679	24	84.0	72.5	2.5	1000	97.80820689221203	0.0	0.0009957291830729076	6.076477071957196	2.9470814488079444
1400	-61.26918502442012	-53.61819439042094	-7.65099063399918	24	84.0	72.5	2.5	1000	106.45683865534996	0.0	0.0022282137755793656	5.067161974443541	3.436969552029298
