iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-173.0245799331806	-163.29883588979527	-9.725744043385326	7	63.0	115.0	2.5	1000	136.76879126875082	0.0	0.0008402771803463047	0.0	5.018067697140371
100	-80.92477274334817	-72.20668856529333	-8.718084178054834	7	63.0	115.0	2.5	1000	159.27780266475398	0.0	0.0015654578039174193	2.381527685156874	4.42149255331802
200	-81.37049571706802	-73.1104911846743	-8.260004532393722	7	63.0	115.0	2.5	1000	182.96547902658276	0.0	0.0021310495914250087	1.842610860753021	3.982510042203497
300	-82.71584792607082	-74.21485476665764	-8.50099315941318	7	63.0	115.0	2.5	1000	157.71974203805652	0.0	0.004826296140743777	1.2400542452221275	4.33697843280713
400	-79.21553661127187	-70.81224428255314	-8.40329232871873	7	63.0	115.0	2.5	1000	128.15199506632044	0.0	0.004331968126544099	2.5754151715685194	4.219220940944989
500	-80.06240957317684	-71.7281916455636	-8.334217927613246	7	63.0	115.0	2.5	1000	161.0244619536785	0.0	0.0031553081122053703	2.004433591605804	4.117553103469241
600	-79.66984756031562	-70.85925516793158	-8.810592392384041	7	63.0	115.0	2.5	1000	143.10320048756097	0.0	0.0036142206337165675	1.8064011518014143	4.562388348302844
700	-78.683466462026	-70.14973751422141	-8.533728947804587	7	63.0	115.0	2.5	1000	138.1044563565954	0.0	0.005819600809148319	2.297887341990909	4.372830343693625
800	-76.68202549309314	-68.5943922250859	-8.087633268007243	7	63.0	115.0	2.5	1000	129.3809872811909	0.0	0.007972197947913809	2.121279921133159	3.9163539133525638
900	-75.80034712556359	-68.07554186437224	-7.7248052611913485	7	63.0	115.0	2.5	1000	134.35650900634127	0.0	0.01658359655877429	1.1269936365532423	3.402510975825015
1000	-75.52734862963696	-67.39447060235516	-8.132878027281805	7	63.0	115.0	2.5	1000	120.13900518457599	0.0	0.030846344238470946	0.1094494482394398	4.137765501371667
1100	-83.17089449686088	-73.09326082554308	-10.077633671317797	7	63.0	115.0	2.5	1000	115.46984078575946	0.0	0.03037424192924501	0.36102312441169904	5.29101337163488
1200	-76.42986363790186	-67.63202456502596	-8.79783907287591	7	63.0	115.0	2.5	1000	122.06405370122762	0.0	0.02292202952220241	0.09455911930293037	4.679318061937762
1300	-77.80368102198783	-68.9447541145745	-8.858926907413338	7	63.0	115.0	2.5	1000	117.65718709000097	0.0	0.01957446452283576	0.29174448007704834	4.709205333028324
1400	-77.80163666519044	-69.31982868177589	-8.481807983414555	7	63.0	115.0	2.5	1000	120.32987064996182	0.0	0.016867731230382096	1.461743127685034	4.417566648275048
1500	-76.11475558818432	-67.90336411618175	-8.211391472002582	7	63.0	115.0	2.5	1000	120.54208241418407	0.0	0.024470057567829363	0.3839446765070333	4.201580374716956
1600	-76.11359471668922	-67.92759292485104	-8.186001791838184	7	63.0	115.0	2.5	1000	129.31867835885382	0.0	0.014639326679089407	1.1166623661734527	4.120558032691523
1700	-74.36869123460234	-66.45118282970495	-7.917508404897385	7	63.0	115.0	2.5	1000	123.36632026245627	0.0	0.023780526303265083	0.9096433403317741	3.822102340174517
1800	-77.23516548709927	-68.80937267579606	-8.425792811303218	7	63.0	115.0	2.5	1000	123.28265652331162	0.0	0.026227464030322046	0.8476969839955769	4.404738635648395
1900	-74.86377542465044	-66.93671245696049	-7.927062967689954	7	63.0	115.0	2.5	1000	124.27112861813282	0.0	0.021870917820807075	1.1206348261217647	3.8236074020776
2000	-76.171964968649	-68.45477611388091	-7.717188854768077	7	63.0	115.0	2.5	1000	125.98241426768828	0.0	0.0338600585163853	0.8606958341973778	3.5109511068618753
2100	-73.74069128925376	-66.06010817441923	-7.68058311483453	7	63.0	115.0	2.5	1000	119.54739576222909	0.0	0.04235824531642912	0.6802181574781134	3.4662559000729845
2200	-75.64271232910464	-68.0845401796211	-7.558172149483536	7	63.0	115.0	2.5	1000	126.63704812225053	0.0	0.03156694839034582	0.3944381909840653	3.10660017481175
2300	-72.67796841970603	-65.26167477712924	-7.4162936425767905	7	63.0	115.0	2.5	1000	121.95264303790314	0.0	0.052147419911356054	0.6455616736657271	2.6610130828256096
2400	-74.2592194378592	-66.77005191867163	-7.489167519187569	7	63.0	115.0	2.5	1000	118.46107193932288	0.0	0.03544618609291458	0.9862120010147787	2.8701786284292132
2500	-76.0145973872335	-68.44062501716019	-7.573972370073305	7	63.0	115.0	2.5	1000	129.80894453898244	0.0	0.030412917632008277	1.0673142767191988	3.126761771292908
2600	-71.59440024124459	-64.25396363645365	-7.3404366047909395	7	63.0	115.0	2.5	1000	128.92295736890208	0.0	0.036090376617757526	1.2491006400682598	1.963744974474912
2700	-77.01456451117184	-69.70240415981405	-7.312160351357795	7	63.0	115.0	2.5	1000	119.46924336593702	0.0	0.0384320025858195	0.5162359007836355	1.7809963006352687
2800	-73.76037410723653	-66.47461194367216	-7.285762163564372	7	63.0	115.0	2.5	1000	133.33384053773605	0.0	0.04602864422463619	1.347063136028081	1.4438941510275753
2900	-70.84247673056774	-63.599794666903136	-7.242682063664599	7	63.0	115.0	2.5	1000	119.64095809055621	0.0	0.09383061160666048	0.7632853567680679	1.184684281629251
3000	-73.54238247055912	-66.32695009646243	-7.2154323740967	7	63.0	115.0	2.5	1000	132.73810510278628	0.0	0.07424942522093886	0.6396924760562182	0.16631610881084608
3100	-70.9132844758972	-63.669183295543576	-7.2441011803536215	7	63.0	115.0	2.5	1000	118.12791632816756	0.0	0.17743774602708018	0.474078115785339	0.7787921082499429
3200	-71.02240501907427	-63.80162702027806	-7.220777998796215	7	63.0	115.0	2.5	1000	124.25945888160341	0.0	0.15550965972976888	0.7391677722268308	-0.028157063960510712
3300	-68.93723571189642	-61.700218089678295	-7.2370176222181195	7	63.0	115.0	2.5	1000	122.79788968376856	0.0	0.17966317720536049	0.4663548062737283	0.4823423274558913
3400	-72.27319775819933	-65.04184928339004	-7.2313484748093	7	63.0	115.0	2.5	1000	118.8321090200608	0.0	0.08482047443185844	0.24916354091008822	1.015309899901355
3500	-72.80871367992341	-65.5491940070559	-7.2595196728675155	7	63.0	115.0	2.5	1000	126.35786890777521	0.0	0.0855659426395517	0.5638775163084778	1.5087271530913389
3600	-70.44026059087405	-63.205789230253515	-7.2344713606205255	7	63.0	115.0	2.5	1000	120.34464000324532	0.0	0.18676316895632494	0.22222606347628365	0.3270125955446176
3700	-70.97063386490376	-63.752926462155486	-7.217707402748279	7	63.0	115.0	2.5	1000	116.58467364530416	0.0	0.1557904494633512	0.7327336614674738	-0.28134168918153574
3800	-69.8466563023912	-62.60675798878965	-7.2398983136015485	7	63.0	115.0	2.5	1000	122.60327190594847	0.0	0.22530170589240617	0.20617336988458757	-0.9328304604564419
3900	-68.40831612835879	-61.09191428827724	-7.316401840081551	7	63.0	115.0	2.5	1000	118.25933344470694	0.0	0.3497504385597849	0.10325246968456062	-1.6725116051565065
4000	-68.57848875823474	-61.20342849181091	-7.375060266423832	7	63.0	115.0	2.5	1000	116.97288742226782	0.0	0.42978543277097764	0.06733430600442372	-1.8387166064824911
4100	-69.73737179246348	-62.35338224997434	-7.383989542489143	7	63.0	115.0	2.5	1000	116.91923320706849	0.0	0.441158438813934	0.09536486653549137	-1.889384411517734
4200	-70.14866586751882	-62.83062304519919	-7.318042822319624	7	63.0	115.0	2.5	1000	122.11489093244765	0.0	0.3512397998594119	0.2358899471645196	-2.0003547576488643
4300	-69.72050859515613	-62.42547743132495	-7.295031163831183	7	63.0	115.0	2.5	1000	120.28130545327508	0.0	0.32059303767996794	0.1558391310896587	-2.4452609203195648
4400	-68.95950902178474	-61.692687954401684	-7.2668210673830504	7	63.0	115.0	2.5	1000	122.47402554900691	0.0	0.27577747547794795	0.1804173322992256	-1.7269061364433096
4500	-70.54207383057242	-63.305537553587854	-7.236536276984566	7	63.0	115.0	2.5	1000	115.88342287451331	0.0	0.22451913152408665	0.275953131235702	-1.9684452143246525
4600	-71.85343347466774	-64.58507859532727	-7.26835487934046	7	63.0	115.0	2.5	1000	133.14821921990765	0.0	0.27703982979758074	0.31595409009497843	-2.01044538333134
4700	-71.24275371953959	-63.979542500767444	-7.263211218772142	7	63.0	115.0	2.5	1000	129.57941806962884	0.0	0.2752677010521622	0.010224565298312477	-2.7028831384367034
4800	-70.21032816279639	-62.87493987489648	-7.335388287899912	7	63.0	115.0	2.5	1000	116.55778985410494	0.0	0.37721852728605876	0.18913134531825013	-2.7617931210747773
4900	-73.38181488782827	-66.10019325558468	-7.28162163224359	7	63.0	115.0	2.5	1000	116.36661951943849	0.0	0.2978307320932172	0.4206963780486862	-3.207265077228191
5000	-73.32188481587657	-66.0869007884797	-7.234984027396871	7	63.0	115.0	2.5	1000	131.67013818793262	0.0	0.22747428379500434	0.11079568031308729	-3.4641423366695676
5100	-73.24063842257979	-65.98916282811616	-7.251475594463635	7	63.0	115.0	2.5	1000	122.34343006486667	0.0	0.24932380731563403	0.48033143914257465	-3.2295607588398756
5200	-74.41699244273074	-67.16970113268277	-7.2472913100479746	7	63.0	115.0	2.5	1000	136.32482018258992	0.0	0.24638667375727966	0.2608031759097649	-3.772619879048575
5300	-74.30601368859094	-67.00583504087236	-7.3001786477185835	7	63.0	115.0	2.5	1000	130.41901705943354	0.0	0.3302764450080295	0.09732965309117905	-3.9928019939778747
5400	-72.83587230044472	-65.57097402849746	-7.264898271947259	7	63.0	115.0	2.5	1000	126.20081682925871	0.0	0.27829931819440307	0.06184680957814345	-4.310343720531152
5500	-73.45093665910834	-66.20634597784304	-7.244590681265299	7	63.0	115.0	2.5	1000	128.32311441596056	0.0	0.2435801961674916	0.1679482694998369	-4.1859187586643705
5600	-74.52948647897868	-67.25657133248396	-7.27291514649473	7	63.0	115.0	2.5	1000	122.55343073774607	0.0	0.2866221208204685	0.32459786334883306	-4.243268915000641
5700	-74.6410303458269	-67.42283411539049	-7.2181962304364164	7	63.0	115.0	2.5	1000	134.37774529812748	0.0	0.19366144890061013	0.21860697963344689	-3.858249605874397
5800	-73.15249033450704	-65.89353202333433	-7.25895831117271	7	63.0	115.0	2.5	1000	127.6846346248005	0.0	0.26658490268895885	0.19657322732482366	-3.8031156525236844
5900	-74.21337566881655	-66.99719924290578	-7.216176425910774	7	63.0	115.0	2.5	1000	124.63545565020294	0.0	0.1864195237888862	0.3525452343546417	-3.6453082982444354
6000	-73.73427139541184	-66.50722356976816	-7.227047825643681	7	63.0	115.0	2.5	1000	119.2422297623062	0.0	0.21372162712915257	0.06537774664289842	-3.390126799238283
6100	-73.72082029845296	-66.48256042645004	-7.238259872002928	7	63.0	115.0	2.5	1000	121.00807671182802	0.0	0.22676722996050572	0.48140827799843555	-3.544534504164878
6200	-74.0104978586001	-66.73131830224975	-7.279179556350353	7	63.0	115.0	2.5	1000	133.32840259085708	0.0	0.29689281111799176	0.24167551079316188	-3.2593881378448546
6300	-70.5521266200747	-63.21423558612362	-7.337891033951076	7	63.0	115.0	2.5	1000	118.18212164100746	0.0	0.3814553879509003	0.15103042772719086	-3.0651752892150737
6400	-71.81645111618792	-64.44319008621598	-7.373261029971943	7	63.0	115.0	2.5	1000	118.37577852551102	0.0	0.4263141301289308	0.29931295810358216	-2.866220787590574
6500	-69.72719120094919	-62.443426297375744	-7.283764903573443	7	63.0	115.0	2.5	1000	115.07245361560219	0.0	0.305667980732577	0.06861548856662279	-2.65691220105204
6600	-70.1138449008143	-62.763643137410504	-7.350201763403797	7	63.0	115.0	2.5	1000	117.48798979873415	0.0	0.39902256741144854	0.049871796069177965	-2.7384007241001993
6700	-68.59747293538179	-61.25267813278527	-7.344794802596517	7	63.0	115.0	2.5	1000	118.88542743666304	0.0	0.38998312685990427	0.09906135774956237	-2.086562243535498
6800	-69.23136468717452	-61.966039694723406	-7.265324992451118	7	63.0	115.0	2.5	1000	117.61767133578014	0.0	0.2751444909378811	0.09574712655628692	-1.8288310502602025
6900	-69.57635873287796	-62.256117816056076	-7.320240916821892	7	63.0	115.0	2.5	1000	123.04873035387983	0.0	0.3552873756442711	0.0929683962233146	-1.681615093242949
7000	-70.12016271419738	-62.786214681214105	-7.333948032983278	7	63.0	115.0	2.5	1000	121.35837814812093	0.0	0.3739466580660086	0.21464525705588453	-2.184347910805669
7100	-70.2757309319835	-62.99900644634671	-7.276724485636786	7	63.0	115.0	2.5	1000	124.69528635381957	0.0	0.29321426816538876	0.17822623816198807	-2.510880798693824
7200	-75.20795620344414	-68.0069320188092	-7.201024184634945	7	63.0	115.0	2.5	1000	134.29683058487248	0.0	0.104202392983207	1.1543892600508188	-2.4336851514967943
7300	-75.33573615160375	-68.13886704119538	-7.196869110408366	7	63.0	115.0	2.5	1000	144.15592988574767	0.0	0.10199063729465054	0.7380379696941723	-2.37571432205763
7400	-77.87383087041412	-70.67808517870562	-7.195745691708513	7	63.0	115.0	2.5	1000	170.39866813623098	0.0	0.11285236025072648	0.5721057155346927	-2.544191366111703
7500	-71.53331403233763	-64.31715415728074	-7.216159875056895	7	63.0	115.0	2.5	1000	125.34522651548158	0.0	0.1825743663933812	0.39561470137432186	-2.1364542190193676
7600	-69.92773645286519	-62.626058121099796	-7.3016783317654	7	63.0	115.0	2.5	1000	117.46990396353706	0.0	0.3238413940498881	0.4909596276174365	-1.8288048098631575
7700	-68.47726818153065	-61.14353095644133	-7.33373722508931	7	63.0	115.0	2.5	1000	120.38862229291148	0.0	0.37138611868824706	0.06199994946137416	-1.0912758718237578
7800	-69.20708208378927	-61.894990271696024	-7.31209181209325	7	63.0	115.0	2.5	1000	121.89505584174806	0.0	0.33845569831111205	0.13108474484574983	-0.8499518766917007
7900	-68.57052457010303	-61.29459590319077	-7.2759286669122645	7	63.0	115.0	2.5	1000	121.87833592842605	0.0	0.28419548969090636	0.1648336124053178	-0.8041017565533753
8000	-67.53864243618837	-60.25598348205647	-7.282658954131891	7	63.0	115.0	2.5	1000	117.68102213104746	0.0	0.2944730613808257	0.17808343641709892	-0.8242103548544549
8100	-69.69498585304353	-62.42570896957709	-7.269276883466445	7	63.0	115.0	2.5	1000	118.31810630178266	0.0	0.26308532556462755	0.04362762797230721	0.0041244822885036685
8200	-69.62748283816468	-62.31019993115676	-7.3172829070079235	7	63.0	115.0	2.5	1000	115.73120512297743	0.0	0.3394481030899836	0.01888445891097068	-0.1979887682253356
8300	-70.09114147002077	-62.80056318559576	-7.290578284425006	7	63.0	115.0	2.5	1000	116.73264664109038	0.0	0.29266281218860474	0.013398517979340288	0.17543661261613264
8400	-72.88090565132066	-65.59987608895625	-7.2810295623644095	7	63.0	115.0	2.5	1000	122.19268328790179	0.0	0.26886466943904375	0.6165865400796614	0.15982326702418362
8500	-71.2973630584147	-64.0902569404147	-7.207106118000004	7	63.0	115.0	2.5	1000	123.050203191851	0.0	0.14725303505912296	0.11430630305438022	-0.4328113754544328
8600	-73.75915580818031	-66.55958618076274	-7.199569627417574	7	63.0	115.0	2.5	1000	142.99779037576718	0.0	0.13198457660605525	0.48055398417799744	-1.7881120640549113
8700	-69.86904358158151	-62.60088668883513	-7.268156892746376	7	63.0	115.0	2.5	1000	118.51783890468292	0.0	0.26749727774528387	0.631038442016087	-1.1328116530216077
8800	-68.80947260998892	-61.521895340762306	-7.2875772692266025	7	63.0	115.0	2.5	1000	116.06246461416387	0.0	0.30475764282210765	0.291729868279347	-1.497470526759534
8900	-70.485978481614	-63.214736975786664	-7.271241505827334	7	63.0	115.0	2.5	1000	120.85055103752669	0.0	0.2710839830006549	0.6873009371320794	-1.0763683463588662
9000	-73.40307861709861	-66.15018950222344	-7.252889114875172	7	63.0	115.0	2.5	1000	137.96816393267608	0.0	0.2506323503447392	0.15869950701888544	-1.1753589512939076
9100	-68.15512406864589	-60.824737818405495	-7.330386250240396	7	63.0	115.0	2.5	1000	115.65275117533727	0.0	0.368748715337257	0.03096811855081716	-1.3560673025381251
9200	-69.16651832345242	-61.85916272077168	-7.307355602680743	7	63.0	115.0	2.5	1000	119.11340588246772	0.0	0.333468002964732	0.20454202889664827	-1.238925288080266
9300	-70.23720031715327	-63.00584118758437	-7.231359129568889	7	63.0	115.0	2.5	1000	124.43633157609194	0.0	0.2164365792509276	0.08425888569291337	-1.511428265213126
9400	-69.16582209944819	-61.91527386477448	-7.250548234673714	7	63.0	115.0	2.5	1000	120.58105900298095	0.0	0.2492516958861453	0.03829397603595014	-1.2478939438237087
9500	-70.81180909760234	-63.504152651052465	-7.307656446549865	7	63.0	115.0	2.5	1000	124.01399674928696	0.0	0.33389693977816914	0.38645318024162656	-1.8177585727919183
9600	-69.83964549359084	-62.60393996236919	-7.235705531221642	7	63.0	115.0	2.5	1000	125.7981172273775	0.0	0.22026333146591284	0.23405433444812415	-1.2917230077432338
9700	-70.0087279183439	-62.77882354776382	-7.229904370580074	7	63.0	115.0	2.5	1000	126.72259514839348	0.0	0.20289776701027265	0.4391422464129179	-1.0054149563613202
9800	-69.78516117970639	-62.38795739323146	-7.3972037864749325	7	63.0	115.0	2.5	1000	116.7640614487915	0.0	0.45528632362153615	0.04231664037124053	-1.064208879099834
9900	-70.60825558491455	-63.22070940915964	-7.387546175754909	7	63.0	115.0	2.5	1000	119.05723737476471	0.0	0.446454702010542	0.11308576741313159	-2.2973673409530004
10000	-70.09820275042435	-62.61649068092569	-7.481712069498652	7	63.0	115.0	2.5	1000	121.55521304706242	0.0	0.5643332970711377	0.03955406644941717	-2.023017092514501
10100	-70.11225828577477	-62.61848517297451	-7.493773112800264	7	63.0	115.0	2.5	1000	118.54093418656073	0.0	0.5777554441010962	0.10819600905114468	-1.87425855363663
10200	-69.00674757781016	-61.63958434972107	-7.36716322808909	7	63.0	115.0	2.5	1000	119.85885030103402	0.0	0.4199787045551277	0.07769428526435765	-2.0884976235315285
10300	-68.57693905722749	-61.268748752892925	-7.308190304334559	7	63.0	115.0	2.5	1000	118.02488796104359	0.0	0.3396839086022117	0.03792170334882525	-1.8393200688822435
10400	-70.41640600217914	-63.140409793909825	-7.275996208269318	7	63.0	115.0	2.5	1000	123.83564371987801	0.0	0.28833627559668706	0.34503141648859165	-1.9842792982047035
10500	-68.79514496833107	-61.45367396813937	-7.341471000191708	7	63.0	115.0	2.5	1000	120.11196827903387	0.0	0.3856456916905681	0.05379229095469262	-1.9074077002409373
10600	-70.23131081894368	-62.95159238837159	-7.279718430572097	7	63.0	115.0	2.5	1000	125.71529514290467	0.0	0.29929353377495554	0.04514568590164719	-2.2824994356362107
10700	-68.25194694922753	-60.95399327528338	-7.29795367394415	7	63.0	115.0	2.5	1000	122.31238478926467	0.0	0.32526422969979324	0.06226797681338231	-2.032153570276675
10800	-70.1279428580965	-62.87307338319981	-7.254869474896689	7	63.0	115.0	2.5	1000	127.2877272754375	0.0	0.25562961288188574	0.33245482157187745	-2.1707380652903296
10900	-71.37616929583481	-64.16364312572075	-7.212526170114066	7	63.0	115.0	2.5	1000	126.77815378175389	0.0	0.17131970401677155	0.48660323863821625	-1.948660735104481
11000	-68.13746523287344	-60.73798893804583	-7.399476294827606	7	63.0	115.0	2.5	1000	118.35751689754358	0.0	0.4605581187188175	0.01564549923431824	-1.4511176210433194
11100	-69.15068787281187	-61.74034387233658	-7.410344000475293	7	63.0	115.0	2.5	1000	116.72691964177626	0.0	0.47316288717782096	0.0360414191422924	-1.246736818966043
11200	-68.65910585246448	-61.33349763781217	-7.325608214652302	7	63.0	115.0	2.5	1000	119.51200381112967	0.0	0.3593696110533578	0.031595230332552404	-0.9188943432724468
11300	-68.71283303151306	-61.439677523747946	-7.273155507765114	7	63.0	115.0	2.5	1000	119.88011982500716	0.0	0.2796770983817744	0.002891741788984714	-0.5606658207526751
11400	-67.57009541947019	-60.18689705992347	-7.383198359546725	7	63.0	115.0	2.5	1000	117.26691147669791	0.0	0.43600453469880457	0.1330975163170517	-1.0558908093193202
11500	-68.90538394564453	-61.59757929795205	-7.307804647692476	7	63.0	115.0	2.5	1000	117.27886130152667	0.0	0.3308068185872187	0.2616840614868279	-0.8883700950542823
11600	-71.52723628709272	-64.21402905394686	-7.313207233145859	7	63.0	115.0	2.5	1000	117.6016038071009	0.0	0.3185657802857846	0.22939835846722723	0.3400658804710821
11700	-70.56938714795878	-63.301750957731734	-7.267636190227046	7	63.0	115.0	2.5	1000	118.01672065193173	0.0	0.23525447742073102	0.16224427944133046	0.6789153790134109
11800	-70.70782739127363	-63.46545274148499	-7.242374649788641	7	63.0	115.0	2.5	1000	119.67191807577542	0.0	0.14921317034581116	0.37970329667507485	1.0602377683993411
11900	-70.31633281729216	-63.08631873537698	-7.230014081915188	7	63.0	115.0	2.5	1000	124.01877015831349	0.0	0.19398859849365632	0.029840850545222897	-0.03107242898746399
12000	-71.02971877875316	-63.81634493482841	-7.2133738439247495	7	63.0	115.0	2.5	1000	130.5910206361554	0.0	0.15175630914873176	0.6991036230302378	-0.555646331898229
12100	-70.55351560807868	-63.33894587051931	-7.214569737559373	7	63.0	115.0	2.5	1000	125.74495993111147	0.0	0.10222222643219112	1.2853911788455068	-0.05286263303505871
12200	-70.2730841718907	-63.040657938512204	-7.232426233378504	7	63.0	115.0	2.5	1000	120.35794332152842	0.0	0.17771065777461906	0.28709986921454117	0.39482992616348894
12300	-71.36677896572397	-64.13669464174058	-7.230084323983391	7	63.0	115.0	2.5	1000	123.5209224147562	0.0	0.14561961683286276	0.6927759429708898	0.6357753178924377
12400	-69.85851805382626	-62.60935715117684	-7.24916090264942	7	63.0	115.0	2.5	1000	120.76402019194897	0.0	0.22912486803758758	0.09849993461398751	-0.03318788912203782
12500	-70.69550756391797	-63.43893359301954	-7.256573970898437	7	63.0	115.0	2.5	1000	117.97849902967506	0.0	0.22485650208644228	0.13466053925390642	0.4874209738183815
12600	-69.4787257599944	-62.24238533065079	-7.23634042934362	7	63.0	115.0	2.5	1000	118.12152477782217	0.0	0.1860455763103691	0.05045627339311759	0.5075260687472724
12700	-69.62805826555152	-62.39543886470217	-7.232619400849346	7	63.0	115.0	2.5	1000	122.3599714704608	0.0	0.18538550625445682	0.45354395681569465	0.13091297520895087
12800	-71.54993018619056	-64.3252559518642	-7.22467423432637	7	63.0	115.0	2.5	1000	122.35011605410676	0.0	0.1290583678432825	0.794049642225422	0.5613535185481608
12900	-69.98036333478291	-62.76064824045559	-7.219715094327327	7	63.0	115.0	2.5	1000	118.23683379450046	0.0	0.1423619769962901	0.5031597266623393	0.3111774657378465
13000	-69.94419219729372	-62.71768003604319	-7.226512161250531	7	63.0	115.0	2.5	1000	120.31521996193771	0.0	0.1604356623748468	0.591615475701589	0.30039309006382325
13100	-69.51020463626254	-62.23570730796375	-7.274497328298799	7	63.0	115.0	2.5	1000	119.55638806508694	0.0	0.2661274682799422	0.01037271297954677	0.2314065149825249
13200	-69.21136981185009	-61.934942809221084	-7.276427002629005	7	63.0	115.0	2.5	1000	116.62833229793148	0.0	0.27636040964596154	0.1832911580307681	-0.19575576162548614
13300	-69.43253835804144	-62.18597423373569	-7.246564124305751	7	63.0	115.0	2.5	1000	118.36083859065114	0.0	0.216552091240275	0.4867397776137767	-0.0011439043462615713
13400	-69.74787374954559	-62.472389676391	-7.27548407315459	7	63.0	115.0	2.5	1000	121.52778647661962	0.0	0.26305024326392334	0.257524864946712	0.2549758558555854
13500	-69.7467875319338	-62.51134180394059	-7.235445727993222	7	63.0	115.0	2.5	1000	119.98718892543437	0.0	0.17166265511305323	0.18820041858327263	0.6656258796474784
13600	-70.66429446916015	-63.43063743901572	-7.233657030144429	7	63.0	115.0	2.5	1000	117.88967483774258	0.0	0.12637758104581173	0.17944599202678244	1.0482947829257867
13700	-71.19522743087535	-63.98413000452736	-7.211097426347991	7	63.0	115.0	2.5	1000	120.56485750591474	0.0	0.11773180230870152	0.32085295166569583	0.24980515394840772
13800	-71.20201660286713	-63.96761831157494	-7.234398291292192	7	63.0	115.0	2.5	1000	122.54061657854147	0.0	0.06406062940059379	1.0303536092506835	0.6497766274933746
13900	-72.51231295691184	-65.27234590709516	-7.239967049816691	7	63.0	115.0	2.5	1000	124.75699627643053	0.0	0.10643519236533547	0.9170981734527004	1.0892114554702836
14000	-70.82460134945592	-63.53749816406227	-7.287103185393645	7	63.0	115.0	2.5	1000	119.96843386395557	0.0	0.2823634655313349	0.004052916352326616	0.3543287395073159
14100	-72.46147879506003	-65.21727986750074	-7.244198927559301	7	63.0	115.0	2.5	1000	130.6513784421423	0.0	0.2191331469695699	0.050710728159166385	0.03996869570739587
