iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-172.13726406071652	-162.6532115234783	-9.484052537238238	6	64.0	115.0	2.5	1000	151.15370634200124	0.0	0.0009847699700138695	0.03929062048361224	4.753149633197296
100	-72.2920536740485	-64.11696118864377	-8.17509248540474	6	64.0	115.0	2.5	1000	152.13428489431138	0.0	0.0016358924285386647	3.018983254046512	3.654019717370289
200	-75.6514691954126	-66.73986455402984	-8.91160464138277	6	64.0	115.0	2.5	1000	133.5015977503314	0.0	0.0008784938507367326	3.4549475841867894	4.367849362112654
300	-73.20944423063224	-64.7986824003768	-8.410761830255439	6	64.0	115.0	2.5	1000	172.18229876721065	0.0	0.0010614167413020294	2.591101035618209	3.921289729151723
400	-74.05260406298405	-64.76347078529894	-9.289133277685117	6	64.0	115.0	2.5	1000	146.7318000424034	0.0	0.0013915592447570858	2.5912745277025415	4.651794059883453
500	-76.91330635932107	-66.58641747600853	-10.326888883312533	6	64.0	115.0	2.5	1000	119.5308984303696	0.0	0.004987015668747733	1.125430077171766	5.1668431598132045
600	-72.91011894528323	-63.81307184741571	-9.097047097867517	6	64.0	115.0	2.5	1000	129.24254156197597	0.0	0.003375254779717577	2.1606175982977227	4.592118005261074
700	-73.57718987435581	-65.18146804613157	-8.39572182822424	6	64.0	115.0	2.5	1000	152.49590460754166	0.0	0.004087536787078073	1.7187396367086554	4.060356230633767
800	-75.01139875626505	-66.80152995409604	-8.209868802169007	6	64.0	115.0	2.5	1000	155.04818118680592	0.0	0.0033684966884350294	2.735648577738609	3.809235323745628
900	-70.676219768636	-62.69403763053005	-7.982182138105958	6	64.0	115.0	2.5	1000	130.72471889374788	0.0	0.005149229591730983	2.226733380098854	3.53221146863019
1000	-77.15622803566663	-68.80724151412392	-8.348986521542713	6	64.0	115.0	2.5	1000	158.31926057009872	0.0	0.009679738535095298	1.1132158546426332	4.100843148444593
1100	-73.76876897551611	-65.77735992015567	-7.991409055360442	6	64.0	115.0	2.5	1000	121.68612490573716	0.0	0.010394973053285616	2.800115324119105	3.6456902793264048
1200	-70.60994308117064	-62.941293177541965	-7.668649903628678	6	64.0	115.0	2.5	1000	122.96622820703332	0.0	0.016009090463928833	2.206548105570718	3.070559478508554
1300	-69.53044391427271	-61.866012810651775	-7.664431103620936	6	64.0	115.0	2.5	1000	118.5466722875253	0.0	0.012096328303819065	2.5140437620355818	2.9790727759396822
1400	-70.42813000948047	-62.759558149421125	-7.668571860059347	6	64.0	115.0	2.5	1000	121.26238772047225	0.0	0.013727786820256768	2.5039191514605967	3.0245783485174242
1500	-69.5188148667408	-61.863940361136336	-7.654874505604457	6	64.0	115.0	2.5	1000	124.62655626934057	0.0	0.0216681044959268	1.4349905803433303	3.120907290996266
1600	-69.85461812595835	-62.274606115309346	-7.580012010649012	6	64.0	115.0	2.5	1000	124.70449504363704	0.0	0.027564457446408966	1.4745359893362562	2.9570846153367403
1700	-70.45306714297212	-62.758069202679636	-7.694997940292487	6	64.0	115.0	2.5	1000	118.5666766992885	0.0	0.031848828164950854	1.1681349019450078	3.293410494501633
1800	-71.52737299726644	-63.53932207418341	-7.988050923083031	6	64.0	115.0	2.5	1000	121.9482347025482	0.0	0.022819743249025776	0.6441268960593212	3.769852097138189
1900	-69.95447958781921	-62.11193233164582	-7.8425472561733915	6	64.0	115.0	2.5	1000	120.70224396730009	0.0	0.012866361046122935	1.9759604842161937	3.4340992268441854
2000	-75.20803789435716	-66.71683390963034	-8.491203984726821	6	64.0	115.0	2.5	1000	128.09195375196555	0.0	0.019315828563984373	1.1550919555368488	4.283121372504767
2100	-73.29102353879159	-64.80095465246814	-8.490068886323456	6	64.0	115.0	2.5	1000	129.32707818636146	0.0	0.014283160742277298	0.88410890156618	4.263407272906329
2200	-70.84082802526761	-62.85057083456178	-7.990257190705837	6	64.0	115.0	2.5	1000	121.80685751636699	0.0	0.020555413599563185	1.006350441154126	3.7564806353982165
2300	-71.60669272729719	-63.619756764336174	-7.986935962961014	6	64.0	115.0	2.5	1000	121.696600668748	0.0	0.022152184686480947	1.285533930457381	3.7561600203618535
2400	-71.93111721555827	-64.15134491396742	-7.7797723015908495	6	64.0	115.0	2.5	1000	134.0873971955753	0.0	0.01660481638649596	1.0506511253099815	3.370680209683346
2500	-70.67179639446978	-62.97618704028125	-7.695609354188526	6	64.0	115.0	2.5	1000	140.1162077425263	0.0	0.009395414273651308	1.8041887976256323	3.02588078252343
2600	-73.87178466838759	-65.86625258151976	-8.005532086867833	6	64.0	115.0	2.5	1000	147.28919521526507	0.0	0.009239697422333853	1.7295170632853567	3.667691210887558
2700	-70.97084555125821	-63.16310520812186	-7.807740343136343	6	64.0	115.0	2.5	1000	140.3395857903316	0.0	0.006636672264166392	2.257947206741913	3.2247630223842103
2800	-70.18139981887914	-62.46269496818882	-7.71870485069032	6	64.0	115.0	2.5	1000	121.71964782652485	0.0	0.010320252906073607	2.447291390522543	3.0964753363253243
2900	-70.10099891537095	-62.600937700541984	-7.50006121482897	6	64.0	115.0	2.5	1000	132.7141883726277	0.0	0.016846815636566047	1.3214367333806865	2.5035214730646898
3000	-72.8531506747389	-65.3699356882099	-7.48321498652899	6	64.0	115.0	2.5	1000	134.43241635086972	0.0	0.04345940905835332	0.6654740756019804	2.753502262212447
3100	-72.14034006594731	-64.77333900619557	-7.367001059751747	6	64.0	115.0	2.5	1000	129.71121704606588	0.0	0.0780650323792737	0.8709323078481856	2.3065127383875796
3200	-74.10224684425891	-66.54646431585286	-7.555782528406051	6	64.0	115.0	2.5	1000	116.41366299506512	0.0	0.05032086246959167	1.403076129727323	2.9995684486551886
3300	-69.33383720355184	-62.04695750888587	-7.286879694665976	6	64.0	115.0	2.5	1000	126.215506171491	0.0	0.07858243596445974	0.45839922615123496	1.7025972954563582
3400	-68.29207199986008	-60.981350559798756	-7.310721440061332	6	64.0	115.0	2.5	1000	117.38503042473009	0.0	0.0687774702371409	0.9286614636852226	1.8602272477397948
3500	-68.93584624803536	-61.60445906635571	-7.331387181679658	6	64.0	115.0	2.5	1000	123.8613736539425	0.0	0.0610759451129744	0.808537044770506	2.0131359374805298
3600	-67.11070461501741	-59.8288484064982	-7.2818562085192085	6	64.0	115.0	2.5	1000	130.9986070372556	0.0	0.03506748132357463	1.5176105656598284	0.8419553918985675
3700	-67.10530076521965	-59.8368023541818	-7.268498411037852	6	64.0	115.0	2.5	1000	134.45505161031923	0.0	0.03801176797521785	1.570390712864611	0.5849142049277822
3800	-66.16753081936083	-58.90983245723146	-7.257698362129373	6	64.0	115.0	2.5	1000	119.80088338277515	0.0	0.06311918186962348	1.283836168554419	1.0491052810414405
3900	-65.50369137302735	-58.272952897980176	-7.230738475047181	6	64.0	115.0	2.5	1000	119.33839827459798	0.0	0.07214892579169367	0.999328570255384	0.512025856407012
4000	-66.07957387170529	-58.831838923082366	-7.247734948622934	6	64.0	115.0	2.5	1000	118.87840984450708	0.0	0.05331255249111026	1.4726725399105476	0.5418992969226911
4100	-66.48329870526	-59.24586653283953	-7.237432172420469	6	64.0	115.0	2.5	1000	133.67480663557905	0.0	0.06040873191832094	1.300212253980149	0.4243386219287899
4200	-67.83432224215107	-60.60102500777703	-7.233297234374044	6	64.0	115.0	2.5	1000	120.61005198901964	0.0	0.10775442380980299	0.1363785543324364	0.9594913111156604
4300	-66.68463381658573	-59.45411283817088	-7.230520978414856	6	64.0	115.0	2.5	1000	116.47321659752441	0.0	0.06067851789010501	1.346102316177867	0.09250869526419185
4400	-64.84669759519761	-57.63142537909241	-7.2152722161052045	6	64.0	115.0	2.5	1000	118.21992571424997	0.0	0.12502518807582422	0.6930792937964271	0.04932668489425042
4500	-67.76964078777688	-60.55335445973825	-7.216286328038624	6	64.0	115.0	2.5	1000	126.64716220629536	0.0	0.15343199543092462	0.10885437435176934	-0.014109016985763409
4600	-67.26155130157187	-60.04927312852972	-7.212278173042146	6	64.0	115.0	2.5	1000	134.14695117274232	0.0	0.09472755702283156	0.9958370952304252	-0.17190107383783046
4700	-65.99388227632953	-58.7746075473031	-7.219274729026436	6	64.0	115.0	2.5	1000	122.57152886098903	0.0	0.17151992918974848	0.16750804272880218	-0.33760365180455637
4800	-65.8532608113995	-58.65119543690864	-7.202065374490861	6	64.0	115.0	2.5	1000	122.14411100302938	0.0	0.1388688158907972	0.35024531336382736	-1.3343750318827203
4900	-63.68547231815569	-56.42821214869018	-7.257260169465511	6	64.0	115.0	2.5	1000	116.42107092088041	0.0	0.2546546006735229	0.09188208295223244	-0.8647622739515068
5000	-65.0660339632982	-57.727689558951816	-7.338344404346385	6	64.0	115.0	2.5	1000	121.41656677496573	0.0	0.37726972765953437	0.04323187253796039	-1.1494786906049057
5100	-62.94318582338088	-55.62156975413941	-7.321616069241474	6	64.0	115.0	2.5	1000	118.85807598371767	0.0	0.35419832683500935	0.2920244946238363	-1.7749618247709813
5200	-62.90435991370412	-55.581120142324174	-7.323239771379947	6	64.0	115.0	2.5	1000	117.16339895449397	0.0	0.3558098833155255	0.21811647396962253	-1.4196411245335756
5300	-68.03134821271686	-60.57800018164465	-7.453348031072224	6	64.0	115.0	2.5	1000	121.76297698161115	0.0	0.524123198743007	0.3524580111757689	-1.6457191455526616
5400	-63.22096860830482	-55.89599982892603	-7.324968779378793	6	64.0	115.0	2.5	1000	119.62074451357377	0.0	0.36102536904355337	0.06373975677668337	-1.5485864450389042
5500	-62.72539905863868	-55.45573287935551	-7.269666179283172	6	64.0	115.0	2.5	1000	115.57884393714052	0.0	0.2753745231245541	0.28930162669734855	-1.2975185873664628
5600	-63.14339896182024	-55.885261451049324	-7.258137510770911	6	64.0	115.0	2.5	1000	116.60713326239295	0.0	0.2542824379595927	0.563946751466059	-1.5891058229539043
5700	-62.621043583819436	-55.37015905088018	-7.250884532939251	6	64.0	115.0	2.5	1000	117.05182590045604	0.0	0.24707547709745742	0.2756584457583541	-1.6004309111380168
5800	-63.86078207864841	-56.611754091710274	-7.24902798693814	6	64.0	115.0	2.5	1000	117.77516913969085	0.0	0.2354128925731554	0.6663424973070489	-1.3255982162804103
5900	-62.90983821116026	-55.66503500672162	-7.244803204438646	6	64.0	115.0	2.5	1000	119.4113492953654	0.0	0.23707508692293014	0.25928865605797713	-1.6150868346938978
6000	-63.22068301678543	-55.96197691669219	-7.258706100093246	6	64.0	115.0	2.5	1000	122.24477792775369	0.0	0.25930239777489816	0.28495299570665233	-1.5063487849739416
6100	-63.3230348192554	-56.07513415619373	-7.2479006630616745	6	64.0	115.0	2.5	1000	119.26759454496609	0.0	0.2367115359819289	0.7008373147485164	-2.0219517216702156
6200	-64.04730839998214	-56.841686806023176	-7.205621593958959	6	64.0	115.0	2.5	1000	120.16347579707006	0.0	0.14266516100127907	0.7442133032408866	-1.7466436067172042
6300	-62.822757748770634	-55.582420445778226	-7.2403373029924065	6	64.0	115.0	2.5	1000	118.60126247740182	0.0	0.22602652187481975	0.4500870652972576	-1.6450300360906198
6400	-63.93677809986114	-56.70574400106956	-7.231034098791575	6	64.0	115.0	2.5	1000	121.29526402477546	0.0	0.19891578515887423	0.5183265390623155	-0.789899900306539
6500	-65.32539081434295	-58.11208827887754	-7.213302535465404	6	64.0	115.0	2.5	1000	117.3355412757381	0.0	0.11442560593172996	1.209775021733226	-0.319106537955087
6600	-64.49700966782072	-57.26195282000338	-7.235056847817338	6	64.0	115.0	2.5	1000	116.17537631450124	0.0	0.20064814874938888	0.6224565413484169	-0.5432398261404222
6700	-65.17993240605732	-57.940326227762824	-7.239606178294492	6	64.0	115.0	2.5	1000	127.09158421019863	0.0	0.22245359975492723	0.260559859122282	-0.9633087146069098
6800	-63.650606488253686	-56.40627063017358	-7.244335858080104	6	64.0	115.0	2.5	1000	118.73223431507431	0.0	0.23620253117854537	0.13307363715663056	-1.2844917959468427
6900	-64.04772555658337	-56.81836408237554	-7.229361474207839	6	64.0	115.0	2.5	1000	121.23720813318032	0.0	0.19688097376502856	0.859448224819252	-1.5642004002060312
7000	-63.95138549887024	-56.73713900619485	-7.214246492675382	6	64.0	115.0	2.5	1000	117.47590734198242	0.0	0.15895433968065076	1.052872348954648	-1.7259393245374357
7100	-63.112465246983355	-55.838981897683006	-7.27348334930035	6	64.0	115.0	2.5	1000	117.09120708278233	0.0	0.27956977886597617	0.3799299069678099	-1.2487405956044397
7200	-62.672014928327506	-55.368950786500186	-7.303064141827319	6	64.0	115.0	2.5	1000	116.28129907998628	0.0	0.3259103486018972	0.33044461288929555	-1.4645027477317756
7300	-63.02280496437577	-55.73128065598503	-7.291524308390743	6	64.0	115.0	2.5	1000	117.46985244383234	0.0	0.3081843534630332	0.4015065355522232	-1.4953043644573443
7400	-63.05603759927766	-55.78637605847146	-7.269661540806195	6	64.0	115.0	2.5	1000	118.28966937913678	0.0	0.27603790504244896	0.24770075884822867	-1.3000252427435763
7500	-62.05751455375882	-54.77805558436151	-7.279458969397308	6	64.0	115.0	2.5	1000	117.15637450369874	0.0	0.29403484540444064	0.2827087532840946	-1.9768131655567465
7600	-62.25536856004486	-54.95551295966939	-7.299855600375465	6	64.0	115.0	2.5	1000	117.38095495014663	0.0	0.3240911726029871	0.25982243743574324	-1.8539359473761734
7700	-63.19359348062933	-55.90560788765316	-7.2879855929761685	6	64.0	115.0	2.5	1000	121.4447690283706	0.0	0.3064266030241266	0.3770914162799834	-2.3263434851310505
7800	-64.76144381834877	-57.538403865435285	-7.223039952913477	6	64.0	115.0	2.5	1000	129.99253769877078	0.0	0.18688332873116728	0.917827867301602	-2.499745852109573
7900	-62.86064123354916	-55.49149367755864	-7.36914755599052	6	64.0	115.0	2.5	1000	121.49636234122757	0.0	0.4237694686943115	0.0014196523264465785	-2.3282196905364403
8000	-61.77409984080184	-54.417420422582815	-7.356679418219025	6	64.0	115.0	2.5	1000	115.638847711107	0.0	0.40560427428251955	0.1262056912674785	-2.2871919126516747
8100	-64.44377884312671	-57.15241303482961	-7.2913658082971065	6	64.0	115.0	2.5	1000	119.29490780632355	0.0	0.30714013461690376	0.703281000915475	-2.5784106529482718
8200	-62.32729570893536	-55.07549964954527	-7.251796059390086	6	64.0	115.0	2.5	1000	115.36530529316289	0.0	0.2504806379824194	0.35454062876184833	-2.4419768894573357
8300	-62.068473890334616	-54.78450883829803	-7.283965052036584	6	64.0	115.0	2.5	1000	115.10938435082828	0.0	0.3045001370575394	0.10180020549203618	-2.3091862149676823
8400	-62.11160692187593	-54.704705105089765	-7.40690181678617	6	64.0	115.0	2.5	1000	115.37540571994226	0.0	0.4711298161933203	0.12574412643269117	-2.498920366514293
8500	-61.214081046095274	-53.88735632083625	-7.3267247252590275	6	64.0	115.0	2.5	1000	115.38527393476052	0.0	0.3678988589799205	0.01658396530488998	-3.058714154653977
8600	-63.037144038686	-55.77655087317639	-7.2605931655096105	6	64.0	115.0	2.5	1000	115.33695181641032	0.0	0.2601410648217702	0.69801755452638	-2.8795893969279236
8700	-63.30966208652334	-56.04176845309636	-7.2678936334269775	6	64.0	115.0	2.5	1000	120.77438680365346	0.0	0.2819585268750241	0.0005000395843074573	-2.443407158596185
8800	-62.78656424940639	-55.54572561476899	-7.240838634637397	6	64.0	115.0	2.5	1000	117.4520416431061	0.0	0.2328556502263409	0.2868232341528427	-2.4091063390936394
8900	-64.06125352944588	-56.840157057030915	-7.221096472414966	6	64.0	115.0	2.5	1000	131.9216665161174	0.0	0.1912441635532186	0.5782145351164432	-3.078818216698647
9000	-64.37351727672512	-57.170311408269804	-7.203205868455326	6	64.0	115.0	2.5	1000	122.37343099117147	0.0	0.1220492430409335	1.114731486541248	-2.2292950002334475
9100	-63.62690457011276	-56.413805522041145	-7.2130990480716095	6	64.0	115.0	2.5	1000	123.60652633065943	0.0	0.16841603846153558	0.7068389811247224	-2.343414629623779
9200	-63.130647938824936	-55.838265043061234	-7.292382895763705	6	64.0	115.0	2.5	1000	119.86620301791851	0.0	0.31342879212064934	0.07286874857502448	-1.3491673473816186
9300	-64.49722481749514	-57.249716214483314	-7.247508603011827	6	64.0	115.0	2.5	1000	125.56422031714325	0.0	0.24474682345208507	0.1467846576200102	-1.8358376514509929
9400	-65.10030588912552	-57.87577336187276	-7.2245325272527605	6	64.0	115.0	2.5	1000	117.02117429160356	0.0	0.16358450792917892	0.91858431840164	-0.26109599454771976
9500	-65.63972773462119	-58.41893224686336	-7.220795487757821	6	64.0	115.0	2.5	1000	117.39662583830957	0.0	0.1534470620343021	0.22875337483864744	0.16913954635480716
9600	-64.00865831997052	-56.79863653175581	-7.210021788214707	6	64.0	115.0	2.5	1000	120.69894167505858	0.0	0.1417620385918275	0.9646365882869002	-1.1325819044398033
9700	-64.11066630332061	-56.856340440963784	-7.254325862356824	6	64.0	115.0	2.5	1000	121.78421210919353	0.0	0.24931184612176685	0.23455796934196016	-1.0417652487838385
9800	-64.20464667818473	-56.99403698119254	-7.210609696992192	6	64.0	115.0	2.5	1000	115.49834535787446	0.0	0.16018846688765917	0.4940527946149816	-1.318835984080389
9900	-63.968088066011475	-56.76151743611236	-7.206570629899121	6	64.0	115.0	2.5	1000	118.05318005763198	0.0	0.12300165797233381	1.1160564689519916	-1.2100260704502614
10000	-62.779120280433695	-55.512328883376696	-7.266791397056998	6	64.0	115.0	2.5	1000	115.70136139627797	0.0	0.2704406570959453	0.39940878786013684	-1.5041173702380428
10100	-63.5816453580507	-56.344944005060405	-7.236701352990293	6	64.0	115.0	2.5	1000	117.63107852181987	0.0	0.21403892630676435	0.8179388471836984	-1.9212232272936793
10200	-62.3250407538287	-55.00713652207488	-7.317904231753824	6	64.0	115.0	2.5	1000	115.96089904003246	0.0	0.3526021015507552	0.032452547188865144	-1.7649477732502183
10300	-63.118535036558065	-55.855475453509825	-7.263059583048239	6	64.0	115.0	2.5	1000	117.4096772922466	0.0	0.2654921764971288	0.16769363032185225	-1.1287462393482448
10400	-64.9249988473168	-57.69755723587603	-7.2274416114407725	6	64.0	115.0	2.5	1000	119.66009235003428	0.0	0.18486225325644762	0.2815554843810125	-0.243356350893984
10500	-66.30302583322887	-59.05463187794373	-7.248393955285139	6	64.0	115.0	2.5	1000	120.8148301119754	0.0	0.2185722421216762	0.5167484081648028	-0.12505163914516676
10600	-69.92689833529099	-62.63602317711852	-7.290875158172474	6	64.0	115.0	2.5	1000	117.63883804883103	0.0	0.2674887923292642	0.5324168071561755	0.5298608595225643
10700	-70.42057426521993	-63.18588750027811	-7.234686764941816	6	64.0	115.0	2.5	1000	137.26775937770768	0.0	0.18857198676408565	0.41672448892030034	0.03365624080743262
10800	-67.96072397498867	-60.73203152958386	-7.22869244540481	6	64.0	115.0	2.5	1000	123.9650931559316	0.0	0.14694989905510716	0.8872994602644003	0.3316186219953007
10900	-69.10239771990373	-61.88489515813554	-7.217502561768186	6	64.0	115.0	2.5	1000	137.0711635149562	0.0	0.17286689219796333	0.13606688125439384	-0.524030014669175
11000	-64.52243542819046	-57.30164466236096	-7.220790765829502	6	64.0	115.0	2.5	1000	119.91944742246542	0.0	0.16352887393498203	0.6989301899409728	-0.38744214451341497
11100	-66.46254514279147	-59.23435642048504	-7.228188722306432	6	64.0	115.0	2.5	1000	126.14243929711803	0.0	0.18248396343024736	0.4431828074863239	-0.22709171490521732
11200	-66.45793625666498	-59.229359580227595	-7.22857667643738	6	64.0	115.0	2.5	1000	119.48777447997021	0.0	0.13811159156685293	0.3013873198975786	0.6397161927475201
11300	-68.64055075715171	-61.41617794416238	-7.224372812989342	6	64.0	115.0	2.5	1000	130.03531711850937	0.0	0.15772008686645791	0.4627702336486972	0.1543769244530585
11400	-63.170011403323045	-55.84925180087914	-7.320759602443908	6	64.0	115.0	2.5	1000	115.82214110662989	0.0	0.3533812373820887	0.054517472148054275	-1.2181586707616716
11500	-62.89787916991481	-55.52040579442464	-7.377473375490172	6	64.0	115.0	2.5	1000	115.67848938669475	0.0	0.43024500939881566	0.0037135547274208536	-1.2103232265499284
11600	-63.969123953084384	-56.63405356363711	-7.335070389447274	6	64.0	115.0	2.5	1000	118.22996566925755	0.0	0.3706392441982203	0.07237069066097124	-0.9305935947146192
11700	-62.58229788329841	-55.254644371563984	-7.327653511734423	6	64.0	115.0	2.5	1000	115.61076102776966	0.0	0.36459864018761745	0.05394894378442153	-1.4951998856634454
11800	-63.72790405774788	-56.4459134147337	-7.281990643014179	6	64.0	115.0	2.5	1000	118.98734885345242	0.0	0.2936389189368654	0.24758821558541544	-1.1173253349280134
11900	-65.57123685640212	-58.08824483040383	-7.482992025998296	6	64.0	115.0	2.5	1000	116.82482444281678	0.0	0.5601252680335224	0.2642832829767473	-1.335995694726738
12000	-62.792649119462816	-55.50148626776825	-7.291162851694566	6	64.0	115.0	2.5	1000	122.41307537313837	0.0	0.3122223963164801	0.28662636648248446	-2.232648470074576
