iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-437.61758777108815	-427.9033516642108	-9.714236106877387	36	157.0	95.0	2.5	1000	112.98291452635937	0.0	0.0008402771803463047	0.0	6.650331624603139
100	-77.5375317825967	-68.22566381678203	-9.311867965814665	36	157.0	95.0	2.5	1000	105.81993111495231	0.0	0.0009568176426251763	4.752108287386818	6.422783030349877
200	-80.7303533673016	-70.48077189751967	-10.24958146978193	36	157.0	95.0	2.5	1000	120.11294761308983	0.0	0.0003055926768492621	5.449440385153319	6.813363541370718
300	-78.83134382649446	-69.41740625551351	-9.413937570980949	36	157.0	95.0	2.5	1000	138.98449158523576	0.0	0.0002299322504901221	5.057312474992272	6.397416990872591
400	-76.99602152769569	-68.25376378582499	-8.742257741870695	36	157.0	95.0	2.5	1000	122.6549292351731	0.0	0.000284799432794117	5.382491163926734	5.899901069155543
500	-76.74707321150926	-67.84598726652382	-8.901085944985434	36	157.0	95.0	2.5	1000	125.08483756567941	0.0	0.0003543432517619669	4.882000680176536	6.068012427506319
600	-79.59193985887472	-70.07635436888056	-9.515585489994159	36	157.0	95.0	2.5	1000	112.98053572451381	0.0	0.00026458391366294113	5.725220263171097	6.460721391253364
700	-77.44051207677401	-68.35590558786907	-9.084606488904939	36	157.0	95.0	2.5	1000	115.41161595414462	0.0	0.00034027815194899696	5.576552102025648	6.2024049989813435
800	-76.47240424199825	-67.54392741135659	-8.928476830641664	36	157.0	95.0	2.5	1000	115.74443280428913	0.0	0.0004538393122166502	5.199204460925568	6.107943831614575
900	-79.8633995020947	-68.40784836924504	-11.455551132849656	36	157.0	95.0	2.5	1000	107.29557240280981	0.0	0.0005833631311879021	5.260734674390179	7.221054443045325
1000	-83.9262029332308	-70.87564979769537	-13.05055313553542	36	157.0	95.0	2.5	1000	109.72085963683355	0.0	0.0005937204375127289	4.9710662955731575	7.57240218643837
1100	-84.29399175463352	-71.17272692632228	-13.121264828311238	36	157.0	95.0	2.5	1000	114.62602332562363	0.0	0.0005490565076178721	4.6177465834736156	7.584637315146527
1200	-85.33526394213251	-71.12586361565894	-14.209400326473574	36	157.0	95.0	2.5	1000	121.12892955786637	0.0	0.00022787142004256054	5.1203337786357395	7.751952114171137
1300	-82.19164938319321	-71.16129035731753	-11.03035902587568	36	157.0	95.0	2.5	1000	111.11082440051723	0.0	0.00025315326237574173	5.438742516301168	7.076895561974159
