iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-160.86301548769381	-151.1415571585942	-9.721458329099608	10	55.0	87.5	2.5	1000	113.45188443840522	0.0	0.0008402771803463047	0.0	5.372755477679164
100	-58.15083832702359	-49.48120646645663	-8.669631860566962	10	55.0	87.5	2.5	1000	102.70487614610389	0.0	0.002413855787894616	4.091670790486204	4.758548112478376
200	-59.50757066607804	-50.834920239859066	-8.67265042621897	10	55.0	87.5	2.5	1000	96.62960243922018	0.0	0.002266272458591802	4.88811993403236	4.7489745797709375
300	-57.95771131901489	-49.36384406651416	-8.593867252500727	10	55.0	87.5	2.5	1000	98.42408755979434	0.0	0.0027130151752198647	3.7026098315730165	4.705265115243109
400	-58.85270690425964	-50.97788212539818	-7.874824778861457	10	55.0	87.5	2.5	1000	123.70804077697758	0.0	0.003718474506974164	3.367280925087364	3.737923110018373
500	-56.67309356857089	-48.8638620296737	-7.809231538897196	10	55.0	87.5	2.5	1000	113.92360515562868	0.0	0.004221408522235118	3.4249493196979857	3.6003737505308777
600	-56.3250409716254	-48.640012489391076	-7.685028482234323	10	55.0	87.5	2.5	1000	111.83939102680047	0.0	0.004629835301168697	3.17827482096196	3.2316327586307083
700	-57.48918396093886	-49.667744862713874	-7.821439098224983	10	55.0	87.5	2.5	1000	105.76427639213563	0.0	0.005662987213867421	3.8041775366680475	3.695038257074945
800	-56.62710743818729	-49.07960055444028	-7.547506883747002	10	55.0	87.5	2.5	1000	95.4666940161177	0.0	0.022751392676962325	1.7892766426757818	3.2983041716714885
900	-54.054775538342426	-46.737239228635865	-7.317536309706563	10	55.0	87.5	2.5	1000	92.20735920342348	0.0	0.0314366830679085	2.0488410468023734	1.8205153069663624
1000	-53.58127471379094	-46.24065843809291	-7.340616275698031	10	55.0	87.5	2.5	1000	101.34250969662409	0.0	0.02148975586432945	2.5544820691615997	1.6425045073539097
1100	-54.256456475667434	-46.88423641620707	-7.3722200594603695	10	55.0	87.5	2.5	1000	100.9175121386466	0.0	0.013866758569925695	2.77729680376598	1.5012159256448945
1200	-55.728656899518775	-48.24333785310911	-7.485319046409666	10	55.0	87.5	2.5	1000	91.27748183210987	0.0	0.008663715741814376	4.399164769233279	2.3017816439092504
