iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-287.08547920668957	-277.3629097664789	-9.72256944021072	9	98.0	95.0	2.5	1000	112.98291452635937	0.0	0.0008402771803463047	0.0	5.267910531826575
100	-75.50313750806103	-66.0270665416773	-9.476070966383723	9	98.0	95.0	2.5	1000	151.02278926227808	0.0	0.0005079144194180872	3.843073720218845	5.099047035024396
200	-75.17601500511357	-65.97139846882246	-9.204616536291113	9	98.0	95.0	2.5	1000	129.89608807162938	0.0	0.0012410483973743394	4.068382845927346	4.991837076080397
300	-76.43496689903841	-66.03955319846838	-10.395413700570035	9	98.0	95.0	2.5	1000	123.07188697256018	0.0	0.000632302294865408	4.659078618828816	5.512752763793582
400	-76.02115082914486	-65.76565107572092	-10.255499753423928	9	98.0	95.0	2.5	1000	117.37439386131163	0.0	0.001690986193347464	3.9868605190963535	5.499637178294243
500	-79.64213126653009	-69.26140551038769	-10.380725756142393	9	98.0	95.0	2.5	1000	151.32927944565148	0.0	0.0009330003371230888	2.974742699438812	5.527445690275355
600	-75.422463008938	-66.44569732502556	-8.97676568391244	9	98.0	95.0	2.5	1000	106.20793014071971	0.0	0.001704585903272479	4.843108789703205	4.858395493168523
700	-72.73949375563637	-64.08537398316692	-8.65411977246946	9	98.0	95.0	2.5	1000	114.91420708412133	0.0	0.0016855294746475971	4.303033561970116	4.606826977175449
800	-75.01012401842868	-66.43001877615939	-8.580105242269305	9	98.0	95.0	2.5	1000	110.14372270636875	0.0	0.0013322749790384792	5.8878274616330115	4.49973479373369
900	-72.17479409450428	-63.978320878451385	-8.196473216052894	9	98.0	95.0	2.5	1000	121.12332716463177	0.0	0.00197371960089745	4.161129809515824	4.102642768494539
1000	-74.40822857676625	-65.6444296580316	-8.763798918734658	9	98.0	95.0	2.5	1000	127.49707058038697	0.0	0.0010884829624410418	3.952820626668981	4.667865249246097
1100	-75.90987392764782	-67.82425425451191	-8.08561967313591	9	98.0	95.0	2.5	1000	123.39115634989696	0.0	0.004283602403156949	2.5529542372093537	4.073061061766087
1200	-73.80224163075319	-65.15107482903106	-8.651166801722127	9	98.0	95.0	2.5	1000	112.76572536767404	0.0	0.003478218769376796	3.3384042221606283	4.674013539839621
1300	-75.70524892772576	-67.15014876259039	-8.555100165135373	9	98.0	95.0	2.5	1000	123.88118953335825	0.0	0.0036902539464727414	2.541143585462687	4.602284700546585
1400	-72.52488018562754	-64.23007252869887	-8.29480765692867	9	98.0	95.0	2.5	1000	117.46590707747625	0.0	0.0024678089518519217	4.258549991883795	4.2658946289146495
1500	-72.66992449682681	-64.30765726646152	-8.362267230365296	9	98.0	95.0	2.5	1000	125.7231174304412	0.0	0.002681689818556964	3.628774638981221	4.364315370806649
1600	-73.71842276728955	-65.52229904523912	-8.196123722050423	9	98.0	95.0	2.5	1000	128.57366992767402	0.0	0.003552676980239026	3.037570144840654	4.1991195155376495
1700	-71.74839703573323	-63.77085472386918	-7.977542311864063	9	98.0	95.0	2.5	1000	110.93077590483448	0.0	0.00505796995159822	3.7538856877796443	3.899029506644594
1800	-70.72929045573554	-62.83669991750007	-7.8925905382354635	9	98.0	95.0	2.5	1000	103.75107778217333	0.0	0.008492414170638325	3.104885176016338	3.842624510948357
1900	-71.37507110252722	-63.654648667895486	-7.720422434631731	9	98.0	95.0	2.5	1000	112.20053539748785	0.0	0.010670880906188344	2.936061971436218	3.501452851058583
2000	-74.99635673480088	-67.23222930188618	-7.764127432914705	9	98.0	95.0	2.5	1000	109.15014290940695	0.0	0.012631224214977742	3.4656052769127195	3.6365832326238956
2100	-72.91211554759398	-65.12826544073523	-7.783850106858751	9	98.0	95.0	2.5	1000	112.88007037602664	0.0	0.014856794334582738	2.708232222669643	3.729993850160254
2200	-71.28567956043565	-63.70093580638278	-7.584743754052877	9	98.0	95.0	2.5	1000	111.12758188977193	0.0	0.02004385662426172	2.2221596934821592	3.274314258326104
2300	-72.15741722038328	-64.77676369270766	-7.380653527675623	9	98.0	95.0	2.5	1000	99.97556578667646	0.0	0.08540418930213751	1.5961001472965652	2.75894949232812
2400	-69.23499331517462	-61.903489398618994	-7.331503916555625	9	98.0	95.0	2.5	1000	99.19984999793361	0.0	0.07140019714738924	1.304051173893207	2.4222456058845823
2500	-70.3382595609237	-62.99903707358952	-7.3392224873341885	9	98.0	95.0	2.5	1000	97.94519076759407	0.0	0.07162022893941453	1.0399746441694289	2.502367584870513
2600	-70.00713238564644	-62.66069413821839	-7.346438247428059	9	98.0	95.0	2.5	1000	100.89882118787023	0.0	0.05672751918752063	1.4236724896103852	2.4645119476013555
2700	-68.39003106195318	-61.09981592555041	-7.290215136402779	9	98.0	95.0	2.5	1000	101.79555301605951	0.0	0.06569327062568844	2.0183662074543474	1.8985420548880296
2800	-70.29107121651352	-62.995813683310296	-7.295257533203221	9	98.0	95.0	2.5	1000	97.90263099250545	0.0	0.032258662205368556	2.3995579086249372	1.2223399283754952
2900	-67.31203443354569	-59.99471239232136	-7.317322041224324	9	98.0	95.0	2.5	1000	100.07118738431366	0.0	0.02782064824606713	3.109905762473311	1.337357148188056
3000	-67.37361687422762	-60.09556804987159	-7.278048824356031	9	98.0	95.0	2.5	1000	100.09491322717145	0.0	0.055174758987693355	2.2214375522241365	1.5633247435179403
3100	-67.57691443957928	-60.29671584594721	-7.280198593632069	9	98.0	95.0	2.5	1000	100.33848076625819	0.0	0.06001276356534789	2.3252881189564785	1.647836727208383
3200	-67.11537739742897	-59.80647262034451	-7.308904777084461	9	98.0	95.0	2.5	1000	99.32243220718905	0.0	0.042830164341902954	2.1902830475845136	1.8580762764660341
3300	-68.7057904259903	-61.42006199450363	-7.285728431486679	9	98.0	95.0	2.5	1000	99.86675956336327	0.0	0.04314903672400012	3.1002908821458703	1.2654173259831143
