iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-146.91027711695227	-137.16548545451934	-9.744791662432945	3	44.0	102.5	2.5	1000	121.90261830475616	0.0	0.0008402771803463047	0.0	4.179554208923555
100	-65.12993137477724	-54.036781049815474	-11.093150324961773	3	44.0	102.5	2.5	1000	137.26579847433842	0.0	0.0009194047424193093	2.6428442749277656	4.656454730346999
200	-62.80571642620886	-51.9222001439332	-10.883516282275655	3	44.0	102.5	2.5	1000	131.2261109025107	0.0	0.0004746650259106573	3.9408366491811644	4.570721678798715
300	-62.38379973262892	-52.329977002608295	-10.053822730020627	3	44.0	102.5	2.5	1000	146.11512235353734	0.0	0.0006679251746820669	3.8271396818612686	4.287386421450806
400	-61.851824321203566	-52.7730516883084	-9.078772632895163	3	44.0	102.5	2.5	1000	132.140348842574	0.0	0.0010983312805002694	3.016618973514703	3.812133461529918
500	-59.887768970172104	-51.18086526848878	-8.70690370168332	3	44.0	102.5	2.5	1000	120.39541271898138	0.0	0.0009424022570888014	4.4688215652711145	3.502564102672358
600	-59.82409907104207	-50.64828320302165	-9.175815868020418	3	44.0	102.5	2.5	1000	123.4065365901622	0.0	0.0023389977829096575	3.0615158683766914	3.9195003402956314
700	-59.81032988671127	-51.30080979688603	-8.509520089825244	3	44.0	102.5	2.5	1000	137.46311723081044	0.0	0.003399018096207128	2.4498137846036525	3.4550350028472963
800	-59.57664282258844	-51.205029436681386	-8.37161338590705	3	44.0	102.5	2.5	1000	141.06284271163372	0.0	0.0015915537832315138	2.856328760903924	3.225976064422887
900	-57.37920997213074	-49.364656866558214	-8.01455310557252	3	44.0	102.5	2.5	1000	153.4520695608045	0.0	0.0009464824729559939	3.5668868886623297	2.542654445665252
1000	-57.18166492124904	-49.31196519267648	-7.869699728572552	3	44.0	102.5	2.5	1000	123.1318407331535	0.0	0.0025614634046181874	3.6207281900685993	2.423909826511052
1100	-58.54868378882135	-50.62292104752088	-7.9257627413004705	3	44.0	102.5	2.5	1000	146.32896812397968	0.0	0.003472389750323752	2.5327038469723018	2.6520918359362415
1200	-62.911893645310464	-54.96244901744001	-7.949444627870453	3	44.0	102.5	2.5	1000	165.26278952936246	0.0	0.004518163744281731	2.356439347555007	2.754006393428539
1300	-56.86122455563591	-49.08256997492023	-7.778654580715677	3	44.0	102.5	2.5	1000	119.1575147656769	0.0	0.003187180384932139	3.7490377626013918	2.214515295862596
1400	-56.23186159341424	-48.52690789900807	-7.704953694406168	3	44.0	102.5	2.5	1000	126.85729100661369	0.0	0.002548427947560875	4.113062712741437	1.8221137874947113
1500	-55.44973230475181	-47.883946936820855	-7.565785367930957	3	44.0	102.5	2.5	1000	122.69199763864776	0.0	0.004375112334661512	4.136177904694086	1.27242550636807
1600	-56.78124657582447	-49.21088866586768	-7.570357909956794	3	44.0	102.5	2.5	1000	136.66602672357376	0.0	0.00686956978209174	2.44934001124275	1.7031835376865967
1700	-54.46825683772798	-47.05381419553038	-7.414442642197603	3	44.0	102.5	2.5	1000	122.83995200085852	0.0	0.015220051758413077	2.7401883792698536	1.0517692491608
1800	-56.24115883165746	-48.77415199149044	-7.4670068401670155	3	44.0	102.5	2.5	1000	106.31430992113333	0.0	0.020673016822426334	3.080168215768643	1.6278083796465237
1900	-56.35768611623254	-48.62162113094918	-7.736064985283365	3	44.0	102.5	2.5	1000	109.96466895314221	0.0	0.013387122697492702	2.4732632767358487	2.5064631044458734
2000	-55.882922342342304	-48.32280289185843	-7.560119450483874	3	44.0	102.5	2.5	1000	123.61652168312503	0.0	0.010304982395921338	2.526162727423789	1.8365283483665689
2100	-57.12295479131425	-49.59718061772047	-7.525774173593783	3	44.0	102.5	2.5	1000	123.81728274791142	0.0	0.017059095850693377	2.4191477587712966	1.8849473475460565
2200	-55.17991684473415	-47.682019659875735	-7.497897184858417	3	44.0	102.5	2.5	1000	113.21753052444784	0.0	0.01577027893273097	2.4928902101939228	1.7102909587166928
2300	-54.68519793776848	-47.24198203552135	-7.443215902247127	3	44.0	102.5	2.5	1000	116.43803305634894	0.0	0.012195478292878639	2.7552080774911234	1.1466069240077015
2400	-53.62223498663915	-46.30440256455762	-7.317832422081531	3	44.0	102.5	2.5	1000	107.91231275501804	0.0	0.03885011922025957	2.592008367263866	0.747279736170249
2500	-53.13405510349397	-45.853705484947305	-7.280349618546664	3	44.0	102.5	2.5	1000	112.4885866529224	0.0	0.04869394748768547	1.9343842861550524	0.4486957832355769
2600	-52.03675617323033	-44.78633370503304	-7.250422468197289	3	44.0	102.5	2.5	1000	112.67251770241991	0.0	0.05491317155442493	2.045585973448219	-0.21181810828327038
2700	-54.58800789398461	-47.327242679320875	-7.260765214663733	3	44.0	102.5	2.5	1000	120.7416004385101	0.0	0.060743728712399574	2.277419320143948	0.16352886797932323
2800	-52.03194381525817	-44.76172576382153	-7.270218051436636	3	44.0	102.5	2.5	1000	105.00913394227196	0.0	0.044124843590491056	2.540772949322076	-0.08133772774053595
2900	-51.33407020151265	-44.090830043975366	-7.243240157537289	3	44.0	102.5	2.5	1000	108.90582907356522	0.0	0.05627865713231556	2.1407195493546256	-0.514458392321749
3000	-50.2486364415212	-43.02556075695685	-7.22307568456435	3	44.0	102.5	2.5	1000	106.85453950551158	0.0	0.14237438731532331	1.5071932072221281	-0.9557845930931687
3100	-52.330423677860615	-45.05457802235673	-7.275845655503889	3	44.0	102.5	2.5	1000	104.7838618241808	0.0	0.26657445081194	0.32323626401556577	-0.7373603307323047
3200	-49.86509006264915	-42.63833792647921	-7.22675213616994	3	44.0	102.5	2.5	1000	105.62540859357807	0.0	0.16922512996082067	1.1928940953240277	-1.1977228289301072
3300	-49.55944872357076	-42.32509693210935	-7.234351791461407	3	44.0	102.5	2.5	1000	114.66156583374773	0.0	0.18769026987628273	1.4800150108380519	-1.60709323165914
3400	-50.77056165325092	-43.52802535039356	-7.24253630285736	3	44.0	102.5	2.5	1000	104.51505759732744	0.0	0.22541077738095416	0.4438197432966988	-1.745016441998017
3500	-52.81447915240197	-45.56968398164569	-7.244795170756282	3	44.0	102.5	2.5	1000	109.51198762353576	0.0	0.21197291268588012	0.3941896851237927	-0.7422631492807098
3600	-50.97805851406304	-43.756876953697564	-7.2211815603654745	3	44.0	102.5	2.5	1000	106.13987525365044	0.0	0.13623472423688238	1.1940646836090123	-0.7474499570981895
3700	-50.72567449195362	-43.50325529109204	-7.22241920086158	3	44.0	102.5	2.5	1000	112.18825072145778	0.0	0.09366680985013413	2.4346443524194625	-1.2321693366744624
3800	-49.91565337068201	-42.695599164194036	-7.220054206487969	3	44.0	102.5	2.5	1000	110.5568102209225	0.0	0.08731805226388636	2.1951369341964333	-1.3002478479233341
3900	-50.75189498630462	-43.520077784568876	-7.231817201735744	3	44.0	102.5	2.5	1000	116.76382795840023	0.0	0.06579955062135812	2.7990295274880888	-1.4233371180229584
4000	-48.735837213462126	-41.51454023499738	-7.221296978464741	3	44.0	102.5	2.5	1000	105.66291754512622	0.0	0.14639873482303284	1.7342654861229985	-1.4875806388301782
4100	-47.42514263987567	-40.199203163281084	-7.225939476594586	3	44.0	102.5	2.5	1000	102.73376474546393	0.0	0.1699927804356578	1.8423067297518718	-2.6142074393058246
4200	-45.94179580557011	-38.58471674974333	-7.357079055826779	3	44.0	102.5	2.5	1000	102.850051309436	0.0	0.3955162705747217	0.9005412986763233	-2.855171064794911
4300	-47.40909416720038	-40.02034277948564	-7.388751387714741	3	44.0	102.5	2.5	1000	104.62148547185961	0.0	0.4487120236932826	0.0576596659406064	-3.140157525177565
4400	-47.238399856750675	-39.43665134210691	-7.801748514643763	3	44.0	102.5	2.5	1000	102.92917862329696	0.0	0.9293354745030021	0.6337068797070116	-3.6520641979827557
