iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-121.945213389358	-112.362006359356	-9.583207030002004	7	44.0	87.5	2.5	1000	104.06321074796257	0.0	0.0009993410357232828	0.0010982636475864224	4.958240126758924
100	-58.96179940800886	-50.009993167240665	-8.951806240768189	7	44.0	87.5	2.5	1000	120.83541285189553	0.0	0.002283814817682897	2.6031752005369984	4.625160952994346
200	-57.94590197173499	-49.55714112860804	-8.388760843126953	7	44.0	87.5	2.5	1000	121.32140510552132	0.0	0.0016469536311265413	3.9738204203060308	4.084339738092208
300	-58.59068148530744	-49.59794376305681	-8.992737722250633	7	44.0	87.5	2.5	1000	123.87608275637433	0.0	0.001673006732646088	3.0670161035827666	4.6291199895383555
400	-59.56165035970201	-49.75182232662401	-9.809828033077999	7	44.0	87.5	2.5	1000	121.84474362232818	0.0	0.0013566705566052729	3.2397218956349896	5.062938894801815
500	-58.85725651404188	-49.9217557813094	-8.935500732732477	7	44.0	87.5	2.5	1000	96.7912209029702	0.0	0.0017228339313645053	4.714652423841676	4.579502620561753
600	-58.15026870953613	-48.99858046020723	-9.1516882493289	7	44.0	87.5	2.5	1000	110.7945973024955	0.0	0.0010232197460217389	3.9396158391245693	4.696320957213165
700	-57.74084953302969	-48.615309881879746	-9.125539651149943	7	44.0	87.5	2.5	1000	103.62269959799424	0.0	0.0016152544649158452	4.193694916715908	4.706728833273549
800	-57.641364796950555	-49.38257368562081	-8.258791111329739	7	44.0	87.5	2.5	1000	115.15930722502505	0.0	0.003424991397674735	3.4522780532764563	4.0194529143457425
900	-55.34417988714446	-47.53473780212078	-7.8094420850236865	7	44.0	87.5	2.5	1000	110.98486432160097	0.0	0.003365004543030384	3.4348516756388467	3.1825818574889992
1000	-54.599623562269784	-46.92737456608906	-7.672248996180727	7	44.0	87.5	2.5	1000	108.48266826082698	0.0	0.004579977568244828	3.6741968969655914	2.7979315248753425
1100	-55.266458145190555	-47.53268902042909	-7.733769124761462	7	44.0	87.5	2.5	1000	109.33833649224829	0.0	0.006403816845484671	3.07321862517635	3.150874987695799
1200	-56.670093623875886	-48.63175074131575	-8.038342882560137	7	44.0	87.5	2.5	1000	96.61110653882544	0.0	0.002826667381103456	4.228443010578645	3.6478967242515323
1300	-56.28082395343959	-48.41285245676833	-7.8679714966712595	7	44.0	87.5	2.5	1000	97.6047583743605	0.0	0.0030224212114417165	4.170126032227381	3.2944903716255878
1400	-57.424687944017904	-49.563157579750126	-7.861530364267777	7	44.0	87.5	2.5	1000	107.34509767910193	0.0	0.005716898340757126	2.167135229002155	3.4715889661738446
1500	-56.9134663061863	-49.14238340711161	-7.771082899074691	7	44.0	87.5	2.5	1000	92.38985199592665	0.0	0.006279226914691705	3.114241925397374	3.250798053414662
1600	-55.02485507540989	-47.34696955313672	-7.677885522273173	7	44.0	87.5	2.5	1000	110.36179186471334	0.0	0.006052960372390338	2.9625522693276345	2.952419650925429
1700	-55.1933536744872	-47.42279222629148	-7.770561448195721	7	44.0	87.5	2.5	1000	107.73398848298619	0.0	0.006027627825940209	3.119625799542276	3.238757607407044
1800	-54.2260906158577	-46.74982703361983	-7.476263582237873	7	44.0	87.5	2.5	1000	97.88558573786533	0.0	0.011954672364271758	3.3838284573022657	2.2076933151690112
1900	-53.742174687310545	-46.3653810512275	-7.376793636083042	7	44.0	87.5	2.5	1000	94.458643677821	0.0	0.025348753535235854	1.6953040260252028	2.0330638141049944
2000	-55.85773477803056	-48.376893751799024	-7.480841026231541	7	44.0	87.5	2.5	1000	97.84967442926612	0.0	0.009821188086707983	2.411268479732451	2.18258571131767
2100	-55.33898104351506	-47.79015964603718	-7.548821397477884	7	44.0	87.5	2.5	1000	98.28379316223732	0.0	0.01078452032365192	2.2048218013068435	2.6644398201896156
2200	-55.09110234250305	-47.574383105129264	-7.516719237373783	7	44.0	87.5	2.5	1000	95.65331374953473	0.0	0.0074067111877289555	4.348641638441144	2.106381339404611
2300	-54.55507799371058	-46.95263197815042	-7.602446015560158	7	44.0	87.5	2.5	1000	110.26608893433564	0.0	0.006996819832075244	3.2157731669198926	2.6839287400155913
2400	-59.17815016497415	-51.66754513600772	-7.510605028966428	7	44.0	87.5	2.5	1000	147.10274196540638	0.0	0.008311592599349216	1.629569845810292	2.3453873399349354
2500	-54.23543812252807	-46.68558574732329	-7.549852375204784	7	44.0	87.5	2.5	1000	97.89470266586292	0.0	0.017168517185155375	2.0642395050952067	2.8529212717744907
2600	-55.29363081448407	-47.760326296911266	-7.533304517572802	7	44.0	87.5	2.5	1000	90.17935338528335	0.0	0.016666933610198272	3.4720695083036555	2.709521369126287
2700	-52.234971373083354	-44.96358796435506	-7.271383408728294	7	44.0	87.5	2.5	1000	94.56391963383881	0.0	0.05379482733654103	1.9092573389420677	1.2193173270891928
2800	-53.29312224982176	-46.020353075805545	-7.272769174016213	7	44.0	87.5	2.5	1000	92.73007648172576	0.0	0.06004061102614922	2.0931019978078855	1.3042408653069915
2900	-50.98671181015191	-43.75690543751695	-7.229806372634964	7	44.0	87.5	2.5	1000	91.88717495815058	0.0	0.07164488875264417	1.4993120404346028	0.41723066034208334
3000	-50.490010082064714	-43.27449047383185	-7.215519608232864	7	44.0	87.5	2.5	1000	90.82047153540637	0.0	0.13095866163721587	1.059389815004864	-0.11006066471920935
3100	-51.283526925853074	-44.05679661462769	-7.226730311225381	7	44.0	87.5	2.5	1000	94.20667081740662	0.0	0.17062883584026445	0.5481299475592716	0.10774279882465551
