iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-43.95757940178619	-33.69187700225386	-10.265702399532332	5	12.0	97.5	5.0	1000	112.69674219809687	0.0	0.0009085366587476064	0.40924390161364615	4.9061821644636225
100	-41.61168662554128	-31.21301722660325	-10.398669398938035	5	12.0	97.5	5.0	1000	111.34498423146039	0.0	0.0012832817862658591	2.439614640465729	4.959087116124953
200	-39.16748271368367	-29.411071978758343	-9.756410734925328	5	12.0	97.5	5.0	1000	108.73117953467884	0.0	0.0028302729302217867	0.3098120698447142	4.7474772739281486
300	-39.18551045361028	-30.050238684275634	-9.135271769334645	5	12.0	97.5	5.0	1000	122.16218038214544	0.0	0.002217673085531935	0.5186858374495805	4.418150442521751
400	-37.421194960672025	-28.778750153792867	-8.642444806879155	5	12.0	97.5	5.0	1000	107.96465319224896	0.0	0.005230046699354236	0.5499530595246465	4.133964942838103
500	-36.787941945461505	-28.907884687970345	-7.880057257491158	5	12.0	97.5	5.0	1000	104.23271736326623	0.0	0.008060871336541616	0.4261300419075495	3.27294514556507
600	-38.315486544059375	-30.339085875626473	-7.9764006684329	5	12.0	97.5	5.0	1000	139.83834385140784	0.0	0.0043302071605859005	0.7427945880915663	3.3367400806341867
700	-36.88001495556999	-29.153507011558283	-7.726507944011707	5	12.0	97.5	5.0	1000	112.94368778676407	0.0	0.0071700514145534135	0.5638107378815785	2.8960022715818132
800	-39.05718636728773	-31.188654074711103	-7.868532292576626	5	12.0	97.5	5.0	1000	146.99296246016064	0.0	0.004800089836645395	0.1686788155261063	3.157533284121199
900	-36.57155538448601	-28.790663540426426	-7.780891844059585	5	12.0	97.5	5.0	1000	110.73957141811741	0.0	0.010764411562269954	0.10716529819782403	3.1311848583516815
1000	-37.47692071788125	-29.466581420432824	-8.010339297448425	5	12.0	97.5	5.0	1000	101.33614903569668	0.0	0.010512814132948127	0.677041405196066	3.5258562714920174
1100	-37.921410220250294	-29.418589876616867	-8.502820343633424	5	12.0	97.5	5.0	1000	101.02074175850538	0.0	0.009022954211358115	0.36471160830065014	4.061708664055786
1200	-37.78542201896147	-29.318938877491398	-8.46648314147007	5	12.0	97.5	5.0	1000	110.78188075011198	0.0	0.007427382592430841	0.4977877764512071	4.012715825164063
