iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-63.04156802392387	-53.29677636149093	-9.744791662432945	3	17.0	102.5	5.0	1000	125.91289955682927	0.0	0.0008402771803463047	0.0	4.179554208923555
100	-37.36747749798498	-27.688566048706885	-9.67891144927809	3	17.0	102.5	5.0	1000	126.73254232389668	0.0	0.000553659979153448	3.171500138473309	4.1135901562783825
200	-37.59633226682712	-28.35089786539117	-9.24543440143595	3	17.0	102.5	5.0	1000	134.22909002436987	0.0	0.00029107231754800533	3.4008963992347927	3.832367693015639
300	-36.40601122698065	-27.153852877303834	-9.252158349676815	3	17.0	102.5	5.0	1000	133.37125676861356	0.0	0.00010744460306081416	4.708183841689376	3.7611299127011133
400	-36.615961074769466	-27.58005076179019	-9.035910312979276	3	17.0	102.5	5.0	1000	126.48484805969636	0.0	6.391907497695438e-05	5.7982792412274256	3.5445974726815477
500	-35.995832819996124	-27.204082867427502	-8.791749952568622	3	17.0	102.5	5.0	1000	135.77130824380473	0.0	0.00016401441413941534	4.462215653274159	3.418570903823394
600	-37.44328023515057	-27.286741014870632	-10.156539220279935	3	17.0	102.5	5.0	1000	147.4594437673079	0.0	0.00012548776830140448	3.9403147255099107	4.2601968761330955
700	-38.461243148298614	-28.135128940866878	-10.326114207431736	3	17.0	102.5	5.0	1000	174.24781479274824	0.0	7.902144712897272e-05	3.35229398860476	4.313500285672465
800	-39.585793195711304	-29.969967549094616	-9.615825646616692	3	17.0	102.5	5.0	1000	182.80810060939942	0.0	0.00022215318712167877	2.439652504713694	4.038889880451005
900	-35.90762915671735	-27.177399059267984	-8.730230097449368	3	17.0	102.5	5.0	1000	127.44003479021667	0.0	0.00027913071840423236	4.5211671358438394	3.4096351052780425
1000	-36.63687316325937	-27.724557223973235	-8.912315939286128	3	17.0	102.5	5.0	1000	110.01660985001693	0.0	0.0003760915028921241	5.0903642632296435	3.595600296468064
1100	-36.868283076521905	-27.353778974634107	-9.514504101887795	3	17.0	102.5	5.0	1000	117.60630967681668	0.0	0.00034353513782203423	4.4931102069255795	3.9965798536612476
1200	-35.716436110940734	-27.196835704916918	-8.51960040602382	3	17.0	102.5	5.0	1000	116.49896589651325	0.0	0.0005717514512351786	4.175700784129487	3.265043341846966
1300	-36.29602404569985	-28.099579915134782	-8.196444130565073	3	17.0	102.5	5.0	1000	146.93323591648772	0.0	0.0006222405212029988	3.0662040605239587	2.8374255661611887
1400	-37.89644246975233	-29.602937057423674	-8.293505412328656	3	17.0	102.5	5.0	1000	161.68988971173104	0.0	0.0010875162333052392	2.3291538928018256	3.0849205243294344
1500	-36.7634486939554	-27.729384056545868	-9.034064637409529	3	17.0	102.5	5.0	1000	106.47339107017854	0.0	0.0006405340859865114	4.286939219325399	3.7357757198332036
1600	-36.96232823972241	-28.226690641417257	-8.735637598305155	3	17.0	102.5	5.0	1000	112.65783751958904	0.0	0.0009603233540796003	4.228619786347407	3.5319485785493963
1700	-36.20386729317807	-27.978145146744634	-8.225722146433439	3	17.0	102.5	5.0	1000	120.37152307009517	0.0	0.0011539196769037076	3.8827848663543794	2.9725636446318613
1800	-37.18375124077279	-29.076854213839834	-8.10689702693296	3	17.0	102.5	5.0	1000	152.66496181769793	0.0	0.0012226002970176385	2.485363794794969	2.8074618152823465
1900	-35.42851003871623	-27.472677388697935	-7.9558326500183	3	17.0	102.5	5.0	1000	112.26498484363347	0.0	0.0019506485355481693	3.5906699003641225	2.5713896361665736
2000	-36.67464516903152	-27.63857399402204	-9.036071175009482	3	17.0	102.5	5.0	1000	113.00819546477035	0.0	0.0014711484063643686	3.156763589410029	3.801970404166024
2100	-36.9351675993817	-27.48710863856006	-9.448058960821644	3	17.0	102.5	5.0	1000	117.17730324328275	0.0	0.0008459533490674125	3.2601870052359567	4.015963292362772
2200	-36.19445174096377	-27.366652503569206	-8.827799237394562	3	17.0	102.5	5.0	1000	123.14009912266391	0.0	0.0005502872385393051	3.679384363472095	3.5684605041828816
2300	-38.853817814512546	-29.6557931387339	-9.198024675778644	3	17.0	102.5	5.0	1000	127.04572929515695	0.0	0.002199446340146084	1.8682619125048037	3.93611337497298
2400	-37.706782908238715	-28.75173795853182	-8.955044949706895	3	17.0	102.5	5.0	1000	111.64326656444085	0.0	0.002959893204084693	2.6846348375500755	3.79667657022938
2500	-38.114483805414	-29.66254680976529	-8.451936995648712	3	17.0	102.5	5.0	1000	116.95720812770797	0.0	0.005029142147879103	1.5373384215367494	3.444640940947907
2600	-37.044152839566976	-28.007300805179998	-9.036852034386976	3	17.0	102.5	5.0	1000	112.47551176878508	0.0	0.001141760034256238	3.8652422389001417	3.7807678197041636
2700	-37.25084703781987	-28.66087095331411	-8.589976084505755	3	17.0	102.5	5.0	1000	124.97920055239885	0.0	0.0026837941305371997	2.22757261969442	3.5101247434879608
