iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-194.03563969364149	-184.59867905312336	-9.43696064051812	14	71.0	72.5	2.5	1000	86.22380319116898	0.0	0.0009287152221196652	0.21432891442516394	5.571761917518631
100	-60.06121762701982	-50.99269208044906	-9.068525546570761	14	71.0	72.5	2.5	1000	87.45498808121708	0.0	0.002468493338282434	4.935703019307992	5.385303652118116
200	-59.77956959174451	-51.7902940359382	-7.989275555806311	14	71.0	72.5	2.5	1000	100.032741113199	0.0	0.005428675586435671	3.785415719913395	4.37337106810787
300	-57.515447628286154	-49.654672422083124	-7.860775206203028	14	71.0	72.5	2.5	1000	88.33578684067244	0.0	0.005737787220618174	4.299222032789624	4.116321091318002
400	-58.40857193996064	-50.30183693095499	-8.106735009005643	14	71.0	72.5	2.5	1000	87.84453288461847	0.0	0.005800403156288023	4.241177325429879	4.564264951797442
500	-58.659095494136764	-50.99779016630292	-7.661305327833844	14	71.0	72.5	2.5	1000	82.55449638362336	0.0	0.00469787749672998	4.653843409677803	3.4097289650054283
600	-56.63184043618474	-49.15092222121903	-7.480918214965713	14	71.0	72.5	2.5	1000	91.16558294574878	0.0	0.009093072973322769	3.3507800450299987	2.7380902723734044
700	-54.89005809832249	-47.46190586878196	-7.428152229540529	14	71.0	72.5	2.5	1000	79.25887295390575	0.0	0.01942768626030493	3.722808848860274	2.8172705146140964
800	-56.051832561833024	-48.71939716759444	-7.332435394238584	14	71.0	72.5	2.5	1000	95.42890962270201	0.0	0.026101002972909446	2.3204850826301593	2.139312568795853
900	-52.73107920124787	-45.46895170461699	-7.262127496630883	14	71.0	72.5	2.5	1000	76.67220829059704	0.0	0.07175466050260683	1.9720530449684595	1.9322010226322797
1000	-53.70580732626015	-46.46494975974547	-7.240857566514676	14	71.0	72.5	2.5	1000	76.67382266801953	0.0	0.09134532615428727	0.810077139142541	1.8230149077111961
1100	-53.85420767865533	-46.60517703009253	-7.249030648562803	14	71.0	72.5	2.5	1000	77.7758927901642	0.0	0.12752455722889544	1.337377593643783	1.824981181602832
1200	-54.83762463158985	-47.571370966571536	-7.266253665018314	14	71.0	72.5	2.5	1000	77.80970494375879	0.0	0.17348952681096044	0.15171035772739105	2.097779239679717
1300	-53.09937329369163	-45.829472442641965	-7.269900851049666	14	71.0	72.5	2.5	1000	76.79370928562656	0.0	0.0899631584313467	1.3806472871030033	2.2447232071353023
1400	-54.784966189422896	-47.52086099838602	-7.264105191036876	14	71.0	72.5	2.5	1000	79.31736430655113	0.0	0.15879906431551155	0.5935965329610338	2.0852504621893457
1500	-56.413591371798134	-49.10102238029952	-7.312568991498615	14	71.0	72.5	2.5	1000	72.71642844359877	0.0	0.08091103862495268	2.1553815507395857	2.6468349850743933
1600	-54.320905462872126	-47.062328721174545	-7.25857674169758	14	71.0	72.5	2.5	1000	83.68986870039375	0.0	0.06520145471121234	1.3706022424292734	1.9207785178334205
1700	-53.1183508383089	-45.86980054120125	-7.248550297107649	14	71.0	72.5	2.5	1000	78.1186459690798	0.0	0.09845494333416799	1.6040028558829749	1.8261545447865872
1800	-53.73492237629275	-46.503029942536315	-7.231892433756433	14	71.0	72.5	2.5	1000	87.18166463235022	0.0	0.08519008218530073	1.4599472608224708	1.3636964812641963
1900	-52.963685319828656	-45.7247389141567	-7.238946405671953	14	71.0	72.5	2.5	1000	82.43285140960256	0.0	0.06996391063286937	2.386408657760371	1.0906203217165995
