iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-199.09054696440555	-189.35505585894674	-9.735491105458813	4	106.0	115.0	2.5	1000	136.76879126875082	0.0	0.001006556189506772	1.204169182888163	4.465649681095681
100	-85.39641508874641	-76.28226745637177	-9.114147632374642	4	106.0	115.0	2.5	1000	161.9809413086499	0.0	0.0018448977107950696	2.9150282973149535	4.1562148201691285
200	-84.58760133102379	-74.99216064616685	-9.59544068485694	4	106.0	115.0	2.5	1000	130.72718912722152	0.0	0.0038617109429606713	2.6943831857917067	4.454853126397444
300	-83.07824748796314	-74.49286171014049	-8.585385777822651	4	106.0	115.0	2.5	1000	119.15275322155271	0.0	0.01664476878300264	1.6299677955263958	3.93963238524523
400	-89.18160154678255	-78.79083267682981	-10.39076886995274	4	106.0	115.0	2.5	1000	122.1674636060534	0.0	0.021272769335159727	1.4260214927938417	4.824247979958316
500	-84.53568236538817	-75.47386738582722	-9.061814979560943	4	106.0	115.0	2.5	1000	121.17345657704351	0.0	0.021120289242082264	1.33289317252929	4.267586584714254
600	-83.6224633740892	-75.47666939712455	-8.145793976964647	4	106.0	115.0	2.5	1000	125.13378319051725	0.0	0.016210685754303504	2.599765228130166	3.5067510833387785
700	-83.25321839612177	-75.16476746517547	-8.088450930946298	4	106.0	115.0	2.5	1000	120.266830827126	0.0	0.014267239171189229	2.9455227040056315	3.416895772348957
800	-82.20909355420066	-73.94326681528374	-8.265826738916928	4	106.0	115.0	2.5	1000	121.54212088854428	0.0	0.01872418944932907	1.7182502308889833	3.662785248068412
900	-81.27069084613606	-73.22108778439454	-8.049603061741514	4	106.0	115.0	2.5	1000	119.14181571846032	0.0	0.01314678092642039	2.5093722729936943	3.360822350687801
1000	-81.30747577561398	-73.59456186450315	-7.712913911110833	4	106.0	115.0	2.5	1000	130.4035089871367	0.0	0.025566713965784308	1.6648591856481996	2.8818228008995357
1100	-82.04869542457843	-73.77281528339024	-8.275880141188178	4	106.0	115.0	2.5	1000	124.58347520060732	0.0	0.018846680516561944	1.8629728633420697	3.6721188224437773
1200	-83.52609654358199	-75.15122254049845	-8.374874003083539	4	106.0	115.0	2.5	1000	121.2277439956429	0.0	0.020808774530980997	2.031418020167185	3.7737996239915375
1300	-79.77246695270411	-72.13623347865224	-7.636233474051869	4	106.0	115.0	2.5	1000	120.42340707869984	0.0	0.011969458577260709	3.0551164833280073	2.4622871253787078
1400	-78.11091111482774	-70.64360357923246	-7.4673075355952765	4	106.0	115.0	2.5	1000	129.51601449814925	0.0	0.028800675181407432	2.146059815235934	2.101338932776495
1500	-78.22138872636678	-70.8230513367703	-7.398337389596481	4	106.0	115.0	2.5	1000	139.4522697602734	0.0	0.03484845744186643	2.358430010821598	1.7671057399757484
1600	-78.69358003399049	-71.32548669050055	-7.368093343489932	4	106.0	115.0	2.5	1000	138.06993689270234	0.0	0.022220303222528787	3.1301804645216196	1.1120353029203105
1700	-77.30773448086835	-69.94851486309716	-7.359219617771185	4	106.0	115.0	2.5	1000	122.29147183100527	0.0	0.03074510861089255	2.1608070813433504	1.3940756475322957
1800	-77.93276751527208	-70.60273849921896	-7.330029016053116	4	106.0	115.0	2.5	1000	129.77093608719213	0.0	0.057004210561145165	2.0496585155730966	1.4649425724035021
1900	-83.99273402640567	-76.66631612659526	-7.32641789981041	4	106.0	115.0	2.5	1000	152.34771703158376	0.0	0.054854821161876684	1.160468065631876	1.4975587778110282
2000	-76.94298979886203	-69.69006164126202	-7.252928157600007	4	106.0	115.0	2.5	1000	139.829917341541	0.0	0.0845136454005674	1.5845961064111937	0.6439881554291762
2100	-72.59261806570147	-65.3489723152089	-7.243645750492573	4	106.0	115.0	2.5	1000	120.48533184251234	0.0	0.0756919878685637	1.97767730591263	0.2526512569860548
2200	-69.05849936313078	-61.82926094770518	-7.2292384154256	4	106.0	115.0	2.5	1000	121.33451090848729	0.0	0.1433651235642683	1.8760451899834996	-0.511229497672588
2300	-67.58790436348585	-60.367346880898644	-7.220557482587205	4	106.0	115.0	2.5	1000	128.737338380691	0.0	0.13023676578693733	2.1098580149257	-1.204082416548076
2400	-69.07554514458448	-61.84568888286834	-7.229856261716149	4	106.0	115.0	2.5	1000	123.59519870421533	0.0	0.1829041241575822	1.2126943898015599	-1.264000494205308
