iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-209.38719528660545	-199.6614512432201	-9.725744043385326	7	71.0	115.0	2.5	1000	136.76879126875082	0.0	0.0008402771803463047	0.0	5.018067697140371
100	-77.28729680373067	-65.90804415609121	-11.379252647639458	7	71.0	115.0	2.5	1000	136.51341391836485	0.0	0.001434414413443605	2.8769614504308723	5.593046852140168
200	-74.6218598687876	-65.09619141777296	-9.525668451014646	7	71.0	115.0	2.5	1000	139.58388969212442	0.0	0.001314570004348967	3.530522626338629	4.925381553911906
300	-74.63700568546301	-65.96358582861751	-8.673419856845504	7	71.0	115.0	2.5	1000	140.63011752571745	0.0	0.0017159255254786132	3.50246148979088	4.381290548284816
400	-72.8562348977697	-64.5457691690799	-8.310465728689799	7	71.0	115.0	2.5	1000	140.01005457663152	0.0	0.00101609308393062	3.773332783670134	3.9264348676722243
500	-73.33743397180876	-65.04496216804881	-8.292471803759947	7	71.0	115.0	2.5	1000	166.75141521747454	0.0	0.0008351229658711492	3.1578069439325143	3.8823219248883545
600	-73.19611152044308	-64.86962556628205	-8.326485954161035	7	71.0	115.0	2.5	1000	164.81895995157944	0.0	0.0007113909221766506	3.1786208819043864	3.907801446284669
700	-71.54602069077802	-63.666793627413035	-7.879227063364985	7	71.0	115.0	2.5	1000	161.11370486256862	0.0	0.0010147721744038767	3.40521904237312	3.0343648503432967
800	-72.5005593718254	-64.77744301768712	-7.723116354138283	7	71.0	115.0	2.5	1000	139.27854905805387	0.0	0.0012494287290160232	4.2212694397294825	2.3729052048397654
900	-72.95272143929049	-65.29559608148065	-7.65712535780983	7	71.0	115.0	2.5	1000	183.14354413807274	0.0	0.001856187763017219	2.9422616506232373	2.2755064245343664
1000	-71.11194408982612	-63.43712063920225	-7.674823450623874	7	71.0	115.0	2.5	1000	159.08217853404867	0.0	0.002113236607061675	2.9844563928096735	2.4708123634306194
1100	-70.96284807125275	-63.24506746748631	-7.717780603766437	7	71.0	115.0	2.5	1000	159.4953998041865	0.0	0.0015687431792833135	3.4291026126211643	2.524151100718764
1200	-73.15894141492399	-65.49294872118881	-7.665992693735181	7	71.0	115.0	2.5	1000	158.97277114487144	0.0	0.0021867581360158423	2.704335975650696	2.4548112698305373
1300	-71.56295365517005	-63.89978059907155	-7.663173056098496	7	71.0	115.0	2.5	1000	158.4384105018067	0.0	0.0020996270670279654	2.9721061915889693	2.396157244889804
1400	-72.01804256314101	-64.36620375569615	-7.651838807444859	7	71.0	115.0	2.5	1000	177.86545347220496	0.0	0.001606464529199332	2.762036928376819	2.139478143498282
1500	-70.90328257067503	-63.21068692811749	-7.692595642557537	7	71.0	115.0	2.5	1000	165.42174358242463	0.0	0.0010400204921524841	3.558247536770186	2.0524194096042834
1600	-71.85608440977512	-64.09876943760223	-7.757314972172886	7	71.0	115.0	2.5	1000	170.7723803722685	0.0	0.0011393298071567838	3.057772971083683	2.587677542759483
1700	-71.33737114621631	-63.51563416770533	-7.821736978510988	7	71.0	115.0	2.5	1000	142.09078991258082	0.0	0.002275879385255605	3.2229227387901522	3.111589503725679
1800	-72.96992194857725	-65.09579930844708	-7.874122640130169	7	71.0	115.0	2.5	1000	144.19812566814716	0.0	0.002209800706975811	2.881487446790181	3.2642731269777148
1900	-74.06463112873091	-66.0063136869839	-8.05831744174701	7	71.0	115.0	2.5	1000	127.10288658050176	0.0	0.0023816568413963348	4.087313220616775	3.6564305075041625
2000	-72.48013228414544	-64.60170346364123	-7.878428820504206	7	71.0	115.0	2.5	1000	146.98534556314863	0.0	0.0033476320908831497	3.087909728608538	3.3723119724621924
2100	-72.5461685592266	-64.6020792574838	-7.944089301742803	7	71.0	115.0	2.5	1000	138.1042638275	0.0	0.0021945378488062	3.7321943099299726	3.4149626114114966
2200	-71.80397155554691	-63.821330800338345	-7.982640755208568	7	71.0	115.0	2.5	1000	131.46567650547973	0.0	0.0032752677025064667	2.9211951723802727	3.5948286079191427
2300	-71.2291258720023	-63.30937702810549	-7.919748843896809	7	71.0	115.0	2.5	1000	121.78201887327133	0.0	0.006594458283171174	2.7376329246969378	3.605551806981266
2400	-71.12939119933085	-63.444153348767514	-7.685237850563346	7	71.0	115.0	2.5	1000	151.6533932925418	0.0	0.0021504923408464283	3.184674809414945	2.52897415571099
