iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-475.16577499335654	-465.4432055531458	-9.72256944021072	9	149.0	100.0	2.5	1000	130.67415985455105	0.0	0.0008402771803463047	0.0	5.267910531826575
100	-89.03266524578893	-79.38660024570298	-9.646065000085962	9	149.0	100.0	2.5	1000	112.64362806792822	0.0	0.0014423189456357396	5.150267158918577	5.232699958174711
200	-86.97584440492075	-77.99140385760413	-8.984440547316625	9	149.0	100.0	2.5	1000	124.10033076449301	0.0	0.0016364777148371958	4.292338053035404	4.864783939621724
300	-88.57625894367293	-79.1092795990753	-9.466979344597629	9	149.0	100.0	2.5	1000	105.71905654163689	0.0	0.0019980726154914825	5.10257570133186	5.159666552902587
400	-89.32088638617839	-79.82987468817345	-9.491011698004936	9	149.0	100.0	2.5	1000	123.47743494034977	0.0	0.0020440505498642353	3.836192953527425	5.1795882341059665
500	-83.10865685782731	-74.75226373499906	-8.356393122828251	9	149.0	100.0	2.5	1000	105.74652566877546	0.0	0.004583038130189258	4.360849187197443	4.407452509790897
600	-85.02149756452071	-77.1203217432984	-7.901175821222312	9	149.0	100.0	2.5	1000	106.12291086809451	0.0	0.007255811826361034	3.4726383490313117	3.8239433875905164
700	-82.443216096775	-74.43301571360755	-8.010200383167458	9	149.0	100.0	2.5	1000	114.00916203324992	0.0	0.006356594462579317	4.174019624542625	3.9863046335531056
800	-81.17926687615203	-73.19204974207388	-7.987217134078154	9	149.0	100.0	2.5	1000	111.14128183595	0.0	0.01037111458189258	3.5765347311939193	4.031923408037309
900	-82.68877695186796	-74.73858603666942	-7.9501909151985455	9	149.0	100.0	2.5	1000	112.7688492086188	0.0	0.009955651503939882	3.5204158880527006	3.965692862599175
1000	-78.87023701190385	-71.12062547391469	-7.749611537989168	9	149.0	100.0	2.5	1000	108.76104955559353	0.0	0.01285622176021874	3.5901224760589305	3.6022879769586753
1100	-82.05633789224603	-74.21405955011085	-7.842278342135186	9	149.0	100.0	2.5	1000	104.46432499112473	0.0	0.011931834180473859	3.672977237380739	3.7923188435860213
1200	-83.79372364534767	-75.84329185266743	-7.950431792680231	9	149.0	100.0	2.5	1000	107.21811592853443	0.0	0.017343428983982646	2.63586885827321	4.058809628511987
1300	-80.21414638963412	-72.59724931484936	-7.616897074784763	9	149.0	100.0	2.5	1000	107.39413461422275	0.0	0.020862372761249862	3.2617346499397817	3.3558454829393365
1400	-79.35006376523442	-71.78623110376658	-7.563832661467842	9	149.0	100.0	2.5	1000	110.23633883390852	0.0	0.01447157948988425	3.418323200573272	3.0462558777537496
1500	-81.27997388008112	-73.49026910146641	-7.789704778614705	9	149.0	100.0	2.5	1000	105.39119015043285	0.0	0.010069162731277975	3.829830612378865	3.640907034204869
1600	-78.94677180644803	-71.31091514843897	-7.635856658009057	9	149.0	100.0	2.5	1000	102.8046606152382	0.0	0.009746063271803251	4.380566825523161	3.1578494821213563
1700	-83.42014961091715	-75.86207283752434	-7.5580767733928145	9	149.0	100.0	2.5	1000	117.59287176314733	0.0	0.013561657231109988	3.852010033591244	2.9768306035014285
1800	-79.1730472270191	-71.65586361613518	-7.517183610883917	9	149.0	100.0	2.5	1000	114.62690100965587	0.0	0.01568379927945854	3.6011439930032254	2.850033160633715
1900	-76.69911669971457	-69.25195800372686	-7.447158695987714	9	149.0	100.0	2.5	1000	105.24096714082738	0.0	0.023321967471506073	3.5455285594820625	2.6333006843212936
2000	-78.67206697861009	-71.14977336704294	-7.522293611567149	9	149.0	100.0	2.5	1000	106.06316834606683	0.0	0.024905959930398607	3.188338837115898	3.065822307422495
2100	-79.01588968680055	-71.52643483576428	-7.489454851036272	9	149.0	100.0	2.5	1000	104.28067075560263	0.0	0.024068365664144383	3.2248787499465057	2.903135786351106
2200	-79.14485244115055	-71.73098908490216	-7.41386335624839	9	149.0	100.0	2.5	1000	104.13663753212376	0.0	0.03427076806121025	3.1783404037766982	2.6197440514806445
2300	-79.58929120038947	-72.01385934392589	-7.5754318564635845	9	149.0	100.0	2.5	1000	103.34039923148042	0.0	0.013560464367758401	4.082333293995018	3.0435457306243414
2400	-81.42789855295625	-73.63876608207111	-7.78913247088514	9	149.0	100.0	2.5	1000	110.8222958848464	0.0	0.009792656429732956	3.9262901703891986	3.631312947623878
2500	-81.2049099546147	-73.34603557499803	-7.858874379616678	9	149.0	100.0	2.5	1000	102.92803263183959	0.0	0.012908739554233684	4.295978981189027	3.826735553652703
2600	-79.72334593877234	-72.14399619941098	-7.579349739361357	9	149.0	100.0	2.5	1000	116.03084083293612	0.0	0.007590020599123109	4.136215309308407	2.8092844204676797
2700	-77.70659056720294	-70.21116762860133	-7.495422938601605	9	149.0	100.0	2.5	1000	107.19478188931171	0.0	0.010824461956432557	4.505262069396078	2.452396478787842
2800	-78.92481751203708	-71.39578714830739	-7.529030363729694	9	149.0	100.0	2.5	1000	109.4298143807048	0.0	0.012150027100280422	4.165798769693442	2.764225163760915
2900	-79.04426396428484	-71.52023343248469	-7.524030531800157	9	149.0	100.0	2.5	1000	113.11052894376982	0.0	0.006068906240982152	4.569932244700971	2.235692865959928
