iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-82.74941444790815	-73.02367040452282	-9.725744043385326	7	25.0	72.5	2.5	1000	76.89761834281964	0.0	0.0008402771803463047	0.0	5.018067697140371
100	-40.6976691214119	-32.03583316640056	-8.661835955011341	7	25.0	72.5	2.5	1000	101.99350132917088	0.0	0.0014517478815313887	3.8200587574454783	4.353577591505469
200	-39.1482783958172	-30.95623874159607	-8.192039654221126	7	25.0	72.5	2.5	1000	81.93597774168983	0.0	0.0023012654034826937	4.951813017947639	3.8553160634632375
300	-40.338728188385176	-31.537628909413122	-8.80109927897205	7	25.0	72.5	2.5	1000	80.75953610563697	0.0	0.0034568904238862436	4.1573485007469895	4.534761926518913
400	-41.422417579116576	-33.019352339065364	-8.403065240051212	7	25.0	72.5	2.5	1000	75.60235925167747	0.0	0.005297751450830125	2.3970986654864017	4.240328367653718
500	-40.216897570289454	-31.556629959477874	-8.660267610811578	7	25.0	72.5	2.5	1000	76.82005283504016	0.0	0.005550656815376512	3.387243253808584	4.466487775560309
600	-40.12364830374779	-31.38065610728221	-8.742992196465583	7	25.0	72.5	2.5	1000	75.04245037400507	0.0	0.0045522334402169785	3.9826108911751716	4.512025969276131
700	-39.82205508783146	-31.326202130237704	-8.495852957593751	7	25.0	72.5	2.5	1000	94.8073547509034	0.0	0.0009259049728464156	4.892881787577258	4.131558537962773
800	-40.39093961571707	-32.14437620812227	-8.24656340759481	7	25.0	72.5	2.5	1000	80.11200591328726	0.0	0.00138171783748402	6.4437510075632245	3.8396522867461895
900	-42.764233474020145	-34.606213722822396	-8.158019751197752	7	25.0	72.5	2.5	1000	95.4840978549534	0.0	0.006377165629179668	1.766040954214257	3.98790444377472
1000	-39.534898962341614	-31.832005751559606	-7.70289321078201	7	25.0	72.5	2.5	1000	91.8996428831781	0.0	0.006214847193943305	3.4335277522237035	3.0323784445126805
1100	-39.72012637124757	-31.998967557939586	-7.721158813307983	7	25.0	72.5	2.5	1000	79.14395026800769	0.0	0.010509052549144684	3.6856399382250564	3.227839884794579
1200	-40.42300927304417	-32.255720751256014	-8.167288521788159	7	25.0	72.5	2.5	1000	78.511028265598	0.0	0.007909760548637644	3.8048816182867276	3.999368700502436
1300	-39.43306609216758	-31.290412590196418	-8.142653501971164	7	25.0	72.5	2.5	1000	83.11510828609028	0.0	0.003774904472072906	3.947917964967083	3.8680815503379864
1400	-40.16233338530452	-32.15270626585134	-8.009627119453175	7	25.0	72.5	2.5	1000	92.29558116549484	0.0	0.002307954712875659	5.096475677499122	3.5378604710461397
1500	-39.54036565997885	-31.81699715868352	-7.72336850129533	7	25.0	72.5	2.5	1000	82.84943492074201	0.0	0.0019268198818631393	4.997679235597119	2.5792734332777116
1600	-39.812038540478056	-32.04356700252513	-7.7684715379529266	7	25.0	72.5	2.5	1000	93.23944397137154	0.0	0.005586618666627844	2.9796723239629515	3.21698233859505
1700	-39.21220172601916	-31.375743437997855	-7.8364582880213085	7	25.0	72.5	2.5	1000	87.81205609770092	0.0	0.0036761208933105676	4.415406397862534	3.254663276696497
1800	-40.45541498019368	-32.69811294259379	-7.7573020375998905	7	25.0	72.5	2.5	1000	78.21984869160444	0.0	0.004974565348993987	3.1498036493092525	3.147695172271574
1900	-38.231445834107625	-30.84626611184833	-7.385179722259297	7	25.0	72.5	2.5	1000	80.7867103722796	0.0	0.020062092450858646	2.6744031875933176	1.836077883151131
2000	-39.458903849859006	-32.09419464295819	-7.36470920690081	7	25.0	72.5	2.5	1000	76.5758988636855	0.0	0.02374681862877866	1.645883304373807	1.868921609863747
2100	-38.46036590470653	-31.194728362387583	-7.265637542318946	7	25.0	72.5	2.5	1000	76.86338792010774	0.0	0.05084530592344581	1.2665777769783322	1.1768938009428274
2200	-42.39287733461739	-35.04046576613511	-7.352411568482282	7	25.0	72.5	2.5	1000	101.49356862683946	0.0	0.020384818471185128	1.266683850860515	1.6199111224483893
2300	-38.025216916353614	-30.663771762401137	-7.361445153952481	7	25.0	72.5	2.5	1000	83.66103269624342	0.0	0.018162961594411702	3.1953246186451434	1.3036276437213583
2400	-40.02607535735746	-32.55163387926532	-7.474441478092147	7	25.0	72.5	2.5	1000	75.06421784015458	0.0	0.006290911686705344	4.071328856148783	1.4789341314623643
2500	-38.6442195519446	-31.163554671450967	-7.480664880493637	7	25.0	72.5	2.5	1000	83.74096350818702	0.0	0.013234610574220594	2.9582883279119017	2.3343821022274622
2600	-38.37249104678378	-30.91095349048092	-7.461537556302854	7	25.0	72.5	2.5	1000	81.10876010333735	0.0	0.011693510496469555	2.9108341799495725	2.1112613652011505
2700	-38.17358212379028	-30.83801594730599	-7.335566176484291	7	25.0	72.5	2.5	1000	86.64256114149441	0.0	0.020556226887765223	2.8791369924365067	1.0265297669488889
2800	-37.79350753168974	-30.466266517175523	-7.327241014514215	7	25.0	72.5	2.5	1000	81.64534105454298	0.0	0.023062896636376003	2.827074369960128	1.0560549138598292
2900	-40.49349449974531	-33.175921087092284	-7.317573412653025	7	25.0	72.5	2.5	1000	92.63981945510618	0.0	0.02592347175780837	1.4560204572133562	1.3287281635967962
3000	-42.00097419573953	-34.61154273768141	-7.389431458058119	7	25.0	72.5	2.5	1000	105.35387220188832	0.0	0.013630712078689862	3.032698529997625	1.402009250114236
3100	-40.886169293731356	-33.49290443785053	-7.393264855880828	7	25.0	72.5	2.5	1000	73.42494058143524	0.0	0.02269265616874249	3.9085328449782804	1.8949603869873912
3200	-38.31562201932919	-30.8915704074101	-7.424051611919092	7	25.0	72.5	2.5	1000	77.14579904813569	0.0	0.017979763807043008	3.414158376040937	2.0609925455699662
3300	-37.87189913521923	-30.50342968003112	-7.36846945518811	7	25.0	72.5	2.5	1000	82.33750945027268	0.0	0.01510537381088617	3.1277043051743805	1.145928676418813
3400	-39.57938340311482	-32.25035398218281	-7.329029420932013	7	25.0	72.5	2.5	1000	92.27366595503884	0.0	0.019560223053104574	1.9792028489064648	0.9879796554844431
3500	-37.92324118661277	-30.593570891326515	-7.329670295286254	7	25.0	72.5	2.5	1000	78.55766413044549	0.0	0.02550334622564981	2.8962322493592927	1.2612712255161056
3600	-39.105675317468645	-31.77239830731628	-7.333277010152364	7	25.0	72.5	2.5	1000	78.54935323599378	0.0	0.023624495531172063	1.8006734184226985	1.421928814055392
3700	-38.597859491206826	-31.176641032629952	-7.421218458576877	7	25.0	72.5	2.5	1000	78.02964684912011	0.0	0.021047546326936988	2.042431470376263	2.251677425279759
3800	-41.061731654598866	-33.64925754249096	-7.41247411210791	7	25.0	72.5	2.5	1000	78.86487951287047	0.0	0.05277732876929749	0.304638710239155	2.6617978064621814
3900	-40.29374431546565	-32.94208472091457	-7.351659594551082	7	25.0	72.5	2.5	1000	73.5338305709538	0.0	0.04030781584008561	1.5029838941769798	2.105629125455701
4000	-39.288461491096044	-31.937464691563864	-7.350996799532182	7	25.0	72.5	2.5	1000	73.92629100975444	0.0	0.026846409681457677	2.920023592904122	1.6622864667051398
4100	-38.7872404215771	-31.550566983683606	-7.236673437893495	7	25.0	72.5	2.5	1000	79.20631755860735	0.0	0.07527715519976452	1.0283148387312029	0.8837967723174973
4200	-39.51945675812464	-32.290186989158116	-7.229269768966527	7	25.0	72.5	2.5	1000	74.9703388685212	0.0	0.07802438827901417	0.6464466410580453	0.8009824754970217
4300	-38.10959483421908	-30.870221371868716	-7.239373462350363	7	25.0	72.5	2.5	1000	81.57280295750516	0.0	0.05959292567851853	1.689346127181771	0.47546853010246987
4400	-40.7215615438414	-33.484756846368256	-7.236804697473144	7	25.0	72.5	2.5	1000	75.46145845827044	0.0	0.14990886468410278	0.717865210943816	0.8083980525001749
4500	-38.27204185416464	-31.05041954234281	-7.221622311821831	7	25.0	72.5	2.5	1000	73.69136319385404	0.0	0.07993108794756856	2.21903440225469	-0.4666013662597672
4600	-39.5148701625859	-32.312549798363115	-7.202320364222785	7	25.0	72.5	2.5	1000	84.05777665968242	0.0	0.12899601671332053	0.1227799393079183	-0.41681408293980593
4700	-39.31297676622815	-32.084704262263074	-7.228272503965076	7	25.0	72.5	2.5	1000	84.12190550198795	0.0	0.06250106215643862	2.6474228276364515	-1.2344175393032857
4800	-36.968548577384425	-29.76292090132518	-7.20562767605924	7	25.0	72.5	2.5	1000	78.82564924760044	0.0	0.09605025034615157	1.2884550070503809	-1.1503809457247538
4900	-37.960988544244515	-30.71237751140489	-7.248611032839623	7	25.0	72.5	2.5	1000	86.11399237045617	0.0	0.03697191770693233	1.963477417940871	-1.1863661211725658
5000	-37.1814277671364	-29.955460765289313	-7.225967001847082	7	25.0	72.5	2.5	1000	75.75805173654157	0.0	0.06321443070030887	2.4838838786538426	-1.2960737129997293
5100	-36.95350519277464	-29.709679999326212	-7.243825193448432	7	25.0	72.5	2.5	1000	81.31836040958372	0.0	0.04370224106625252	2.3637309288951447	-0.9423649554566392
5200	-37.87461683007973	-30.6142386004247	-7.260378229655033	7	25.0	72.5	2.5	1000	81.98528156516579	0.0	0.03420270102051676	2.099497069721432	-0.3817205702394292
5300	-37.61179529021869	-30.39012811670977	-7.221667173508916	7	25.0	72.5	2.5	1000	74.00129782159142	0.0	0.06699617040626343	1.7463161711077018	-0.4605896458164287
5400	-37.42771942060843	-30.190763856959418	-7.236955563649014	7	25.0	72.5	2.5	1000	79.52598837788365	0.0	0.055492678551186156	2.1648301572248903	-0.11127473496887433
5500	-38.86287926865852	-31.637922242288255	-7.2249570263702605	7	25.0	72.5	2.5	1000	82.29581807673136	0.0	0.08252795800526785	1.5617609114705429	0.3094507070615526
5600	-37.21596062451949	-29.981187296903173	-7.234773327616315	7	25.0	72.5	2.5	1000	76.40901515696649	0.0	0.05599191504556229	1.843645359627948	-0.0055024329986440015
5700	-38.21281167432953	-30.999606852502282	-7.213204821827245	7	25.0	72.5	2.5	1000	80.21867813434018	0.0	0.0679942887108432	1.0681230771661427	-0.603431611605826
5800	-38.79909231795628	-31.565853780509283	-7.233238537446998	7	25.0	72.5	2.5	1000	90.21054758715914	0.0	0.05302101240901861	2.345522538080365	-1.0158529477761395
5900	-37.31782304686385	-30.072882641233388	-7.24494040563046	7	25.0	72.5	2.5	1000	79.75261466018438	0.0	0.04613803901441917	2.748641926791498	-0.8977266692437631
6000	-36.88618388257531	-29.669660470299586	-7.216523412275725	7	25.0	72.5	2.5	1000	87.42612850288434	0.0	0.06456609895170622	1.8118566527517752	-1.9917742735479218
6100	-37.01282432436718	-29.774195837826	-7.238628486541181	7	25.0	72.5	2.5	1000	89.71923451185486	0.0	0.04496265443326383	2.405887087242373	-2.2328034739397937
6200	-36.43229601735668	-29.227626258777075	-7.204669758579601	7	25.0	72.5	2.5	1000	81.07797586578572	0.0	0.08978110193539468	1.504333870066719	-2.737867166447801
6300	-36.31922815382508	-29.113864303942293	-7.205363849882783	7	25.0	72.5	2.5	1000	75.5420849242598	0.0	0.15718604317776416	0.45746387131417104	-3.0335003656632744
6400	-36.53245061538939	-29.327300227958276	-7.205150387431116	7	25.0	72.5	2.5	1000	78.94524662558476	0.0	0.10127509730686464	1.5931706147508025	-2.5922807342249894
6500	-37.21718489808353	-30.016122742869968	-7.201062155213567	7	25.0	72.5	2.5	1000	81.97528556774303	0.0	0.14601133478804257	0.3562449525089413	-2.4782470836019437
6600	-37.250826031227476	-29.978665591224452	-7.272160440003025	7	25.0	72.5	2.5	1000	73.95006120115775	0.0	0.28812513525716243	0.12446966327464187	-3.4106068074247964
6700	-36.783358687875946	-29.575460185799987	-7.20789850207596	7	25.0	72.5	2.5	1000	77.241050451041	0.0	0.07474865046356234	1.5354677774099734	-3.2572351769549117
6800	-36.279623936807965	-29.066960940550533	-7.212662996257435	7	25.0	72.5	2.5	1000	76.66162467396144	0.0	0.07445916755671794	2.0151608090893656	-3.529278405611261
6900	-36.32549651462755	-29.118273774478304	-7.207222740149247	7	25.0	72.5	2.5	1000	79.59552900781287	0.0	0.0798713025935464	1.5909080941435314	-2.8508405270442476
7000	-36.92694079437773	-29.72813075725464	-7.1988100371230885	7	25.0	72.5	2.5	1000	81.47251345246497	0.0	0.1337024563052477	0.5339141557127668	-3.057115356842357
7100	-37.302722667547286	-30.095362306454135	-7.207360361093148	7	25.0	72.5	2.5	1000	97.44008219187836	0.0	0.0732207506539958	1.4699019634574582	-4.69862621915579
7200	-36.029713572957256	-28.828150415238376	-7.201563157718877	7	25.0	72.5	2.5	1000	77.79056292503964	0.0	0.11431791700394124	1.2433951348287458	-5.6302018145154555
7300	-36.93172788763606	-29.69279760313666	-7.2389302844994	7	25.0	72.5	2.5	1000	75.26646783388014	0.0	0.04663228763569512	2.781787119333234	-5.63368213978245
7400	-36.93935076223747	-29.727554266565622	-7.211796495671843	7	25.0	72.5	2.5	1000	86.64961202069654	0.0	0.07439714602565643	1.9552563625332444	-4.698108548666063
7500	-36.42111357167586	-29.20557649939951	-7.2155370722763505	7	25.0	72.5	2.5	1000	79.09649649196277	0.0	0.07076176938539668	2.1760519821193833	-3.902996743682907
7600	-37.058764956916484	-29.816640964428515	-7.242123992487967	7	25.0	72.5	2.5	1000	96.11817724505562	0.0	0.04101012091358824	2.3575251094763923	-3.998122724428054
7700	-37.14134544522299	-29.882988051595845	-7.258357393627144	7	25.0	72.5	2.5	1000	81.64498982146215	0.0	0.03581298982269889	3.1069608201180614	-3.0939009035688705
7800	-36.66657066963882	-29.461599496437323	-7.204971173201498	7	25.0	72.5	2.5	1000	80.15368585998749	0.0	0.09521846823346665	1.5409810373955692	-2.3954194191519336
7900	-36.166568017111196	-28.961729476285278	-7.204838540825918	7	25.0	72.5	2.5	1000	72.86289392674071	0.0	0.10194989365369928	1.5993272828903908	-3.037371521086423
8000	-36.50484869087086	-29.306300228888052	-7.198548461982803	7	25.0	72.5	2.5	1000	82.33598550922488	0.0	0.12573355907192177	0.7362446782870115	-4.217072503453378
8100	-38.25557603089435	-31.03681950298998	-7.218756527904373	7	25.0	72.5	2.5	1000	74.3575080516345	0.0	0.16703748597112533	1.4560367197193893	-3.7920460699761045
8200	-36.54721492316284	-29.33099836310535	-7.2162165600574895	7	25.0	72.5	2.5	1000	76.39455828636711	0.0	0.19089024021776607	0.11320095141763364	-3.0076761261867135
8300	-36.14093484381691	-28.931443245458482	-7.209491598358426	7	25.0	72.5	2.5	1000	72.98972243493273	0.0	0.17133776679055385	0.3424484567769659	-3.4924359101867077
8400	-39.673063784943906	-32.46785680472049	-7.205206980223412	7	25.0	72.5	2.5	1000	96.0465906264831	0.0	0.09351290460584537	1.6237478992954903	-3.1565519908542106
8500	-36.815441041913544	-29.585556361948683	-7.229884679964865	7	25.0	72.5	2.5	1000	79.3827281798534	0.0	0.050720747839302714	2.2280366864609937	-2.8115897718040967
8600	-38.164463286611664	-30.962455833556813	-7.202007453054854	7	25.0	72.5	2.5	1000	90.81891703158962	0.0	0.13523848595261123	0.779423449415629	-2.639118997334635
8700	-36.65669229812047	-29.44829436659787	-7.208397931522596	7	25.0	72.5	2.5	1000	82.45990705879336	0.0	0.07534200406158881	1.5153547844828634	-2.2892188732189527
