iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-426.8476554219943	-417.12508598178357	-9.72256944021072	9	139.0	100.0	2.5	1000	130.67415985455105	0.0	0.0008402771803463047	0.0	5.267910531826575
100	-80.47497629652396	-70.91007561549874	-9.564900681025224	9	139.0	100.0	2.5	1000	120.65499107020153	0.0	0.0009539200049514363	4.51962348320971	5.175492540859204
200	-80.04956151160472	-70.94493146214023	-9.104630049464491	9	139.0	100.0	2.5	1000	121.40629270336453	0.0	0.0009020055102264057	4.500692491843047	4.905107623409706
300	-79.46409120320388	-70.56913664861965	-8.894954554584233	9	139.0	100.0	2.5	1000	112.87999744381776	0.0	0.0015043435875786591	4.9575533597741055	4.789528649359289
400	-81.21636917326975	-72.51827535891874	-8.698093814351012	9	139.0	100.0	2.5	1000	122.90309163822059	0.0	0.0024661132308228546	3.261519721051802	4.68597256501114
500	-79.6925852758983	-71.15987498647767	-8.532710289420617	9	139.0	100.0	2.5	1000	109.42957744454029	0.0	0.002060598870174323	5.277243426480797	4.501327074577965
600	-79.19817721372333	-70.94373747354186	-8.254439740181462	9	139.0	100.0	2.5	1000	103.87798786343215	0.0	0.00385843690234757	3.721859721610907	4.276329257073182
700	-76.06888605378175	-67.83251479690749	-8.23637125687426	9	139.0	100.0	2.5	1000	102.85195285975286	0.0	0.008113049868569326	3.4009394390848016	4.343083147709895
800	-81.48093457529194	-72.23626501993202	-9.244669555359927	9	139.0	100.0	2.5	1000	100.9829745279929	0.0	0.010453754554833416	2.628198964335819	5.138485652142947
900	-81.6845772510952	-72.4828443567749	-9.201732894320305	9	139.0	100.0	2.5	1000	111.11037805199022	0.0	0.008697376971322777	2.3072324489316576	5.108273838702068
1000	-77.8161770491181	-69.23060108234507	-8.585575966773014	9	139.0	100.0	2.5	1000	102.78586964113805	0.0	0.0070076523593692215	3.0858808150020702	4.676910468698837
1100	-77.53101305168187	-69.49707292175532	-8.033940129926545	9	139.0	100.0	2.5	1000	110.65745072811815	0.0	0.0027486861016938896	5.16628198326802	3.8686650982011264
1200	-77.32619905184225	-69.55809014258415	-7.768108909258107	9	139.0	100.0	2.5	1000	110.04000004705767	0.0	0.002907356279914497	4.43472565018043	3.2229806420637868
1300	-76.37541614782128	-68.55358142344853	-7.8218347243727475	9	139.0	100.0	2.5	1000	124.53298401423064	0.0	0.0030860409126956204	3.8138285942412615	3.4345574925840623
1400	-77.11235217064616	-69.04520310418573	-8.067149066460434	9	139.0	100.0	2.5	1000	123.50733070647699	0.0	0.0019241372712090498	4.716844214798482	3.8740330426715754
1500	-78.11514344379505	-69.56331524959471	-8.551828194200334	9	139.0	100.0	2.5	1000	119.892872010859	0.0	0.0015496451498960603	4.443465384014679	4.500797308961458
1600	-78.0782008570658	-69.82511461289407	-8.25308624417173	9	139.0	100.0	2.5	1000	150.35902576261753	0.0	0.0008696804460227379	3.9572171967789473	4.069062264860528
1700	-80.17146511331177	-71.8611445891288	-8.310320524182977	9	139.0	100.0	2.5	1000	138.87972281571388	0.0	0.0004939047350607131	4.634609333010531	4.060189199462867
1800	-81.97858786492922	-73.36120023723437	-8.617387627694852	9	139.0	100.0	2.5	1000	151.88443312092798	0.0	0.00039698144788524666	4.098699361296676	4.432556763510071
1900	-80.14192372517904	-71.98223741992841	-8.159686305250634	9	139.0	100.0	2.5	1000	172.30938231140803	0.0	0.0006715737866117712	3.4947401521717136	3.8754342115250604
2000	-78.81400324976839	-69.94194861584133	-8.87205463392706	9	139.0	100.0	2.5	1000	130.71803979074954	0.0	0.0006160275076238576	4.931791857125927	4.70276353963515
2100	-78.40889086750268	-69.0957278091098	-9.313163058392878	9	139.0	100.0	2.5	1000	120.55170531866949	0.0	0.0008975424664409874	4.895182884446117	5.032697623473518
2200	-78.45547243608496	-69.93730415355255	-8.518168282532422	9	139.0	100.0	2.5	1000	125.52981944659717	0.0	0.0012523260327957765	4.506397374049158	4.443973316039661
2300	-76.6262216792328	-68.36950845057642	-8.256713228656388	9	139.0	100.0	2.5	1000	119.03812931643752	0.0	0.0012922186468343852	5.09726978420668	4.116242065469112
2400	-78.08299673426826	-69.7711792066091	-8.311817527659159	9	139.0	100.0	2.5	1000	130.80004808025552	0.0	0.0014429200598159153	3.9339082004200807	4.224114201236454
2500	-77.43563633227889	-69.34911412512024	-8.086522207158646	9	139.0	100.0	2.5	1000	126.30754965619303	0.0	0.0016149124897626218	4.176556508540276	3.8880792208438013
2600	-76.66442563921106	-68.44615072896303	-8.21827491024802	9	139.0	100.0	2.5	1000	105.36059438734242	0.0	0.0034046413616810804	4.246770020077955	4.20712599572559
2700	-74.75194277657053	-66.96591624219144	-7.786026534379085	9	139.0	100.0	2.5	1000	119.98695657340524	0.0	0.0032822233399835586	4.5102241056843875	3.321620942547275
2800	-74.6507509749288	-67.09855522045494	-7.552195754473855	9	139.0	100.0	2.5	1000	107.44140472072323	0.0	0.01185342441779732	3.9923291793536424	2.8854715377337916
2900	-75.86874533812886	-68.17837518389469	-7.690370154234173	9	139.0	100.0	2.5	1000	102.75635995379118	0.0	0.01706807379940218	3.931511734217003	3.5029853526233046
3000	-72.25735369772774	-64.86704506696603	-7.390308630761707	9	139.0	100.0	2.5	1000	104.6263451969511	0.0	0.02242025587092644	3.4363449648046296	2.1549749250520955
3100	-73.6365377991852	-66.24227601340937	-7.394261785775837	9	139.0	100.0	2.5	1000	103.09884948739278	0.0	0.03690202908545847	2.317266217596981	2.5780921836111186
3200	-72.46824750064992	-65.12692170156555	-7.341325799084369	9	139.0	100.0	2.5	1000	103.01785077234163	0.0	0.034368744346302826	2.9001174872004567	2.0110428186145093
3300	-73.54183799948619	-66.1673801715929	-7.374457827893291	9	139.0	100.0	2.5	1000	104.96411254186488	0.0	0.05436145648512202	2.162145901978226	2.5985617438227693
3400	-72.15588205868703	-64.75631221676218	-7.399569841924848	9	139.0	100.0	2.5	1000	103.18221403469923	0.0	0.024991400309262078	3.337303449122357	2.3317573873373245
3500	-76.08685850645578	-68.6930431737661	-7.393815332689682	9	139.0	100.0	2.5	1000	124.22547355657079	0.0	0.027102431190723624	2.0322082891832953	2.441697406150584
3600	-72.6274836836693	-65.22340792433839	-7.404075759330906	9	139.0	100.0	2.5	1000	102.55620795299075	0.0	0.022235852366254753	3.1917330251066094	2.3054941194088365
3700	-73.20568340269078	-65.7631973215206	-7.442486081170182	9	139.0	100.0	2.5	1000	104.25833443728366	0.0	0.02302747799958692	3.1813277939615876	2.6202399706620314
3800	-73.83763282090781	-66.4404458475882	-7.397186973319616	9	139.0	100.0	2.5	1000	110.51322344397553	0.0	0.024000425438807125	2.827825113005434	2.328753475903608
3900	-72.57166827520449	-65.17977905987986	-7.39188921532463	9	139.0	100.0	2.5	1000	112.23283440433434	0.0	0.016627392945139718	3.373330120688842	1.8957857373171867
4000	-71.98305303914702	-64.66340106666769	-7.319651972479333	9	139.0	100.0	2.5	1000	108.66381665461739	0.0	0.023583309866420866	3.4694613911271124	0.951373956036879
4100	-72.91173325529152	-65.58317923766425	-7.3285540176272725	9	139.0	100.0	2.5	1000	124.25677439239057	0.0	0.018789404072726865	3.0104723338574852	0.7837988416289936
4200	-72.2072607351308	-64.89316719135807	-7.314093543772727	9	139.0	100.0	2.5	1000	117.74832387273628	0.0	0.023560044035192892	3.3514630805670027	0.783177696822867
4300	-72.55692799405638	-65.29804176002135	-7.258886234035038	9	139.0	100.0	2.5	1000	114.09478567626134	0.0	0.0760245102040457	1.7901922216932886	1.4921468113585095
4400	-72.42894548198548	-65.17628130645936	-7.252664175526116	9	139.0	100.0	2.5	1000	103.62873795120049	0.0	0.1382881679323	1.1150019205658612	1.4528175945697348
4500	-73.37580654981677	-66.11898829645509	-7.256818253361688	9	139.0	100.0	2.5	1000	109.9962380658029	0.0	0.08785502594866094	1.9137610081353398	1.4784734774644948
4600	-70.57366050657244	-63.32470786215988	-7.2489526444125545	9	139.0	100.0	2.5	1000	100.17004065496124	0.0	0.06802682096062287	2.472010389087606	0.9777170404867007
4700	-70.003964289093	-62.77360415535372	-7.230360133739287	9	139.0	100.0	2.5	1000	112.41389173117432	0.0	0.07390179243267331	2.183397831767713	0.3795135989729462
4800	-72.5526595871496	-65.32600705281071	-7.226652534338901	9	139.0	100.0	2.5	1000	120.01599522127363	0.0	0.07321181431189207	2.068011870575383	0.1901346746533478
4900	-70.52668333689822	-63.29880567207739	-7.227877664820829	9	139.0	100.0	2.5	1000	104.76914880284787	0.0	0.11369377646635014	1.6283881596969656	0.709672712501749
5000	-69.63296328725133	-62.39870561503883	-7.234257672212501	9	139.0	100.0	2.5	1000	104.73929615587936	0.0	0.0679145913719975	2.54330898587246	0.2365764770382655
5100	-71.30706566864212	-64.08942664720608	-7.217639021436046	9	139.0	100.0	2.5	1000	102.62412167964634	0.0	0.10376608075124742	1.5936451398015261	0.19415411728775858
