iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-304.37946939068473	-294.66134439491844	-9.718124995766278	15	110.0	102.5	2.5	1000	121.90261830475616	0.0	0.0008402771803463047	0.0	5.776672279577064
100	-79.25828809207337	-68.08685161362655	-11.171436478446815	15	110.0	102.5	2.5	1000	112.69481360075324	0.0	0.0008164777904973923	4.455999468792933	6.279588233037582
200	-82.10059899182805	-69.12227425427939	-12.978324737548665	15	110.0	102.5	2.5	1000	128.0168773540913	0.0	0.000716198431360268	3.609403510602934	6.689501566127477
300	-76.90165066644454	-67.10828983609555	-9.793360830348991	15	110.0	102.5	2.5	1000	141.13485385901913	0.0	0.0005393080987583786	3.92622739863354	5.772913896330944
400	-80.85514774340352	-69.92336243949832	-10.931785303905203	15	110.0	102.5	2.5	1000	122.3906144494959	0.0	0.000534046545012004	3.8839598418801273	6.198791492339068
500	-76.7250835486884	-67.11363566805834	-9.611447880630063	15	110.0	102.5	2.5	1000	134.60736496640897	0.0	0.0004274956144618368	4.418002870172001	5.669812402928261
600	-78.75249101127481	-67.99533706082244	-10.75715395045238	15	110.0	102.5	2.5	1000	136.48159178856585	0.0	0.00044923128375084695	4.260742245632536	6.137322173935647
700	-80.1528258149265	-68.30412290156097	-11.848702913365528	15	110.0	102.5	2.5	1000	122.54362080600383	0.0	0.0005154365657281435	3.9994681703198873	6.444113846162321
800	-75.64343410113999	-66.81499958391467	-8.828434517225322	15	110.0	102.5	2.5	1000	122.14013270786701	0.0	0.001051715946320221	4.409862882730801	5.225478987337081
900	-76.81386051535719	-67.3267960147271	-9.487064500630098	15	110.0	102.5	2.5	1000	128.20249227949273	0.0	0.0012070024997882006	3.5248838505262206	5.663358471407857
1000	-76.69497803052197	-67.38691199715511	-9.308066033366858	15	110.0	102.5	2.5	1000	117.84349230767627	0.0	0.0016847565990699544	3.829303795950598	5.582513862071492
1100	-75.5313995828508	-66.43305158110631	-9.09834800174448	15	110.0	102.5	2.5	1000	112.8157912815489	0.0	0.00310611121844248	3.300484037468821	5.497321392476792
1200	-75.72172409602663	-66.98841954907971	-8.733304546946929	15	110.0	102.5	2.5	1000	119.6031616067434	0.0	0.002105968769947645	3.283456170208405	5.212909147790973
1300	-74.41848569248386	-66.575519401844	-7.842966290639857	15	110.0	102.5	2.5	1000	127.69386664246221	0.0	0.0030701369265096284	3.0327341505863963	4.024680026275265
1400	-74.90611319655062	-67.20484174171557	-7.701271454835053	15	110.0	102.5	2.5	1000	138.4154401648	0.0	0.0033986697851219843	2.6954909711767243	3.602495739792411
1500	-73.55478634637846	-65.81623556651003	-7.738550779868438	15	110.0	102.5	2.5	1000	133.89598190161234	0.0	0.0024709028943287695	3.2541348892179616	3.605519007745126
1600	-74.24957328044412	-66.52717030989956	-7.7224029705445645	15	110.0	102.5	2.5	1000	132.4100970714874	0.0	0.0014789023004021494	3.8702250489743393	3.2543981564761753
1700	-73.60275292799989	-65.78282653887118	-7.819926389128716	15	110.0	102.5	2.5	1000	134.28109463735908	0.0	0.0009857349376408123	4.3790357455400715	3.5192255093742975
1800	-73.78310465584457	-65.85021431622991	-7.932890339614656	15	110.0	102.5	2.5	1000	146.35732363510044	0.0	0.0008347563553961288	3.846200481434474	3.892453793814648
1900	-73.43366784619104	-65.60365367868428	-7.830014167506761	15	110.0	102.5	2.5	1000	150.75726021101315	0.0	0.0008163992124223788	3.836917310346759	3.505039462413381
2000	-73.57543891866983	-65.70441779203352	-7.871021126636301	15	110.0	102.5	2.5	1000	149.33748042104574	0.0	0.0007235730828400775	4.017090413888966	3.620786267768505
2100	-74.08014148498857	-66.09591611371951	-7.98422537126906	15	110.0	102.5	2.5	1000	160.26764792661797	0.0	0.000489787058771614	3.788755715712637	3.8891981054293536
2200	-74.37824573141029	-66.31047293200785	-8.067772799402428	15	110.0	102.5	2.5	1000	144.12741533149762	0.0	0.0006650448771153494	3.9019808804045595	4.186557916533067
