iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-57.66958602249615	-47.93812769339654	-9.73145832909961	5	15.0	55.0	2.5	1000	65.41116104157648	0.0	0.0008402771803463047	0.0	4.684238883991956
100	-30.74664936664182	-22.44104558534316	-8.305603781298657	5	15.0	55.0	2.5	1000	71.45534146551215	0.0	0.0010921122918015212	6.575092254899545	3.5537950721868836
200	-30.529773571859227	-22.268823633272	-8.260949938587228	5	15.0	55.0	2.5	1000	88.16745620573926	0.0	0.0006841238169289916	5.760060462910112	3.4275880779306167
300	-31.246507345569743	-22.716847087924908	-8.529660257644835	5	15.0	55.0	2.5	1000	71.5522005016491	0.0	0.0008592222666177917	7.356356842929401	3.7970680963391024
400	-29.876841780162373	-22.01006660843865	-7.866775171723724	5	15.0	55.0	2.5	1000	82.5433754013213	0.0	0.0009693242621133175	6.050961738153572	2.5397193394500395
500	-29.794117125733898	-22.07509434871751	-7.719022777016389	5	15.0	55.0	2.5	1000	93.81812096177865	0.0	0.001512938787837968	4.792719446194022	2.093897029583385
600	-32.853060776775656	-25.335869353712972	-7.517191423062681	5	15.0	55.0	2.5	1000	109.09253766037897	0.0	0.007533713310209516	2.065443416408083	1.962090787484725
700	-33.031559180084	-25.23645617138994	-7.7951030086940625	5	15.0	55.0	2.5	1000	88.81405671625195	0.0	0.009503482009379638	1.705281219057241	3.102463742211599
800	-31.153134468491675	-22.524035605969882	-8.629098862521793	5	15.0	55.0	2.5	1000	63.25180841080914	0.0	0.006655152170779394	3.6691531553797194	4.1162959779910855
900	-30.21976599217453	-22.369960445214964	-7.849805546959564	5	15.0	55.0	2.5	1000	75.39595819765152	0.0	0.004816385706485637	4.091023400785158	3.0268019265076087
1000	-29.852926096959944	-22.047391477999525	-7.805534618960419	5	15.0	55.0	2.5	1000	63.83951153274523	0.0	0.007508470205419576	4.925573167885707	3.0000111706460975
1100	-29.92464434875287	-22.26255040617778	-7.6620939425750905	5	15.0	55.0	2.5	1000	61.04474604985438	0.0	0.014039109145988207	2.1809385859271777	2.8384109205576142
1200	-29.37506448190417	-21.780812936329376	-7.594251545574796	5	15.0	55.0	2.5	1000	60.901585550338176	0.0	0.015542721674121846	3.7579039728955284	2.5908819720464784
1300	-29.895382642846243	-21.995241046164047	-7.900141596682197	5	15.0	55.0	2.5	1000	61.83999352736332	0.0	0.007194550610351099	4.649925628647322	3.209071543878954
1400	-32.6603330673012	-24.609139621543637	-8.051193445757566	5	15.0	55.0	2.5	1000	57.28182104790388	0.0	0.026752534648306882	1.1068829634668604	3.680565788743804
1500	-32.374423020830136	-23.85207782770437	-8.522345193125766	5	15.0	55.0	2.5	1000	68.66665786739415	0.0	0.011930504349980572	1.9989328327628046	4.085704717628182
1600	-33.60137558115149	-25.559751839152682	-8.041623741998801	5	15.0	55.0	2.5	1000	68.85505185967367	0.0	0.015323654741233296	3.4916667180501713	3.5774796609761084
1700	-30.568295771161733	-22.478432235042163	-8.08986353611957	5	15.0	55.0	2.5	1000	69.58418333814944	0.0	0.007326890527121707	3.499227068001547	3.5525457539711436
1800	-31.112469324265746	-22.884613054333723	-8.227856269932024	5	15.0	55.0	2.5	1000	59.44093433405997	0.0	0.005632620467623548	5.870620491796901	3.6734060523965986
1900	-30.116802518743086	-22.020132118233434	-8.09667040050965	5	15.0	55.0	2.5	1000	63.83763849402274	0.0	0.0054393608809067805	4.616193066445471	3.5052223562233067
2000	-32.218728352254	-23.45837580913547	-8.760352543118524	5	15.0	55.0	2.5	1000	58.338522009243995	0.0	0.005574402018766808	2.625338373790159	4.213374891373254
2100	-32.60844714137368	-22.92248620783907	-9.685960933534611	5	15.0	55.0	2.5	1000	60.50401484667009	0.0	0.007014257336425228	3.2473367544058136	4.74171366205904
2200	-34.80791107057283	-24.144396452961452	-10.663514617611373	5	15.0	55.0	2.5	1000	58.96208971558665	0.0	0.015365215737041239	1.0690347863063732	5.124562405078783
2300	-31.713301294080843	-23.606407980320572	-8.10689331376027	5	15.0	55.0	2.5	1000	59.47045059906195	0.0	0.03338619120154807	0.5280198069094924	3.7732008374288455
2400	-32.677040652355146	-24.878803805806463	-7.798236846548681	5	15.0	55.0	2.5	1000	65.41291240613369	0.0	0.03341270524812363	1.2041623884360293	3.323267865311607
2500	-30.43124706572852	-22.921411939539702	-7.5098351261888165	5	15.0	55.0	2.5	1000	63.94465808281833	0.0	0.03433147337009779	1.7588012073402086	2.5759027173503464
2600	-30.561090133567646	-23.27251769747731	-7.288572436090338	5	15.0	55.0	2.5	1000	69.31123208365217	0.0	0.03362586724529718	0.6538285906740329	0.9415584033771723
2700	-29.378568234900477	-22.081293566471228	-7.297274668429249	5	15.0	55.0	2.5	1000	61.00545654595479	0.0	0.06224707083790455	0.1388558429189044	1.5901717203689991
2800	-28.39962903334216	-21.032070204934968	-7.3675588284071925	5	15.0	55.0	2.5	1000	61.39630174312881	0.0	0.02497127517390704	3.4586381868462994	1.4001408404723836
2900	-29.368643507388605	-22.061251016242892	-7.307392491145713	5	15.0	55.0	2.5	1000	55.550588537415635	0.0	0.044023683405145356	2.053000900467377	1.2899652716751902
3000	-29.73820947169764	-22.44204975306479	-7.29615971863285	5	15.0	55.0	2.5	1000	58.01730087564157	0.0	0.1086896768355402	0.36145898308479807	1.6491082204299898
3100	-30.286515045581748	-23.074759458821042	-7.211755586760706	5	15.0	55.0	2.5	1000	74.55774539373013	0.0	0.09286268619542404	0.02188110311473973	0.14530805023817905
3200	-27.690703823156813	-20.434515929213283	-7.25618789394353	5	15.0	55.0	2.5	1000	61.57946021070322	0.0	0.04965869877329714	2.299423605874921	0.23877873011783554
3300	-29.31289377967227	-21.795158047911936	-7.517735731760332	5	15.0	55.0	2.5	1000	57.81677517414862	0.0	0.029012695866001546	2.4106928875088904	2.5365937790384243
3400	-30.560537686128164	-22.749342770609104	-7.811194915519062	5	15.0	55.0	2.5	1000	64.9240705860705	0.0	0.01948268232953289	2.230170469921616	3.253672847534097
3500	-34.024427893476904	-26.36689003679216	-7.657537856684744	5	15.0	55.0	2.5	1000	58.59207851339431	0.0	0.0559447062524715	2.327713875556192	3.0729109472933285
3600	-31.967233077737415	-24.54280787240553	-7.424425205331886	5	15.0	55.0	2.5	1000	60.0886923679281	0.0	0.07824857708288181	1.0487633633780793	2.4115278056471197
3700	-29.52436014523838	-22.174841358623787	-7.349518786614592	5	15.0	55.0	2.5	1000	59.88739460228106	0.0	0.0642351366356795	1.7406827268846303	1.9130437251190842
3800	-31.42144063999868	-24.023651084040747	-7.3977895559579325	5	15.0	55.0	2.5	1000	60.06818074358846	0.0	0.08077097300078623	0.7680938329097013	2.301790000000715
3900	-29.5963884512489	-22.221790078186483	-7.374598373062417	5	15.0	55.0	2.5	1000	59.11348743694154	0.0	0.0608115566543126	0.05469274823555148	2.171105924837574
4000	-30.6484861346323	-22.596931275525225	-8.051554859107073	5	15.0	55.0	2.5	1000	58.29541742943981	0.0	0.022734823616965553	1.7781271032710906	3.656834172132444
4100	-30.830512287338426	-23.077364898371922	-7.753147388966504	5	15.0	55.0	2.5	1000	66.89031508773712	0.0	0.013033844208180347	3.9337575501858226	3.0176711985837863
4200	-29.84937587204258	-22.144934058808907	-7.704441813233673	5	15.0	55.0	2.5	1000	58.298885893465894	0.0	0.021761698129983048	2.9715010104992006	3.026072045464766
4300	-29.80293513924329	-22.236921180122227	-7.56601395912106	5	15.0	55.0	2.5	1000	59.40212706720158	0.0	0.007926829222733685	4.732137564178506	2.1349513381317258
4400	-31.375509925140495	-23.552313378132997	-7.823196547007498	5	15.0	55.0	2.5	1000	73.29869334396767	0.0	0.0035438434356148863	6.141909596952419	2.8216658316281293
4500	-32.02404113544016	-24.479428247878285	-7.544612887561868	5	15.0	55.0	2.5	1000	90.17964658215985	0.0	0.0065732723664490835	2.1783806843563096	2.0534736589144096
4600	-30.096470442109343	-22.68573279450588	-7.41073764760346	5	15.0	55.0	2.5	1000	90.3805956230693	0.0	0.010361015321376933	3.4951301105667145	0.9276655755125893
4700	-29.706382216598705	-22.372388605804506	-7.333993610794197	5	15.0	55.0	2.5	1000	70.07148094312453	0.0	0.033186227791681774	2.2784104239684453	1.3810105459849098
4800	-28.684486924661165	-21.369253775767348	-7.3152331488938165	5	15.0	55.0	2.5	1000	68.52182912702648	0.0	0.03058316771244384	2.6297308542318976	0.9504850898892915
4900	-28.26408385439501	-21.007293920391664	-7.256789934003348	5	15.0	55.0	2.5	1000	61.531314577096225	0.0	0.05516213086871424	2.976325623024324	0.19201812486251024
5000	-29.14367274889034	-21.893272935349735	-7.250399813540605	5	15.0	55.0	2.5	1000	71.60843455211801	0.0	0.04824622222350157	1.1673784275703183	0.3870700960016278
5100	-28.118252186791832	-20.87878786596109	-7.239464320830741	5	15.0	55.0	2.5	1000	63.04768155479021	0.0	0.055648488234653015	1.3235532474403735	0.17510498305791217
5200	-28.491751512408122	-21.224576578686356	-7.267174933721764	5	15.0	55.0	2.5	1000	57.61678988977598	0.0	0.04015288072674265	1.828507303808804	0.3834932527316926
5300	-29.448982903173352	-22.181649681336346	-7.267333221837007	5	15.0	55.0	2.5	1000	59.68202460306658	0.0	0.11129476254470207	0.7506922033936698	1.2682339820183277
5400	-29.967697839514614	-22.56634640132982	-7.401351438184794	5	15.0	55.0	2.5	1000	63.086497705641065	0.0	0.04533711740522399	1.3536260072454125	2.170380258173624
5500	-28.727313100498527	-21.40880560800503	-7.3185074924935005	5	15.0	55.0	2.5	1000	58.954808826504525	0.0	0.059629542768700264	1.4355092380437078	1.6551720331203936
5600	-29.6867505992085	-22.18104924831129	-7.50570135089721	5	15.0	55.0	2.5	1000	63.21429898882034	0.0	0.01511720824994653	2.1975791836912	2.25932970582395
5700	-29.98808920772582	-22.610458677307978	-7.377630530417843	5	15.0	55.0	2.5	1000	57.684446950496486	0.0	0.014867573600103155	3.450184910723453	0.9066645361380555
5800	-28.635148245849415	-21.191937090161403	-7.4432111556880125	5	15.0	55.0	2.5	1000	65.28292249417746	0.0	0.011835138374117172	4.329925162571533	1.4647091315549352
5900	-30.363176859590133	-22.918036499289567	-7.445140360300568	5	15.0	55.0	2.5	1000	66.44537116351628	0.0	0.007894458473499864	3.8632952873453195	1.039758711112938
6000	-29.123753065283207	-21.62365887902101	-7.500094186262197	5	15.0	55.0	2.5	1000	59.00126445486553	0.0	0.019942721119136364	3.719626653209962	2.269975405027395
6100	-30.707722461412175	-23.265495173701314	-7.442227287710859	5	15.0	55.0	2.5	1000	63.32346141457685	0.0	0.020498647503138616	1.0292078351195624	2.1090858201658556
