iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est	a_est	sig2_est
0	-108.3785620355765	-98.65460370647689	-9.72395832909961	8	38.0	87.5	5.0	1000	113.45188443840522	0.0	0.0008402771803463047	0.0	5.15077158485299
100	-55.82224691543841	-46.11464250455373	-9.707604410884683	8	38.0	87.5	5.0	1000	124.03302145656562	0.0	0.0013552638303771206	3.175167455011654	5.150392005755382
200	-54.498749168432276	-44.58834390339412	-9.910405265038158	8	38.0	87.5	5.0	1000	92.47005664430576	0.0	0.002269192264567995	3.079490069753859	5.261912767709008
300	-54.56887786276688	-45.9325737183464	-8.636304144420482	8	38.0	87.5	5.0	1000	134.0811544720801	0.0	0.001200195090267698	2.489804262404885	4.458798725521108
400	-54.141227627687044	-45.52036259990784	-8.6208650277792	8	38.0	87.5	5.0	1000	125.77666157556025	0.0	0.0005987614854573041	3.4103284674119285	4.368146166344129
500	-54.592365658268186	-46.220035920964236	-8.37232973730395	8	38.0	87.5	5.0	1000	106.9550546220764	0.0	0.000804537178662884	4.377956033008094	4.104081621688707
600	-53.38793725719129	-44.77167382668516	-8.61626343050613	8	38.0	87.5	5.0	1000	104.40505089124647	0.0	0.0015909754366863443	3.3435209235724996	4.458073935555543
700	-53.878389443430315	-44.73672110833139	-9.141668335098927	8	38.0	87.5	5.0	1000	106.75740256777071	0.0	0.0011817623177373918	3.32989683450318	4.836427877382709
800	-53.2691063139161	-44.67298573450878	-8.59612057940732	8	38.0	87.5	5.0	1000	99.07755485194454	0.0	0.0032890386165904274	2.29777547186449	4.513278513548884
900	-51.94869354320267	-44.06487278708397	-7.883820756118704	8	38.0	87.5	5.0	1000	94.02612771439343	0.0	0.014671645865706368	1.8731025110415396	3.8205240131846505
1000	-51.09100276761928	-43.38013718734475	-7.710865580274529	8	38.0	87.5	5.0	1000	92.94622969514884	0.0	0.009649928579971389	2.240330943354763	3.351584157464718
1100	-51.903038906674155	-44.210980172537354	-7.6920587341368005	8	38.0	87.5	5.0	1000	97.38613650686871	0.0	0.007603156667418862	2.112652019170477	3.234834344761381
1200	-55.9926352049777	-47.66462876077935	-8.328006444198355	8	38.0	87.5	5.0	1000	113.14301344109074	0.0	0.005797562351871546	1.030249286927356	4.319078078590651
1300	-52.647482953809444	-44.24251844253158	-8.404964511277862	8	38.0	87.5	5.0	1000	106.47785872347924	0.0	0.004174886638669199	2.5318425250224994	4.35128032857868
1400	-54.467220486499585	-46.17277630283167	-8.294444183667913	8	38.0	87.5	5.0	1000	121.71059357214773	0.0	0.004018842273676127	1.7628885460067367	4.234961185359909
1500	-52.87867371791254	-44.536105083947035	-8.342568633965508	8	38.0	87.5	5.0	1000	101.09160402293217	0.0	0.006119755256976819	2.6292771812362083	4.322966362389727
1600	-52.374408080764866	-44.37617667281615	-7.998231407948715	8	38.0	87.5	5.0	1000	105.67017219241521	0.0	0.0036365749345168437	2.7173230187949473	3.7803047627827864
1700	-53.21814834435651	-45.50857212302508	-7.709576221331427	8	38.0	87.5	5.0	1000	113.22710051293053	0.0	0.002098329598280423	3.4364610401119586	2.7654083831605316
1800	-51.89722751449657	-44.1985706993792	-7.698656815117372	8	38.0	87.5	5.0	1000	103.53534161719266	0.0	0.005098441222557452	2.896485458488084	3.1048687507052435
1900	-52.871199441240464	-45.273194502711725	-7.5980049385287405	8	38.0	87.5	5.0	1000	118.80296829984769	0.0	0.004813501265041738	2.3764432299118976	2.6555554141168094
