family	likelihood	Nobs	Nfossils	root_obs	ext_obs	DA_count	root_est	root_m	root_M	root_est_mode	ext_est	ext_m	ext_M	ext_est_mode	q_est	q_m	q_M	q_est_mode	a_est	a_m	a_M	a_est_mode	sig2_est	sig2_m	sig2_M	sig2_est_mode
achariaceae	-11.7055222170017	155	3	67.5	15	999.970378436035	102.607275123078	70.0004954158421	173.111720262443	77.1515112924019	0	0	0	-0.000619866878336928	0.000493402663352288	1.00163469527071e-07	0.00145454839683595	9.6653252172844e-05	1.30159480348647	5.04829794701345e-05	3.4742589989307	0.229046754497284	6.28225490707801	3.46719688816523	8.60060539340915	6.64210182499973	
adoxaceae	-55.1690316641171	225	56	75	2.5	999.950978867136	85.3091464238834	75.6791133271494	102.561411613712	79.202001291789	0	0	0	-0.000619866878336928	0.00493349385569705	8.29064516932062e-07	0.0135183862867932	0.00148593183491257	2.1001248743021	0.0044510522755512	4.08669144805407	1.71777280151063	6.6663960871061	4.04668865373275	8.95154965610891	7.21060630592006	
altingiaceae	-54.2138780140977	15	55	70	5	999.938082376772	79.0038947576109	70.0010528791192	93.8846307223635	73.7595496503037	0	0	0	-0.000621452016231483	0.0154931342574844	4.26139002181556e-05	0.0494340062747733	0.00354406687225488	3.11089366801005	0.502860969363871	5.62167097708901	3.02710335992969	4.66790665740391	2.54251051486092	6.53244317437195	5.00475269591947	
amaranthaceae	-8.12860738382162	2040	11	10	2.5	999.736494744561	15.8103143797259	12.5000957596947	22.2709060092985	14.1977481588126	0	0	0	-0.000619866878336928	0.00129992680970704	8.01829541582544e-06	0.00269530611926703	0.00102973813135238	6.83868896595661	0.000179495261180884	17.7930983077163	1.35920111920404	9.26105559715415	6.71871492744256	11.4794562391832	9.69321825851825	
annonaceae	-101.904651550293	2500	59	90	2.5	999.708006488745	99.1268745230652	92.5003128859649	113.170367456546	93.7540000870203	0	0	0	-0.000619866878336928	0.000577624322302779	4.8631684151731e-05	0.00123944248370667	0.000341526949524034	1.15090514743272	9.36936303342351e-05	2.52938386214066	0.739803770693536	11.0354390993471	9.5848894563118	12.308880100041	11.2263795601673	
apiaceae	-27.1417647838142	3575	18	70	5	999.976844959001	87.5324229070691	72.5001024833154	116.961627450747	76.2025321098783	0	0	0	-0.000619866878336928	8.02765174113196e-05	2.32104472616703e-09	0.000277244206885017	1.10294143456192e-05	3.29582051965564	0.3011579413852	6.27951569368536	2.97037328436013	10.1026152994437	7.6309580245638	11.9896329448106	10.5811661627904	
araceae	-81.0407740896728	3750	89	70	2.5	999.96500077776	77.3036308073578	72.500048816582	86.7804333648546	73.7746699542836	0	0	0	-0.000619866878336928	0.00101486501136285	0.00021469823893955	0.00181305030541537	0.000996048341226508	0.848950208021933	1.22428523806201e-05	2.14797391483052	0.162149850253552	11.0080054022195	9.36307875575835	12.5390809160682	11.2992871426146	
araliaceae	-76.0529930036344	1650	72	70	5	999.986844736784	77.7527353012979	72.5000653058727	89.3772867021046	73.5359083854853	0	0	0	-0.000619866878336928	0.00136963242779287	0.00011620872515609	0.00287429633687956	0.00075669677620572	1.36811934363482	0.000110279989476353	3.07900627640885	0.786248210912732	9.6664612324416	7.48856000275963	11.5488261150769	10.1631284262809	
arecaceae	-239.668088968137	2600	186	87.5	2.5	994.986244750117	92.362980475368	87.5012378356512	98.9333261160709	91.6953715554209	0	0	0	-0.000619866878336928	0.00237748456781976	0.00109217044363102	0.00382753758850091	0.00213629414608504	0.302189287948702	7.69591218530152e-08	0.8516062102441	0.0532007089892941	12.1443690315539	11.1536581410765	13.108519621994	12.1613627224726	
asteraceae	-24.0530395660108	24700	20	47.5	2.5	1000	64.224183211022	50.0006781027798	88.490422646098	55.9498536950539	0	0	0	-0.000619866878336928	2.36397999150362e-05	3.29647867339969e-08	6.77620145051234e-05	4.14904058860424e-06	3.37833166014124	0.00187435384031404	6.52466713119792	3.21836855006982	11.9142901464088	9.27356194046828	14.0407787953358	12.514337754278	
atherospermataceae	-22.1946768065548	16	9	77.5	2.5	999.999533343703	98.4608863804247	77.5002572240422	136.761384043382	83.9899159084933	0	0	0	-0.000619866878336928	0.00701813480318468	8.731597909796e-06	0.0229683454900128	0.00110142770984342	1.78724180613566	0.000245257454839609	4.07920238752709	0.867697020284067	2.9128421917304	-0.452827468605203	5.96507197058869	3.69293997774242	
berberidaceae	-41.769643550086	700	38	45	5	1000	52.6116672276215	47.5000015091705	62.8436869749836	48.8970355794939	0	0	0	-0.000619866878336928	0.00269819345853516	0.000494239304416805	0.00495820224635848	0.0023704224285509	1.00059392751921	1.7415460476608e-05	2.78081554972646	0.174885482067261	8.91705410976058	6.80685982372536	10.5876616868449	9.22648676215134	
boraginaceae	-36.0674505792942	2535	26	52.5	2.5	961.665451878847	66.3694260720594	55.0001156020062	88.4595916231527	58.7095467910732	0	0	0	-0.000619866878336928	0.000498912710127609	1.59941593060855e-06	0.00105919172482773	0.000382601092923773	1.60840239538678	0.000646049274313221	3.91925290420313	0.32515580770451	9.73099489717374	7.3907179943577	11.6748310065736	10.1063535964901	
buxaceae	-18.7969885099045	123	13	27.5	5	949.934445901202	35.9685390574965	30.0001796357191	48.0421233655104	31.2576805617797	0	0	0	-0.000619866878336928	0.00668749420939715	2.61387525003341e-05	0.0145938612464648	0.00441700625894988	2.17836062919163	4.13611909935163e-05	5.97337080109176	0.376317296665088	6.87938479131894	4.62999404705707	8.770988287035	7.3978336896883	
calophyllaceae	-32.3239017232767	475	16	67.5	2.5	999.978978244928	84.1390726179993	70.0001943607918	113.068477283259	73.5084713883199	0	0	0	-0.000619866878336928	0.000890871750257928	6.10895569645381e-07	0.00225553691808514	0.000241846539297883	1.76774228061464	1.60406266525026e-05	4.07332696240719	0.973411529731133	7.70991374359274	5.19548287108153	9.8877135732508	8.07595372296288	
campanulaceae	-7.69554371155982	2300	3	17.5	5	1000	37.7435902273601	20.0002272321836	73.4714019048475	24.9156036510358	0	0	0	-0.000619866878336928	0.000176895331009878	1.49192355370817e-07	0.000469233976123581	4.22987113047194e-05	2.84853370177844	0.00029910481672446	8.1456503242431	0.51107478301409	9.43078113141035	6.85948585500287	11.504657887586	10.0144060474532	
cannabaceae	-52.3114068273042	100	55	70	2.5	999.873780582654	79.0557149597381	70.0018188177515	93.711234158057	73.969289312331	0	0	0	-0.000619866878336928	0.00964667824596106	1.08190721680817e-05	0.027823546380635	0.00263259332543269	2.2776990709513	0.00101300148760339	4.55203596750432	1.78359727189169	5.97717993137666	3.62907867350991	8.0923385772852	6.48506215766445	
celastraceae	-78.0756562144906	1350	45	100	5	999.243705695429	117.370474769734	102.501771298081	150.020549260061	105.276287780778	0	0	0	-0.000619866878336928	0.000270093454882544	3.53768609559398e-07	0.000874289389656915	5.87354481483079e-05	2.39351480966727	0.509513714459146	4.29054003811448	2.46525893069694	9.88356433608794	7.76839497745708	11.5310516994049	10.262381158513	
chrysobalanaceae	-17.0958231309661	533	10	20	5	955.378769360681	30.8713876455568	22.5000741548307	46.2024261973571	25.8109528318964	0	0	0	-0.000619866878336928	0.00222539777790062	2.37362667555536e-05	0.00465078540661016	0.00174570809954562	1.95499925138741	0.000106554425095674	5.51038929663078	0.348727018179532	8.48810497512564	6.20211862323263	10.3292343952662	8.91289055711074	
clusiaceae	-41.6605141477643	750	17	92.5	2.5	999.924357236506	111.41514254971	95.0005328819027	146.227759034619	98.3182686586114	0	0	0	-0.000619866878336928	0.000497591838673273	1.43250408734617e-06	0.00124563954593056	0.000205412053991874	1.30260023021101	0.000402782379794908	2.90906443126726	0.768761675139759	8.49064797407877	6.42715998691336	10.3358195586476	8.72725828214179	
cucurbitaceae	-32.917281288535	965	15	52.5	5	968.645141219084	69.5461715630901	55.0017580905546	94.3669735608666	61.0668623000675	0	0	0	-0.000619866878336928	0.000789505689065132	9.45033335936275e-05	0.00160492667272321	0.000611668700066398	0.604955859062766	1.89269201023023e-05	1.73886346832317	0.106816366027454	9.443436390772	7.62884808887717	10.9410679038041	9.80184584652345	
cunoniaceae	-34.9008448034504	330	20	82.5	2.5	999.90311326415	100.393402300349	85.0001628322229	133.922196719196	88.4095231813561	0	0	0	-0.000619866878336928	0.00114175941609461	1.58583008903163e-06	0.00305825429247328	0.000256842307326352	1.75502861823802	2.54594921885454e-05	3.86076502508218	1.19504202548663	6.94245407636955	4.13332980504734	9.29193469519578	7.57313378333677	
elaeocarpaceae	-45.5147767202876	615	23	67.5	2.5	961.289682451501	80.5895174486804	70.000541482552	97.9596025240516	74.4330132551312	0	0	0	-0.000619866878336928	0.0014238023929691	0.000247768482292706	0.0027482932362689	0.00112621828311251	0.567956131672447	2.31538742101883e-05	1.61700252704354	0.0922924127329641	9.04682811088318	7.40240589200536	10.4615594857642	9.4097657334255	
elatinaceae	-7.96006311111829	35	3	20	5	999.952267727384	31.1696174349047	20.0023069352613	50.4778705153618	24.1777775769403	0	0	0	-0.000619866878336928	0.00779531908389619	1.96114694350181e-06	0.0230257902808758	0.0016397097217686	4.43033668623254	0.000151433821824642	11.9757575288989	0.831222347584428	4.76085980965495	1.99498393373824	7.10966339733001	5.36659634795822	
euphorbiaceae	-92.3018222405028	6252	79	70	2.5	999.94855669874	76.4715242294592	72.5001001018247	84.0691687302194	73.8229934941449	0	0	0	-0.000619866878336928	0.000771743859831149	0.000313630323861121	0.00124269788758038	0.000764150370192137	0.495634758682114	9.56903189858194e-06	1.33757233236205	0.0871106190874899	12.2862370638042	11.236271098828	13.2956718369614	12.3385798939926	
fabaceae	-266.824007385114	19500	442	67.5	2.5	940.129619341792	75.4781680686633	70.0002881882154	86.3208467541328	71.1946137227873	0	0	0	-0.000619866878336928	0.000447847106193883	1.96664305747106e-06	0.00109497181582812	0.000249295154332499	2.83638590506351	0.817733005545719	4.73422419533333	2.86411130302539	14.3408109259389	13.2283975810457	15.3503683703909	14.480395182466	
fagaceae	-251.317046863373	927	494	97.5	2.5	921.517655163219	109.353567919473	100.000736082522	124.997023512265	101.981568629421	0	0	0	-0.000619866878336928	0.000251431036699476	2.00673468134314e-05	0.0006919878702519	0.000103340551525506	5.00852769564838	3.55796435104227	6.44181393071025	5.00509841938601	11.2524094465915	10.0030519991414	12.4135911124095	11.4419568028009	
haloragaceae	-37.8999201451589	145	32	75	2.5	999.911001977734	90.9175965336479	77.426510655887	119.566418978281	80.3465503905948	0	0	0	-0.000619866878336928	0.00173752252698967	1.01285981020759e-07	0.00645831850281533	0.000235016175560368	3.87791692527801	0.911524801271923	6.75876925747417	3.6402456732167	5.72881286960403	3.12024299404501	8.30215135217033	6.0895735020457	
hamamelidaceae	-83.7063532134658	86	89	92.5	2.5	956.767989138633	103.816092946604	95.0015012561359	119.8376224734	98.1553901438762	0	0	0	-0.000658960313139723	0.00645277778115708	4.22195851586735e-05	0.0199438869523379	0.00195604486505763	2.11282546138941	0.311886622589165	3.80944509365906	2.06130733011561	6.66340200399533	4.60685137574072	8.42559954054901	7.1128729352411	
humiriaceae	-14.6677184170951	56	7	37.5	5	1000	51.9474939006545	38.8517147732922	77.2415982627204	42.319583955377	0	0	0	-0.000619866878336928	0.00511614406730898	2.96306777070155e-06	0.0133388256264135	0.00178755678485289	1.98908851343459	0.000215275310986363	5.27726549973459	0.37559362899694	5.31397980272184	2.50962725855429	7.69120914611176	5.79030125682513	
hypericaceae	-33.6581382463749	590	33	37.5	5	1000	45.4058258421346	40.0003464664668	57.1372050493947	41.1285555595799	0	0	0	-0.000619866878336928	0.00343473640417599	0.000111483890455835	0.00684003884463622	0.00288397374754715	1.95690847788514	4.13207174015384e-05	4.9862086664125	0.372720687784008	7.97276735673708	5.12549381481963	10.2777413062717	8.62425556357855	
lardizabalaceae	-15.6605310211159	40	4	115	15	999.919100574361	155.786504751914	116.190650550412	231.573397281645	127.406669319718	0	0	0	-0.000699739036778113	0.000895786894283935	8.36792253343896e-07	0.00302859930110298	0.000140770611478971	1.07562657874849	0.000135738476359601	2.69264121420076	0.244660900131035	4.40022706190469	1.23277614476302	7.14223820181251	5.20816849799544	
lauraceae	-285.805128900604	2850	423	110	2.5	979.35856980956	123.0466560214	110.004946174258	147.489028085113	114.024728944373	0	0	0	-0.000619866878336928	0.00041115997301276	8.99010201025828e-07	0.00115890692511541	0.000162195471919675	2.74637025036728	1.38257796589585	4.11725729965989	2.71880464202012	12.1071423186978	10.7476902146506	13.2567114558687	12.2926090282454	
magnoliaceae	-137.016746643897	294	130	105	2.5	996.396110157334	113.283948723349	105.001741881854	125.090724511009	108.817161234938	0	0	0	-0.000626934500752241	0.00440053310330901	8.94608274252541e-05	0.0110664040755806	0.00205517885088482	1.32337433892205	3.06455503439884e-05	2.52458027704454	1.08540592846522	8.51120554477956	6.94004201456095	10.0396269378268	8.71319887053387	
malpighiaceae	-25.5441739451812	1315	11	67.5	10	999.952023288371	89.6348956182725	70.0006901142143	128.185170052994	74.3488248653211	0	0	0	-0.000619866878336928	0.000258449075752591	2.53876095566477e-08	0.000621046826035638	0.000103227553177225	1.4049433002078	9.28377132902725e-06	3.42413794418398	0.266659385730272	8.65734338332762	5.9088512184079	10.9497371122748	9.17025772959594	
