family	likelihood	Nobs	Nfossils	root_obs	ext_obs	DA_count	root_est	root_m	root_M	root_est_mode	ext_est	ext_m	ext_M	ext_est_mode	q_est	q_m	q_M	q_est_mode	a_est	a_m	a_M	a_est_mode	sig2_est	sig2_m	sig2_M	sig2_est_mode
Alismatales	-53.6170110221791	14	93	82.5	2.5	1000	89.7763718637358	82.5010605851478	103.14153632756	86.2788256760668	0	0	0	-0.000855233514925779	0.15958151953612	0.00181330444175481	0.393004765039324	0.0331201933248078	1.76054032373134	0.000417610553316156	3.80215515593758	1.30217335854567	-0.0259227742065481	-3.39759091106777	3.38332782677118	0.229691741390103	
Apiales	-39.4965602584084	7	35	95	5	1000	111.96298682252	95.0023299380172	144.163937947712	100.453116786835	0	0	0	-0.000855233514925779	0.033837563857011	1.49350106627041e-05	0.133181503669678	0.00429233972730296	2.52109128098316	0.356990220576522	4.71195569485488	2.47703055720644	0.946817696764002	-2.94067053067551	4.89295630837585	2.70427626390687	
Asparagales	-25.566695086049	14	12	67.5	7.5	1000	83.4064079531956	70.0025695455592	109.182740729632	73.9808355158263	0	0	0	-0.000855233514925779	0.00935036322062904	8.99115438994467e-06	0.0262191872058298	0.00361237657081812	1.37925827901088	0.000268358045860506	3.40512025657594	0.382856975493243	3.87319569884711	1.29992614015869	6.22222896108488	4.28143001763602	
Asterales	-23.5255498629746	11	22	42.5	2.5	1000	50.4447225106807	42.5006133591046	63.6196633452015	46.37658196336	0	0	0	-0.000855233514925779	0.064449263954907	2.79191608531726e-05	0.179619749114775	0.0157468687543579	2.89717503312877	0.00240869715647352	6.76366829555383	0.812581693446201	2.07543150862481	-1.20300725919208	5.31454926144321	2.38528669822906	
Brassicales	-25.9088108659098	17	19	62.5	2.5	1000	74.9262152748095	62.5043932533244	96.501701354647	67.1954982995394	0	0	0	-0.000855233514925779	0.0179254541923603	1.95780493764068e-05	0.0586996155865351	0.00366430865153101	2.47033859428535	0.00095753331836157	5.21682013325237	1.9701821471267	2.89512251893972	-0.760154684927843	6.05061893580462	3.66752889378081	
Canellales	-15.0006542874242	2	4	97.5	20	1000	136.280088376654	97.5041236769489	208.896439115483	110.049787504188	0	0	0	-0.000855233514925779	0.00742726881739803	2.76273510064903e-05	0.0258880638940736	0.00180334668707396	0.717439130383716	0.000176542225931331	1.90272059464504	0.15920365272576	1.45742666932891	-2.02880964564842	4.26562136356179	2.56433028586203	
Caryophyllales	-38.2093114667375	38	44	87.5	2.5	1000	104.842772598539	87.5179925218539	137.380892537328	93.4691677642867	0	0	0	-0.000855233514925779	0.00871877686391912	2.36200467315704e-06	0.0317585098407343	0.00120780265016265	3.20748680555875	0.612645045946695	5.57044463365585	2.90110545342198	2.48200709111693	-0.911013746095616	6.06421345277561	3.25928710831841	
Cornales	-47.8344765897353	7	53	90	2.5	1000	98.3702081727141	90.0009445417471	113.529459106382	93.7636187436486	0	0	0	-0.000855233514925779	0.0950358182497846	0.000260316834309577	0.277590321502795	0.0203366408575393	1.18564702121582	2.50321067056247e-05	2.85851512060995	0.273612713233822	1.1779482824023	-2.18507657900564	4.7973831892873	1.46599970876969	
Crossosomatales	-24.0253521011367	7	16	60	5	1000	73.1236475515697	60.0046292428937	96.8605890329966	64.805301189937	0	0	0	-0.000855233514925779	0.0204860181579283	3.39811385066118e-05	0.0802067770797927	0.00316151013093392	3.35164773438253	0.0381213730254703	6.61583229053189	2.69814811302654	2.28760012052916	-1.55453789350211	5.39338517268876	3.16913316804963	
Cucurbitales	-24.3459883524325	8	18	52.5	5	1000	63.5043796895055	52.5081209842232	83.2462207339518	56.7972240034121	0	0	0	-0.000855233514925779	0.0241435463829087	1.08825243983921e-05	0.0860658043690659	0.0042832326589273	3.11477709890326	0.00175584012902719	6.62146808990761	2.59982887544213	3.05628197633471	-0.114218594922355	5.79685649392402	3.89016931462336	
