xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded	95%CI	MCMCtree-hardbounds
achariaceae	0.701031229312552	0.289859713618471	71.3392575066524	2.6934556318613	ST(0.701031229312552,0.289859713618471,71.3392575066524,2.6934556318613)	'ST(0.701,0.29,71.339,2.693)'	q2.5%-0.71|q97.5%-2.01	B(0.71,2.01,1e-300,1e-300)
adoxaceae	0.775410515272888	0.0651575410927639	12.2645228492457	2.33346854482685	ST(0.775410515272888,0.0651575410927639,12.2645228492457,2.33346854482685)	'ST(0.775,0.065,12.265,2.333)'	q2.5%-0.78|q97.5%-1.1	B(0.78,1.1,1e-300,1e-300)
altingiaceae	0.722527871048512	0.0596724207332759	6.02475042227289	2.55033078468749	ST(0.722527871048512,0.0596724207332759,6.02475042227289,2.55033078468749)	'ST(0.723,0.06,6.025,2.55)'	q2.5%-0.71|q97.5%-1	B(0.71,1,1e-300,1e-300)
amaranthaceae	0.125519395160594	0.0302127926260495	21.6120792055642	2.99966106800458	ST(0.125519395160594,0.0302127926260495,21.6120792055642,2.99966106800458)	'ST(0.126,0.03,21.612,3)'	q2.5%-0.13|q97.5%-0.25	B(0.13,0.25,1e-300,1e-300)
annonaceae	0.925374886667354	0.0557299162074495	22.6543803805239	2.44182811209633	ST(0.925374886667354,0.0557299162074495,22.6543803805239,2.44182811209633)	'ST(0.925,0.056,22.654,2.442)'	q2.5%-0.93|q97.5%-1.18	B(0.93,1.18,1e-300,1e-300)
apiaceae	0.72508986517025	0.141573586214068	170.401294815456	3.24505278450993	ST(0.72508986517025,0.141573586214068,170.401294815456,3.24505278450993)	'ST(0.725,0.142,170.401,3.245)'	q2.5%-0.73|q97.5%-1.28	B(0.73,1.28,1e-300,1e-300)
araceae	0.725325957491034	0.044191316327811	34.8140277264041	2.97983456131452	ST(0.725325957491034,0.044191316327811,34.8140277264041,2.97983456131452)	'ST(0.725,0.044,34.814,2.98)'	q2.5%-0.73|q97.5%-0.9	B(0.73,0.9,1e-300,1e-300)
araliaceae	0.725490507473563	0.044610693314573	19.4752952516718	2.3992883873501	ST(0.725490507473563,0.044610693314573,19.4752952516718,2.3992883873501)	'ST(0.725,0.045,19.475,2.399)'	q2.5%-0.73|q97.5%-0.94	B(0.73,0.94,1e-300,1e-300)
arecaceae	0.88860370289179	0.0401353235879662	3.35776930791469	6.69928406256812	ST(0.88860370289179,0.0401353235879662,3.35776930791469,6.69928406256812)	'ST(0.889,0.04,3.358,6.699)'	q2.5%-0.88|q97.5%-1.01	B(0.88,1.01,1e-300,1e-300)
asteraceae	0.500506939220342	0.152328592571887	196.221444382969	5.94218857985365	ST(0.500506939220342,0.152328592571887,196.221444382969,5.94218857985365)	'ST(0.501,0.152,196.221,5.942)'	q2.5%-0.51|q97.5%-0.96	B(0.51,0.96,1e-300,1e-300)
atherospermataceae	0.798236757268131	0.169198124549172	16.316168777649	2.86241769644552	ST(0.798236757268131,0.169198124549172,16.316168777649,2.86241769644552)	'ST(0.798,0.169,16.316,2.862)'	q2.5%-0.8|q97.5%-1.53	B(0.8,1.53,1e-300,1e-300)
