xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded	95%CI	MCMCtree-hardbounds
alismatales	0.825130433184725	0.0700016827671862	274.652683421881	3.58818254939593	ST(0.825130433184725,0.0700016827671862,274.652683421881,3.58818254939593)	'ST(0.825,0.07,274.653,3.588)'	q2.5%-0.83|q97.5%-1.1	B(0.83,1.1,1e-300,1e-300)
apiales	0.96047509707765	0.145672748513851	14.4812415377888	2.96973241892429	ST(0.96047509707765,0.145672748513851,14.4812415377888,2.96973241892429)	'ST(0.96,0.146,14.481,2.97)'	q2.5%-0.96|q97.5%-1.59	B(0.96,1.59,1e-300,1e-300)
asparagales	0.700176180863155	0.125172100330574	480.960204787457	3.11121749750429	ST(0.700176180863155,0.125172100330574,480.960204787457,3.11121749750429)	'ST(0.7,0.125,480.96,3.111)'	q2.5%-0.7|q97.5%-1.2	B(0.7,1.2,1e-300,1e-300)
asterales	0.438918899071761	0.0603571885249006	5.466630469291	3.04684034501355	ST(0.438918899071761,0.0603571885249006,5.466630469291,3.04684034501355)	'ST(0.439,0.06,5.467,3.047)'	q2.5%-0.43|q97.5%-0.7	B(0.43,0.7,1e-300,1e-300)
brassicales	0.645705706526026	0.094942936495013	8.12440531918476	2.70808155590925	ST(0.645705706526026,0.094942936495013,8.12440531918476,2.70808155590925)	'ST(0.646,0.095,8.124,2.708)'	q2.5%-0.64|q97.5%-1.07	B(0.64,1.07,1e-300,1e-300)
canellales	0.999032258458645	0.366322138833016	25.8825124015672	3.9889263957355	ST(0.999032258458645,0.366322138833016,25.8825124015672,3.9889263957355)	'ST(0.999,0.366,25.883,3.989)'	q2.5%-1.01|q97.5%-2.32	B(1.01,2.32,1e-300,1e-300)
caryophyllales	0.895199522255504	0.138992684766174	11.740878046713	3.00095952897238	ST(0.895199522255504,0.138992684766174,11.740878046713,3.00095952897238)	'ST(0.895,0.139,11.741,3.001)'	q2.5%-0.89|q97.5%-1.47	B(0.89,1.47,1e-300,1e-300)
cornales	0.902450646247097	0.0783341006824952	28.5133311849152	3.72925912857114	ST(0.902450646247097,0.0783341006824952,28.5133311849152,3.72925912857114)	'ST(0.902,0.078,28.513,3.729)'	q2.5%-0.9|q97.5%-1.2	B(0.9,1.2,1e-300,1e-300)
crossosomatales	0.617390938242122	0.102675468844656	8.4952367831363	2.90178383075606	ST(0.617390938242122,0.102675468844656,8.4952367831363,2.90178383075606)	'ST(0.617,0.103,8.495,2.902)'	q2.5%-0.61|q97.5%-1.06	B(0.61,1.06,1e-300,1e-300)
cucurbitales	0.544208816731611	0.0816374748748088	7.1215376144592	2.70155431158985	ST(0.544208816731611,0.0816374748748088,7.1215376144592,2.70155431158985)	'ST(0.544,0.082,7.122,2.702)'	q2.5%-0.54|q97.5%-0.92	B(0.54,0.92,1e-300,1e-300)
