Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	441.668	424.03	453.21	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	422.484	393.23	447.35	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	350.471	318.78	370.76	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	144.74	134.43	161.36	ST(1.337,0.08,6.638,15.561)
t_n649	144.062	133.95	160.14	0
t_n650	143.433	133.4	159.14	0
t_n651	142.838	132.81	158.33	0
t_n652	142.257	132.12	157.6	0
t_n653	141.596	131.14	156.89	0
t_n654	140.888	130.17	156.19	0
t_n655	140.164	129.06	155.48	0
t_n656	139.304	127.57	154.65	0
t_n657	138.491	126.36	153.9	0
t_n658	137.696	125.45	153.15	0
t_n659	136.929	124.71	152.43	0
t_n660	136.173	124.06	151.67	0
t_n661	134.714	122.7	150.31	0
t_n662	132.967	121.15	148.6	0
t_n663	131.295	119.85	147.03	0
t_n664	129.227	118.19	144.84	0
t_n665	127.259	116.72	142.62	0
t_n666	124.869	114.47	140.04	0
t_n667	122.22	111.01	136.99	0
t_n668_Malpighiales	119.002	107.47	133.01	ST(0.967,0.07,6.124,2.337)
t_n669	116.794	105.68	129.28	0
t_n670	113.609	102.61	125.83	0
t_n671	110.209	99.05	122.71	0
t_n672	102.411	86.27	117.7	0
t_n673	95.249	78.76	111.67	0
t_n674_Euphorbiaceae	84.749	73.68	104.33	ST(0.726,0.039,16.22,3.495)
t_n675	81.501	70.52	101.05	0
t_n676	78.644	65.67	97.88	0
t_n677	73.03	51.53	92.97	0
t_n678	63.343	32.52	84.43	0
t_n679	52.252	20.88	77.11	0
t_n680	36.327	6.98	70.66	0
t_n681	19.987	0.7	55.1	0
t_n682	28.299	1.38	67.24	0
t_n683	57.637	22.07	81.82	0
t_n684	40.29	7.54	73.7	0
t_n685	22.083	0.76	60.11	0
t_n686	73.036	52	92.84	0
t_n687	64.827	35.83	85.25	0
t_n688	55.582	24.52	78.36	0
t_n689	45.559	16.35	73.34	0
t_n690	31.877	5.71	65.6	0
t_n691	17.644	0.58	49.2	0
t_n692	24.825	1.18	60.61	0
t_n693	51.918	12.74	80.05	0
t_n694	28.137	1.14	70.07	0
t_n695	61.2	16.56	92.87	0
t_n696	33.536	1.49	75.97	0
t_n697_Malpighiaceae	82.408	70.67	100.45	ST(0.7,0.178,108.856,2.934)
t_n698	69.005	34.1	92.36	0
t_n699	54.337	17.75	81.24	0
t_n700	38.047	6.52	73.32	0
t_n701	21.003	0.7	58.77	0
t_n702_Elatinaceae	28.341	21.92	45.59	ST(0.224,0.071,8.819,2.227)
t_n703	105.789	92.62	119.26	0
t_n704_Ochnaceae	101.073	85.33	115.21	ST(0.702,0.286,89.896,3.484)
t_n705	95.964	78.95	110.17	0
t_n706	90.973	75.19	105.77	0
t_n707	85.196	72.59	101.71	0
t_n708	75.29	49.26	95.75	0
t_n709	65.25	32.04	88.09	0
t_n710	51.034	16.99	78.17	0
t_n711	35.643	6.18	71.45	0
t_n712	19.673	0.65	55.76	0
t_n713	35.497	1.86	74.28	0
t_n714_Phyllanthaceae	77.053	70.24	92.05	ST(0.7,0.12,90.408,2.551)
t_n715	60.986	24	82.05	0
t_n716	42.796	8.42	74.16	0
t_n717	23.377	0.84	62.12	0
t_n718	42.384	2.45	78.19	0
t_n719	71.447	29.07	98.37	0
t_n720	50.626	10.31	85.14	0
t_n721	27.64	1.03	71.87	0
t_n722	52.379	3.23	97.69	0
t_n723	87.518	59.51	107.44	0
t_n724	68.623	25.78	99.09	0
t_n725	48.565	9.26	85.33	0
t_n726	26.595	0.96	71.25	0
t_n727	61.929	16.06	97.11	0
t_n728	33.815	1.48	77.84	0
t_n729	73.158	20.51	107.15	0
t_n730	39.903	1.79	90.1	0
t_n731	100.779	76.01	118.94	0
t_n732	84.045	51.86	109.17	0
t_n733	68.432	34.91	99.48	0
t_n734_Chrysobalanaceae	33.944	22.99	59.88	ST(0.225,0.083,608.917,3.882)
t_n735	26.742	8.8	51.07	0
t_n736	15.419	0.62	38.64	0
t_n737	15.397	0.62	38.43	0
t_n738	48.002	10.61	83.97	0
t_n739	26.063	0.98	70.25	0
t_n740	82.019	60.84	107.01	0
t_n741_Rhizophoraceae	65.149	55.39	86.95	ST(0.55,0.116,267.652,3.149)
t_n742	49.778	19.14	76.33	0
t_n743	34.561	6.49	68.27	0
t_n744	19.15	0.64	51.44	0
t_n745	113.649	103.07	125.63	0
t_n746_Achariaceae	107.956	94.89	120.99	ST(0.701,0.29,71.339,2.693)
t_n747	101.792	87.76	115.86	0
t_n748_Salicaceae	79.769	70.56	100.07	ST(0.7,0.043,1375.69,3.617)
t_n749	74.549	56.58	94.71	0
t_n750	68.39	43.11	88.48	0
t_n751	61.402	32.81	81.2	0
t_n752	47.587	16.32	74.61	0
t_n753	33.201	5.77	67.43	0
t_n754	18.34	0.61	50.7	0
t_n755	47.606	16.41	74.56	0
t_n756	25.816	1.16	63.47	0
t_n757	25.851	1.17	63.24	0
t_n758	41.053	2.39	78.03	0
t_n759	44.18	2.65	81.58	0
t_n760	96	81.67	109.31	0
t_n761	90.203	78.95	103.6	0
t_n762_Violaceae	83.709	77.65	96.16	ST(0.775,0.158,78.71,3.313)
t_n763	66.44	26.91	87.14	0
t_n764	36.356	1.9	75.29	0
t_n765	36.472	1.95	75.33	0
t_n766_Passifloraceae	63.081	45.92	89.81	ST(0.451,0.231,147.504,2.863)
t_n767	43.557	10.21	77.06	0
t_n768	23.751	0.92	63.99	0
t_n769	92.656	64.38	113.18	0
t_n770	72.321	27.76	103.14	0
t_n771	51.191	10.33	90.7	0
t_n772	27.995	1.05	73.19	0
t_n773	64.929	17.02	101.72	0
t_n774	35.452	1.51	80.98	0
t_n775	108.463	98.99	120.9	0
t_n776	103.849	96.26	116.31	0
t_n777_Calophyllaceae	84.593	70.98	103.61	ST(0.701,0.127,47.076,2.828)
t_n778	69.15	45.68	93.44	0
t_n779_Hypericaceae	45.364	40.18	59.72	ST(0.401,0.048,17.992,2.648)
t_n780	30.729	7.4	50.67	0
t_n781	17.292	0.68	39.88	0
t_n782	37.411	2.03	76.39	0
t_n783	60.301	16.12	92.4	0
t_n784	32.996	1.47	75.54	0
t_n785_Clusiaceae	99.346	95.09	109.08	ST(0.95,0.143,81.354,2.567)
t_n786	69.325	19.63	99.65	0
t_n787	37.945	1.72	83.32	0
t_n788	53.501	3.33	97.17	0
t_n789	74.463	20.44	108.84	0
t_n790	40.687	1.84	92.2	0
t_n791_Humiriaceae	62.998	40.81	111.64	ST(0.401,0.104,18.567,2.64)
t_n792	43.894	9.56	92.09	0
t_n793	24.258	0.9	70.86	0
t_n794	43.906	9.67	92.46	0
t_n795	24.252	0.94	71.01	0
t_n796_Oxalidales	107.835	93.5	124.19	ST(0.875,0.086,509.428,4.115)
t_n797	102.371	90.08	117.86	0
t_n798	96.695	86.89	110.13	0
t_n799_Cunoniaceae	90.65	85.1	101.28	ST(0.85,0.133,42.784,2.539)
t_n800_Elaeocarpaceae	77.899	70.42	90.27	ST(0.701,0.11,139.778,5.264)
t_n801	55.767	14.42	81.06	0
t_n802	30.358	1.33	71.76	0
t_n803	49.37	3.02	89.26	0
t_n804	83.592	45.66	107.64	0
t_n805	59.12	13.86	96.76	0
t_n806	32.258	1.32	76.82	0
t_n807	45.694	2.57	92.38	0
t_n808	57.415	3.61	106.51	0
t_n809_Celastraceae	113.613	103.27	129.46	ST(1.025,0.125,93.539,2.374)
t_n810	102.723	78.47	120.81	0
t_n811	93.547	70.86	114.48	0
t_n812	83.091	54.91	105.89	0
t_n813	69.159	31.2	97.9	0
t_n814	54.383	17.16	86.71	0
t_n815	29.508	1.26	72.52	0
t_n816	29.693	1.38	72.39	0
t_n817	58.926	15.05	94.77	0
t_n818	32.052	1.39	75.71	0
t_n819	65.807	17.26	101.61	0
t_n820	36.002	1.59	81.25	0
t_n821	59.445	3.76	110.28	0
t_n822	120.896	109.04	135.88	0
t_n823	115.103	105.27	128.29	0
t_n824	109.098	101.96	120.87	0
t_n825_Fagales	103.815	100.58	110.05	ST(1,0.029,536.345,3.832)
t_n826_Fagaceae	101.919	100.04	106.51	ST(1,0.105,120.132,7.317)
t_n827	78.512	33.72	101.54	0
t_n828	42.937	2.22	89.08	0
t_n829	43.021	2.32	89.21	0
t_n830	70.921	19.99	100.87	0
t_n831	38.734	1.74	85.64	0
t_n832_Cucurbitales	75.351	58.29	103.83	ST(0.544,0.082,7.122,2.702)
t_n833	68.497	56.33	92.14	0
t_n834_Cucurbitaceae	61.153	55.32	74.46	ST(0.552,0.146,67.672,4.512)
t_n835	31.652	1.77	63.1	0
t_n836	31.9	1.83	62.97	0
t_n837_Rosales	106.338	102.65	115.16	ST(1.025,0.034,462.919,2.099)
t_n838	98.609	83.29	109.3	0
t_n839	90.21	75.48	104.13	0
t_n840	82.187	72.89	98.68	0
t_n841_Urticaceae	61.195	55.2	74.61	ST(0.55,0.07,43.855,2.598)
t_n842	31.889	1.83	63.31	0
t_n843_Cannabaceae	75.263	71.33	83.6	ST(0.725,0.054,7.318,2.278)
