Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	450.058	441.39	456.9	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	443.956	429.56	452.56	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	360.151	342.65	372.96	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	234.664	212.3	261.25	ST(1.337,0.08,6.638,15.561)
t_n649	222.059	202.62	245.37	0
t_n650	209.806	192.97	229.87	0
t_n651	195.678	181.57	212.14	0
t_n652	193.141	179.31	209.26	0
t_n653	190.047	176.58	205.65	0
t_n654	186.592	173.47	201.85	0
t_n655	174.497	163.51	186.95	0
t_n656	170.173	159.77	181.91	0
t_n657	165.919	156.13	176.95	0
t_n658	162.872	153.51	173.48	0
t_n659	155.239	147.04	164.26	0
t_n660	151.593	143.9	159.94	0
t_n661	148.45	140.99	156.48	0
t_n662	147.076	139.73	154.96	0
t_n663	141.643	134.86	148.95	0
t_n664	138.916	132.16	146.17	0
t_n665	137.315	130.73	144.4	0
t_n666	132.378	125.85	139.29	0
t_n667	129.255	122.61	135.98	0
t_n668_Malpighiales	120.545	114.08	126.76	ST(0.967,0.07,6.124,2.337)
t_n669	118.514	112.23	124.47	0
t_n670	115.057	107.25	121.72	0
t_n671	113.348	105.29	120.38	0
t_n672	107.763	97.41	117.29	0
t_n673	106.907	96.47	116.73	0
t_n674_Euphorbiaceae	82.298	73.46	95.65	ST(0.726,0.039,16.22,3.495)
t_n675	74.901	63.43	86.9	0
t_n676	71.285	59.82	82.73	0
t_n677	67.641	56.36	79.03	0
t_n678	57.488	45.3	71.01	0
t_n679	51.286	39.36	62.35	0
t_n680	49.202	36.73	60.34	0
t_n681	45.964	32	57.69	0
t_n682	39.042	21.34	53.82	0
t_n683	63.646	50.92	76.32	0
t_n684	55.485	41.49	70.64	0
t_n685	31.397	15.45	53.73	0
t_n686	68.861	57.04	80.46	0
t_n687	67.973	55.92	79.72	0
t_n688	61.941	48.33	76.09	0
t_n689	58.484	45.16	73.4	0
t_n690	49.212	33.8	64.44	0
t_n691	30.989	15.73	51.62	0
t_n692	28.074	13.48	54	0
t_n693	53.273	37.89	68.54	0
t_n694	36.124	17.29	56.19	0
t_n695	72.997	57.34	87.97	0
t_n696	54.686	37.23	73.35	0
t_n697_Malpighiaceae	82.115	70.84	97.13	ST(0.7,0.178,108.856,2.934)
t_n698	50.717	35.65	66.79	0
t_n699	35.742	23.03	51.22	0
t_n700	22.281	15.4	32.66	0
t_n701	18.422	12.55	27.23	0
t_n702_Elatinaceae	33.546	22.81	56.26	ST(0.224,0.071,8.819,2.227)
t_n703	111.016	102.66	118.72	0
t_n704_Ochnaceae	106.512	97.85	115.25	ST(0.702,0.286,89.896,3.484)
t_n705	104.93	95.97	113.98	0
t_n706	99.02	88.85	108.48	0
t_n707	89.266	77.85	100.6	0
t_n708	53.217	38.39	70.75	0
t_n709	38.713	26.61	52.67	0
t_n710	25.085	17.67	36.3	0
t_n711	20.412	14.54	28.81	0
t_n712	18.41	12.96	26.45	0
t_n713	23.798	13.45	42.08	0
t_n714_Phyllanthaceae	80.533	70.81	93	ST(0.7,0.12,90.408,2.551)
t_n715	65.487	49.3	81.29	0
t_n716	57.205	40.18	74.78	0
t_n717	42.951	21.52	62.2	0
t_n718	50.315	26.75	71.42	0
t_n719	73.563	55.63	89.29	0
t_n720	58.114	40.85	75.99	0
t_n721	42.406	20.41	62.32	0
t_n722	74.978	41.92	101.97	0
t_n723	73.737	56.37	89.11	0
t_n724	52.285	33.47	69.47	0
t_n725	44.313	24.62	61.11	0
t_n726	35.628	19.04	52.84	0
t_n727	69.11	50.24	85.75	0
t_n728	46.521	17.72	73.13	0
t_n729	71.967	48.95	94.56	0
t_n730	20.86	10.7	41.74	0
t_n731	111.932	102.24	119.8	0
t_n732	92.461	76.96	105.49	0
t_n733	76.928	61.52	92.12	0
t_n734_Chrysobalanaceae	53.759	39.81	68.72	ST(0.225,0.083,608.917,3.882)
t_n735	25.544	18.47	35.52	0
t_n736	19.093	12.75	27.81	0
t_n737	15.776	7.21	22.85	0
t_n738	57.187	40.58	74.95	0
t_n739	37.614	18.32	58.21	0
t_n740	100.644	80.88	114.67	0
t_n741_Rhizophoraceae	72.833	57.36	93.79	ST(0.55,0.116,267.652,3.149)
t_n742	53.837	38.31	74.79	0
t_n743	28.62	18.64	45.89	0
t_n744	21.096	13.65	35.81	0
t_n745	115.873	109.65	121.88	0
t_n746_Achariaceae	107.148	99.09	115.06	ST(0.701,0.29,71.339,2.693)
t_n747	105.286	97.1	113.44	0
t_n748_Salicaceae	79.175	70.39	96.9	ST(0.7,0.043,1375.69,3.617)
t_n749	62.874	49.52	79.54	0
t_n750	48.151	35.38	62.73	0
t_n751	29.235	22.21	40.09	0
t_n752	25.391	18.56	35.84	0
t_n753	22.031	15.92	30.84	0
t_n754	16.882	11.3	23.64	0
t_n755	26.751	19.95	37.35	0
t_n756	18.454	11.95	27.05	0
t_n757	16.559	9.52	23.45	0
t_n758	32.532	16.54	54.17	0
t_n759	39.261	14.97	72.08	0
t_n760	101.607	93.15	110.04	0
t_n761	97.542	88.69	106.31	0
t_n762_Violaceae	81.584	77.58	90.11	ST(0.775,0.158,78.71,3.313)
t_n763	54.09	36.73	68.69	0
t_n764	44.805	26.2	59.9	0
t_n765	43.878	21.18	60.82	0
t_n766_Passifloraceae	61.776	48.39	77.34	ST(0.451,0.231,147.504,2.863)
t_n767	49.639	35.47	64.73	0
t_n768	32.624	17.86	50.55	0
t_n769	86.825	67.61	102.67	0
t_n770	74.841	51.87	95.66	0
t_n771	50.314	26.68	74.92	0
t_n772	23.289	12.41	47.51	0
t_n773	53.445	28.7	77.99	0
t_n774	28.09	15.11	50.94	0
t_n775	111.786	105.76	118.01	0
t_n776	100.968	96.81	106.34	0
t_n777_Calophyllaceae	93.072	83.28	100.97	ST(0.701,0.127,47.076,2.828)
t_n778	77.036	64.12	88.53	0
t_n779_Hypericaceae	61.356	46.15	76.96	ST(0.401,0.048,17.992,2.648)
t_n780	48.733	34.72	63.04	0
t_n781	23.25	14.47	38.1	0
t_n782	29.385	17.25	47.9	0
t_n783	59.891	39.39	79.78	0
t_n784	44.515	21.7	65.33	0
t_n785_Clusiaceae	96.844	94.93	101.17	ST(0.95,0.143,81.354,2.567)
t_n786	49.636	28.62	70.44	0
t_n787	28.654	14.1	54.02	0
t_n788	59.686	38.01	80.3	0
t_n789	89.777	53.31	111.66	0
t_n790	20.363	11.23	39.67	0
t_n791_Humiriaceae	98.768	53.46	122.51	ST(0.401,0.104,18.567,2.64)
t_n792	49.078	25.1	80.68	0
t_n793	19.678	10.9	35.54	0
t_n794	32.677	16.64	64.33	0
t_n795	21.195	12.67	42.94	0
t_n796_Oxalidales	120.034	106.54	130.75	ST(0.875,0.086,509.428,4.115)
t_n797	99.391	91.01	110.13	0
t_n798	91.879	85.88	101.92	0
t_n799_Cunoniaceae	87.531	84.79	93.87	ST(0.85,0.133,42.784,2.539)
t_n800_Elaeocarpaceae	80.92	71.47	89.29	ST(0.701,0.11,139.778,5.264)
t_n801	76.493	56.81	87.32	0
t_n802	57.871	26.78	78.43	0
t_n803	29.502	6.97	69.35	0
t_n804	63.374	45.73	82.45	0
t_n805	52.938	33.32	73.75	0
t_n806	32.762	14.43	59.54	0
t_n807	29.959	15.58	53.43	0
t_n808	26.396	14.1	53.38	0
t_n809_Celastraceae	109.099	102.79	119.7	ST(1.025,0.125,93.539,2.374)
t_n810	86.771	71.83	101.7	0
t_n811	56.796	43.87	71.56	0
t_n812	45.527	30.62	59.21	0
t_n813	36.275	23.02	52.64	0
t_n814	32.959	20.71	49.85	0
t_n815	28.355	16.13	46.76	0
t_n816	20.195	12.86	33.71	0
t_n817	39.04	24.29	53.59	0
t_n818	24.627	14.77	41.73	0
t_n819	49.223	35.33	63.92	0
t_n820	32.728	19.06	49.38	0
t_n821	32.333	14.88	62.77	0
t_n822	128.613	119.8	136.83	0
t_n823	125.576	116.97	134.25	0
t_n824	121.918	113.77	131.5	0
t_n825_Fagales	107.722	103.21	114.87	ST(1,0.029,536.345,3.832)
t_n826_Fagaceae	101.413	100	105.14	ST(1,0.105,120.132,7.317)
t_n827	76.094	53.48	94	0
t_n828	55.486	29.73	79.15	0
t_n829	52.192	24.22	77.17	0
t_n830	70.814	47.3	90.39	0
t_n831	16.878	7.64	26.21	0
t_n832_Cucurbitales	79.668	62.38	102.96	ST(0.544,0.082,7.122,2.702)
t_n833	72.36	58.49	93.84	0
t_n834_Cucurbitaceae	67.754	55.89	88.73	ST(0.552,0.146,67.672,4.512)
t_n835	55.099	40.09	75.73	0
t_n836	39.681	20.65	59.12	0
t_n837_Rosales	107.069	102.7	115.97	ST(1.025,0.034,462.919,2.099)
t_n838	97.195	88.61	105.8	0
t_n839	89.277	80.39	97.83	0
t_n840	81.027	71.43	88.71	0
t_n841_Urticaceae	67.06	56.33	80.07	ST(0.55,0.07,43.855,2.598)
t_n842	53.284	38.26	69.34	0
t_n843_Cannabaceae	72.78	58.94	77.77	ST(0.725,0.054,7.318,2.278)
t_n844_Rhamnaceae	85.812	77.75	98.64	ST(0.775,0.039,5.522,2.1)
t_n845	63.937	40.23	84.3	0
t_n846	54.816	27.86	82.09	0
t_n847_Fabales	106.707	100.29	117.72	ST(1,0.096,372.385,2.742)
t_n848_Fabaceae	97.435	82.28	110.25	ST(0.7,0.049,154.092,2.512)
t_n849	85.061	70.44	99.83	0
t_n850	63.451	48.73	79.82	0
t_n851	54.22	39.67	71.44	0
t_n852	36.431	23.11	53.13	0
t_n853	26.316	15.88	43.13	0
t_n854	91.905	72.8	106.61	0
t_n855	83.993	52.52	112.72	0
t_n856	136.128	128.41	144.14	0
t_n857	131.343	123.04	139.75	0
t_n858	128.826	119.72	137.53	0
t_n859	119.496	112.32	128.18	0
t_n860	116.394	108.63	125.24	0
t_n861	108.504	100.4	117.6	0
t_n862_Brassicales	92.927	79.93	104.59	ST(0.646,0.095,8.124,2.708)
t_n863	90.313	77.49	102.07	0
t_n864	81.672	68.82	94.48	0
t_n865	73.682	60.16	86.54	0
t_n866	64.787	51.42	77.8	0
t_n867	48.346	35.73	61.23	0
t_n868	20.331	13.47	30.51	0
t_n869_Malvales	90.56	87.6	97.32	ST(0.875,0.084,312.101,2.83)
t_n870	78.642	65.02	89.15	0
t_n871	50.835	33.04	67.09	0
t_n872_Malvaceae	78.782	70.53	89.73	ST(0.7,0.046,649.782,6.267)
t_n873	41.012	18.82	63.17	0
t_n874	63.946	28.33	100.61	0
t_n875_Sapindales	102.133	100.07	106.74	ST(1,0.04,296.338,2.882)
t_n876	93.328	76.37	102.19	0
t_n877	90.202	73.31	100.06	0
t_n878	54.361	32.21	75.18	0
t_n879	43.989	21.85	64.98	0
t_n880	75.098	47.9	93.43	0
t_n881_Crossosomatales	110.536	73.86	131.46	ST(0.617,0.103,8.495,2.902)
t_n882	52.717	26.93	80.91	0
t_n883	41.615	18.5	70.23	0
t_n884	83.562	50.78	113.66	0
t_n885	35.06	15.42	68.08	0
t_n886	129.585	118.81	138.87	0
t_n887_Myrtales	102.3	97.73	111.48	ST(0.975,0.038,371.243,2.234)
t_n888	94.495	84.9	104.31	0
t_n889	71.424	54.33	85.93	0
t_n890	49.524	30.83	66.45	0
t_n891_Myrtaceae	75.118	70.19	84.42	ST(0.7,0.077,1175.373,8.242)
t_n892	36.117	16.03	60.6	0
t_n893	96.362	83.26	106.86	0
t_n894	63.214	43.8	82.71	0
t_n895	115.46	96.79	130.7	0
t_n896	84.142	52.63	109.24	0
t_n897_Vitaceae	71.475	67.74	76.64	ST(0.702,0.021,1.485,3.802)
t_n898_Saxifragales	110.085	105.25	120.32	ST(1.05,0.05,436.515,2.521)
t_n899	105.343	97.75	115.97	0
t_n900	103.963	95.81	114.73	0
t_n901	100.064	90.52	110.75	0
t_n902	85.933	73.48	97.89	0
t_n903	68.874	54.6	82.85	0
t_n904	62.624	48.42	77	0
t_n905	47.035	33.28	61.02	0
t_n906_Haloragaceae	14.117	10.76	17.84	ST(0.775,0.126,21.366,3.141)
t_n907	41.271	22.19	59.36	0
t_n908	87.363	71.04	101.07	0
t_n909	74.889	54.82	92.02	0
t_n910	48.682	24.9	70.52	0
t_n911	45.179	21.27	68.98	0
t_n912	50.437	19.28	83.51	0
t_n913	102.937	96.93	111.42	0
t_n914_Hamamelidaceae	98.944	95.16	106.1	ST(0.95,0.087,1061.88,3.907)
t_n915	71.04	32.55	98.76	0
t_n916	24.697	13.71	51.9	0
t_n917	26.858	13.29	64.23	0
t_n918	89.344	56.49	102.07	0
t_n919	16.702	7.1	26.5	0
t_n920	149.558	141.71	157.96	0
t_n921	147.134	139.3	155.48	0
t_n922	145.689	137.9	154.01	0
t_n923	141.905	134.21	150.25	0
t_n924	132.909	126.32	140.37	0
t_n925	130	123.72	137.18	0
t_n926	121.378	115.53	128.47	0
t_n927	117.76	111.91	124.79	0
t_n928	109.932	104.57	116.5	0
t_n929	108.406	103.16	115.02	0
t_n930	107.076	102.07	113.61	0
t_n931	105.857	101.11	112.23	0
t_n932	103.393	99.11	109.48	0
t_n933_Dipsacales	96.794	95.06	100.7	ST(0.95,0.059,454.689,1.717)
t_n934	75.503	62.66	86.48	0
t_n935	73.148	60.91	84.13	0
t_n936	65.472	54.76	77.08	0
t_n937	62.679	52.43	74.27	0
t_n938	58.921	48.96	70.78	0
t_n939	51.851	41.65	62.91	0
t_n940	44.573	33.59	55.71	0
t_n941	34.226	24.1	46.08	0
t_n942	21.601	13.9	33.14	0
t_n943	21.288	13.87	32.3	0
t_n944	47.921	33.58	61.11	0
t_n945	28.123	18.14	44.42	0
t_n946	20.776	13.13	35.77	0
t_n947	54.781	41.33	68.65	0
t_n948	37.884	22.71	53.7	0
t_n949	23.286	13.87	40	0
t_n950	20.951	14.73	29.78	0
t_n951	18.23	12.68	25.09	0
t_n952	15.523	7.46	21.96	0
t_n953	64.291	45.05	79.14	0
t_n954	24.041	16.5	38.39	0
t_n955	21.475	14.73	34.39	0
t_n956	18.289	12.32	29.02	0
t_n957	32.625	13.48	66.81	0
t_n958_Adoxaceae	81.432	77.28	89.31	ST(0.775,0.065,12.265,2.333)
t_n959	46.746	25.89	68.45	0
t_n960	25.053	15.87	42.47	0
t_n961	17.955	10.2	29.16	0
t_n962	78.498	44.03	100.31	0
t_n963	58.047	20.59	89.64	0
t_n964_Apiales	100.815	96.07	107.37	ST(0.96,0.146,14.481,2.97)
