Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	450.077	441.45	456.91	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	443.979	429.76	452.54	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	360.119	342.68	372.86	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	234.417	212.07	261.02	ST(1.337,0.08,6.638,15.561)
t_n649	221.823	202.37	244.83	0
t_n650	209.614	192.8	229.43	0
t_n651	195.515	181.55	211.79	0
t_n652	192.984	179.31	208.89	0
t_n653	189.889	176.59	205.38	0
t_n654	186.434	173.45	201.6	0
t_n655	174.379	163.51	186.86	0
t_n656	170.071	159.78	181.84	0
t_n657	165.82	156.09	176.91	0
t_n658	162.786	153.48	173.44	0
t_n659	155.18	147.01	164.29	0
t_n660	151.538	143.9	159.97	0
t_n661	148.392	140.99	156.51	0
t_n662	147.016	139.73	154.96	0
t_n663	141.58	134.8	148.9	0
t_n664	138.847	132.1	146.09	0
t_n665	137.253	130.66	144.3	0
t_n666	132.33	125.83	139.24	0
t_n667	129.207	122.59	135.92	0
t_n668_Malpighiales	120.493	114.04	126.71	ST(0.967,0.07,6.124,2.337)
t_n669	118.458	112.16	124.42	0
t_n670	115.005	107.27	121.68	0
t_n671	113.301	105.33	120.36	0
t_n672	107.721	97.3	117.29	0
t_n673	106.865	96.41	116.72	0
t_n674_Euphorbiaceae	82.291	73.46	95.64	ST(0.726,0.039,16.22,3.495)
t_n675	74.921	63.42	86.95	0
t_n676	71.289	59.74	82.69	0
t_n677	67.648	56.27	79.02	0
t_n678	57.485	45.26	70.98	0
t_n679	51.272	39.32	62.29	0
t_n680	49.193	36.7	60.34	0
t_n681	45.962	32.07	57.68	0
t_n682	39.009	21.27	53.89	0
t_n683	63.649	50.86	76.26	0
t_n684	55.481	41.43	70.53	0
t_n685	31.332	15.43	53.58	0
t_n686	68.871	56.93	80.47	0
t_n687	67.978	55.83	79.73	0
t_n688	61.935	48.31	76.07	0
t_n689	58.487	45.16	73.41	0
t_n690	49.184	33.8	64.43	0
t_n691	30.913	15.65	51.57	0
t_n692	28.228	13.5	54.44	0
t_n693	53.326	37.76	68.56	0
t_n694	36.245	17.32	56.46	0
t_n695	73.009	57.42	87.94	0
t_n696	54.664	37.12	73.41	0
t_n697_Malpighiaceae	82.122	70.83	97.19	ST(0.7,0.178,108.856,2.934)
t_n698	50.686	35.48	66.79	0
t_n699	35.727	22.97	51.33	0
t_n700	22.285	15.37	32.56	0
t_n701	18.413	12.51	27.26	0
t_n702_Elatinaceae	33.531	22.81	56.25	ST(0.224,0.071,8.819,2.227)
t_n703	110.983	102.64	118.7	0
t_n704_Ochnaceae	106.51	97.84	115.27	ST(0.702,0.286,89.896,3.484)
t_n705	104.922	95.98	114.04	0
t_n706	99.041	88.91	108.52	0
t_n707	89.289	77.89	100.6	0
t_n708	53.213	38.37	70.85	0
t_n709	38.712	26.6	52.69	0
t_n710	25.112	17.64	36.46	0
t_n711	20.433	14.51	28.88	0
t_n712	18.425	12.97	26.47	0
t_n713	23.789	13.49	42.13	0
t_n714_Phyllanthaceae	80.554	70.82	93.05	ST(0.7,0.12,90.408,2.551)
t_n715	65.498	49.27	81.29	0
t_n716	57.211	40.19	74.72	0
t_n717	42.928	21.56	62.09	0
t_n718	50.313	26.77	71.29	0
t_n719	73.593	55.69	89.33	0
t_n720	58.129	40.99	76.06	0
t_n721	42.37	20.42	62.44	0
t_n722	75.042	41.99	101.88	0
t_n723	73.66	56.34	89.05	0
t_n724	52.185	33.24	69.13	0
t_n725	44.216	24.51	61.03	0
t_n726	35.577	18.92	52.62	0
t_n727	69.041	50.26	85.57	0
t_n728	46.416	17.66	73.08	0
t_n729	71.975	48.95	94.48	0
t_n730	20.831	10.64	41.71	0
t_n731	111.903	102.36	119.74	0
t_n732	92.361	76.78	105.44	0
t_n733	76.816	61.52	92.02	0
t_n734_Chrysobalanaceae	53.722	39.89	68.73	ST(0.225,0.083,608.917,3.882)
t_n735	25.549	18.5	35.49	0
t_n736	19.098	12.75	27.84	0
t_n737	15.775	7.24	22.82	0
t_n738	57.102	40.3	74.9	0
t_n739	37.55	18.4	58	0
t_n740	100.586	80.9	114.57	0
t_n741_Rhizophoraceae	72.895	57.35	93.79	ST(0.55,0.116,267.652,3.149)
t_n742	53.882	38.31	74.8	0
t_n743	28.629	18.63	45.96	0
t_n744	21.104	13.63	35.95	0
t_n745	115.826	109.6	121.8	0
t_n746_Achariaceae	107.122	99.07	114.97	ST(0.701,0.29,71.339,2.693)
t_n747	105.257	97.04	113.4	0
t_n748_Salicaceae	79.157	70.4	96.82	ST(0.7,0.043,1375.69,3.617)
t_n749	62.864	49.44	79.52	0
t_n750	48.166	35.38	62.87	0
t_n751	29.236	22.22	40.1	0
t_n752	25.4	18.61	35.87	0
t_n753	22.044	15.93	30.81	0
t_n754	16.886	11.31	23.66	0
t_n755	26.737	19.97	37.32	0
t_n756	18.441	11.99	27.05	0
t_n757	16.555	9.56	23.44	0
t_n758	32.505	16.5	54.07	0
t_n759	39.225	14.99	72.18	0
t_n760	101.587	93.17	109.99	0
t_n761	97.522	88.7	106.25	0
t_n762_Violaceae	81.588	77.58	90.1	ST(0.775,0.158,78.71,3.313)
t_n763	54.094	36.75	68.67	0
t_n764	44.809	26.11	59.81	0
t_n765	43.902	21.17	60.93	0
t_n766_Passifloraceae	61.77	48.36	77.5	ST(0.451,0.231,147.504,2.863)
t_n767	49.645	35.45	64.81	0
t_n768	32.643	17.86	50.63	0
t_n769	86.832	67.67	102.71	0
t_n770	74.79	51.68	95.66	0
t_n771	50.195	26.66	74.93	0
t_n772	23.175	12.37	47.15	0
t_n773	53.44	28.69	78.07	0
t_n774	28.026	15.08	50.96	0
t_n775	111.755	105.7	117.92	0
t_n776	100.961	96.79	106.33	0
t_n777_Calophyllaceae	93.077	83.31	100.94	ST(0.701,0.127,47.076,2.828)
t_n778	77.027	64.14	88.59	0
t_n779_Hypericaceae	61.321	46.04	76.99	ST(0.401,0.048,17.992,2.648)
t_n780	48.725	34.67	63.06	0
t_n781	23.248	14.41	38.19	0
t_n782	29.398	17.17	47.74	0
t_n783	59.939	39.8	79.76	0
t_n784	44.473	21.54	65.22	0
t_n785_Clusiaceae	96.842	94.93	101.12	ST(0.95,0.143,81.354,2.567)
t_n786	49.653	28.69	70.4	0
t_n787	28.657	14.1	53.84	0
t_n788	59.72	38.04	80.31	0
t_n789	89.769	53.19	111.59	0
t_n790	20.336	11.17	39.4	0
t_n791_Humiriaceae	98.616	53.36	122.43	ST(0.401,0.104,18.567,2.64)
t_n792	49.128	24.96	81.06	0
t_n793	19.705	10.92	35.68	0
t_n794	32.699	16.65	64.65	0
t_n795	21.202	12.68	43.02	0
t_n796_Oxalidales	120.017	106.52	130.76	ST(0.875,0.086,509.428,4.115)
t_n797	99.41	91.04	110.15	0
t_n798	91.88	85.87	101.88	0
t_n799_Cunoniaceae	87.545	84.78	93.9	ST(0.85,0.133,42.784,2.539)
t_n800_Elaeocarpaceae	80.956	71.51	89.26	ST(0.701,0.11,139.778,5.264)
t_n801	76.52	56.9	87.3	0
t_n802	57.84	26.67	78.41	0
t_n803	29.485	7.12	69.5	0
t_n804	63.393	45.68	82.56	0
t_n805	52.932	33.22	73.74	0
t_n806	32.874	14.43	59.54	0
t_n807	29.99	15.56	53.55	0
t_n808	26.437	14.12	53.63	0
t_n809_Celastraceae	109.127	102.81	119.7	ST(1.025,0.125,93.539,2.374)
t_n810	86.757	71.6	101.7	0
t_n811	56.808	43.88	71.6	0
t_n812	45.538	30.53	59.21	0
t_n813	36.347	23	52.59	0
t_n814	33.027	20.69	49.85	0
t_n815	28.415	16.15	46.78	0
t_n816	20.243	12.89	33.79	0
t_n817	39.029	24.25	53.61	0
t_n818	24.633	14.69	41.86	0
t_n819	49.218	35.25	63.97	0
t_n820	32.712	19	49.37	0
t_n821	32.295	14.93	62.52	0
t_n822	128.578	119.85	136.82	0
t_n823	125.53	116.97	134.21	0
t_n824	121.874	113.82	131.47	0
t_n825_Fagales	107.711	103.19	114.78	ST(1,0.029,536.345,3.832)
t_n826_Fagaceae	101.407	100	105.09	ST(1,0.105,120.132,7.317)
t_n827	76.157	53.67	94.04	0
t_n828	55.568	29.71	79.09	0
t_n829	52.243	24.22	77.26	0
t_n830	70.817	47.16	90.37	0
t_n831	16.856	7.63	26.13	0
t_n832_Cucurbitales	79.645	62.38	102.83	ST(0.544,0.082,7.122,2.702)
t_n833	72.359	58.52	93.68	0
t_n834_Cucurbitaceae	67.724	55.91	88.38	ST(0.552,0.146,67.672,4.512)
t_n835	55.113	40.06	75.73	0
t_n836	39.641	20.81	58.88	0
t_n837_Rosales	107.07	102.71	115.98	ST(1.025,0.034,462.919,2.099)
t_n838	97.159	88.45	105.8	0
t_n839	89.247	80.09	97.82	0
t_n840	80.976	70.84	88.7	0
t_n841_Urticaceae	67.061	56.35	80.04	ST(0.55,0.07,43.855,2.598)
t_n842	53.281	38.17	69.43	0
t_n843_Cannabaceae	72.693	57.61	77.8	ST(0.725,0.054,7.318,2.278)
t_n844_Rhamnaceae	85.746	77.73	98.62	ST(0.775,0.039,5.522,2.1)
t_n845	63.458	40.72	84.13	0
t_n846	54.878	27.79	82.14	0
t_n847_Fabales	106.708	100.31	117.76	ST(1,0.096,372.385,2.742)
t_n848_Fabaceae	97.458	82.62	110.23	ST(0.7,0.049,154.092,2.512)
t_n849	85.088	70.58	99.84	0
t_n850	63.485	48.84	79.86	0
t_n851	54.257	39.87	71.5	0
t_n852	36.403	23.06	53.26	0
t_n853	26.305	15.86	43.35	0
t_n854	91.937	72.98	106.61	0
t_n855	83.828	52.08	112.35	0
