Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	441.564	424.07	453.1	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	422.495	393.23	447.27	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	350.454	318.93	370.73	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	146.438	134.84	153.41	B(1.33,1.53,0.025,0.025)
t_n649	145.528	134.45	152.87	0
t_n650	144.648	133.95	152.42	0
t_n651	143.8	133.45	152.03	0
t_n652	142.963	132.91	151.71	0
t_n653	141.927	132.24	151.32	0
t_n654	140.765	131.42	150.86	0
t_n655	139.531	130.56	150.36	0
t_n656	137.01	129.34	148.63	0
t_n657_Trochodendraceae	132.868	127.58	140.63	B(0.68,1.3,0.025,0.025)
t_n658	132.399	126.98	140.1	0
t_n659	132.057	126.53	139.75	0
t_n660	131.758	126.11	139.46	0
t_n661	131.253	125.4	138.98	0
t_n662	130.69	124.39	138.5	0
t_n663	130.114	123.51	138.01	0
t_n664	129.352	122.41	137.34	0
t_n665	128.549	121.36	136.66	0
t_n666	127.493	120	135.72	0
t_n667	126.092	118.33	134.54	0
t_n668_Malpighiales	124.345	116.17	133.04	B(0.96,1.35,0.025,0.025)
t_n669	122.549	114.11	131.16	0
t_n670	119.904	109.42	129.16	0
t_n671	116.784	103.96	127.06	0
t_n672	106.703	89.26	122.31	0
t_n673	97.565	82.68	116.65	0
t_n674_Euphorbiaceae	82.773	74.9	86.43	B(0.73,0.86,0.025,0.025)
t_n675	79.333	68.98	85.62	0
t_n676	76.19	64.41	84.56	0
t_n677	70.478	53.19	82.35	0
t_n678	61.811	36.88	78.54	0
t_n679	52.565	22.44	72.82	0
t_n680	38.635	7.87	66.46	0
t_n681	22.143	0.77	54.27	0
t_n682	30.46	1.55	63.97	0
t_n683	57.11	23.76	77.41	0
t_n684	41.985	8.26	69.69	0
t_n685	24.193	0.89	58.14	0
t_n686	70.452	53.38	82.4	0
t_n687	63.054	40.17	78.9	0
t_n688	55.269	26.89	73.92	0
t_n689	46.869	17.16	69.27	0
t_n690	34.474	6.22	62.18	0
t_n691	19.849	0.63	50.68	0
t_n692	27.153	1.31	58.85	0
t_n693	52.136	14.4	76.32	0
t_n694	30.14	1.29	66.17	0
t_n695	60.521	18.18	83.64	0
t_n696	34.999	1.6	72.63	0
t_n697_Malpighiaceae	85.726	69.38	108.38	B(0.71,1.45,0.025,0.025)
t_n698	71.12	40.65	97.66	0
t_n699	57.049	20.88	85.95	0
t_n700	41.901	7.75	74.22	0
t_n701	24.121	0.81	60.58	0
t_n702_Elatinaceae	36.21	21.29	58.95	B(0.22,0.6,0.025,0.025)
t_n703	112.646	97.71	124.44	0
t_n704_Ochnaceae	107.979	91.97	121.5	B(0.71,1.79,0.025,0.025)
t_n705	102.036	84.23	117.75	0
t_n706	96.552	78.79	113.81	0
t_n707	90.478	73.02	108.53	0
t_n708	78.945	53.27	100.59	0
t_n709	68.322	39.14	93.77	0
t_n710	54.949	19.8	82.92	0
t_n711	40.357	7.25	71.33	0
t_n712	23.262	0.78	58.45	0
t_n713	39.5	2.29	77.33	0
t_n714_Phyllanthaceae	81.001	68.15	100.48	B(0.7,1.26,0.025,0.025)
t_n715	64.378	28.9	90.74	0
t_n716	47.319	10.02	78.31	0
t_n717	27.225	0.99	65.11	0
t_n718	46.076	2.91	84.08	0
t_n719	75.001	36.31	103.04	0
t_n720	54.407	12.13	90.7	0
t_n721	31.418	1.25	71.9	0
t_n722	55.934	3.89	101.86	0
t_n723	92.258	62.71	114.86	0
t_n724	72.054	31.96	103.11	0
t_n725	52.311	11.15	89.73	0
t_n726	30.171	1.19	70.78	0
t_n727	65.477	19.04	101.03	0
t_n728	37.534	1.75	81.77	0
t_n729	76.623	23.19	114.68	0
t_n730	43.225	2.15	94.02	0
t_n731	107.321	81.35	124.27	0
t_n732	88.401	56.63	116.49	0
t_n733	71.945	43.16	103.74	0
t_n734_Chrysobalanaceae	41.477	24.23	52.55	B(0.23,0.52,0.025,0.025)
t_n735	32.965	10.7	50.42	0
t_n736	19.117	0.81	45.46	0
t_n737	19.042	0.82	45.28	0
t_n738	52.272	12.97	89.44	0
t_n739	30.094	1.18	70.03	0
t_n740	88.705	62.19	115.82	0
t_n741_Rhizophoraceae	72.529	54.78	99.32	B(0.55,1.02,0.025,0.025)
t_n742	57.763	23.49	89.1	0
t_n743	42.396	8.18	75.55	0
t_n744	24.418	0.84	61.09	0
t_n745	119.825	109.44	129.1	0
t_n746_Achariaceae	114.115	98.86	125.95	B(0.71,2.01,0.025,0.025)
t_n747	106.155	89.25	121.4	0
t_n748_Salicaceae	80.918	71	86.38	B(0.7,0.86,0.025,0.025)
t_n749	74.888	58.85	84.92	0
t_n750	68.637	48.83	82.43	0
t_n751	62.412	39.3	78.96	0
t_n752	50.389	18.43	72.38	0
t_n753	36.967	6.58	65.89	0
t_n754	21.256	0.68	53.3	0
t_n755	50.497	18.46	72.4	0
t_n756	29.176	1.43	62.83	0
t_n757	29.14	1.37	62.73	0
t_n758	43.505	2.8	77.61	0
t_n759	46.711	3.12	81.31	0
t_n760	98.955	82.36	116.98	0
t_n761	92.314	78.41	110.94	0
t_n762_Violaceae	84.97	75.07	102.45	B(0.78,1.38,0.025,0.025)
t_n763	67.1	31.83	92.26	0
t_n764	38.809	2.11	76.36	0
t_n765	38.827	2.17	76.83	0
t_n766_Passifloraceae	68.647	45.01	97.98	B(0.46,1.45,0.025,0.025)
t_n767	49.852	12.39	83.9	0
t_n768	28.821	1.17	68.11	0
t_n769	96.726	64.83	119.48	0
t_n770	74.838	33.2	108.64	0
t_n771	54.144	11.59	93.9	0
t_n772	31.189	1.2	73.07	0
t_n773	68.039	19.97	106.44	0
t_n774	38.859	1.85	85.22	0
t_n775	114.563	100.56	125.93	0
t_n776	109.142	96.54	122.35	0
t_n777_Calophyllaceae	94.511	70.76	115.89	B(0.7,1.24,0.025,0.025)
t_n778	74.843	49.22	103.09	0
t_n779_Hypericaceae	51.09	40.07	61.09	B(0.4,0.61,0.025,0.025)
t_n780	36.749	8.69	57.42	0
t_n781	20.986	0.78	49.72	0
t_n782	42.758	2.64	84.11	0
t_n783	66.836	20.34	102.14	0
t_n784	38.291	1.8	82.71	0
t_n785_Clusiaceae	102.151	92.77	116.74	B(0.96,1.62,0.025,0.025)
t_n786	71.175	21.92	104.02	0
t_n787	40.727	2.05	86.14	0
t_n788	55.929	3.89	100.37	0
t_n789	77.93	23.93	116.3	0
t_n790	44.032	2.12	95.45	0
t_n791_Humiriaceae	71.604	45.02	87.92	B(0.4,0.87,0.025,0.025)
t_n792	52.596	13.53	81.54	0
t_n793	30.371	1.25	68.73	0
t_n794	52.491	13.64	81.56	0
t_n795	30.44	1.26	68.95	0
t_n796_Oxalidales	112.769	99.01	119.3	B(0.88,1.18,0.025,0.025)
t_n797	106.289	91.92	117.6	0
t_n798	99.398	85.96	114.43	0
t_n799_Cunoniaceae	92.794	82.67	108.51	B(0.85,1.47,0.025,0.025)
t_n800_Elaeocarpaceae	81.613	70.37	98.9	B(0.71,1.05,0.025,0.025)
t_n801	59.186	17.48	87.2	0
t_n802	34.243	1.5	71.75	0
t_n803	51.804	3.56	93.43	0
t_n804	85.812	49.31	111.84	0
t_n805	61.39	15.78	98.44	0
t_n806	35.255	1.53	78.97	0
t_n807	48.47	3.18	94.83	0
t_n808	60.366	4.22	111.01	0
t_n809_Celastraceae	119.451	103.93	131.97	B(1.03,1.64,0.025,0.025)
t_n810	107.707	81.17	125.97	0
