Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	441.591	424.07	453.14	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	422.519	393.16	447.38	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	350.492	319.03	370.8	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	146.453	134.86	153.42	B(1.33,1.53,0.025,0.025)
t_n649	145.542	134.47	152.88	0
t_n650	144.664	133.97	152.42	0
t_n651	143.817	133.49	152.04	0
t_n652	142.979	132.97	151.72	0
t_n653	141.94	132.29	151.33	0
t_n654	140.779	131.43	150.89	0
t_n655	139.543	130.58	150.4	0
t_n656	137.022	129.35	148.66	0
t_n657_Trochodendraceae	132.883	127.61	140.6	B(0.68,1.3,0.025,0.025)
t_n658	132.418	127.02	140.06	0
t_n659	132.076	126.57	139.71	0
t_n660	131.777	126.16	139.41	0
t_n661	131.27	125.42	138.94	0
t_n662	130.706	124.41	138.44	0
t_n663	130.129	123.55	137.96	0
t_n664	129.361	122.43	137.33	0
t_n665	128.561	121.39	136.65	0
t_n666	127.497	120.01	135.7	0
t_n667	126.092	118.33	134.52	0
t_n668_Malpighiales	124.349	116.17	133.03	B(0.96,1.35,0.025,0.025)
t_n669	122.554	114.14	131.18	0
t_n670	119.907	109.42	129.14	0
t_n671	116.779	103.94	127.05	0
t_n672	106.674	89.33	122.34	0
t_n673	97.549	82.67	116.68	0
t_n674_Euphorbiaceae	82.772	74.89	86.44	B(0.73,0.86,0.025,0.025)
t_n675	79.332	68.97	85.63	0
t_n676	76.185	64.42	84.56	0
t_n677	70.476	53.12	82.37	0
t_n678	61.774	36.79	78.58	0
t_n679	52.516	22.26	72.84	0
t_n680	38.544	7.74	66.46	0
t_n681	22.166	0.77	54.28	0
t_n682	30.445	1.55	63.91	0
t_n683	57.05	23.62	77.5	0
t_n684	41.985	8.27	69.71	0
t_n685	24.228	0.89	58.16	0
t_n686	70.456	53.33	82.4	0
t_n687	63.06	40.12	78.89	0
t_n688	55.273	26.8	73.92	0
t_n689	46.872	17.31	69.3	0
t_n690	34.417	6.23	62.09	0
t_n691	19.872	0.64	50.68	0
t_n692	27.169	1.33	58.78	0
t_n693	52.096	14.29	76.28	0
t_n694	30.136	1.3	66.09	0
t_n695	60.543	18.44	83.65	0
t_n696	35.009	1.59	72.72	0
t_n697_Malpighiaceae	85.715	69.37	108.28	B(0.71,1.45,0.025,0.025)
t_n698	71.082	40.38	97.63	0
t_n699	56.996	20.62	86	0
t_n700	41.847	7.61	74.16	0
t_n701	24.107	0.81	60.43	0
t_n702_Elatinaceae	36.13	21.26	58.94	B(0.22,0.6,0.025,0.025)
t_n703	112.64	97.67	124.45	0
t_n704_Ochnaceae	107.961	91.97	121.5	B(0.71,1.79,0.025,0.025)
t_n705	102.02	84.3	117.74	0
t_n706	96.538	78.82	113.77	0
t_n707	90.476	73.01	108.47	0
t_n708	79.003	53.32	100.64	0
t_n709	68.366	39.29	93.82	0
t_n710	54.938	19.67	82.99	0
t_n711	40.344	7.33	71.54	0
t_n712	23.266	0.8	58.43	0
t_n713	39.483	2.34	77.42	0
t_n714_Phyllanthaceae	81.026	68.15	100.47	B(0.7,1.26,0.025,0.025)
t_n715	64.422	28.96	90.79	0
t_n716	47.304	10.01	78.39	0
t_n717	27.278	1.01	65.17	0
t_n718	46.15	2.92	84.21	0
t_n719	74.988	36.3	102.94	0
t_n720	54.358	12.16	90.75	0
t_n721	31.393	1.26	71.82	0
t_n722	55.925	3.89	101.82	0
t_n723	92.248	62.54	114.9	0
t_n724	72.107	32.13	103.14	0
t_n725	52.341	11.21	89.66	0
t_n726	30.274	1.19	70.71	0
t_n727	65.505	19.06	100.98	0
