Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	449.721	440.6	456.63	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	442.955	427.6	452.11	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	357.596	338.44	371.36	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	165.245	158.45	172.52	B(1.33,1.53,0.025,0.025)
t_n649	161.938	155.5	168.84	0
t_n650	158.557	152.47	165.02	0
t_n651	154.617	148.96	160.63	0
t_n652	153.529	147.95	159.49	0
t_n653	152.076	146.59	157.87	0
t_n654	150.352	144.96	156.05	0
t_n655	145.72	140.72	151	0
t_n656	143.606	138.79	148.72	0
t_n657_Trochodendraceae	141.389	136.75	146.29	B(0.68,1.3,0.025,0.025)
t_n658	139.983	135.42	144.8	0
t_n659	136.833	132.45	141.42	0
t_n660	135.101	130.87	139.58	0
t_n661	133.45	129.3	137.84	0
t_n662	132.629	128.52	136.98	0
t_n663	129.676	125.57	133.94	0
t_n664	127.942	123.76	132.24	0
t_n665	126.942	122.82	131.21	0
t_n666	123.347	119.13	127.67	0
t_n667	121.084	116.72	125.37	0
t_n668_Malpighiales	114.733	109.43	119.48	B(0.96,1.35,0.025,0.025)
t_n669	113.079	107.67	117.87	0
t_n670	110.085	103.19	115.74	0
t_n671	108.611	101.44	114.76	0
t_n672	103.399	95.3	111.92	0
t_n673	102.609	94.45	111.4	0
t_n674_Euphorbiaceae	81.638	74.11	86.21	B(0.73,0.86,0.025,0.025)
t_n675	73.928	63.54	81.6	0
t_n676	70.22	59.08	78.51	0
t_n677	66.699	55.21	75.74	0
t_n678	56.415	43.83	69	0
t_n679	50.057	37.07	60.82	0
t_n680	47.973	34.04	58.86	0
t_n681	44.676	29.33	56.1	0
t_n682	37.165	20.27	52.36	0
t_n683	62.826	49.94	73.49	0
t_n684	54.569	40.51	68.22	0
t_n685	31.529	16.68	52.92	0
t_n686	67.517	55.42	76.51	0
t_n687	66.633	54.29	75.9	0
t_n688	60.717	47.1	73.25	0
t_n689	57.345	43.78	70.93	0
t_n690	48.179	32.24	63.05	0
t_n691	30.21	16.78	50.47	0
t_n692	28.635	12.66	53.46	0
t_n693	52.134	36.15	66.41	0
t_n694	34.653	18.06	54.88	0
t_n695	72.289	57.61	81.96	0
t_n696	54.004	35.74	70.48	0
t_n697_Malpighiaceae	81.369	69.07	96.74	B(0.71,1.45,0.025,0.025)
t_n698	49.954	34.76	67.1	0
t_n699	35.647	23.42	51.1	0
t_n700	23.278	16.48	32.86	0
t_n701	19.625	12.2	27.68	0
t_n702_Elatinaceae	35.278	18.23	59.01	B(0.22,0.6,0.025,0.025)
t_n703	106.416	99.17	113.34	0
t_n704_Ochnaceae	102.594	94.94	110.29	B(0.71,1.79,0.025,0.025)
t_n705	101.212	93.3	109.21	0
t_n706	95.949	85.78	104.41	0
t_n707	87.122	75.56	98.34	0
t_n708	52.118	37.78	69.63	0
t_n709	38.323	26.9	52.1	0
t_n710	25.475	18.79	35.43	0
t_n711	21.391	15.92	28.68	0
t_n712	19.634	14.26	26.49	0
t_n713	24.407	13.05	42.42	0
t_n714_Phyllanthaceae	79.324	68.89	92.44	B(0.7,1.26,0.025,0.025)
t_n715	64.395	47.64	80.68	0
t_n716	56.08	37.75	73.91	0
t_n717	41.459	20.67	61.81	0
t_n718	48.771	24.1	71.03	0
t_n719	70.704	52.41	86.24	0
t_n720	55.43	37.58	73.5	0
t_n721	39.6	19.62	61.01	0
t_n722	72.351	38.81	99.32	0
t_n723	70.192	52.28	85.24	0
t_n724	48.78	29.81	66	0
t_n725	40.486	22.61	58.41	0
t_n726	32.578	18.35	50.76	0
t_n727	65.792	47.33	81.83	0
t_n728	43.351	18.22	70.03	0
t_n729	68.959	47.05	90.18	0
t_n730	21.045	6.32	40.89	0
t_n731	107.334	99.07	114.2	0
t_n732	87.801	72.64	100.93	0
t_n733	72.15	58.42	86.59	0
t_n734_Chrysobalanaceae	48.219	39.71	53.29	B(0.23,0.52,0.025,0.025)
t_n735	24.732	18.25	32.52	0
t_n736	19.291	10.66	26.6	0
t_n737	14.282	4.94	22.7	0
t_n738	53.543	37.52	70.98	0
t_n739	34.37	18.38	54.55	0
t_n740	98.955	81.9	110.26	0
t_n741_Rhizophoraceae	77.235	59.09	96.52	B(0.55,1.02,0.025,0.025)
t_n742	56.349	39.66	77.36	0
t_n743	29.205	19.55	47.22	0
t_n744	21.863	14.04	36.55	0
t_n745	110.723	105.04	115.72	0
t_n746_Achariaceae	103.419	96.66	110.09	B(0.71,2.01,0.025,0.025)
t_n747	101.763	94.9	108.62	0
t_n748_Salicaceae	80.696	70.86	86.34	B(0.7,0.86,0.025,0.025)
t_n749	63.737	49.57	76.43	0
t_n750	48.751	35.52	63.4	0
t_n751	29.616	22.46	40.82	0
t_n752	25.878	19.39	36.09	0
t_n753	22.593	16.55	30.89	0
t_n754	17.375	8.66	24.31	0
t_n755	27.09	20.17	37.81	0
t_n756	19.291	8.9	27.77	0
t_n757	16.471	6.82	24.32	0
t_n758	32.308	17.46	53.82	0
t_n759	39.29	16.14	72.4	0
t_n760	98.622	90.99	105.59	0
t_n761	94.93	86.41	102.09	0
t_n762_Violaceae	79.888	73.11	88.63	B(0.78,1.38,0.025,0.025)
t_n763	52.143	32.32	67.83	0
t_n764	43.036	23.65	58.89	0
t_n765	41.6	20.16	60.13	0
t_n766_Passifloraceae	62.008	47.38	76.71	B(0.46,1.45,0.025,0.025)
t_n767	49.2	33.73	64.44	0
t_n768	31.553	18.25	50.09	0
t_n769	83.162	64.61	99.72	0
t_n770	71.799	49.43	93.26	0
t_n771	48.074	25.16	72.17	0
t_n772	23.097	8.39	45.44	0
t_n773	50.818	25.87	75.43	0
t_n774	27.015	15.97	49.16	0
t_n775	107.094	100.91	112.61	0
t_n776	97.777	91.17	103	0
t_n777_Calophyllaceae	91.059	81.38	98.54	B(0.7,1.24,0.025,0.025)
t_n778	74.175	63.71	85.46	0
t_n779_Hypericaceae	58.116	49.9	61.97	B(0.4,0.61,0.025,0.025)
t_n780	46.895	35.74	55.37	0
t_n781	23.202	15.38	34.72	0
t_n782	27.675	17.61	45.33	0
t_n783	58.231	36.71	78.33	0
t_n784	42.291	20.72	64.19	0
t_n785_Clusiaceae	93.897	86.71	99	B(0.96,1.62,0.025,0.025)
t_n786	47.829	26.69	69.11	0
t_n787	28.514	14.64	52.53	0
t_n788	58.055	35.44	78.81	0
t_n789	87.259	51.34	107.17	0
t_n790	20.527	6.98	38.55	0
t_n791_Humiriaceae	76.263	56.07	88.94	B(0.4,0.87,0.025,0.025)
t_n792	42.652	22.76	64.34	0
t_n793	19.3	6.55	32.14	0
t_n794	30.284	17.7	54.54	0
t_n795	20.783	10.28	36.01	0
t_n796_Oxalidales	114.005	105.31	118.79	B(0.88,1.18,0.025,0.025)
t_n797	96.886	86.63	105.96	0
t_n798	89.654	79.98	100.07	0
t_n799_Cunoniaceae	85.568	77.63	94.69	B(0.85,1.47,0.025,0.025)
t_n800_Elaeocarpaceae	80.512	71.15	91.51	B(0.71,1.05,0.025,0.025)
t_n801	75.896	54.24	89.01	0
t_n802	56.828	24.09	78.56	0
t_n803	29.469	3.42	69.51	0
t_n804	60.771	43.07	79.98	0
t_n805	50.663	30.13	71.65	0
t_n806	30.883	14.57	57.07	0
t_n807	28.769	16.46	51.52	0
t_n808	25.745	14.47	50.68	0
t_n809_Celastraceae	106.223	99.64	114.61	B(1.03,1.64,0.025,0.025)
t_n810	83.143	67.55	98.82	0
t_n811	53.643	40.65	68.44	0
t_n812	42.256	28.58	56.2	0
t_n813	33.537	22.49	50.01	0
t_n814	30.507	20.47	47.53	0
t_n815	26.487	16.81	44.62	0
t_n816	19.897	10.71	30.58	0
t_n817	36.287	23.23	50.98	0
t_n818	23.817	15.24	39.3	0
t_n819	46.138	31.97	60.81	0
t_n820	29.725	18.33	46.7	0
t_n821	31.021	15.84	61.4	0
t_n822	121.989	116.89	126.58	0
t_n823	119.988	114.67	124.79	0
t_n824	117.01	111.54	122.57	0
t_n825_Fagales	106.865	102.38	110.08	B(1,1.1,0.025,0.025)
t_n826_Fagaceae	100.246	96.91	103.91	B(1,1.3,0.025,0.025)
t_n827	74.23	50.16	93.43	0
t_n828	53.481	25.58	77.91	0
t_n829	50.464	22.21	76.48	0
t_n830	70.14	45.58	90.11	0
t_n831	15.783	5.27	26.47	0
t_n832_Cucurbitales	82.594	66.56	92.98	B(0.54,0.92,0.025,0.025)
t_n833	74.422	60.54	88.27	0
t_n834_Cucurbitaceae	70.053	57.1	84.81	B(0.56,1.05,0.025,0.025)
t_n835	57.081	41.39	74.64	0
t_n836	39.985	20.78	59.19	0
t_n837_Rosales	109.069	103.17	115.96	B(1.03,1.22,0.025,0.025)
t_n838	99.841	92.66	106.58	0
t_n839	91.835	83.47	99.74	0
t_n840	83.005	76.01	91.34	0
t_n841_Urticaceae	73.006	59.96	84.75	B(0.55,0.87,0.025,0.025)
t_n842	57.036	40.29	73.99	0
t_n843_Cannabaceae	73.623	69.65	80.18	B(0.72,1,0.025,0.025)
t_n844_Rhamnaceae	93.175	80.95	99.26	B(0.77,0.99,0.025,0.025)
t_n845	67.989	40.82	88.86	0
t_n846	53.969	24.64	82.88	0
t_n847_Fabales	103.197	97.93	112.16	B(1,1.42,0.025,0.025)
t_n848_Fabaceae	91.349	82.69	95.42	B(0.7,0.94,0.025,0.025)
t_n849	79.311	68.12	88.32	0
t_n850	59.453	47.01	72.91	0
t_n851	50.799	38.38	65.11	0
t_n852	33.644	22.59	49.12	0
t_n853	24.545	16.33	39.34	0
t_n854	85.53	69.51	94.09	0
t_n855	77.717	48.37	104.61	0
t_n856	126.109	121.12	130.91	0
t_n857	122.43	117.01	127.67	0
t_n858	120.791	114.57	126.28	0
t_n859	114.232	108.77	120.21	0
t_n860	111.556	105.4	117.85	0
t_n861	104.934	98.31	112.16	0
t_n862_Brassicales	92.062	79.99	102.02	B(0.64,1.07,0.025,0.025)
t_n863	89.444	77.19	99.94	0
t_n864	80.729	68.53	92.63	0
t_n865	72.758	59.94	84.65	0
t_n866	64.182	51.04	76.26	0
t_n867	48.039	35.57	60.4	0
t_n868	21.121	13.39	30.45	0
t_n869_Malvales	89.628	85.19	96.52	B(0.88,1.25,0.025,0.025)
t_n870	77.363	63.28	88.34	0
t_n871	49.678	30.24	67.14	0
t_n872_Malvaceae	80.411	71.41	84.49	B(0.7,0.84,0.025,0.025)
t_n873	39.788	18.94	63.96	0
t_n874	60.727	24.74	97.78	0
t_n875_Sapindales	101.751	98.96	106.83	B(1,1.18,0.025,0.025)
t_n876	92.484	73.15	101.89	0
t_n877	89.519	69.99	99.94	0
t_n878	52.394	28.26	74.73	0
t_n879	41.958	20.29	65.64	0
t_n880	74.616	46.43	94.34	0
t_n881_Crossosomatales	100.376	81.43	108.64	B(0.61,1.06,0.025,0.025)
t_n882	48.507	24.74	74.32	0
t_n883	37.871	18.19	64.31	0
t_n884	76.584	49.12	98.9	0
t_n885	32.983	16.46	62.27	0
t_n886	121.247	113.97	127.14	0
t_n887_Myrtales	103.534	97.87	111.96	B(0.98,1.18,0.025,0.025)
t_n888	96.132	85.71	105.17	0
t_n889	71.81	53.3	87.18	0
t_n890	49.381	28.69	68.32	0
t_n891_Myrtaceae	76.906	69.49	89.21	B(0.7,0.91,0.025,0.025)
t_n892	36.289	17.08	63.56	0
t_n893	98.087	85.41	108.03	0
t_n894	64.41	43.45	83.89	0
t_n895	108.311	92.12	120.4	0
t_n896	78.138	48.62	102.51	0
t_n897_Vitaceae	71.761	67.81	77.75	B(0.68,0.78,0.025,0.025)
t_n898_Saxifragales	121.43	110.91	128.68	B(1.05,1.29,0.025,0.025)
t_n899	117.895	107.35	125.74	0
t_n900	116.861	106.26	124.84	0
t_n901	114.21	103.54	122.84	0
t_n902	105.117	94.4	114.27	0
t_n903	96.541	84.69	105.72	0
t_n904	92.95	81.02	102.01	0
