Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	449.697	440.62	456.59	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	442.962	427.7	452.11	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	357.603	338.46	371.36	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	165.258	158.47	172.57	B(1.33,1.53,0.025,0.025)
t_n649	161.947	155.5	168.87	0
t_n650	158.565	152.47	165.05	0
t_n651	154.623	148.95	160.67	0
t_n652	153.534	147.94	159.51	0
t_n653	152.081	146.57	157.9	0
t_n654	150.358	144.95	156.07	0
t_n655	145.727	140.72	151.02	0
t_n656	143.615	138.78	148.73	0
t_n657_Trochodendraceae	141.398	136.75	146.31	B(0.68,1.3,0.025,0.025)
t_n658	139.99	135.42	144.8	0
t_n659	136.844	132.47	141.43	0
t_n660	135.115	130.89	139.57	0
t_n661	133.464	129.31	137.84	0
t_n662	132.643	128.53	137	0
t_n663	129.696	125.58	133.96	0
t_n664	127.958	123.79	132.26	0
t_n665	126.959	122.85	131.22	0
t_n666	123.364	119.14	127.69	0
t_n667	121.101	116.74	125.39	0
t_n668_Malpighiales	114.745	109.46	119.52	B(0.96,1.35,0.025,0.025)
t_n669	113.09	107.67	117.93	0
t_n670	110.106	103.17	115.79	0
t_n671	108.634	101.43	114.82	0
t_n672	103.432	95.33	112.04	0
t_n673	102.646	94.46	111.51	0
t_n674_Euphorbiaceae	81.64	74.12	86.21	B(0.73,0.86,0.025,0.025)
t_n675	73.934	63.56	81.59	0
t_n676	70.221	59.12	78.48	0
t_n677	66.7	55.24	75.73	0
t_n678	56.419	43.79	68.99	0
t_n679	50.061	37.2	60.79	0
t_n680	47.983	34.24	58.8	0
t_n681	44.675	29.53	56.07	0
t_n682	37.161	20.24	52.34	0
t_n683	62.822	49.92	73.47	0
t_n684	54.568	40.51	68.19	0
t_n685	31.471	16.82	52.88	0
t_n686	67.522	55.49	76.5	0
t_n687	66.635	54.34	75.91	0
t_n688	60.718	47.09	73.2	0
t_n689	57.336	43.74	70.88	0
t_n690	48.173	32.36	63.08	0
t_n691	30.183	16.95	50.47	0
t_n692	28.611	12.64	53.43	0
t_n693	52.154	36.21	66.46	0
t_n694	34.655	18.19	54.88	0
t_n695	72.303	57.73	81.98	0
t_n696	54.042	35.79	70.53	0
t_n697_Malpighiaceae	81.481	69.09	96.88	B(0.71,1.45,0.025,0.025)
t_n698	49.991	34.8	67.11	0
t_n699	35.709	23.49	51.12	0
t_n700	23.274	16.64	32.87	0
t_n701	19.681	12.27	27.53	0
t_n702_Elatinaceae	36.153	17.76	59.16	B(0.22,0.6,0.025,0.025)
t_n703	106.436	99.14	113.39	0
t_n704_Ochnaceae	102.609	94.91	110.37	B(0.71,1.79,0.025,0.025)
t_n705	101.219	93.23	109.3	0
t_n706	95.951	85.73	104.45	0
t_n707	87.119	75.47	98.4	0
t_n708	52.066	37.77	69.6	0
t_n709	38.268	27.04	52.08	0
t_n710	25.411	18.91	35.4	0
t_n711	21.396	16.09	28.53	0
t_n712	19.692	14.35	26.28	0
t_n713	24.375	13.15	42.31	0
t_n714_Phyllanthaceae	79.33	68.88	92.55	B(0.7,1.26,0.025,0.025)
t_n715	64.378	47.67	80.62	0
t_n716	56.06	37.74	73.89	0
t_n717	41.404	20.59	61.72	0
t_n718	48.767	23.9	71.03	0
t_n719	70.695	52.39	86.21	0
t_n720	55.4	37.52	73.47	0
t_n721	39.618	19.62	60.96	0
t_n722	72.345	38.85	99.3	0
t_n723	70.181	52.29	85.19	0
t_n724	48.752	29.84	65.94	0
t_n725	40.469	22.44	58.38	0
t_n726	32.561	18.45	50.73	0
t_n727	65.806	47.34	81.83	0
t_n728	43.325	18.33	69.95	0
t_n729	69.013	47.14	90.44	0
t_n730	21.101	6.31	40.86	0
t_n731	107.352	99.08	114.24	0
t_n732	87.837	72.66	100.94	0
t_n733	72.154	58.44	86.67	0
t_n734_Chrysobalanaceae	48.186	39.61	53.3	B(0.23,0.52,0.025,0.025)
t_n735	24.73	18.38	32.59	0
t_n736	19.353	10.62	26.51	0
t_n737	14.268	4.91	22.74	0
t_n738	53.542	37.43	71.07	0
t_n739	34.4	18.48	54.65	0
t_n740	98.956	81.81	110.28	0
t_n741_Rhizophoraceae	77.289	59.12	96.59	B(0.55,1.02,0.025,0.025)
t_n742	56.391	39.56	77.39	0
t_n743	29.262	19.67	47.27	0
t_n744	21.897	14.04	36.75	0
t_n745	110.729	105.04	115.76	0
t_n746_Achariaceae	103.422	96.67	110.09	B(0.71,2.01,0.025,0.025)
t_n747	101.766	94.89	108.63	0
t_n748_Salicaceae	80.699	70.83	86.34	B(0.7,0.86,0.025,0.025)
t_n749	63.763	49.55	76.42	0
t_n750	48.79	35.41	63.53	0
t_n751	29.695	22.36	41.09	0
t_n752	25.907	19.44	36.41	0
t_n753	22.616	16.65	31.19	0
t_n754	17.406	8.61	24.23	0
t_n755	27.174	20.14	38.09	0
t_n756	19.336	8.75	27.86	0
t_n757	16.539	6.76	24.3	0
t_n758	32.271	17.63	53.92	0
t_n759	39.211	16.28	72.39	0
t_n760	98.624	90.97	105.56	0
t_n761	94.936	86.42	102.08	0
t_n762_Violaceae	79.898	73.13	88.69	B(0.78,1.38,0.025,0.025)
t_n763	52.124	32.33	67.82	0
t_n764	43.04	23.5	58.92	0
t_n765	41.556	20.11	60.12	0
t_n766_Passifloraceae	61.947	47.34	76.56	B(0.46,1.45,0.025,0.025)
t_n767	49.166	33.77	64.39	0
t_n768	31.502	18.37	50.01	0
t_n769	83.178	64.44	99.75	0
t_n770	71.818	49.41	93.27	0
t_n771	48.111	25.19	72.21	0
t_n772	23.133	8.42	45.51	0
t_n773	50.832	25.95	75.44	0
t_n774	26.965	16.09	49.14	0
t_n775	107.098	100.89	112.63	0
t_n776	97.777	91.09	103	0
t_n777_Calophyllaceae	91.047	81.33	98.54	B(0.7,1.24,0.025,0.025)
t_n778	74.173	63.62	85.46	0
t_n779_Hypericaceae	58.106	49.87	61.96	B(0.4,0.61,0.025,0.025)
t_n780	46.859	35.77	55.35	0
t_n781	23.133	15.45	34.69	0
t_n782	27.601	17.71	45.29	0
t_n783	58.209	36.63	78.27	0
t_n784	42.23	20.64	64.04	0
t_n785_Clusiaceae	93.888	86.63	98.99	B(0.96,1.62,0.025,0.025)
t_n786	47.804	26.72	69.04	0
t_n787	28.491	14.71	52.53	0
t_n788	58.033	35.39	78.78	0
t_n789	87.299	51.38	107.18	0
t_n790	20.585	7.03	38.53	0
t_n791_Humiriaceae	76.321	56.16	88.91	B(0.4,0.87,0.025,0.025)
t_n792	42.75	22.7	64.37	0
t_n793	19.399	6.61	32.24	0
t_n794	30.249	17.87	54.53	0
t_n795	20.816	10.32	35.93	0
t_n796_Oxalidales	114.012	105.36	118.79	B(0.88,1.18,0.025,0.025)
t_n797	96.891	86.7	105.96	0
t_n798	89.66	79.98	100.09	0
t_n799_Cunoniaceae	85.566	77.66	94.66	B(0.85,1.47,0.025,0.025)
t_n800_Elaeocarpaceae	80.502	71.15	91.42	B(0.71,1.05,0.025,0.025)
t_n801	75.853	54.13	88.99	0
t_n802	56.812	23.79	78.62	0
t_n803	29.483	3.45	69.47	0
t_n804	60.73	43.04	79.95	0
t_n805	50.623	30.25	71.6	0
t_n806	30.838	14.63	57.02	0
t_n807	28.722	16.62	51.51	0
t_n808	25.756	14.6	50.76	0
t_n809_Celastraceae	106.236	99.64	114.62	B(1.03,1.64,0.025,0.025)
t_n810	83.162	67.65	98.85	0
t_n811	53.671	40.71	68.48	0
t_n812	42.373	28.73	56.27	0
t_n813	33.706	22.45	50.04	0
t_n814	30.66	20.49	47.54	0
t_n815	26.597	16.91	44.64	0
t_n816	19.979	10.67	30.75	0
t_n817	36.405	23.27	51	0
t_n818	23.834	15.34	39.3	0
t_n819	46.163	32.07	60.85	0
t_n820	29.718	18.44	46.75	0
t_n821	30.99	15.99	61.45	0
t_n822	122	116.9	126.58	0
t_n823	119.997	114.68	124.78	0
t_n824	117.015	111.55	122.58	0
t_n825_Fagales	106.865	102.37	110.07	B(1,1.1,0.025,0.025)
t_n826_Fagaceae	100.245	96.9	103.9	B(1,1.3,0.025,0.025)
t_n827	74.195	50.15	93.42	0
t_n828	53.456	25.41	77.86	0
t_n829	50.408	22.04	76.46	0
t_n830	70.149	45.58	90.15	0
t_n831	15.861	5.28	26.36	0
t_n832_Cucurbitales	82.614	66.53	93	B(0.54,0.92,0.025,0.025)
t_n833	74.48	60.6	88.34	0
t_n834_Cucurbitaceae	70.114	57.13	84.95	B(0.56,1.05,0.025,0.025)
t_n835	57.169	41.45	74.77	0
t_n836	40.023	20.72	59.19	0
t_n837_Rosales	109.07	103.17	115.97	B(1.03,1.22,0.025,0.025)
t_n838	99.837	92.66	106.6	0
t_n839	91.826	83.42	99.76	0
t_n840	82.985	76	91.32	0
t_n841_Urticaceae	72.992	59.99	84.74	B(0.55,0.87,0.025,0.025)
t_n842	57.034	40.26	74.01	0
t_n843_Cannabaceae	73.616	69.64	80.17	B(0.72,1,0.025,0.025)
t_n844_Rhamnaceae	93.169	80.98	99.26	B(0.77,0.99,0.025,0.025)
t_n845	68.018	40.91	88.86	0
t_n846	53.932	24.45	82.83	0
t_n847_Fabales	103.209	97.94	112.16	B(1,1.42,0.025,0.025)
t_n848_Fabaceae	91.35	82.72	95.42	B(0.7,0.94,0.025,0.025)
t_n849	79.297	68.07	88.33	0
t_n850	59.421	46.94	72.9	0
t_n851	50.778	38.36	65.11	0
t_n852	33.656	22.57	49.03	0
t_n853	24.508	16.48	39.26	0
t_n854	85.541	69.53	94.08	0
t_n855	77.777	48.37	104.66	0
t_n856	126.127	121.14	130.94	0
t_n857	122.442	117.02	127.69	0
t_n858	120.801	114.58	126.29	0
t_n859	114.239	108.76	120.18	0
t_n860	111.567	105.43	117.83	0
t_n861	104.941	98.31	112.17	0
t_n862_Brassicales	92.052	79.93	102.01	B(0.64,1.07,0.025,0.025)
t_n863	89.434	77.17	99.94	0
t_n864	80.716	68.43	92.63	0
t_n865	72.731	59.83	84.66	0
t_n866	64.152	51	76.32	0
t_n867	48.014	35.53	60.41	0
t_n868	21.146	13.43	30.47	0
t_n869_Malvales	89.669	85.22	96.71	B(0.88,1.25,0.025,0.025)
t_n870	77.391	63.21	88.41	0
t_n871	49.719	30.49	67.19	0
t_n872_Malvaceae	80.395	71.38	84.48	B(0.7,0.84,0.025,0.025)
t_n873	39.744	19.02	63.88	0
t_n874	60.664	24.48	97.73	0
t_n875_Sapindales	101.745	98.96	106.81	B(1,1.18,0.025,0.025)
t_n876	92.431	73.08	101.87	0
t_n877	89.471	69.96	99.92	0
t_n878	52.428	28.37	74.78	0
t_n879	41.996	20.31	65.59	0
t_n880	74.533	46.31	94.32	0
t_n881_Crossosomatales	100.42	81.87	108.62	B(0.61,1.06,0.025,0.025)
t_n882	48.51	24.69	74.23	0
t_n883	37.852	18.31	64.17	0
t_n884	76.609	49.18	98.91	0
t_n885	32.938	16.61	62.21	0
t_n886	121.266	114.03	127.14	0
t_n887_Myrtales	103.546	97.88	111.96	B(0.98,1.18,0.025,0.025)
t_n888	96.137	85.75	105.15	0
t_n889	71.812	53.38	87.16	0
t_n890	49.42	28.86	68.36	0
t_n891_Myrtaceae	76.906	69.48	89.21	B(0.7,0.91,0.025,0.025)
t_n892	36.263	17.23	63.54	0
t_n893	98.094	85.48	108.07	0
t_n894	64.388	43.51	83.92	0
t_n895	108.331	92.19	120.37	0
t_n896	78.199	48.65	102.48	0
t_n897_Vitaceae	71.757	67.81	77.76	B(0.68,0.78,0.025,0.025)
t_n898_Saxifragales	121.498	111.03	128.67	B(1.05,1.29,0.025,0.025)
t_n899	117.975	107.44	125.76	0
t_n900	116.939	106.35	124.87	0
t_n901	114.29	103.59	122.86	0
t_n902	105.207	94.47	114.29	0
t_n903	96.653	84.75	105.76	0
t_n904	93.071	81.14	102.11	0
t_n905	85.08	73.62	94.97	0
t_n906_Haloragaceae	71.44	60.98	79.4	B(0.78,1.28,0.025,0.025)
t_n907	46.766	23.31	70.76	0
t_n908	97.948	73.6	113.41	0
t_n909	83.739	57.32	103.47	0
t_n910	52.435	24.24	79.36	0
t_n911	47.213	21.01	76.66	0
t_n912	50.794	19.44	93.13	0
t_n913_Altingiaceae	98.67	95.17	101.67	B(0.71,1,0.025,0.025)
t_n914_Hamamelidaceae	96.367	93.18	99.77	B(0.95,1.26,0.025,0.025)
t_n915	69.364	31.64	95.44	0
t_n916	24.996	13.83	50.68	0
t_n917	27.979	12.86	67.39	0
t_n918	87.206	54.75	97.41	0
t_n919	15.393	4.93	26.42	0
t_n920	133.849	129.53	138.37	0
t_n921	132.247	127.82	136.82	0
t_n922	131.256	126.82	135.85	0
t_n923	128.667	124.17	133.36	0
t_n924	123.597	119.34	128.23	0
t_n925	121.68	117.53	126.27	0
t_n926	115.48	110.7	120.65	0
t_n927	112.168	107.09	117.56	0
t_n928	104.676	100.32	110.04	0
t_n929	103.502	99.39	108.85	0
t_n930	102.48	98.54	107.75	0
t_n931	101.571	97.75	106.75	0
t_n932	99.693	95.67	104.72	0
t_n933_Dipsacales	94.546	90.45	98.43	B(0.95,1.38,0.025,0.025)
