Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	441.621	423.99	453.22	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	422.525	393.22	447.38	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	350.406	318.89	370.78	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	145.905	134.61	152.75	B(1.33,1.53,1e-300,1e-300)
t_n649	144.878	133.95	152.29	0
t_n650	143.899	133.24	151.88	0
t_n651	142.95	132.51	151.51	0
t_n652	142.014	131.56	151.2	0
t_n653	140.826	130.56	150.82	0
t_n654	139.485	129.87	150.36	0
t_n655	138.025	129.18	149.81	0
t_n656	134.494	127.87	147.76	0
t_n657_Trochodendraceae	128.881	126.16	129.97	B(0.68,1.3,1e-300,1e-300)
t_n658	128.591	125.64	129.89	0
t_n659	128.371	125.21	129.84	0
t_n660	128.182	124.87	129.79	0
t_n661	127.876	124.25	129.72	0
t_n662	127.484	123.45	129.64	0
t_n663	127.078	122.73	129.55	0
t_n664	126.534	121.81	129.42	0
t_n665	125.955	120.89	129.26	0
t_n666	125.151	119.67	129.01	0
t_n667	124.074	117.91	128.66	0
t_n668_Malpighiales	122.692	115.71	128.06	B(0.96,1.35,1e-300,1e-300)
t_n669	121.261	113.8	127.2	0
t_n670	118.977	109.17	126.04	0
t_n671	116.132	104.08	124.64	0
t_n672	106.416	89.52	121.17	0
t_n673	97.59	82.75	116.11	0
t_n674_Euphorbiaceae	82.563	75.07	85.9	B(0.73,0.86,1e-300,1e-300)
t_n675	79.12	67.89	85.24	0
t_n676	75.879	62.88	84.2	0
t_n677	69.752	52.36	82.12	0
t_n678	60.841	36.2	78.48	0
t_n679	51.618	22.24	72.59	0
t_n680	37.844	7.67	65.39	0
t_n681	21.767	0.77	53.52	0
t_n682	29.882	1.51	62.4	0
t_n683	56.155	23.39	77.25	0
t_n684	41.29	8.32	68.29	0
t_n685	23.906	0.87	57.04	0
t_n686	69.792	52.47	82.13	0
t_n687	62.173	39.28	78.86	0
t_n688	54.391	26.47	73.76	0
t_n689	46.044	17.29	67.97	0
t_n690	33.788	6.22	60.69	0
t_n691	19.393	0.64	50.07	0
t_n692	26.666	1.24	57.6	0
t_n693	51.228	13.82	76.04	0
t_n694	29.551	1.26	64.85	0
t_n695	59.681	18.1	83.28	0
t_n696	34.512	1.6	72.38	0
