Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	449.485	440.1	456.37	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	442.326	426.36	451.96	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	357.089	337.58	371.06	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	152.57	151.46	152.99	B(1.33,1.53,1e-300,1e-300)
t_n649	149.777	147.77	151.31	0
t_n650	146.901	144.47	149.02	0
t_n651	143.545	140.88	146.04	0
t_n652	142.576	139.88	145.11	0
t_n653	141.202	138.47	143.85	0
t_n654	139.416	136.71	142.16	0
t_n655	134.716	132.55	137.31	0
t_n656	132.259	130.7	134.39	0
t_n657_Trochodendraceae	129.756	129.12	129.99	B(0.68,1.3,1e-300,1e-300)
t_n658	128.973	128.04	129.6	0
t_n659	127.268	125.99	128.31	0
t_n660	126.29	124.88	127.48	0
t_n661	125.239	123.61	126.65	0
t_n662	124.7	122.97	126.21	0
t_n663	122.804	120.65	124.66	0
t_n664	121.61	119.27	123.68	0
t_n665	120.931	118.51	123.07	0
t_n666	118.384	115.39	120.98	0
t_n667	116.653	113.4	119.51	0
t_n668_Malpighiales	111.714	107.96	115.36	B(0.96,1.35,1e-300,1e-300)
t_n669	110.412	106.68	114.15	0
t_n670	107.352	102.02	112.41	0
t_n671	105.877	100.45	111.36	0
t_n672	101.168	94.66	108.26	0
t_n673	100.401	93.63	107.7	0
t_n674_Euphorbiaceae	80.344	73.6	85.75	B(0.73,0.86,1e-300,1e-300)
t_n675	71.07	61.06	80.35	0
t_n676	66.773	57.09	76.98	0
t_n677	63.333	53.32	74.06	0
t_n678	54.04	40.74	65.69	0
t_n679	47.961	33.78	58.9	0
t_n680	45.897	30.69	57.01	0
t_n681	42.548	26.39	54.37	0
t_n682	34.913	19.1	50.68	0
t_n683	59.632	48.4	70.9	0
t_n684	51.975	38.47	64.6	0
t_n685	29.955	16.12	51	0
t_n686	63.945	53.55	74.91	0
t_n687	63.02	52.37	74.28	0
t_n688	57.944	45.39	69.89	0
t_n689	54.654	41.86	66.75	0
t_n690	46.048	30.41	59.75	0
t_n691	28.939	16.28	48.72	0
t_n692	27.726	12.12	51.8	0
t_n693	49.824	33.67	63.52	0
t_n694	32.825	17.2	52.8	0
t_n695	70.901	55.72	81.33	0
t_n696	52.874	33.65	68.7	0
t_n697_Malpighiaceae	81.12	71.56	94.3	B(0.71,1.45,1e-300,1e-300)
t_n698	49.481	33.9	65.33	0
t_n699	35.135	22.82	51.01	0
t_n700	22.904	16.24	32.74	0
t_n701	19.215	12.07	27.31	0
t_n702_Elatinaceae	36.949	22.51	58.42	B(0.22,0.6,1e-300,1e-300)
t_n703	103.645	97.85	109.79	0
t_n704_Ochnaceae	100.131	93.38	106.77	B(0.71,1.79,1e-300,1e-300)
t_n705	98.88	91.42	105.65	0
t_n706	93.787	84.61	101.27	0
t_n707	85.453	75.86	95.76	0
t_n708	51.132	36.37	66.89	0
t_n709	37.502	26.05	51.48	0
t_n710	24.914	18.27	34.9	0
t_n711	20.842	15.5	28.1	0
t_n712	19.06	13.83	25.93	0
t_n713	23.924	12.71	41.73	0
t_n714_Phyllanthaceae	78.238	70.49	89.76	B(0.7,1.26,1e-300,1e-300)
t_n715	62.94	47.19	78.55	0
t_n716	54.729	36.97	71.14	0
t_n717	40.021	20	59.56	0
t_n718	48.135	23.29	68.03	0
t_n719	68.541	50.89	84.75	0
t_n720	53.538	35.42	70.92	0
t_n721	38.042	18.78	59.43	0
t_n722	69.789	36	96.59	0
t_n723	67.166	50.83	83.33	0
t_n724	46.635	28	64.28	0
t_n725	38.445	21.39	57.14	0
t_n726	30.889	17.39	49.79	0
t_n727	62.831	45.64	80.13	0
t_n728	40.898	17.28	66.6	0
t_n729	66.594	45.4	88.22	0
t_n730	20.864	6.4	40.69	0
t_n731	104.589	97.61	110.86	0
t_n732	85.629	70.78	99.22	0
t_n733	70.044	56.63	84.91	0
t_n734_Chrysobalanaceae	47.018	38.41	51.79	B(0.23,0.52,1e-300,1e-300)
t_n735	24.191	17.81	31.87	0
t_n736	18.834	10.34	26	0
t_n737	14.113	4.71	22.38	0
t_n738	52.184	35.71	68.59	0
t_n739	33.327	17.75	53.51	0
t_n740	96.791	79.92	106.58	0
t_n741_Rhizophoraceae	74.801	58.3	93.94	B(0.55,1.02,1e-300,1e-300)
t_n742	54.626	38.48	75.63	0
t_n743	27.999	18.91	45.13	0
t_n744	21.069	13.52	34.47	0
t_n745	108.612	104.83	112.57	0
t_n746_Achariaceae	102.188	96.56	107.65	B(0.71,2.01,1e-300,1e-300)
t_n747	100.727	94.98	106.35	0
t_n748_Salicaceae	80.077	71.09	85.78	B(0.7,0.86,1e-300,1e-300)
t_n749	62.328	48.63	75.8	0
t_n750	47.93	34.64	62.44	0
t_n751	28.752	21.99	39.48	0
t_n752	25.22	18.91	35.04	0
t_n753	21.954	16.05	29.94	0
t_n754	16.841	8.14	23.59	0
t_n755	26.24	19.72	36.46	0
t_n756	18.861	8.78	27.1	0
t_n757	16.022	6.51	23.71	0
t_n758	31.366	16.86	53.03	0
