Mean_time	Mean_qlow	Mean_qup	Priors
t_n645_Tracheophyta	449.476	440.07	456.41	B(4.22,4.51,0.01,0.05)
t_n646_Euphyllophytes	442.31	426.37	451.97	B(3.86,4.51,0.01,0.05)
t_n647_Spermatophytes	357.091	337.57	371.12	B(3.08,3.66,0.01,0.05)
t_n648_angiosperm	152.57	151.46	152.99	B(1.33,1.53,1e-300,1e-300)
t_n649	149.776	147.77	151.31	0
t_n650	146.898	144.46	149.02	0
t_n651	143.545	140.87	146.04	0
t_n652	142.578	139.88	145.12	0
t_n653	141.202	138.48	143.84	0
t_n654	139.418	136.72	142.16	0
t_n655	134.719	132.55	137.31	0
t_n656	132.259	130.7	134.39	0
t_n657_Trochodendraceae	129.757	129.12	129.99	B(0.68,1.3,1e-300,1e-300)
t_n658	128.973	128.04	129.6	0
t_n659	127.265	125.99	128.32	0
t_n660	126.289	124.88	127.48	0
t_n661	125.239	123.62	126.64	0
t_n662	124.699	122.97	126.2	0
t_n663	122.804	120.66	124.66	0
t_n664	121.609	119.27	123.68	0
t_n665	120.931	118.52	123.07	0
t_n666	118.386	115.4	120.98	0
t_n667	116.658	113.41	119.51	0
t_n668_Malpighiales	111.727	107.99	115.36	B(0.96,1.35,1e-300,1e-300)
t_n669	110.422	106.72	114.15	0
t_n670	107.355	102	112.42	0
t_n671	105.878	100.45	111.39	0
t_n672	101.165	94.67	108.23	0
t_n673	100.394	93.64	107.68	0
t_n674_Euphorbiaceae	80.335	73.59	85.74	B(0.73,0.86,1e-300,1e-300)
t_n675	71.049	61.05	80.32	0
t_n676	66.756	57.07	76.94	0
t_n677	63.306	53.26	73.99	0
t_n678	53.994	40.65	65.64	0
t_n679	47.917	33.79	58.83	0
t_n680	45.848	30.71	56.92	0
t_n681	42.5	26.35	54.25	0
t_n682	34.864	19.19	50.64	0
t_n683	59.616	48.34	70.88	0
t_n684	51.968	38.46	64.6	0
t_n685	29.969	16.15	50.95	0
t_n686	63.924	53.53	74.87	0
t_n687	62.999	52.33	74.22	0
t_n688	57.903	45.37	69.87	0
t_n689	54.609	41.78	66.7	0
t_n690	46.024	30.45	59.72	0
t_n691	28.972	16.32	48.72	0
t_n692	27.806	11.85	51.78	0
t_n693	49.798	33.69	63.5	0
t_n694	32.857	17.28	52.83	0
t_n695	70.893	55.68	81.35	0
t_n696	52.879	33.6	68.73	0
t_n697_Malpighiaceae	81.093	71.57	94.21	B(0.71,1.45,1e-300,1e-300)
t_n698	49.551	33.98	65.37	0
t_n699	35.284	22.89	51.13	0
t_n700	23.044	16.19	32.98	0
t_n701	19.367	11.87	27.43	0
t_n702_Elatinaceae	36.222	22.18	58.29	B(0.22,0.6,1e-300,1e-300)
t_n703	103.654	97.86	109.81	0
t_n704_Ochnaceae	100.144	93.38	106.77	B(0.71,1.79,1e-300,1e-300)
t_n705	98.895	91.43	105.65	0
t_n706	93.807	84.65	101.28	0
t_n707	85.457	75.84	95.76	0
t_n708	51.244	36.53	66.96	0
t_n709	37.663	26.2	51.51	0
t_n710	25.082	18.36	35.1	0
t_n711	21.023	15.54	28.17	0
t_n712	19.274	13.83	25.97	0
t_n713	24.06	12.48	41.86	0
t_n714_Phyllanthaceae	78.246	70.48	89.8	B(0.7,1.26,1e-300,1e-300)
t_n715	62.941	47.18	78.53	0
t_n716	54.719	36.9	71.24	0
t_n717	39.972	20.06	59.54	0
t_n718	48.14	23.3	68.07	0
t_n719	68.523	50.86	84.68	0
t_n720	53.518	35.3	70.89	0
t_n721	38.057	18.88	59.39	0
t_n722	69.827	35.87	96.69	0
t_n723	67.152	50.83	83.31	0
t_n724	46.601	28.13	64.27	0
t_n725	38.414	21.49	57.09	0
t_n726	30.865	17.47	49.74	0
t_n727	62.813	45.63	80.12	0
t_n728	40.848	17.29	66.54	0
t_n729	66.625	45.45	88.22	0
t_n730	20.899	6.26	40.81	0
t_n731	104.591	97.6	110.88	0
t_n732	85.631	70.83	99.25	0
t_n733	70.04	56.66	84.87	0
t_n734_Chrysobalanaceae	47.018	38.37	51.79	B(0.23,0.52,1e-300,1e-300)
t_n735	24.231	17.78	31.94	0
t_n736	18.88	10.09	26.06	0
t_n737	13.988	4.68	22.64	0
t_n738	52.179	35.74	68.58	0
t_n739	33.336	17.82	53.53	0
t_n740	96.781	79.9	106.58	0
t_n741_Rhizophoraceae	74.831	58.32	93.92	B(0.55,1.02,1e-300,1e-300)
t_n742	54.705	38.51	75.81	0
t_n743	28.137	18.97	45.15	0
t_n744	21.194	13.4	34.63	0
t_n745	108.623	104.85	112.58	0
t_n746_Achariaceae	102.201	96.59	107.64	B(0.71,2.01,1e-300,1e-300)
t_n747	100.742	95.02	106.35	0
t_n748_Salicaceae	80.069	71.1	85.78	B(0.7,0.86,1e-300,1e-300)
t_n749	62.36	48.65	75.83	0
t_n750	47.962	34.65	62.48	0
t_n751	28.847	22.05	39.77	0
t_n752	25.312	18.97	35.36	0
t_n753	22.057	15.99	30.25	0
t_n754	16.855	8.07	23.86	0
t_n755	26.334	19.75	36.78	0
t_n756	18.9	8.61	27.3	0
t_n757	15.978	6.39	23.94	0
t_n758	31.405	16.96	53.1	0
t_n759	38.616	15.65	70.51	0
t_n760	97.917	90.83	103.66	0
t_n761	94.516	87.1	100.71	0
t_n762_Violaceae	81.55	78.11	89.11	B(0.78,1.38,1e-300,1e-300)
t_n763	52.176	30.68	67.75	0
t_n764	42.899	22.84	59.88	0
t_n765	41.208	19.43	60.72	0
t_n766_Passifloraceae	61.606	48.39	75.72	B(0.46,1.45,1e-300,1e-300)
t_n767	48.924	34.05	63.24	0
t_n768	31.356	17.87	49.87	0
t_n769	81.962	61.14	98.43	0
t_n770	70.427	48.18	91.86	0
t_n771	46.998	24.08	70.3	0
t_n772	22.741	8.18	44.81	0
t_n773	49.502	24.61	74.23	0
t_n774	26.462	15.35	48.62	0
t_n775	105.941	102.31	109.99	0
t_n776	99.347	96.88	102.39	0
t_n777_Calophyllaceae	92.443	82.95	98.53	B(0.7,1.24,1e-300,1e-300)
t_n778	74.634	62.43	86.65	0
t_n779_Hypericaceae	57.507	49.07	60.9	B(0.4,0.61,1e-300,1e-300)
t_n780	46.427	35.07	55.08	0
t_n781	22.945	14.99	34.92	0
t_n782	27.607	17.14	45.63	0
t_n783	58.021	35.29	79.09	0
t_n784	41.695	19.93	63.57	0
t_n785_Clusiaceae	97.003	96.03	99.34	B(0.96,1.62,1e-300,1e-300)
t_n786	48.269	26.22	69.08	0
t_n787	28.898	14.53	53.99	0
t_n788	58.99	35.5	81.08	0
t_n789	86.41	49.77	105.22	0
t_n790	20.163	6.56	38.62	0
t_n791_Humiriaceae	74.187	54.6	86.63	B(0.4,0.87,1e-300,1e-300)
t_n792	41.618	22.05	63.17	0
t_n793	18.837	6.15	32.11	0
t_n794	29.498	17.2	54.04	0
t_n795	20.357	9.83	34.95	0
t_n796_Oxalidales	111.484	104.49	116.67	B(0.88,1.18,1e-300,1e-300)
t_n797	97.872	90.62	104.96	0
t_n798	91.854	86.08	100.08	0
t_n799_Cunoniaceae	88.151	85.09	95.38	B(0.85,1.47,1e-300,1e-300)
t_n800_Elaeocarpaceae	83.088	72.9	92.43	B(0.71,1.05,1e-300,1e-300)
t_n801	77.82	52.96	90.28	0
t_n802	57.365	23.09	80.74	0
t_n803	29.515	3.22	70.06	0
t_n804	59.804	42.01	79.66	0
t_n805	50.028	29.16	70.03	0
t_n806	30.534	14.2	56.83	0
t_n807	28.445	16.14	51.05	0
t_n808	25.088	13.95	50.19	0
t_n809_Celastraceae	106.023	103.1	111.42	B(1.03,1.64,1e-300,1e-300)
t_n810	82.887	65.39	97.65	0
t_n811	52.957	39.14	67.02	0
t_n812	41.252	27.67	56.14	0
t_n813	32.524	21.98	49.57	0
t_n814	29.521	19.93	46.78	0
t_n815	25.72	16.36	43.91	0
t_n816	19.469	10.23	30.22	0
t_n817	35.375	22.41	50.87	0
t_n818	23.321	14.83	38.98	0
t_n819	45.278	30.64	60.24	0
t_n820	29.024	17.83	46.38	0
t_n821	30.595	15.45	61.82	0
t_n822	117.439	114.11	120.33	0
t_n823	115.864	112.44	119.11	0
t_n824	113.624	109.83	117.41	0
