family	prop_keep	rep	origin_mean	origin_med	origin_L_ci	origin_U_ci	CI_width	origin_L_hpd	origin_U_hpd	HPD_width	n_samples	file
Asteraceae	1	1	64.2244263775473	60.9937569462427	50.6335307214552	96.3618609555895	45.7283302341342	50.0006781027798	88.5058827710354	38.5052046682556	45000	./asteraceae_mcmc_8570_f0.95_qvar.log
Fabaceae	1	1	75.4782104670102	73.7820991778579	70.1691755192102	91.0648354785387	20.8956599593285	70.0002881882154	86.3219917831071	16.3217035948917	45000	./fabaceae_mcmc_7711_f0.95_qvar.log
Asteraceae	0.3	1	76.5026221063518	70.0408757192899	53.795382313901	137.49575085373	83.7003685398292	52.5013405063876	119.774382593682	67.2730420872947	13500	./subsample_30/asteraceae_1_mcmc_9060_f0.95_qvar.log
Asteraceae	0.3	2	31.219387433621	28.8489462105306	20.701710080201	56.3331830014724	35.6314729212715	20.0082987990065	49.2303144471027	29.2220156480962	13500	./subsample_30/asteraceae_2_mcmc_9649_f0.95_qvar.log
Asteraceae	0.3	3	73.3601151229158	67.6626493314698	53.3569762415274	127.38851134149	74.0315350999629	52.5009902746509	111.389049974091	58.8880596994399	13500	./subsample_30/asteraceae_3_mcmc_2903_f0.95_qvar.log
Asteraceae	0.3	4	63.7513290188334	58.6495787586256	45.833900853323	111.818491509576	65.9845906562531	45.0017864656893	98.3699895841378	53.3682031184485	13500	./subsample_30/asteraceae_4_mcmc_2656_f0.95_qvar.log
Asteraceae	0.3	5	62.6505975384976	57.7982901322747	45.7078648114121	108.045124276414	62.3372594650021	45.0043422965703	94.6761527053053	49.671810408735	13500	./subsample_30/asteraceae_5_mcmc_7686_f0.95_qvar.log
Fabaceae	0.3	1	77.1475048006404	75.16416225798	70.2365848171914	95.3719924687863	25.1354076515949	70.0001359205189	89.7689112699562	19.7687753494373	13500	./subsample_30/fabaceae_1_mcmc_7040_f0.95_qvar.log
Fabaceae	0.3	2	78.1359661261044	75.8403832366123	70.3081269571188	99.6732207924222	29.3650938353034	70.0001278098459	93.7791701177602	23.7790423079144	13500	./subsample_30/fabaceae_2_mcmc_2848_f0.95_qvar.log
Fabaceae	0.3	3	83.691404445135	80.5911987529035	72.9133495763601	114.230603277017	41.3172537006573	72.5018258929806	104.863509767599	32.3616838746181	13500	./subsample_30/fabaceae_3_mcmc_8175_f0.95_qvar.log
Fabaceae	0.3	4	81.584700135236	78.8203021073257	72.7546245066147	106.64356317979	33.8889386731756	72.5007346510757	99.4122388886388	26.911504237563	13500	./subsample_30/fabaceae_4_mcmc_8914_f0.95_qvar.log
Fabaceae	0.3	5	78.9354313652894	76.8164080720019	70.3203284126881	99.4214734292017	29.1011450165136	70.0025376190817	94.7410889323289	24.7385513132472	13500	./subsample_30/fabaceae_5_mcmc_9574_f0.95_qvar.log
Asteraceae	0.7	1	56.1369679485337	53.1285491998051	45.4370917612159	84.2775615109864	38.8404697497705	45.0003084560014	76.6379652593568	31.6376568033554	13500	./subsample_70/asteraceae_1_mcmc_4812_f0.95_qvar.log
Asteraceae	0.7	2	67.9726840752848	64.3625069515654	53.2168603587021	104.364587486027	51.1477271273244	52.5004573612737	94.1548788990084	41.6544215377347	13500	./subsample_70/asteraceae_2_mcmc_2594_f0.95_qvar.log
Asteraceae	0.7	3	66.2182404804258	62.5917385524928	53.0663157074062	99.8965652783089	46.8302495709027	52.5009556395851	91.0357299866633	38.5347743470781	13500	./subsample_70/asteraceae_3_mcmc_6697_f0.95_qvar.log
Asteraceae	0.7	4	65.3023956462103	62.0033925621424	53.0044330827967	96.5778402648238	43.5734071820272	52.5013603203444	88.5517832266409	36.0504229062965	13500	./subsample_70/asteraceae_4_mcmc_8994_f0.95_qvar.log
Asteraceae	0.7	5	68.0609081107813	64.2077023082611	53.1669344233755	105.998931394849	52.8319969714733	52.5033510273473	95.1324176507597	42.6290666234124	13500	./subsample_70/asteraceae_5_mcmc_2646_f0.95_qvar.log
Fabaceae	0.7	1	74.1794925584069	73.0962727834993	70.1318078594635	84.5913347895635	14.4595269301	70.0002698264514	81.682321199779	11.6820513733276	13500	./subsample_70/fabaceae_1_mcmc_6461_f0.95_qvar.log
Fabaceae	0.7	2	74.0789962724915	72.7739849738646	70.1225224714738	85.6580728481439	15.5355503766701	70.0021340127672	81.9899971928824	11.9878631801152	13500	./subsample_70/fabaceae_2_mcmc_9757_f0.95_qvar.log
Fabaceae	0.7	3	76.128699929429	75.068266257817	72.5913300871564	84.9628889786778	12.3715588915214	72.4605586346311	83.341551365021	10.8809927303898	13500	./subsample_70/fabaceae_3_mcmc_7526_f0.95_qvar.log
Fabaceae	0.7	4	77.4032944954266	76.0542459272082	72.648707155432	90.3141827366321	17.6654755812001	72.5000024446971	86.7664710202805	14.2664685755834	13500	./subsample_70/fabaceae_4_mcmc_2401_f0.95_qvar.log
Fabaceae	0.7	5	77.0032894865313	75.7709125913175	72.6477873599845	88.883669216515	16.2358818565305	72.5000587983769	85.513818494428	13.0137596960511	13500	./subsample_70/fabaceae_5_mcmc_6992_f0.95_qvar.log
