time	asteraceae_1	asteraceae_2	asteraceae_3	asteraceae_4	asteraceae_5	fabaceae_1	fabaceae_2	fabaceae_3	fabaceae_4	fabaceae_5
2.5	2	1	1	0	1	6	7	12	7	6
5	1	3	4	2	3	20	21	24	19	28
7.5	1	0	0	1	1	17	16	14	21	18
10	0	0	0	0	0	12	14	14	12	15
12.5	0	0	0	1	0	18	20	19	19	22
15	0	1	0	2	0	15	17	15	19	15
17.5	1	2	1	0	1	13	12	12	9	10
20	0	0	0	0	0	7	10	9	12	6
22.5	0	0	0	0	0	6	4	4	4	6
25	0	0	0	0	0	6	6	4	6	7
27.5	0	0	0	0	0	3	2	3	3	1
30	0	0	0	0	0	6	6	3	3	4
32.5	0	0	0	0	0	7	6	3	3	3
35	1	0	0	0	0	1	0	2	0	1
37.5	0	0	0	0	0	2	2	3	4	3
40	0	0	0	0	0	0	1	2	2	1
42.5	0	0	0	1	1	5	4	3	2	4
45	0	0	0	0	0	1	1	1	1	2
47.5	0	0	0	0	0	2	2	2	2	1
50	1	0	1	0	0	2	1	1	2	2
52.5	0	0	0	0	0	1	1	1	0	0
55	0	0	0	0	0	3	1	0	3	0
57.5	0	0	0	0	0	2	1	2	1	0
60	0	0	0	0	0	1	3	2	3	1
62.5	0	0	0	0	0	3	1	2	0	2
65	0	0	0	0	0	0	0	1	0	1
67.5	0	0	0	0	0	1	1	1	1	1
70	0	0	0	0	0	0	0	1	2	0
72.5	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0
77.5	0	0	0	0	0	0	0	0	0	0
80	0	0	0	0	0	0	0	0	0	0
82.5	0	0	0	0	0	0	0	0	0	0
85	0	0	0	0	0	0	0	0	0	0
87.5	0	0	0	0	0	0	0	0	0	0
90	0	0	0	0	0	0	0	0	0	0
92.5	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0
97.5	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0
102.5	0	0	0	0	0	0	0	0	0	0
105	0	0	0	0	0	0	0	0	0	0
107.5	0	0	0	0	0	0	0	0	0	0
110	0	0	0	0	0	0	0	0	0	0
112.5	0	0	0	0	0	0	0	0	0	0
115	0	0	0	0	0	0	0	0	0	0
117.5	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0
122.5	0	0	0	0	0	0	0	0	0	0
125	0	0	0	0	0	0	0	0	0	0
127.5	0	0	0	0	0	0	0	0	0	0
130	0	0	0	0	0	0	0	0	0	0
